,task,item,choice,gt,meta_tasks
0,data/test/high_school_us_history_test.csv,0,C,D,[]
1,data/test/high_school_us_history_test.csv,1,A,A,[]
2,data/test/high_school_us_history_test.csv,2,D,D,[]
3,data/test/high_school_us_history_test.csv,3,B,B,[]
4,data/test/high_school_us_history_test.csv,4,B,B,[]
5,data/test/high_school_us_history_test.csv,5,A,A,[]
6,data/test/high_school_us_history_test.csv,6,A,B,[]
7,data/test/high_school_us_history_test.csv,7,A,A,[]
8,data/test/high_school_us_history_test.csv,8,D,D,[]
9,data/test/high_school_us_history_test.csv,9,A,B,[]
10,data/test/high_school_us_history_test.csv,10,C,B,[]
11,data/test/high_school_us_history_test.csv,11,C,C,[]
12,data/test/high_school_us_history_test.csv,12,D,A,[]
13,data/test/high_school_us_history_test.csv,13,C,A,[]
14,data/test/high_school_us_history_test.csv,14,D,B,[]
15,data/test/high_school_us_history_test.csv,15,C,C,[]
16,data/test/high_school_us_history_test.csv,16,D,B,[]
17,data/test/high_school_us_history_test.csv,17,B,B,[]
18,data/test/high_school_us_history_test.csv,18,C,C,[]
19,data/test/high_school_us_history_test.csv,19,C,D,[]
20,data/test/high_school_us_history_test.csv,20,C,D,[]
21,data/test/high_school_us_history_test.csv,21,C,C,[]
22,data/test/high_school_us_history_test.csv,22,B,B,[]
23,data/test/high_school_us_history_test.csv,23,A,B,[]
24,data/test/high_school_us_history_test.csv,24,D,D,[]
25,data/test/high_school_us_history_test.csv,25,C,C,[]
26,data/test/high_school_us_history_test.csv,26,D,D,[]
27,data/test/high_school_us_history_test.csv,27,C,A,[]
28,data/test/high_school_us_history_test.csv,28,D,D,[]
29,data/test/high_school_us_history_test.csv,29,D,A,[]
30,data/test/high_school_us_history_test.csv,30,C,C,[]
31,data/test/high_school_us_history_test.csv,31,C,C,[]
32,data/test/high_school_us_history_test.csv,32,A,A,[]
33,data/test/high_school_us_history_test.csv,33,A,A,[]
34,data/test/high_school_us_history_test.csv,34,C,C,[]
35,data/test/high_school_us_history_test.csv,35,C,C,[]
36,data/test/high_school_us_history_test.csv,36,B,A,[]
37,data/test/high_school_us_history_test.csv,37,A,A,[]
38,data/test/high_school_us_history_test.csv,38,A,A,[]
39,data/test/high_school_us_history_test.csv,39,B,B,[]
40,data/test/high_school_us_history_test.csv,40,D,A,[]
41,data/test/high_school_us_history_test.csv,41,D,D,[]
42,data/test/high_school_us_history_test.csv,42,C,D,[]
43,data/test/high_school_us_history_test.csv,43,B,B,[]
44,data/test/high_school_us_history_test.csv,44,C,C,[]
45,data/test/high_school_us_history_test.csv,45,D,D,[]
46,data/test/high_school_us_history_test.csv,46,A,A,[]
47,data/test/high_school_us_history_test.csv,47,C,C,[]
48,data/test/high_school_us_history_test.csv,48,D,D,[]
49,data/test/high_school_us_history_test.csv,49,A,A,[]
50,data/test/high_school_us_history_test.csv,50,C,C,[]
51,data/test/high_school_us_history_test.csv,51,D,D,[]
52,data/test/high_school_us_history_test.csv,52,A,A,[]
53,data/test/high_school_us_history_test.csv,53,D,D,[]
54,data/test/high_school_us_history_test.csv,54,D,D,[]
55,data/test/high_school_us_history_test.csv,55,C,C,[]
56,data/test/high_school_us_history_test.csv,56,C,A,[]
57,data/test/high_school_us_history_test.csv,57,A,A,[]
58,data/test/high_school_us_history_test.csv,58,C,C,[]
59,data/test/high_school_us_history_test.csv,59,D,C,[]
60,data/test/high_school_us_history_test.csv,60,C,A,[]
61,data/test/high_school_us_history_test.csv,61,C,C,[]
62,data/test/high_school_us_history_test.csv,62,B,B,[]
63,data/test/high_school_us_history_test.csv,63,A,A,[]
64,data/test/high_school_us_history_test.csv,64,B,B,[]
65,data/test/high_school_us_history_test.csv,65,C,B,[]
66,data/test/high_school_us_history_test.csv,66,C,C,[]
67,data/test/high_school_us_history_test.csv,67,C,C,[]
68,data/test/high_school_us_history_test.csv,68,D,D,[]
69,data/test/high_school_us_history_test.csv,69,C,C,[]
70,data/test/high_school_us_history_test.csv,70,C,C,[]
71,data/test/high_school_us_history_test.csv,71,D,A,[]
72,data/test/high_school_us_history_test.csv,72,C,C,[]
73,data/test/high_school_us_history_test.csv,73,C,A,[]
74,data/test/high_school_us_history_test.csv,74,"
",C,[]
75,data/test/high_school_us_history_test.csv,75,A,A,[]
76,data/test/high_school_us_history_test.csv,76,B,B,[]
77,data/test/high_school_us_history_test.csv,77,D,D,[]
78,data/test/high_school_us_history_test.csv,78,C,D,[]
79,data/test/high_school_us_history_test.csv,79,B,B,[]
80,data/test/high_school_us_history_test.csv,80,B,C,[]
81,data/test/high_school_us_history_test.csv,81,B,B,[]
82,data/test/high_school_us_history_test.csv,82,C,D,[]
83,data/test/high_school_us_history_test.csv,83,C,D,[]
84,data/test/high_school_us_history_test.csv,84,C,C,[]
85,data/test/high_school_us_history_test.csv,85,C,C,[]
86,data/test/high_school_us_history_test.csv,86,B,B,[]
87,data/test/high_school_us_history_test.csv,87,B,D,[]
88,data/test/high_school_us_history_test.csv,88,A,A,[]
89,data/test/high_school_us_history_test.csv,89,C,C,[]
90,data/test/high_school_us_history_test.csv,90,B,B,[]
91,data/test/high_school_us_history_test.csv,91,C,C,[]
92,data/test/high_school_us_history_test.csv,92,C,B,[]
93,data/test/high_school_us_history_test.csv,93,D,D,[]
94,data/test/high_school_us_history_test.csv,94,C,C,[]
95,data/test/high_school_us_history_test.csv,95,A,A,[]
96,data/test/high_school_us_history_test.csv,96,D,D,[]
97,data/test/high_school_us_history_test.csv,97,C,C,[]
