,task,item,choice,gt,meta_tasks
0,data/test/clinical_knowledge_test.csv,0,C,A,['nutrition' 'medical genetics']
1,data/test/clinical_knowledge_test.csv,1,D,D,['professional medicine' 'global facts']
2,data/test/clinical_knowledge_test.csv,2,B,A,['virology' 'nutrition']
3,data/test/clinical_knowledge_test.csv,3,B,B,['management' 'virology']
4,data/test/clinical_knowledge_test.csv,4,D,B,['human aging' 'global facts']
5,data/test/clinical_knowledge_test.csv,5,D,D,['management' 'human aging']
6,data/test/clinical_knowledge_test.csv,6,B,B,['global facts' 'nutrition']
7,data/test/clinical_knowledge_test.csv,7,A,A,['marketing' 'miscellaneous']
8,data/test/clinical_knowledge_test.csv,8,A,A,['management' 'human aging']
9,data/test/clinical_knowledge_test.csv,9,D,D,['management' 'professional accounting']
10,data/test/clinical_knowledge_test.csv,10,D,C,['global facts' 'marketing']
11,data/test/clinical_knowledge_test.csv,11,A,D,['medical genetics' 'professional accounting']
12,data/test/clinical_knowledge_test.csv,12,D,B,['college medicine' 'professional medicine']
13,data/test/clinical_knowledge_test.csv,13,C,B,['business ethics' 'marketing']
14,data/test/clinical_knowledge_test.csv,14,B,B,['nutrition' 'business ethics']
15,data/test/clinical_knowledge_test.csv,15,B,C,['professional medicine' 'miscellaneous']
16,data/test/clinical_knowledge_test.csv,16,C,D,['professional accounting' 'miscellaneous']
17,data/test/clinical_knowledge_test.csv,17,D,C,['business ethics' 'professional medicine']
18,data/test/clinical_knowledge_test.csv,18,C,C,['college medicine' 'medical genetics']
19,data/test/clinical_knowledge_test.csv,19,C,C,['marketing' 'miscellaneous']
20,data/test/clinical_knowledge_test.csv,20,D,D,['business ethics' 'marketing']
21,data/test/clinical_knowledge_test.csv,21,A,A,['human aging' 'marketing']
22,data/test/clinical_knowledge_test.csv,22,C,A,['professional accounting' 'professional medicine']
23,data/test/clinical_knowledge_test.csv,23,B,B,['medical genetics' 'management']
24,data/test/clinical_knowledge_test.csv,24,B,B,['professional medicine' 'nutrition']
25,data/test/clinical_knowledge_test.csv,25,D,B,['nutrition' 'college medicine']
26,data/test/clinical_knowledge_test.csv,26,C,D,['professional accounting' 'business ethics']
27,data/test/clinical_knowledge_test.csv,27,A,A,['global facts' 'management']
28,data/test/clinical_knowledge_test.csv,28,C,B,['nutrition' 'management']
29,data/test/clinical_knowledge_test.csv,29,D,C,['business ethics' 'professional medicine']
30,data/test/clinical_knowledge_test.csv,30,B,B,['human aging' 'business ethics']
31,data/test/clinical_knowledge_test.csv,31,D,D,['marketing' 'business ethics']
32,data/test/clinical_knowledge_test.csv,32,B,A,['management' 'marketing']
33,data/test/clinical_knowledge_test.csv,33,D,B,['miscellaneous' 'college medicine']
34,data/test/clinical_knowledge_test.csv,34,B,B,['virology' 'medical genetics']
35,data/test/clinical_knowledge_test.csv,35,D,D,['virology' 'nutrition']
36,data/test/clinical_knowledge_test.csv,36,C,C,['miscellaneous' 'management']
37,data/test/clinical_knowledge_test.csv,37,A,B,['professional accounting' 'miscellaneous']
38,data/test/clinical_knowledge_test.csv,38,B,B,['college medicine' 'nutrition']
39,data/test/clinical_knowledge_test.csv,39,C,D,['human aging' 'college medicine']
40,data/test/clinical_knowledge_test.csv,40,C,B,['college medicine' 'human aging']
41,data/test/clinical_knowledge_test.csv,41,D,D,['medical genetics' 'global facts']
42,data/test/clinical_knowledge_test.csv,42,C,C,['college medicine' 'nutrition']
43,data/test/clinical_knowledge_test.csv,43,B,B,['professional medicine' 'medical genetics']
44,data/test/clinical_knowledge_test.csv,44,D,D,['nutrition' 'medical genetics']
45,data/test/clinical_knowledge_test.csv,45,D,D,['human aging' 'medical genetics']
46,data/test/clinical_knowledge_test.csv,46,D,D,['business ethics' 'management']
47,data/test/clinical_knowledge_test.csv,47,A,A,['college medicine' 'nutrition']
48,data/test/clinical_knowledge_test.csv,48,A,D,['management' 'marketing']
49,data/test/clinical_knowledge_test.csv,49,B,D,['business ethics' 'human aging']
50,data/test/clinical_knowledge_test.csv,50,C,C,['marketing' 'professional accounting']
51,data/test/clinical_knowledge_test.csv,51,D,A,['global facts' 'college medicine']
52,data/test/clinical_knowledge_test.csv,52,D,C,['virology' 'miscellaneous']
53,data/test/clinical_knowledge_test.csv,53,B,B,['global facts' 'professional medicine']
54,data/test/clinical_knowledge_test.csv,54,C,D,['management' 'global facts']
55,data/test/clinical_knowledge_test.csv,55,D,D,['nutrition' 'college medicine']
56,data/test/clinical_knowledge_test.csv,56,C,B,['miscellaneous' 'management']
57,data/test/clinical_knowledge_test.csv,57,B,C,['virology' 'college medicine']
58,data/test/clinical_knowledge_test.csv,58,C,D,['professional accounting' 'global facts']
59,data/test/clinical_knowledge_test.csv,59,D,B,['human aging' 'global facts']
60,data/test/clinical_knowledge_test.csv,60,C,C,['management' 'nutrition']
61,data/test/clinical_knowledge_test.csv,61,B,B,['marketing' 'human aging']
62,data/test/clinical_knowledge_test.csv,62,C,C,['management' 'professional accounting']
63,data/test/clinical_knowledge_test.csv,63,D,D,['college medicine' 'global facts']
64,data/test/clinical_knowledge_test.csv,64,B,A,['virology' 'medical genetics']
65,data/test/clinical_knowledge_test.csv,65,C,D,['professional medicine' 'professional accounting']
66,data/test/clinical_knowledge_test.csv,66,B,B,['professional accounting' 'professional medicine']
67,data/test/clinical_knowledge_test.csv,67,D,D,['medical genetics' 'business ethics']
68,data/test/clinical_knowledge_test.csv,68,D,D,['virology' 'business ethics']
69,data/test/clinical_knowledge_test.csv,69,D,D,['marketing' 'professional accounting']
70,data/test/clinical_knowledge_test.csv,70,B,A,['college medicine' 'virology']
71,data/test/clinical_knowledge_test.csv,71,C,C,['college medicine' 'professional accounting']
72,data/test/clinical_knowledge_test.csv,72,A,D,['professional accounting' 'global facts']
