,task,item,choice,gt,meta_tasks
0,data/test/college_biology_test.csv,0,D,C,['high school statistics' 'computer security']
1,data/test/college_biology_test.csv,1,C,C,['computer security' 'college physics']
2,data/test/college_biology_test.csv,2,A,A,['high school biology' 'conceptual physics']
3,data/test/college_biology_test.csv,3,B,B,['college mathematics' 'college chemistry']
4,data/test/college_biology_test.csv,4,A,A,['electrical engineering' 'college mathematics']
5,data/test/college_biology_test.csv,5,C,A,['high school physics' 'college physics']
6,data/test/college_biology_test.csv,6,B,B,['machine learning' 'high school computer science']
7,data/test/college_biology_test.csv,7,D,B,['conceptual physics' 'astronomy']
8,data/test/college_biology_test.csv,8,D,D,['college mathematics' 'high school mathematics']
9,data/test/college_biology_test.csv,9,C,C,['computer security' 'college computer science']
10,data/test/college_biology_test.csv,10,A,C,['astronomy' 'high school chemistry']
11,data/test/college_biology_test.csv,11,A,D,['high school computer science' 'anatomy']
12,data/test/college_biology_test.csv,12,C,C,['astronomy' 'high school chemistry']
13,data/test/college_biology_test.csv,13,D,D,['high school computer science' 'college physics']
14,data/test/college_biology_test.csv,14,D,A,['machine learning' 'college computer science']
15,data/test/college_biology_test.csv,15,D,C,['astronomy' 'high school statistics']
16,data/test/college_biology_test.csv,16,C,C,['abstract algebra' 'computer security']
17,data/test/college_biology_test.csv,17,A,C,['college mathematics' 'college physics']
18,data/test/college_biology_test.csv,18,C,C,['high school mathematics' 'high school chemistry']
19,data/test/college_biology_test.csv,19,D,A,['machine learning' 'high school statistics']
20,data/test/college_biology_test.csv,20,D,D,['high school statistics' 'college computer science']
21,data/test/college_biology_test.csv,21,C,C,['high school mathematics' 'elementary mathematics']
22,data/test/college_biology_test.csv,22,B,B,['high school physics' 'high school biology']
23,data/test/college_biology_test.csv,23,A,A,['college mathematics' 'elementary mathematics']
24,data/test/college_biology_test.csv,24,D,D,['anatomy' 'high school biology']
25,data/test/college_biology_test.csv,25,D,D,['conceptual physics' 'high school biology']
26,data/test/college_biology_test.csv,26,D,A,['high school statistics' 'high school mathematics']
27,data/test/college_biology_test.csv,27,C,C,['high school statistics' 'anatomy']
28,data/test/college_biology_test.csv,28,A,A,['astronomy' 'computer security']
29,data/test/college_biology_test.csv,29,D,C,['anatomy' 'conceptual physics']
30,data/test/college_biology_test.csv,30,A,A,['college mathematics' 'high school mathematics']
