,task,item,choice,gt,meta_tasks
0,data/test/moral_disputes_test.csv,0,B,A,['world religions' 'philosophy']
1,data/test/moral_disputes_test.csv,1,C,C,['high school european history' 'high school us history']
2,data/test/moral_disputes_test.csv,2,D,A,['moral scenarios' 'logical fallacies']
3,data/test/moral_disputes_test.csv,3,C,C,['philosophy' 'high school european history']
4,data/test/moral_disputes_test.csv,4,C,B,['international law' 'prehistory']
5,data/test/moral_disputes_test.csv,5,C,C,['high school us history' 'formal logic']
6,data/test/moral_disputes_test.csv,6,D,D,['high school us history' 'high school world history']
7,data/test/moral_disputes_test.csv,7,B,B,['high school us history' 'jurisprudence']
8,data/test/moral_disputes_test.csv,8,A,D,['international law' 'philosophy']
9,data/test/moral_disputes_test.csv,9,D,D,['high school us history' 'high school world history']
10,data/test/moral_disputes_test.csv,10,B,D,['jurisprudence' 'international law']
11,data/test/moral_disputes_test.csv,11,B,B,['moral scenarios' 'high school us history']
12,data/test/moral_disputes_test.csv,12,B,B,['high school us history' 'jurisprudence']
13,data/test/moral_disputes_test.csv,13,C,D,['high school world history' 'high school european history']
14,data/test/moral_disputes_test.csv,14,B,C,['international law' 'high school world history']
15,data/test/moral_disputes_test.csv,15,C,C,['moral scenarios' 'formal logic']
16,data/test/moral_disputes_test.csv,16,B,A,['world religions' 'jurisprudence']
17,data/test/moral_disputes_test.csv,17,A,A,['moral scenarios' 'prehistory']
18,data/test/moral_disputes_test.csv,18,A,A,['world religions' 'moral scenarios']
19,data/test/moral_disputes_test.csv,19,B,B,['philosophy' 'world religions']
20,data/test/moral_disputes_test.csv,20,C,C,['international law' 'philosophy']
21,data/test/moral_disputes_test.csv,21,B,B,['formal logic' 'jurisprudence']
22,data/test/moral_disputes_test.csv,22,D,D,['world religions' 'formal logic']
23,data/test/moral_disputes_test.csv,23,A,C,['international law' 'high school world history']
24,data/test/moral_disputes_test.csv,24,C,B,['international law' 'world religions']
25,data/test/moral_disputes_test.csv,25,D,B,['jurisprudence' 'philosophy']
26,data/test/moral_disputes_test.csv,26,C,C,['formal logic' 'world religions']
27,data/test/moral_disputes_test.csv,27,D,D,['high school us history' 'high school european history']
28,data/test/moral_disputes_test.csv,28,D,C,['logical fallacies' 'formal logic']
29,data/test/moral_disputes_test.csv,29,C,D,['high school world history' 'jurisprudence']
30,data/test/moral_disputes_test.csv,30,C,A,['prehistory' 'high school world history']
31,data/test/moral_disputes_test.csv,31,A,C,['high school european history' 'high school us history']
32,data/test/moral_disputes_test.csv,32,B,A,['international law' 'world religions']
33,data/test/moral_disputes_test.csv,33,D,D,['high school world history' 'moral scenarios']
34,data/test/moral_disputes_test.csv,34,D,B,['high school us history' 'high school european history']
35,data/test/moral_disputes_test.csv,35,B,A,['high school us history' 'moral scenarios']
36,data/test/moral_disputes_test.csv,36,C,C,['logical fallacies' 'prehistory']
37,data/test/moral_disputes_test.csv,37,C,C,['formal logic' 'moral scenarios']
38,data/test/moral_disputes_test.csv,38,C,B,['high school world history' 'world religions']
39,data/test/moral_disputes_test.csv,39,C,C,['high school us history' 'international law']
40,data/test/moral_disputes_test.csv,40,C,C,['high school world history' 'prehistory']
41,data/test/moral_disputes_test.csv,41,D,D,['international law' 'logical fallacies']
42,data/test/moral_disputes_test.csv,42,B,A,['logical fallacies' 'jurisprudence']
43,data/test/moral_disputes_test.csv,43,B,B,['formal logic' 'international law']
44,data/test/moral_disputes_test.csv,44,C,C,['formal logic' 'philosophy']
45,data/test/moral_disputes_test.csv,45,A,A,['prehistory' 'high school world history']
46,data/test/moral_disputes_test.csv,46,D,B,['international law' 'high school us history']
47,data/test/moral_disputes_test.csv,47,A,A,['high school world history' 'high school us history']
48,data/test/moral_disputes_test.csv,48,B,B,['high school us history' 'jurisprudence']
49,data/test/moral_disputes_test.csv,49,B,B,['high school european history' 'philosophy']
50,data/test/moral_disputes_test.csv,50,A,A,['philosophy' 'high school us history']
51,data/test/moral_disputes_test.csv,51,D,B,['world religions' 'formal logic']
52,data/test/moral_disputes_test.csv,52,B,A,['world religions' 'high school world history']
53,data/test/moral_disputes_test.csv,53,D,D,['high school european history' 'world religions']
54,data/test/moral_disputes_test.csv,54,D,D,['high school world history' 'high school european history']
55,data/test/moral_disputes_test.csv,55,A,C,['philosophy' 'prehistory']
56,data/test/moral_disputes_test.csv,56,C,D,['high school world history' 'formal logic']
57,data/test/moral_disputes_test.csv,57,C,C,['international law' 'moral scenarios']
58,data/test/moral_disputes_test.csv,58,D,C,['formal logic' 'philosophy']
59,data/test/moral_disputes_test.csv,59,C,A,['high school european history' 'logical fallacies']
60,data/test/moral_disputes_test.csv,60,D,D,['high school world history' 'moral scenarios']
61,data/test/moral_disputes_test.csv,61,B,A,['high school world history' 'international law']
62,data/test/moral_disputes_test.csv,62,C,B,['high school us history' 'high school european history']
63,data/test/moral_disputes_test.csv,63,D,D,['world religions' 'high school european history']
64,data/test/moral_disputes_test.csv,64,B,B,['philosophy' 'world religions']
65,data/test/moral_disputes_test.csv,65,A,B,['high school us history' 'logical fallacies']
66,data/test/moral_disputes_test.csv,66,B,B,['logical fallacies' 'philosophy']
67,data/test/moral_disputes_test.csv,67,C,D,['international law' 'prehistory']
68,data/test/moral_disputes_test.csv,68,B,D,['international law' 'jurisprudence']
69,data/test/moral_disputes_test.csv,69,A,A,['high school us history' 'moral scenarios']
70,data/test/moral_disputes_test.csv,70,C,C,['jurisprudence' 'formal logic']
71,data/test/moral_disputes_test.csv,71,A,B,['prehistory' 'philosophy']
72,data/test/moral_disputes_test.csv,72,A,A,['high school european history' 'prehistory']
73,data/test/moral_disputes_test.csv,73,B,B,['high school world history' 'prehistory']
74,data/test/moral_disputes_test.csv,74,B,B,['formal logic' 'prehistory']
75,data/test/moral_disputes_test.csv,75,D,D,['world religions' 'prehistory']
76,data/test/moral_disputes_test.csv,76,B,B,['philosophy' 'high school european history']
77,data/test/moral_disputes_test.csv,77,C,C,['moral scenarios' 'logical fallacies']
78,data/test/moral_disputes_test.csv,78,A,C,['moral scenarios' 'world religions']
79,data/test/moral_disputes_test.csv,79,A,D,['international law' 'high school european history']
80,data/test/moral_disputes_test.csv,80,C,C,['prehistory' 'jurisprudence']
81,data/test/moral_disputes_test.csv,81,D,D,['prehistory' 'high school us history']
82,data/test/moral_disputes_test.csv,82,A,A,['formal logic' 'high school european history']
