,task,item,choice,gt,meta_tasks
0,data/test/moral_scenarios_test.csv,0,A,D,['high school us history' 'moral disputes']
1,data/test/moral_scenarios_test.csv,1,D,A,['international law' 'moral disputes']
2,data/test/moral_scenarios_test.csv,2,D,D,['jurisprudence' 'philosophy']
3,data/test/moral_scenarios_test.csv,3,D,B,['formal logic' 'jurisprudence']
4,data/test/moral_scenarios_test.csv,4,A,D,['logical fallacies' 'high school european history']
5,data/test/moral_scenarios_test.csv,5,B,C,['world religions' 'high school us history']
6,data/test/moral_scenarios_test.csv,6,D,D,['high school european history' 'formal logic']
7,data/test/moral_scenarios_test.csv,7,D,D,['logical fallacies' 'international law']
8,data/test/moral_scenarios_test.csv,8,D,A,['logical fallacies' 'high school world history']
9,data/test/moral_scenarios_test.csv,9,A,C,['international law' 'high school us history']
10,data/test/moral_scenarios_test.csv,10,D,D,['logical fallacies' 'jurisprudence']
11,data/test/moral_scenarios_test.csv,11,A,B,['international law' 'high school european history']
12,data/test/moral_scenarios_test.csv,12,A,C,['international law' 'world religions']
13,data/test/moral_scenarios_test.csv,13,D,A,['world religions' 'jurisprudence']
14,data/test/moral_scenarios_test.csv,14,A,D,['jurisprudence' 'high school european history']
15,data/test/moral_scenarios_test.csv,15,D,A,['logical fallacies' 'high school us history']
16,data/test/moral_scenarios_test.csv,16,D,D,['high school world history' 'formal logic']
17,data/test/moral_scenarios_test.csv,17,D,C,['formal logic' 'philosophy']
18,data/test/moral_scenarios_test.csv,18,D,C,['formal logic' 'world religions']
19,data/test/moral_scenarios_test.csv,19,D,A,['prehistory' 'jurisprudence']
20,data/test/moral_scenarios_test.csv,20,D,D,['moral disputes' 'international law']
21,data/test/moral_scenarios_test.csv,21,A,A,['prehistory' 'jurisprudence']
22,data/test/moral_scenarios_test.csv,22,D,A,['prehistory' 'jurisprudence']
23,data/test/moral_scenarios_test.csv,23,D,B,['logical fallacies' 'prehistory']
24,data/test/moral_scenarios_test.csv,24,D,A,['world religions' 'high school european history']
25,data/test/moral_scenarios_test.csv,25,D,A,['prehistory' 'international law']
26,data/test/moral_scenarios_test.csv,26,A,A,['international law' 'high school us history']
27,data/test/moral_scenarios_test.csv,27,A,C,['international law' 'world religions']
28,data/test/moral_scenarios_test.csv,28,D,C,['high school european history' 'prehistory']
29,data/test/moral_scenarios_test.csv,29,D,B,['formal logic' 'logical fallacies']
30,data/test/moral_scenarios_test.csv,30,D,D,['philosophy' 'formal logic']
31,data/test/moral_scenarios_test.csv,31,D,B,['prehistory' 'jurisprudence']
32,data/test/moral_scenarios_test.csv,32,D,B,['philosophy' 'formal logic']
33,data/test/moral_scenarios_test.csv,33,D,B,['jurisprudence' 'prehistory']
