,task,item,choice,gt,meta_tasks
0,data/test/professional_psychology_test.csv,0,C,D,['security studies' 'high school government and politics']
1,data/test/professional_psychology_test.csv,1,D,C,['human sexuality' 'sociology']
2,data/test/professional_psychology_test.csv,2,A,B,['econometrics' 'security studies']
3,data/test/professional_psychology_test.csv,3,B,B,['public relations' 'security studies']
4,data/test/professional_psychology_test.csv,4,A,A,['high school psychology' 'public relations']
5,data/test/professional_psychology_test.csv,5,A,B,['high school government and politics' 'econometrics']
6,data/test/professional_psychology_test.csv,6,C,A,['us foreign policy' 'high school geography']
7,data/test/professional_psychology_test.csv,7,D,A,['us foreign policy' 'sociology']
8,data/test/professional_psychology_test.csv,8,A,A,['public relations' 'high school government and politics']
9,data/test/professional_psychology_test.csv,9,C,A,['sociology' 'econometrics']
10,data/test/professional_psychology_test.csv,10,B,B,['security studies' 'human sexuality']
11,data/test/professional_psychology_test.csv,11,D,D,['high school geography' 'human sexuality']
12,data/test/professional_psychology_test.csv,12,D,D,['high school psychology' 'econometrics']
13,data/test/professional_psychology_test.csv,13,C,B,['econometrics' 'high school psychology']
14,data/test/professional_psychology_test.csv,14,A,A,['econometrics' 'us foreign policy']
15,data/test/professional_psychology_test.csv,15,B,B,['high school government and politics' 'high school macroeconomics']
16,data/test/professional_psychology_test.csv,16,C,C,['high school geography' 'econometrics']
17,data/test/professional_psychology_test.csv,17,B,B,['us foreign policy' 'econometrics']
18,data/test/professional_psychology_test.csv,18,A,B,['high school geography' 'high school microeconomics']
19,data/test/professional_psychology_test.csv,19,D,C,['high school macroeconomics' 'security studies']
20,data/test/professional_psychology_test.csv,20,B,B,['security studies' 'high school microeconomics']
21,data/test/professional_psychology_test.csv,21,B,B,['human sexuality' 'high school psychology']
22,data/test/professional_psychology_test.csv,22,D,D,['high school microeconomics' 'high school psychology']
23,data/test/professional_psychology_test.csv,23,A,A,['security studies' 'us foreign policy']
24,data/test/professional_psychology_test.csv,24,B,A,['high school psychology' 'security studies']
25,data/test/professional_psychology_test.csv,25,D,A,['human sexuality' 'high school government and politics']
26,data/test/professional_psychology_test.csv,26,A,A,['high school macroeconomics' 'public relations']
27,data/test/professional_psychology_test.csv,27,D,B,['high school government and politics' 'high school geography']
28,data/test/professional_psychology_test.csv,28,D,A,['high school psychology' 'public relations']
29,data/test/professional_psychology_test.csv,29,C,B,['high school psychology' 'high school government and politics']
30,data/test/professional_psychology_test.csv,30,A,B,['high school psychology' 'human sexuality']
31,data/test/professional_psychology_test.csv,31,C,C,['high school microeconomics' 'econometrics']
32,data/test/professional_psychology_test.csv,32,C,D,['security studies' 'high school microeconomics']
33,data/test/professional_psychology_test.csv,33,B,A,['high school psychology' 'security studies']
34,data/test/professional_psychology_test.csv,34,A,C,['high school government and politics' 'high school microeconomics']
35,data/test/professional_psychology_test.csv,35,B,B,['high school macroeconomics' 'sociology']
36,data/test/professional_psychology_test.csv,36,D,D,['high school geography' 'sociology']
37,data/test/professional_psychology_test.csv,37,B,B,['public relations' 'high school geography']
38,data/test/professional_psychology_test.csv,38,D,C,['high school macroeconomics' 'us foreign policy']
39,data/test/professional_psychology_test.csv,39,D,A,['sociology' 'public relations']
40,data/test/professional_psychology_test.csv,40,C,B,['high school government and politics' 'security studies']
41,data/test/professional_psychology_test.csv,41,B,D,['high school microeconomics' 'security studies']
42,data/test/professional_psychology_test.csv,42,B,B,['econometrics' 'sociology']
