,task,item,choice,gt,meta_tasks
0,data/test/us_foreign_policy_test.csv,0,A,A,['high school psychology' 'high school government and politics']
1,data/test/us_foreign_policy_test.csv,1,A,A,['high school microeconomics' 'high school geography']
2,data/test/us_foreign_policy_test.csv,2,D,D,['high school microeconomics' 'high school geography']
3,data/test/us_foreign_policy_test.csv,3,C,A,['high school geography' 'security studies']
4,data/test/us_foreign_policy_test.csv,4,D,D,['human sexuality' 'professional psychology']
5,data/test/us_foreign_policy_test.csv,5,D,D,['sociology' 'security studies']
6,data/test/us_foreign_policy_test.csv,6,A,A,['high school government and politics' 'human sexuality']
7,data/test/us_foreign_policy_test.csv,7,D,A,['public relations' 'econometrics']
8,data/test/us_foreign_policy_test.csv,8,D,D,['professional psychology' 'high school psychology']
9,data/test/us_foreign_policy_test.csv,9,D,D,['professional psychology' 'human sexuality']
10,data/test/us_foreign_policy_test.csv,10,B,B,['public relations' 'sociology']
11,data/test/us_foreign_policy_test.csv,11,B,C,['high school government and politics' 'high school macroeconomics']
12,data/test/us_foreign_policy_test.csv,12,B,B,['sociology' 'high school government and politics']
13,data/test/us_foreign_policy_test.csv,13,D,D,['security studies' 'professional psychology']
14,data/test/us_foreign_policy_test.csv,14,C,B,['security studies' 'high school psychology']
15,data/test/us_foreign_policy_test.csv,15,B,B,['high school microeconomics' 'econometrics']
16,data/test/us_foreign_policy_test.csv,16,C,C,['high school macroeconomics' 'econometrics']
17,data/test/us_foreign_policy_test.csv,17,B,B,['security studies' 'high school macroeconomics']
18,data/test/us_foreign_policy_test.csv,18,C,C,['econometrics' 'public relations']
19,data/test/us_foreign_policy_test.csv,19,B,B,['econometrics' 'high school psychology']
20,data/test/us_foreign_policy_test.csv,20,D,D,['high school macroeconomics' 'human sexuality']
21,data/test/us_foreign_policy_test.csv,21,C,C,['professional psychology' 'human sexuality']
22,data/test/us_foreign_policy_test.csv,22,C,C,['high school government and politics' 'sociology']
23,data/test/us_foreign_policy_test.csv,23,B,B,['high school psychology' 'high school macroeconomics']
24,data/test/us_foreign_policy_test.csv,24,B,C,['high school microeconomics' 'high school psychology']
25,data/test/us_foreign_policy_test.csv,25,C,C,['high school government and politics' 'econometrics']
26,data/test/us_foreign_policy_test.csv,26,A,A,['high school psychology' 'security studies']
27,data/test/us_foreign_policy_test.csv,27,B,B,['professional psychology' 'human sexuality']
28,data/test/us_foreign_policy_test.csv,28,C,C,['sociology' 'high school government and politics']
29,data/test/us_foreign_policy_test.csv,29,A,A,['high school microeconomics' 'econometrics']
30,data/test/us_foreign_policy_test.csv,30,C,C,['human sexuality' 'high school government and politics']
31,data/test/us_foreign_policy_test.csv,31,A,A,['high school geography' 'high school microeconomics']
32,data/test/us_foreign_policy_test.csv,32,D,D,['high school microeconomics' 'econometrics']
33,data/test/us_foreign_policy_test.csv,33,D,A,['high school microeconomics' 'high school macroeconomics']
34,data/test/us_foreign_policy_test.csv,34,B,B,['public relations' 'sociology']
35,data/test/us_foreign_policy_test.csv,35,D,D,['sociology' 'high school government and politics']
36,data/test/us_foreign_policy_test.csv,36,A,A,['high school geography' 'professional psychology']
37,data/test/us_foreign_policy_test.csv,37,C,C,['high school microeconomics' 'security studies']
38,data/test/us_foreign_policy_test.csv,38,B,B,['high school macroeconomics' 'high school microeconomics']
39,data/test/us_foreign_policy_test.csv,39,B,A,['high school microeconomics' 'public relations']
40,data/test/us_foreign_policy_test.csv,40,B,B,['professional psychology' 'public relations']
41,data/test/us_foreign_policy_test.csv,41,A,B,['professional psychology' 'econometrics']
42,data/test/us_foreign_policy_test.csv,42,B,B,['security studies' 'high school microeconomics']
43,data/test/us_foreign_policy_test.csv,43,D,D,['security studies' 'high school microeconomics']
44,data/test/us_foreign_policy_test.csv,44,A,A,['econometrics' 'high school macroeconomics']
45,data/test/us_foreign_policy_test.csv,45,C,C,['high school government and politics' 'public relations']
46,data/test/us_foreign_policy_test.csv,46,C,C,['econometrics' 'high school government and politics']
47,data/test/us_foreign_policy_test.csv,47,D,D,['human sexuality' 'econometrics']
48,data/test/us_foreign_policy_test.csv,48,C,C,['high school microeconomics' 'high school geography']
49,data/test/us_foreign_policy_test.csv,49,B,B,['human sexuality' 'high school geography']
50,data/test/us_foreign_policy_test.csv,50,A,A,['high school geography' 'high school government and politics']
51,data/test/us_foreign_policy_test.csv,51,A,A,['high school microeconomics' 'security studies']
52,data/test/us_foreign_policy_test.csv,52,C,C,['high school microeconomics' 'sociology']
53,data/test/us_foreign_policy_test.csv,53,D,D,['sociology' 'human sexuality']
