,task,item,choice,gt,meta_tasks
0,data/test/security_studies_test.csv,0,C,C,[]
1,data/test/security_studies_test.csv,1,D,B,[]
2,data/test/security_studies_test.csv,2,A,A,[]
3,data/test/security_studies_test.csv,3,D,D,[]
4,data/test/security_studies_test.csv,4,B,B,[]
5,data/test/security_studies_test.csv,5,D,C,[]
6,data/test/security_studies_test.csv,6,D,D,[]
7,data/test/security_studies_test.csv,7,C,A,[]
8,data/test/security_studies_test.csv,8,B,B,[]
9,data/test/security_studies_test.csv,9,D,A,[]
10,data/test/security_studies_test.csv,10,D,D,[]
11,data/test/security_studies_test.csv,11,A,A,[]
12,data/test/security_studies_test.csv,12,C,C,[]
13,data/test/security_studies_test.csv,13,B,B,[]
14,data/test/security_studies_test.csv,14,C,C,[]
15,data/test/security_studies_test.csv,15,C,C,[]
16,data/test/security_studies_test.csv,16,A,A,[]
17,data/test/security_studies_test.csv,17,C,C,[]
18,data/test/security_studies_test.csv,18,C,C,[]
19,data/test/security_studies_test.csv,19,D,D,[]
20,data/test/security_studies_test.csv,20,C,B,[]
21,data/test/security_studies_test.csv,21,C,C,[]
22,data/test/security_studies_test.csv,22,D,D,[]
23,data/test/security_studies_test.csv,23,D,D,[]
24,data/test/security_studies_test.csv,24,C,C,[]
25,data/test/security_studies_test.csv,25,C,B,[]
26,data/test/security_studies_test.csv,26,D,B,[]
27,data/test/security_studies_test.csv,27,D,D,[]
28,data/test/security_studies_test.csv,28,A,A,[]
29,data/test/security_studies_test.csv,29,A,A,[]
30,data/test/security_studies_test.csv,30,A,D,[]
31,data/test/security_studies_test.csv,31,D,C,[]
32,data/test/security_studies_test.csv,32,D,A,[]
33,data/test/security_studies_test.csv,33,A,C,[]
34,data/test/security_studies_test.csv,34,D,A,[]
35,data/test/security_studies_test.csv,35,D,D,[]
36,data/test/security_studies_test.csv,36,D,A,[]
37,data/test/security_studies_test.csv,37,A,A,[]
38,data/test/security_studies_test.csv,38,D,D,[]
39,data/test/security_studies_test.csv,39,D,A,[]
40,data/test/security_studies_test.csv,40,D,C,[]
41,data/test/security_studies_test.csv,41,C,D,[]
42,data/test/security_studies_test.csv,42,A,B,[]
43,data/test/security_studies_test.csv,43,D,B,[]
44,data/test/security_studies_test.csv,44,A,A,[]
45,data/test/security_studies_test.csv,45,A,C,[]
46,data/test/security_studies_test.csv,46,C,C,[]
47,data/test/security_studies_test.csv,47,D,D,[]
48,data/test/security_studies_test.csv,48,D,D,[]
49,data/test/security_studies_test.csv,49,C,B,[]
50,data/test/security_studies_test.csv,50,C,A,[]
51,data/test/security_studies_test.csv,51,C,B,[]
52,data/test/security_studies_test.csv,52,C,D,[]
53,data/test/security_studies_test.csv,53,A,C,[]
54,data/test/security_studies_test.csv,54,D,D,[]
55,data/test/security_studies_test.csv,55,A,C,[]
56,data/test/security_studies_test.csv,56,D,D,[]
57,data/test/security_studies_test.csv,57,A,A,[]
58,data/test/security_studies_test.csv,58,D,D,[]
59,data/test/security_studies_test.csv,59,D,C,[]
60,data/test/security_studies_test.csv,60,D,D,[]
61,data/test/security_studies_test.csv,61,A,A,[]
62,data/test/security_studies_test.csv,62,D,D,[]
63,data/test/security_studies_test.csv,63,C,C,[]
64,data/test/security_studies_test.csv,64,D,D,[]
65,data/test/security_studies_test.csv,65,A,A,[]
66,data/test/security_studies_test.csv,66,C,C,[]
67,data/test/security_studies_test.csv,67,D,D,[]
68,data/test/security_studies_test.csv,68,C,C,[]
69,data/test/security_studies_test.csv,69,A,A,[]
70,data/test/security_studies_test.csv,70,D,D,[]
71,data/test/security_studies_test.csv,71,D,D,[]
72,data/test/security_studies_test.csv,72,C,D,[]
73,data/test/security_studies_test.csv,73,D,D,[]
74,data/test/security_studies_test.csv,74,C,C,[]
75,data/test/security_studies_test.csv,75,C,C,[]
76,data/test/security_studies_test.csv,76,C,B,[]
77,data/test/security_studies_test.csv,77,C,C,[]
78,data/test/security_studies_test.csv,78,B,B,[]
79,data/test/security_studies_test.csv,79,D,D,[]
80,data/test/security_studies_test.csv,80,D,A,[]
81,data/test/security_studies_test.csv,81,C,B,[]
82,data/test/security_studies_test.csv,82,D,D,[]
83,data/test/security_studies_test.csv,83,D,A,[]
84,data/test/security_studies_test.csv,84,D,D,[]
85,data/test/security_studies_test.csv,85,D,A,[]
86,data/test/security_studies_test.csv,86,C,C,[]
87,data/test/security_studies_test.csv,87,D,D,[]
88,data/test/security_studies_test.csv,88,C,C,[]
89,data/test/security_studies_test.csv,89,D,D,[]
90,data/test/security_studies_test.csv,90,D,D,[]
91,data/test/security_studies_test.csv,91,D,D,[]
92,data/test/security_studies_test.csv,92,A,A,[]
93,data/test/security_studies_test.csv,93,D,D,[]
94,data/test/security_studies_test.csv,94,A,C,[]
95,data/test/security_studies_test.csv,95,D,D,[]
96,data/test/security_studies_test.csv,96,D,D,[]
97,data/test/security_studies_test.csv,97,D,D,[]
98,data/test/security_studies_test.csv,98,D,A,[]
99,data/test/security_studies_test.csv,99,A,A,[]
100,data/test/security_studies_test.csv,100,D,D,[]
101,data/test/security_studies_test.csv,101,D,B,[]
102,data/test/security_studies_test.csv,102,C,C,[]
103,data/test/security_studies_test.csv,103,B,B,[]
104,data/test/security_studies_test.csv,104,D,D,[]
105,data/test/security_studies_test.csv,105,B,B,[]
106,data/test/security_studies_test.csv,106,D,D,[]
107,data/test/security_studies_test.csv,107,D,D,[]
108,data/test/security_studies_test.csv,108,B,B,[]
109,data/test/security_studies_test.csv,109,D,D,[]
110,data/test/security_studies_test.csv,110,D,D,[]
111,data/test/security_studies_test.csv,111,C,C,[]
112,data/test/security_studies_test.csv,112,B,C,[]
113,data/test/security_studies_test.csv,113,D,C,[]
114,data/test/security_studies_test.csv,114,D,D,[]
115,data/test/security_studies_test.csv,115,C,A,[]
116,data/test/security_studies_test.csv,116,D,A,[]
117,data/test/security_studies_test.csv,117,D,B,[]
118,data/test/security_studies_test.csv,118,D,D,[]
119,data/test/security_studies_test.csv,119,D,D,[]
120,data/test/security_studies_test.csv,120,C,D,[]
121,data/test/security_studies_test.csv,121,D,D,[]
122,data/test/security_studies_test.csv,122,D,C,[]
123,data/test/security_studies_test.csv,123,D,D,[]
124,data/test/security_studies_test.csv,124,D,C,[]
125,data/test/security_studies_test.csv,125,C,D,[]
126,data/test/security_studies_test.csv,126,D,C,[]
127,data/test/security_studies_test.csv,127,B,C,[]
128,data/test/security_studies_test.csv,128,D,D,[]
129,data/test/security_studies_test.csv,129,C,C,[]
130,data/test/security_studies_test.csv,130,D,B,[]
131,data/test/security_studies_test.csv,131,B,B,[]
132,data/test/security_studies_test.csv,132,B,B,[]
133,data/test/security_studies_test.csv,133,C,C,[]
134,data/test/security_studies_test.csv,134,B,B,[]
135,data/test/security_studies_test.csv,135,D,D,[]
136,data/test/security_studies_test.csv,136,A,A,[]
137,data/test/security_studies_test.csv,137,B,B,[]
138,data/test/security_studies_test.csv,138,D,D,[]
139,data/test/security_studies_test.csv,139,D,D,[]
140,data/test/security_studies_test.csv,140,D,D,[]
141,data/test/security_studies_test.csv,141,D,D,[]
142,data/test/security_studies_test.csv,142,B,B,[]
143,data/test/security_studies_test.csv,143,C,D,[]
144,data/test/security_studies_test.csv,144,B,B,[]
145,data/test/security_studies_test.csv,145,C,B,[]
146,data/test/security_studies_test.csv,146,C,C,[]
147,data/test/security_studies_test.csv,147,D,D,[]
148,data/test/security_studies_test.csv,148,D,D,[]
149,data/test/security_studies_test.csv,149,B,B,[]
150,data/test/security_studies_test.csv,150,D,D,[]
151,data/test/security_studies_test.csv,151,D,D,[]
152,data/test/security_studies_test.csv,152,C,C,[]
153,data/test/security_studies_test.csv,153,D,D,[]
154,data/test/security_studies_test.csv,154,D,A,[]
155,data/test/security_studies_test.csv,155,D,D,[]
156,data/test/security_studies_test.csv,156,D,D,[]
157,data/test/security_studies_test.csv,157,B,D,[]
158,data/test/security_studies_test.csv,158,D,D,[]
159,data/test/security_studies_test.csv,159,D,D,[]
160,data/test/security_studies_test.csv,160,D,A,[]
161,data/test/security_studies_test.csv,161,B,B,[]
162,data/test/security_studies_test.csv,162,A,A,[]
163,data/test/security_studies_test.csv,163,D,D,[]
