,task,item,choice,gt,meta_tasks
0,data/test/college_mathematics_test.csv,0,D,B,['high school mathematics' 'college chemistry']
1,data/test/college_mathematics_test.csv,1,C,D,['college biology' 'college physics']
2,data/test/college_mathematics_test.csv,2,D,D,['high school biology' 'college biology']
3,data/test/college_mathematics_test.csv,3,D,A,['college chemistry' 'high school chemistry']
4,data/test/college_mathematics_test.csv,4,C,C,['electrical engineering' 'abstract algebra']
5,data/test/college_mathematics_test.csv,5,D,D,['elementary mathematics' 'high school chemistry']
6,data/test/college_mathematics_test.csv,6,C,C,['electrical engineering' 'college computer science']
7,data/test/college_mathematics_test.csv,7,D,C,['astronomy' 'electrical engineering']
8,data/test/college_mathematics_test.csv,8,D,C,['college computer science' 'computer security']
9,data/test/college_mathematics_test.csv,9,C,A,['high school physics' 'high school computer science']
10,data/test/college_mathematics_test.csv,10,C,D,['high school chemistry' 'college chemistry']
11,data/test/college_mathematics_test.csv,11,B,B,['computer security' 'college computer science']
12,data/test/college_mathematics_test.csv,12,A,A,['high school mathematics' 'high school biology']
13,data/test/college_mathematics_test.csv,13,C,B,['high school mathematics' 'high school statistics']
14,data/test/college_mathematics_test.csv,14,D,D,['machine learning' 'college chemistry']
15,data/test/college_mathematics_test.csv,15,D,D,['high school computer science' 'high school chemistry']
16,data/test/college_mathematics_test.csv,16,D,B,['high school statistics' 'college chemistry']
17,data/test/college_mathematics_test.csv,17,B,C,['high school physics' 'college biology']
18,data/test/college_mathematics_test.csv,18,D,D,['computer security' 'high school biology']
19,data/test/college_mathematics_test.csv,19,C,A,['anatomy' 'conceptual physics']
20,data/test/college_mathematics_test.csv,20,D,D,['conceptual physics' 'high school computer science']
21,data/test/college_mathematics_test.csv,21,C,D,['college physics' 'astronomy']
22,data/test/college_mathematics_test.csv,22,D,B,['high school mathematics' 'college physics']
23,data/test/college_mathematics_test.csv,23,C,A,['high school biology' 'high school computer science']
24,data/test/college_mathematics_test.csv,24,D,B,['college biology' 'college computer science']
25,data/test/college_mathematics_test.csv,25,D,D,['high school computer science' 'high school statistics']
26,data/test/college_mathematics_test.csv,26,B,D,['machine learning' 'high school physics']
27,data/test/college_mathematics_test.csv,27,C,A,['high school chemistry' 'electrical engineering']
28,data/test/college_mathematics_test.csv,28,D,A,['college biology' 'college chemistry']
29,data/test/college_mathematics_test.csv,29,C,B,['college chemistry' 'machine learning']
30,data/test/college_mathematics_test.csv,30,C,C,['machine learning' 'college biology']
31,data/test/college_mathematics_test.csv,31,B,B,['machine learning' 'high school mathematics']
32,data/test/college_mathematics_test.csv,32,C,B,['college physics' 'astronomy']
33,data/test/college_mathematics_test.csv,33,B,C,['machine learning' 'high school physics']
34,data/test/college_mathematics_test.csv,34,D,D,['high school mathematics' 'college chemistry']
35,data/test/college_mathematics_test.csv,35,C,D,['anatomy' 'college physics']
36,data/test/college_mathematics_test.csv,36,D,A,['college physics' 'college chemistry']
37,data/test/college_mathematics_test.csv,37,C,A,['college chemistry' 'anatomy']
38,data/test/college_mathematics_test.csv,38,D,A,['conceptual physics' 'astronomy']
39,data/test/college_mathematics_test.csv,39,C,C,['computer security' 'high school chemistry']
40,data/test/college_mathematics_test.csv,40,A,B,['high school mathematics' 'elementary mathematics']
41,data/test/college_mathematics_test.csv,41,D,D,['high school mathematics' 'anatomy']
42,data/test/college_mathematics_test.csv,42,C,D,['abstract algebra' 'anatomy']
43,data/test/college_mathematics_test.csv,43,C,A,['elementary mathematics' 'college biology']
44,data/test/college_mathematics_test.csv,44,C,D,['high school statistics' 'college physics']
45,data/test/college_mathematics_test.csv,45,B,A,['conceptual physics' 'astronomy']
46,data/test/college_mathematics_test.csv,46,D,B,['college physics' 'computer security']
47,data/test/college_mathematics_test.csv,47,C,B,['high school mathematics' 'abstract algebra']
48,data/test/college_mathematics_test.csv,48,D,C,['high school chemistry' 'high school mathematics']
49,data/test/college_mathematics_test.csv,49,D,D,['conceptual physics' 'electrical engineering']
50,data/test/college_mathematics_test.csv,50,B,A,['electrical engineering' 'college physics']
51,data/test/college_mathematics_test.csv,51,C,B,['astronomy' 'high school computer science']
52,data/test/college_mathematics_test.csv,52,A,C,['electrical engineering' 'high school biology']
53,data/test/college_mathematics_test.csv,53,D,C,['college computer science' 'high school computer science']
54,data/test/college_mathematics_test.csv,54,C,A,['high school biology' 'high school computer science']
55,data/test/college_mathematics_test.csv,55,C,D,['electrical engineering' 'high school biology']
56,data/test/college_mathematics_test.csv,56,C,B,['elementary mathematics' 'abstract algebra']
