,task,item,choice,gt,meta_tasks
0,data/test/high_school_government_and_politics_test.csv,0,D,D,['high school macroeconomics' 'sociology']
1,data/test/high_school_government_and_politics_test.csv,1,B,B,['sociology' 'professional psychology']
2,data/test/high_school_government_and_politics_test.csv,2,B,B,['public relations' 'high school geography']
3,data/test/high_school_government_and_politics_test.csv,3,A,A,['public relations' 'professional psychology']
4,data/test/high_school_government_and_politics_test.csv,4,A,A,['public relations' 'high school geography']
5,data/test/high_school_government_and_politics_test.csv,5,A,A,['high school microeconomics' 'econometrics']
6,data/test/high_school_government_and_politics_test.csv,6,B,B,['security studies' 'high school psychology']
7,data/test/high_school_government_and_politics_test.csv,7,A,D,['human sexuality' 'us foreign policy']
8,data/test/high_school_government_and_politics_test.csv,8,D,B,['public relations' 'high school psychology']
9,data/test/high_school_government_and_politics_test.csv,9,C,C,['high school psychology' 'high school macroeconomics']
10,data/test/high_school_government_and_politics_test.csv,10,D,D,['sociology' 'human sexuality']
11,data/test/high_school_government_and_politics_test.csv,11,A,A,['high school macroeconomics' 'professional psychology']
12,data/test/high_school_government_and_politics_test.csv,12,B,B,['us foreign policy' 'sociology']
13,data/test/high_school_government_and_politics_test.csv,13,D,D,['sociology' 'high school microeconomics']
14,data/test/high_school_government_and_politics_test.csv,14,D,D,['public relations' 'econometrics']
15,data/test/high_school_government_and_politics_test.csv,15,D,D,['high school microeconomics' 'us foreign policy']
16,data/test/high_school_government_and_politics_test.csv,16,B,B,['security studies' 'high school geography']
17,data/test/high_school_government_and_politics_test.csv,17,D,D,['public relations' 'security studies']
18,data/test/high_school_government_and_politics_test.csv,18,C,C,['high school microeconomics' 'human sexuality']
19,data/test/high_school_government_and_politics_test.csv,19,D,A,['high school psychology' 'sociology']
20,data/test/high_school_government_and_politics_test.csv,20,C,B,['security studies' 'sociology']
21,data/test/high_school_government_and_politics_test.csv,21,D,D,['high school psychology' 'high school macroeconomics']
22,data/test/high_school_government_and_politics_test.csv,22,D,D,['professional psychology' 'security studies']
23,data/test/high_school_government_and_politics_test.csv,23,D,D,['human sexuality' 'public relations']
24,data/test/high_school_government_and_politics_test.csv,24,A,D,['high school geography' 'security studies']
25,data/test/high_school_government_and_politics_test.csv,25,B,B,['high school macroeconomics' 'professional psychology']
26,data/test/high_school_government_and_politics_test.csv,26,C,C,['public relations' 'high school geography']
27,data/test/high_school_government_and_politics_test.csv,27,D,D,['sociology' 'high school microeconomics']
28,data/test/high_school_government_and_politics_test.csv,28,C,D,['high school psychology' 'professional psychology']
29,data/test/high_school_government_and_politics_test.csv,29,A,A,['security studies' 'professional psychology']
30,data/test/high_school_government_and_politics_test.csv,30,B,B,['high school microeconomics' 'security studies']
31,data/test/high_school_government_and_politics_test.csv,31,B,B,['high school psychology' 'high school microeconomics']
32,data/test/high_school_government_and_politics_test.csv,32,C,C,['high school geography' 'human sexuality']
33,data/test/high_school_government_and_politics_test.csv,33,A,A,['high school microeconomics' 'professional psychology']
34,data/test/high_school_government_and_politics_test.csv,34,D,D,['econometrics' 'public relations']
35,data/test/high_school_government_and_politics_test.csv,35,D,D,['high school geography' 'high school microeconomics']
36,data/test/high_school_government_and_politics_test.csv,36,C,C,['public relations' 'econometrics']
37,data/test/high_school_government_and_politics_test.csv,37,C,C,['us foreign policy' 'econometrics']
38,data/test/high_school_government_and_politics_test.csv,38,C,C,['public relations' 'us foreign policy']
39,data/test/high_school_government_and_politics_test.csv,39,C,C,['security studies' 'human sexuality']
40,data/test/high_school_government_and_politics_test.csv,40,A,A,['human sexuality' 'sociology']
41,data/test/high_school_government_and_politics_test.csv,41,B,B,['professional psychology' 'security studies']
42,data/test/high_school_government_and_politics_test.csv,42,B,B,['high school microeconomics' 'professional psychology']
43,data/test/high_school_government_and_politics_test.csv,43,C,A,['sociology' 'high school psychology']
44,data/test/high_school_government_and_politics_test.csv,44,B,B,['econometrics' 'high school psychology']
45,data/test/high_school_government_and_politics_test.csv,45,C,C,['high school psychology' 'us foreign policy']
46,data/test/high_school_government_and_politics_test.csv,46,B,A,['professional psychology' 'high school psychology']
47,data/test/high_school_government_and_politics_test.csv,47,C,C,['professional psychology' 'high school macroeconomics']
48,data/test/high_school_government_and_politics_test.csv,48,C,C,['public relations' 'sociology']
49,data/test/high_school_government_and_politics_test.csv,49,B,B,['public relations' 'human sexuality']
50,data/test/high_school_government_and_politics_test.csv,50,D,D,['sociology' 'econometrics']
51,data/test/high_school_government_and_politics_test.csv,51,D,D,['human sexuality' 'professional psychology']
