,task,item,choice,gt,meta_tasks
0,data/test/high_school_psychology_test.csv,0,B,A,['public relations' 'high school geography']
1,data/test/high_school_psychology_test.csv,1,B,B,['high school macroeconomics' 'human sexuality']
2,data/test/high_school_psychology_test.csv,2,D,D,['econometrics' 'high school macroeconomics']
3,data/test/high_school_psychology_test.csv,3,A,A,['high school geography' 'us foreign policy']
4,data/test/high_school_psychology_test.csv,4,A,C,['professional psychology' 'human sexuality']
5,data/test/high_school_psychology_test.csv,5,C,A,['high school geography' 'econometrics']
6,data/test/high_school_psychology_test.csv,6,A,A,['high school macroeconomics' 'sociology']
7,data/test/high_school_psychology_test.csv,7,D,D,['us foreign policy' 'security studies']
8,data/test/high_school_psychology_test.csv,8,D,A,['sociology' 'human sexuality']
9,data/test/high_school_psychology_test.csv,9,B,B,['high school microeconomics' 'professional psychology']
10,data/test/high_school_psychology_test.csv,10,D,C,['professional psychology' 'high school macroeconomics']
11,data/test/high_school_psychology_test.csv,11,C,C,['professional psychology' 'econometrics']
12,data/test/high_school_psychology_test.csv,12,D,D,['high school microeconomics' 'high school macroeconomics']
13,data/test/high_school_psychology_test.csv,13,B,B,['high school geography' 'high school microeconomics']
14,data/test/high_school_psychology_test.csv,14,D,D,['public relations' 'high school macroeconomics']
15,data/test/high_school_psychology_test.csv,15,D,D,['sociology' 'professional psychology']
16,data/test/high_school_psychology_test.csv,16,B,D,['econometrics' 'public relations']
17,data/test/high_school_psychology_test.csv,17,B,A,['human sexuality' 'us foreign policy']
18,data/test/high_school_psychology_test.csv,18,D,D,['sociology' 'security studies']
19,data/test/high_school_psychology_test.csv,19,C,C,['high school microeconomics' 'high school geography']
20,data/test/high_school_psychology_test.csv,20,B,B,['us foreign policy' 'high school macroeconomics']
21,data/test/high_school_psychology_test.csv,21,D,B,['professional psychology' 'us foreign policy']
22,data/test/high_school_psychology_test.csv,22,D,C,['human sexuality' 'econometrics']
23,data/test/high_school_psychology_test.csv,23,C,D,['high school government and politics' 'security studies']
24,data/test/high_school_psychology_test.csv,24,C,C,['security studies' 'us foreign policy']
25,data/test/high_school_psychology_test.csv,25,B,B,['sociology' 'high school microeconomics']
26,data/test/high_school_psychology_test.csv,26,A,C,['high school macroeconomics' 'us foreign policy']
27,data/test/high_school_psychology_test.csv,27,A,A,['econometrics' 'professional psychology']
28,data/test/high_school_psychology_test.csv,28,D,D,['high school macroeconomics' 'human sexuality']
29,data/test/high_school_psychology_test.csv,29,A,A,['human sexuality' 'high school government and politics']
30,data/test/high_school_psychology_test.csv,30,D,B,['us foreign policy' 'security studies']
31,data/test/high_school_psychology_test.csv,31,A,A,['high school macroeconomics' 'econometrics']
32,data/test/high_school_psychology_test.csv,32,A,A,['high school geography' 'high school government and politics']
33,data/test/high_school_psychology_test.csv,33,D,D,['high school microeconomics' 'econometrics']
34,data/test/high_school_psychology_test.csv,34,C,D,['high school macroeconomics' 'high school geography']
35,data/test/high_school_psychology_test.csv,35,D,A,['security studies' 'us foreign policy']
36,data/test/high_school_psychology_test.csv,36,D,D,['us foreign policy' 'professional psychology']
37,data/test/high_school_psychology_test.csv,37,B,B,['high school microeconomics' 'high school geography']
38,data/test/high_school_psychology_test.csv,38,C,C,['econometrics' 'sociology']
39,data/test/high_school_psychology_test.csv,39,C,C,['human sexuality' 'us foreign policy']
40,data/test/high_school_psychology_test.csv,40,B,B,['high school microeconomics' 'us foreign policy']
41,data/test/high_school_psychology_test.csv,41,D,D,['high school geography' 'human sexuality']
42,data/test/high_school_psychology_test.csv,42,B,B,['high school geography' 'high school macroeconomics']
43,data/test/high_school_psychology_test.csv,43,D,B,['high school geography' 'public relations']
44,data/test/high_school_psychology_test.csv,44,D,D,['high school government and politics' 'public relations']
45,data/test/high_school_psychology_test.csv,45,D,D,['high school government and politics' 'high school microeconomics']
46,data/test/high_school_psychology_test.csv,46,B,B,['econometrics' 'sociology']
47,data/test/high_school_psychology_test.csv,47,A,A,['human sexuality' 'professional psychology']
48,data/test/high_school_psychology_test.csv,48,A,A,['professional psychology' 'high school macroeconomics']
49,data/test/high_school_psychology_test.csv,49,D,D,['high school macroeconomics' 'professional psychology']
50,data/test/high_school_psychology_test.csv,50,D,D,['high school macroeconomics' 'high school geography']
51,data/test/high_school_psychology_test.csv,51,C,B,['us foreign policy' 'high school geography']
52,data/test/high_school_psychology_test.csv,52,B,B,['professional psychology' 'public relations']
53,data/test/high_school_psychology_test.csv,53,D,D,['human sexuality' 'security studies']
54,data/test/high_school_psychology_test.csv,54,C,C,['high school government and politics' 'high school microeconomics']
55,data/test/high_school_psychology_test.csv,55,C,B,['public relations' 'high school geography']
56,data/test/high_school_psychology_test.csv,56,C,C,['high school geography' 'high school government and politics']
57,data/test/high_school_psychology_test.csv,57,C,C,['high school geography' 'professional psychology']
58,data/test/high_school_psychology_test.csv,58,A,B,['us foreign policy' 'sociology']
59,data/test/high_school_psychology_test.csv,59,D,B,['human sexuality' 'professional psychology']
60,data/test/high_school_psychology_test.csv,60,B,C,['us foreign policy' 'high school macroeconomics']
61,data/test/high_school_psychology_test.csv,61,D,A,['sociology' 'us foreign policy']
62,data/test/high_school_psychology_test.csv,62,D,D,['us foreign policy' 'econometrics']
63,data/test/high_school_psychology_test.csv,63,B,B,['high school government and politics' 'professional psychology']
64,data/test/high_school_psychology_test.csv,64,B,B,['high school government and politics' 'public relations']
65,data/test/high_school_psychology_test.csv,65,B,B,['high school macroeconomics' 'sociology']
66,data/test/high_school_psychology_test.csv,66,B,C,['econometrics' 'high school geography']
67,data/test/high_school_psychology_test.csv,67,A,A,['human sexuality' 'public relations']
68,data/test/high_school_psychology_test.csv,68,C,B,['security studies' 'high school geography']
69,data/test/high_school_psychology_test.csv,69,A,A,['sociology' 'security studies']
70,data/test/high_school_psychology_test.csv,70,C,C,['sociology' 'high school geography']
71,data/test/high_school_psychology_test.csv,71,C,D,['security studies' 'high school macroeconomics']
72,data/test/high_school_psychology_test.csv,72,D,B,['high school macroeconomics' 'sociology']
73,data/test/high_school_psychology_test.csv,73,C,C,['high school government and politics' 'econometrics']
74,data/test/high_school_psychology_test.csv,74,C,D,['high school macroeconomics' 'public relations']
75,data/test/high_school_psychology_test.csv,75,D,D,['professional psychology' 'sociology']
76,data/test/high_school_psychology_test.csv,76,A,A,['high school government and politics' 'econometrics']
77,data/test/high_school_psychology_test.csv,77,D,A,['human sexuality' 'high school microeconomics']
78,data/test/high_school_psychology_test.csv,78,A,A,['high school macroeconomics' 'sociology']
79,data/test/high_school_psychology_test.csv,79,C,C,['public relations' 'high school geography']
80,data/test/high_school_psychology_test.csv,80,D,D,['econometrics' 'high school microeconomics']
81,data/test/high_school_psychology_test.csv,81,C,C,['sociology' 'econometrics']
82,data/test/high_school_psychology_test.csv,82,D,D,['high school microeconomics' 'public relations']
83,data/test/high_school_psychology_test.csv,83,A,A,['high school macroeconomics' 'sociology']
84,data/test/high_school_psychology_test.csv,84,D,D,['econometrics' 'security studies']
85,data/test/high_school_psychology_test.csv,85,C,C,['econometrics' 'high school government and politics']
86,data/test/high_school_psychology_test.csv,86,C,C,['human sexuality' 'high school geography']
87,data/test/high_school_psychology_test.csv,87,C,D,['sociology' 'security studies']
88,data/test/high_school_psychology_test.csv,88,C,B,['high school macroeconomics' 'high school microeconomics']
89,data/test/high_school_psychology_test.csv,89,A,A,['high school geography' 'human sexuality']
90,data/test/high_school_psychology_test.csv,90,D,C,['security studies' 'high school government and politics']
91,data/test/high_school_psychology_test.csv,91,B,B,['sociology' 'human sexuality']
92,data/test/high_school_psychology_test.csv,92,A,C,['us foreign policy' 'high school geography']
93,data/test/high_school_psychology_test.csv,93,D,D,['security studies' 'high school government and politics']
94,data/test/high_school_psychology_test.csv,94,D,D,['econometrics' 'high school geography']
95,data/test/high_school_psychology_test.csv,95,D,D,['us foreign policy' 'security studies']
96,data/test/high_school_psychology_test.csv,96,B,B,['high school microeconomics' 'high school government and politics']
97,data/test/high_school_psychology_test.csv,97,A,A,['high school geography' 'high school macroeconomics']
98,data/test/high_school_psychology_test.csv,98,D,D,['high school microeconomics' 'us foreign policy']
99,data/test/high_school_psychology_test.csv,99,D,D,['public relations' 'econometrics']
100,data/test/high_school_psychology_test.csv,100,D,D,['econometrics' 'us foreign policy']
101,data/test/high_school_psychology_test.csv,101,D,D,['high school macroeconomics' 'high school microeconomics']
102,data/test/high_school_psychology_test.csv,102,D,D,['high school government and politics' 'human sexuality']
103,data/test/high_school_psychology_test.csv,103,A,A,['public relations' 'high school macroeconomics']
104,data/test/high_school_psychology_test.csv,104,D,D,['human sexuality' 'high school macroeconomics']
105,data/test/high_school_psychology_test.csv,105,B,B,['professional psychology' 'human sexuality']
106,data/test/high_school_psychology_test.csv,106,D,D,['human sexuality' 'security studies']
107,data/test/high_school_psychology_test.csv,107,B,B,['high school geography' 'professional psychology']
108,data/test/high_school_psychology_test.csv,108,C,A,['public relations' 'high school government and politics']
109,data/test/high_school_psychology_test.csv,109,D,D,['econometrics' 'high school microeconomics']
110,data/test/high_school_psychology_test.csv,110,D,D,['high school macroeconomics' 'sociology']
111,data/test/high_school_psychology_test.csv,111,B,B,['public relations' 'high school microeconomics']
112,data/test/high_school_psychology_test.csv,112,C,C,['us foreign policy' 'econometrics']
113,data/test/high_school_psychology_test.csv,113,C,C,['high school government and politics' 'human sexuality']
