,task,item,choice,gt,meta_tasks
0,data/test/human_sexuality_test.csv,0,B,B,['econometrics' 'high school microeconomics']
1,data/test/human_sexuality_test.csv,1,D,D,['security studies' 'high school psychology']
2,data/test/human_sexuality_test.csv,2,A,A,['high school government and politics' 'professional psychology']
3,data/test/human_sexuality_test.csv,3,A,A,['public relations' 'high school microeconomics']
4,data/test/human_sexuality_test.csv,4,B,B,['econometrics' 'high school macroeconomics']
5,data/test/human_sexuality_test.csv,5,D,C,['professional psychology' 'high school macroeconomics']
6,data/test/human_sexuality_test.csv,6,D,D,['high school macroeconomics' 'high school government and politics']
7,data/test/human_sexuality_test.csv,7,B,C,['high school microeconomics' 'public relations']
8,data/test/human_sexuality_test.csv,8,B,A,['high school psychology' 'public relations']
9,data/test/human_sexuality_test.csv,9,C,C,['econometrics' 'security studies']
10,data/test/human_sexuality_test.csv,10,C,C,['sociology' 'high school macroeconomics']
11,data/test/human_sexuality_test.csv,11,B,B,['high school psychology' 'high school microeconomics']
12,data/test/human_sexuality_test.csv,12,D,D,['us foreign policy' 'high school government and politics']
13,data/test/human_sexuality_test.csv,13,B,B,['sociology' 'high school geography']
14,data/test/human_sexuality_test.csv,14,D,D,['econometrics' 'professional psychology']
15,data/test/human_sexuality_test.csv,15,C,C,['security studies' 'us foreign policy']
16,data/test/human_sexuality_test.csv,16,D,D,['us foreign policy' 'high school macroeconomics']
17,data/test/human_sexuality_test.csv,17,D,A,['security studies' 'us foreign policy']
18,data/test/human_sexuality_test.csv,18,C,A,['high school microeconomics' 'high school government and politics']
19,data/test/human_sexuality_test.csv,19,C,C,['high school psychology' 'high school government and politics']
20,data/test/human_sexuality_test.csv,20,A,A,['sociology' 'high school geography']
21,data/test/human_sexuality_test.csv,21,C,B,['econometrics' 'professional psychology']
22,data/test/human_sexuality_test.csv,22,D,D,['public relations' 'sociology']
23,data/test/human_sexuality_test.csv,23,A,C,['professional psychology' 'high school government and politics']
