,task,item,choice,gt,meta_tasks
0,data/test/medical_genetics_test.csv,0,B,B,['virology' 'miscellaneous']
1,data/test/medical_genetics_test.csv,1,A,A,['human aging' 'professional accounting']
2,data/test/medical_genetics_test.csv,2,D,A,['nutrition' 'professional medicine']
3,data/test/medical_genetics_test.csv,3,A,C,['management' 'virology']
4,data/test/medical_genetics_test.csv,4,B,A,['management' 'marketing']
5,data/test/medical_genetics_test.csv,5,B,B,['clinical knowledge' 'miscellaneous']
6,data/test/medical_genetics_test.csv,6,D,D,['virology' 'college medicine']
7,data/test/medical_genetics_test.csv,7,A,C,['clinical knowledge' 'miscellaneous']
8,data/test/medical_genetics_test.csv,8,D,D,['management' 'clinical knowledge']
9,data/test/medical_genetics_test.csv,9,C,C,['marketing' 'college medicine']
10,data/test/medical_genetics_test.csv,10,A,A,['human aging' 'virology']
11,data/test/medical_genetics_test.csv,11,A,A,['business ethics' 'human aging']
12,data/test/medical_genetics_test.csv,12,A,A,['human aging' 'professional medicine']
13,data/test/medical_genetics_test.csv,13,D,D,['marketing' 'business ethics']
14,data/test/medical_genetics_test.csv,14,D,D,['professional accounting' 'miscellaneous']
15,data/test/medical_genetics_test.csv,15,A,A,['professional accounting' 'human aging']
16,data/test/medical_genetics_test.csv,16,C,A,['miscellaneous' 'management']
17,data/test/medical_genetics_test.csv,17,C,B,['nutrition' 'human aging']
18,data/test/medical_genetics_test.csv,18,B,C,['business ethics' 'virology']
19,data/test/medical_genetics_test.csv,19,D,D,['clinical knowledge' 'miscellaneous']
20,data/test/medical_genetics_test.csv,20,B,D,['virology' 'global facts']
21,data/test/medical_genetics_test.csv,21,A,A,['human aging' 'marketing']
22,data/test/medical_genetics_test.csv,22,B,D,['human aging' 'professional medicine']
23,data/test/medical_genetics_test.csv,23,A,A,['marketing' 'business ethics']
24,data/test/medical_genetics_test.csv,24,A,A,['marketing' 'global facts']
25,data/test/medical_genetics_test.csv,25,A,A,['virology' 'clinical knowledge']
26,data/test/medical_genetics_test.csv,26,C,B,['college medicine' 'business ethics']
27,data/test/medical_genetics_test.csv,27,D,C,['clinical knowledge' 'marketing']
28,data/test/medical_genetics_test.csv,28,B,B,['management' 'marketing']
29,data/test/medical_genetics_test.csv,29,B,D,['virology' 'college medicine']
30,data/test/medical_genetics_test.csv,30,A,A,['miscellaneous' 'professional accounting']
31,data/test/medical_genetics_test.csv,31,B,C,['nutrition' 'clinical knowledge']
32,data/test/medical_genetics_test.csv,32,B,D,['nutrition' 'global facts']
33,data/test/medical_genetics_test.csv,33,B,B,['miscellaneous' 'college medicine']
34,data/test/medical_genetics_test.csv,34,C,B,['clinical knowledge' 'business ethics']
35,data/test/medical_genetics_test.csv,35,A,A,['management' 'miscellaneous']
36,data/test/medical_genetics_test.csv,36,A,A,['nutrition' 'professional accounting']
37,data/test/medical_genetics_test.csv,37,B,B,['professional accounting' 'human aging']
38,data/test/medical_genetics_test.csv,38,D,D,['professional medicine' 'human aging']
39,data/test/medical_genetics_test.csv,39,B,B,['marketing' 'management']
40,data/test/medical_genetics_test.csv,40,D,A,['marketing' 'professional medicine']
41,data/test/medical_genetics_test.csv,41,C,C,['business ethics' 'management']
42,data/test/medical_genetics_test.csv,42,C,C,['clinical knowledge' 'global facts']
43,data/test/medical_genetics_test.csv,43,D,D,['professional medicine' 'professional accounting']
44,data/test/medical_genetics_test.csv,44,C,C,['management' 'virology']
45,data/test/medical_genetics_test.csv,45,A,A,['human aging' 'business ethics']
46,data/test/medical_genetics_test.csv,46,C,C,['marketing' 'management']
47,data/test/medical_genetics_test.csv,47,D,D,['nutrition' 'professional accounting']
48,data/test/medical_genetics_test.csv,48,D,C,['college medicine' 'management']
49,data/test/medical_genetics_test.csv,49,D,D,['nutrition' 'college medicine']
50,data/test/medical_genetics_test.csv,50,D,D,['miscellaneous' 'professional accounting']
51,data/test/medical_genetics_test.csv,51,C,C,['professional medicine' 'clinical knowledge']
52,data/test/medical_genetics_test.csv,52,D,D,['human aging' 'clinical knowledge']
53,data/test/medical_genetics_test.csv,53,A,B,['college medicine' 'nutrition']
54,data/test/medical_genetics_test.csv,54,A,A,['miscellaneous' 'professional medicine']
55,data/test/medical_genetics_test.csv,55,A,B,['business ethics' 'clinical knowledge']
56,data/test/medical_genetics_test.csv,56,B,B,['professional accounting' 'nutrition']
57,data/test/medical_genetics_test.csv,57,D,D,['global facts' 'virology']
58,data/test/medical_genetics_test.csv,58,C,A,['global facts' 'miscellaneous']
59,data/test/medical_genetics_test.csv,59,D,B,['management' 'human aging']
60,data/test/medical_genetics_test.csv,60,A,A,['global facts' 'virology']
61,data/test/medical_genetics_test.csv,61,D,D,['marketing' 'professional accounting']
62,data/test/medical_genetics_test.csv,62,B,C,['miscellaneous' 'global facts']
63,data/test/medical_genetics_test.csv,63,C,C,['clinical knowledge' 'virology']
64,data/test/medical_genetics_test.csv,64,D,A,['professional medicine' 'professional accounting']
65,data/test/medical_genetics_test.csv,65,A,A,['human aging' 'nutrition']
66,data/test/medical_genetics_test.csv,66,C,B,['professional medicine' 'human aging']
67,data/test/medical_genetics_test.csv,67,B,B,['global facts' 'nutrition']
68,data/test/medical_genetics_test.csv,68,B,A,['business ethics' 'professional accounting']
69,data/test/medical_genetics_test.csv,69,D,D,['virology' 'nutrition']
