,task,item,choice,gt,meta_tasks
0,data/test/miscellaneous_test.csv,0,C,C,['global facts' 'medical genetics']
1,data/test/miscellaneous_test.csv,1,B,B,['human aging' 'marketing']
2,data/test/miscellaneous_test.csv,2,D,D,['professional medicine' 'professional accounting']
3,data/test/miscellaneous_test.csv,3,D,C,['human aging' 'clinical knowledge']
4,data/test/miscellaneous_test.csv,4,B,B,['virology' 'business ethics']
5,data/test/miscellaneous_test.csv,5,C,C,['professional accounting' 'college medicine']
6,data/test/miscellaneous_test.csv,6,C,C,['global facts' 'clinical knowledge']
7,data/test/miscellaneous_test.csv,7,D,A,['management' 'clinical knowledge']
8,data/test/miscellaneous_test.csv,8,A,A,['human aging' 'professional medicine']
9,data/test/miscellaneous_test.csv,9,B,B,['clinical knowledge' 'college medicine']
10,data/test/miscellaneous_test.csv,10,C,A,['virology' 'professional accounting']
11,data/test/miscellaneous_test.csv,11,C,B,['virology' 'human aging']
12,data/test/miscellaneous_test.csv,12,C,B,['professional medicine' 'nutrition']
13,data/test/miscellaneous_test.csv,13,B,B,['management' 'marketing']
14,data/test/miscellaneous_test.csv,14,A,A,['college medicine' 'business ethics']
15,data/test/miscellaneous_test.csv,15,B,B,['business ethics' 'marketing']
16,data/test/miscellaneous_test.csv,16,A,A,['marketing' 'clinical knowledge']
17,data/test/miscellaneous_test.csv,17,A,A,['clinical knowledge' 'marketing']
18,data/test/miscellaneous_test.csv,18,B,A,['college medicine' 'management']
19,data/test/miscellaneous_test.csv,19,A,A,['business ethics' 'marketing']
20,data/test/miscellaneous_test.csv,20,B,D,['clinical knowledge' 'professional medicine']
21,data/test/miscellaneous_test.csv,21,A,A,['medical genetics' 'business ethics']
22,data/test/miscellaneous_test.csv,22,C,C,['global facts' 'business ethics']
23,data/test/miscellaneous_test.csv,23,C,B,['business ethics' 'global facts']
24,data/test/miscellaneous_test.csv,24,D,D,['business ethics' 'professional medicine']
25,data/test/miscellaneous_test.csv,25,C,C,['nutrition' 'clinical knowledge']
26,data/test/miscellaneous_test.csv,26,C,C,['nutrition' 'professional medicine']
27,data/test/miscellaneous_test.csv,27,C,C,['virology' 'professional medicine']
28,data/test/miscellaneous_test.csv,28,D,D,['nutrition' 'professional medicine']
29,data/test/miscellaneous_test.csv,29,A,A,['management' 'clinical knowledge']
30,data/test/miscellaneous_test.csv,30,B,D,['management' 'global facts']
31,data/test/miscellaneous_test.csv,31,D,C,['clinical knowledge' 'professional medicine']
32,data/test/miscellaneous_test.csv,32,C,C,['human aging' 'nutrition']
