,task,item,choice,gt,meta_tasks
0,data/test/sociology_test.csv,0,C,C,['high school geography' 'professional psychology']
1,data/test/sociology_test.csv,1,B,A,['professional psychology' 'public relations']
2,data/test/sociology_test.csv,2,B,B,['professional psychology' 'us foreign policy']
3,data/test/sociology_test.csv,3,D,D,['high school microeconomics' 'us foreign policy']
4,data/test/sociology_test.csv,4,D,D,['high school government and politics' 'security studies']
5,data/test/sociology_test.csv,5,A,B,['us foreign policy' 'public relations']
6,data/test/sociology_test.csv,6,C,D,['econometrics' 'professional psychology']
7,data/test/sociology_test.csv,7,B,B,['high school government and politics' 'high school macroeconomics']
8,data/test/sociology_test.csv,8,B,A,['us foreign policy' 'high school macroeconomics']
9,data/test/sociology_test.csv,9,B,C,['econometrics' 'high school macroeconomics']
10,data/test/sociology_test.csv,10,B,B,['public relations' 'high school psychology']
11,data/test/sociology_test.csv,11,D,D,['high school microeconomics' 'econometrics']
12,data/test/sociology_test.csv,12,A,A,['high school geography' 'public relations']
13,data/test/sociology_test.csv,13,A,A,['high school macroeconomics' 'professional psychology']
14,data/test/sociology_test.csv,14,A,A,['high school government and politics' 'human sexuality']
15,data/test/sociology_test.csv,15,A,A,['human sexuality' 'us foreign policy']
16,data/test/sociology_test.csv,16,A,A,['us foreign policy' 'security studies']
17,data/test/sociology_test.csv,17,B,A,['high school microeconomics' 'human sexuality']
18,data/test/sociology_test.csv,18,C,A,['high school government and politics' 'high school geography']
19,data/test/sociology_test.csv,19,A,A,['professional psychology' 'high school geography']
20,data/test/sociology_test.csv,20,A,C,['high school geography' 'high school psychology']
21,data/test/sociology_test.csv,21,B,C,['us foreign policy' 'human sexuality']
22,data/test/sociology_test.csv,22,B,B,['security studies' 'high school government and politics']
23,data/test/sociology_test.csv,23,D,D,['public relations' 'security studies']
24,data/test/sociology_test.csv,24,C,C,['security studies' 'professional psychology']
25,data/test/sociology_test.csv,25,C,C,['high school microeconomics' 'professional psychology']
26,data/test/sociology_test.csv,26,A,A,['high school geography' 'high school macroeconomics']
27,data/test/sociology_test.csv,27,A,A,['high school microeconomics' 'us foreign policy']
28,data/test/sociology_test.csv,28,A,A,['econometrics' 'us foreign policy']
29,data/test/sociology_test.csv,29,B,B,['high school microeconomics' 'high school psychology']
30,data/test/sociology_test.csv,30,D,D,['high school psychology' 'public relations']
31,data/test/sociology_test.csv,31,C,C,['high school microeconomics' 'security studies']
32,data/test/sociology_test.csv,32,B,B,['public relations' 'human sexuality']
33,data/test/sociology_test.csv,33,A,A,['high school government and politics' 'high school psychology']
34,data/test/sociology_test.csv,34,D,A,['high school macroeconomics' 'us foreign policy']
35,data/test/sociology_test.csv,35,C,A,['security studies' 'high school macroeconomics']
36,data/test/sociology_test.csv,36,D,A,['high school microeconomics' 'high school geography']
37,data/test/sociology_test.csv,37,D,D,['public relations' 'high school macroeconomics']
38,data/test/sociology_test.csv,38,B,B,['us foreign policy' 'econometrics']
39,data/test/sociology_test.csv,39,C,D,['high school geography' 'high school macroeconomics']
40,data/test/sociology_test.csv,40,A,A,['security studies' 'professional psychology']
41,data/test/sociology_test.csv,41,B,B,['high school microeconomics' 'us foreign policy']
42,data/test/sociology_test.csv,42,B,C,['security studies' 'professional psychology']
43,data/test/sociology_test.csv,43,D,D,['security studies' 'us foreign policy']
44,data/test/sociology_test.csv,44,C,A,['professional psychology' 'high school macroeconomics']
45,data/test/sociology_test.csv,45,B,A,['professional psychology' 'us foreign policy']
46,data/test/sociology_test.csv,46,D,B,['us foreign policy' 'public relations']
47,data/test/sociology_test.csv,47,B,B,['high school macroeconomics' 'us foreign policy']
48,data/test/sociology_test.csv,48,A,D,['high school government and politics' 'high school psychology']
49,data/test/sociology_test.csv,49,C,C,['high school geography' 'public relations']
50,data/test/sociology_test.csv,50,B,B,['high school psychology' 'security studies']
51,data/test/sociology_test.csv,51,B,B,['econometrics' 'us foreign policy']
52,data/test/sociology_test.csv,52,C,B,['high school microeconomics' 'security studies']
53,data/test/sociology_test.csv,53,D,C,['public relations' 'high school geography']
54,data/test/sociology_test.csv,54,A,A,['security studies' 'high school microeconomics']
55,data/test/sociology_test.csv,55,C,C,['high school macroeconomics' 'high school psychology']
56,data/test/sociology_test.csv,56,B,B,['public relations' 'econometrics']
57,data/test/sociology_test.csv,57,C,C,['us foreign policy' 'human sexuality']
58,data/test/sociology_test.csv,58,B,B,['high school geography' 'high school psychology']
59,data/test/sociology_test.csv,59,B,B,['professional psychology' 'public relations']
60,data/test/sociology_test.csv,60,C,B,['high school geography' 'human sexuality']
61,data/test/sociology_test.csv,61,C,C,['security studies' 'high school macroeconomics']
62,data/test/sociology_test.csv,62,D,D,['econometrics' 'us foreign policy']
63,data/test/sociology_test.csv,63,C,C,['professional psychology' 'econometrics']
64,data/test/sociology_test.csv,64,D,D,['high school microeconomics' 'high school geography']
65,data/test/sociology_test.csv,65,A,A,['public relations' 'high school psychology']
66,data/test/sociology_test.csv,66,D,D,['security studies' 'professional psychology']
67,data/test/sociology_test.csv,67,D,D,['us foreign policy' 'high school microeconomics']
68,data/test/sociology_test.csv,68,A,A,['us foreign policy' 'high school microeconomics']
69,data/test/sociology_test.csv,69,B,A,['high school geography' 'public relations']
70,data/test/sociology_test.csv,70,D,A,['high school government and politics' 'high school geography']
71,data/test/sociology_test.csv,71,A,A,['security studies' 'high school psychology']
72,data/test/sociology_test.csv,72,D,D,['high school microeconomics' 'high school geography']
73,data/test/sociology_test.csv,73,D,D,['human sexuality' 'public relations']
74,data/test/sociology_test.csv,74,C,C,['public relations' 'security studies']
75,data/test/sociology_test.csv,75,A,A,['human sexuality' 'econometrics']
76,data/test/sociology_test.csv,76,D,C,['public relations' 'us foreign policy']
77,data/test/sociology_test.csv,77,D,D,['us foreign policy' 'public relations']
78,data/test/sociology_test.csv,78,C,C,['security studies' 'high school geography']
79,data/test/sociology_test.csv,79,D,D,['security studies' 'high school microeconomics']
80,data/test/sociology_test.csv,80,D,D,['public relations' 'high school psychology']
81,data/test/sociology_test.csv,81,D,D,['professional psychology' 'public relations']
