,task,item,choice,gt,meta_tasks
0,data/test/abstract_algebra_test.csv,0,B,B,[]
1,data/test/abstract_algebra_test.csv,1,B,C,[]
2,data/test/abstract_algebra_test.csv,2,C,D,[]
3,data/test/abstract_algebra_test.csv,3,C,B,[]
4,data/test/abstract_algebra_test.csv,4,B,B,[]
5,data/test/abstract_algebra_test.csv,5,C,A,[]
6,data/test/abstract_algebra_test.csv,6,A,A,[]
7,data/test/abstract_algebra_test.csv,7,C,D,[]
8,data/test/abstract_algebra_test.csv,8,B,B,[]
9,data/test/abstract_algebra_test.csv,9,C,C,[]
10,data/test/abstract_algebra_test.csv,10,A,C,[]
11,data/test/abstract_algebra_test.csv,11,D,C,[]
12,data/test/abstract_algebra_test.csv,12,C,A,[]
13,data/test/abstract_algebra_test.csv,13,A,C,[]
14,data/test/abstract_algebra_test.csv,14,C,C,[]
15,data/test/abstract_algebra_test.csv,15,C,B,[]
16,data/test/abstract_algebra_test.csv,16,D,C,[]
17,data/test/abstract_algebra_test.csv,17,D,C,[]
18,data/test/abstract_algebra_test.csv,18,C,D,[]
19,data/test/abstract_algebra_test.csv,19,C,A,[]
20,data/test/abstract_algebra_test.csv,20,C,A,[]
21,data/test/abstract_algebra_test.csv,21,B,A,[]
22,data/test/abstract_algebra_test.csv,22,A,D,[]
23,data/test/abstract_algebra_test.csv,23,C,D,[]
24,data/test/abstract_algebra_test.csv,24,D,B,[]
25,data/test/abstract_algebra_test.csv,25,C,C,[]
26,data/test/abstract_algebra_test.csv,26,C,C,[]
27,data/test/abstract_algebra_test.csv,27,D,B,[]
28,data/test/abstract_algebra_test.csv,28,A,D,[]
29,data/test/abstract_algebra_test.csv,29,A,A,[]
30,data/test/abstract_algebra_test.csv,30,A,B,[]
31,data/test/abstract_algebra_test.csv,31,B,B,[]
32,data/test/abstract_algebra_test.csv,32,C,A,[]
33,data/test/abstract_algebra_test.csv,33,A,C,[]
34,data/test/abstract_algebra_test.csv,34,C,A,[]
35,data/test/abstract_algebra_test.csv,35,C,B,[]
36,data/test/abstract_algebra_test.csv,36,C,D,[]
37,data/test/abstract_algebra_test.csv,37,D,B,[]
38,data/test/abstract_algebra_test.csv,38,D,C,[]
39,data/test/abstract_algebra_test.csv,39,C,D,[]
40,data/test/abstract_algebra_test.csv,40,B,C,[]
41,data/test/abstract_algebra_test.csv,41,B,A,[]
42,data/test/abstract_algebra_test.csv,42,C,B,[]
43,data/test/abstract_algebra_test.csv,43,D,C,[]
44,data/test/abstract_algebra_test.csv,44,C,C,[]
45,data/test/abstract_algebra_test.csv,45,A,C,[]
46,data/test/abstract_algebra_test.csv,46,D,B,[]
47,data/test/abstract_algebra_test.csv,47,C,B,[]
48,data/test/abstract_algebra_test.csv,48,C,C,[]
49,data/test/abstract_algebra_test.csv,49,B,B,[]
50,data/test/abstract_algebra_test.csv,50,A,D,[]
51,data/test/abstract_algebra_test.csv,51,C,B,[]
52,data/test/abstract_algebra_test.csv,52,C,A,[]
53,data/test/abstract_algebra_test.csv,53,A,C,[]
54,data/test/abstract_algebra_test.csv,54,C,B,[]
55,data/test/abstract_algebra_test.csv,55,D,A,[]
56,data/test/abstract_algebra_test.csv,56,D,D,[]
57,data/test/abstract_algebra_test.csv,57,D,B,[]
58,data/test/abstract_algebra_test.csv,58,D,A,[]
59,data/test/abstract_algebra_test.csv,59,C,A,[]
60,data/test/abstract_algebra_test.csv,60,C,D,[]
61,data/test/abstract_algebra_test.csv,61,A,D,[]
62,data/test/abstract_algebra_test.csv,62,C,C,[]
63,data/test/abstract_algebra_test.csv,63,A,B,[]
64,data/test/abstract_algebra_test.csv,64,C,B,[]
65,data/test/abstract_algebra_test.csv,65,A,C,[]
66,data/test/abstract_algebra_test.csv,66,C,D,[]
67,data/test/abstract_algebra_test.csv,67,D,C,[]
68,data/test/abstract_algebra_test.csv,68,A,A,[]
69,data/test/abstract_algebra_test.csv,69,A,A,[]
70,data/test/abstract_algebra_test.csv,70,C,D,[]
71,data/test/abstract_algebra_test.csv,71,B,C,[]
72,data/test/abstract_algebra_test.csv,72,D,D,[]
73,data/test/abstract_algebra_test.csv,73,B,B,[]
74,data/test/abstract_algebra_test.csv,74,C,D,[]
75,data/test/abstract_algebra_test.csv,75,C,B,[]
76,data/test/abstract_algebra_test.csv,76,A,C,[]
77,data/test/abstract_algebra_test.csv,77,C,A,[]
78,data/test/abstract_algebra_test.csv,78,C,D,[]
79,data/test/abstract_algebra_test.csv,79,A,C,[]
80,data/test/abstract_algebra_test.csv,80,C,B,[]
81,data/test/abstract_algebra_test.csv,81,A,D,[]
82,data/test/abstract_algebra_test.csv,82,A,A,[]
83,data/test/abstract_algebra_test.csv,83,C,C,[]
84,data/test/abstract_algebra_test.csv,84,C,D,[]
85,data/test/abstract_algebra_test.csv,85,C,C,[]
86,data/test/abstract_algebra_test.csv,86,A,A,[]
87,data/test/abstract_algebra_test.csv,87,C,A,[]
88,data/test/abstract_algebra_test.csv,88,C,A,[]
89,data/test/abstract_algebra_test.csv,89,C,C,[]
90,data/test/abstract_algebra_test.csv,90,A,D,[]
91,data/test/abstract_algebra_test.csv,91,B,B,[]
92,data/test/abstract_algebra_test.csv,92,A,B,[]
93,data/test/abstract_algebra_test.csv,93,C,A,[]
94,data/test/abstract_algebra_test.csv,94,C,D,[]
95,data/test/abstract_algebra_test.csv,95,A,C,[]
