,task,item,choice,gt,meta_tasks
0,data/test/high_school_geography_test.csv,0,B,B,[]
1,data/test/high_school_geography_test.csv,1,D,D,[]
2,data/test/high_school_geography_test.csv,2,C,C,[]
3,data/test/high_school_geography_test.csv,3,A,A,[]
4,data/test/high_school_geography_test.csv,4,B,D,[]
5,data/test/high_school_geography_test.csv,5,D,D,[]
6,data/test/high_school_geography_test.csv,6,D,D,[]
7,data/test/high_school_geography_test.csv,7,C,C,[]
8,data/test/high_school_geography_test.csv,8,D,A,[]
9,data/test/high_school_geography_test.csv,9,D,D,[]
10,data/test/high_school_geography_test.csv,10,A,A,[]
11,data/test/high_school_geography_test.csv,11,B,B,[]
12,data/test/high_school_geography_test.csv,12,B,A,[]
13,data/test/high_school_geography_test.csv,13,D,D,[]
14,data/test/high_school_geography_test.csv,14,C,B,[]
15,data/test/high_school_geography_test.csv,15,D,D,[]
16,data/test/high_school_geography_test.csv,16,D,D,[]
17,data/test/high_school_geography_test.csv,17,C,D,[]
18,data/test/high_school_geography_test.csv,18,B,B,[]
19,data/test/high_school_geography_test.csv,19,C,C,[]
20,data/test/high_school_geography_test.csv,20,C,C,[]
21,data/test/high_school_geography_test.csv,21,D,D,[]
22,data/test/high_school_geography_test.csv,22,D,D,[]
23,data/test/high_school_geography_test.csv,23,D,D,[]
24,data/test/high_school_geography_test.csv,24,B,B,[]
25,data/test/high_school_geography_test.csv,25,A,A,[]
26,data/test/high_school_geography_test.csv,26,B,B,[]
27,data/test/high_school_geography_test.csv,27,C,B,[]
28,data/test/high_school_geography_test.csv,28,C,C,[]
29,data/test/high_school_geography_test.csv,29,A,A,[]
30,data/test/high_school_geography_test.csv,30,C,A,[]
31,data/test/high_school_geography_test.csv,31,C,D,[]
32,data/test/high_school_geography_test.csv,32,C,C,[]
33,data/test/high_school_geography_test.csv,33,D,D,[]
34,data/test/high_school_geography_test.csv,34,A,B,[]
35,data/test/high_school_geography_test.csv,35,B,C,[]
36,data/test/high_school_geography_test.csv,36,D,C,[]
37,data/test/high_school_geography_test.csv,37,C,C,[]
38,data/test/high_school_geography_test.csv,38,D,D,[]
39,data/test/high_school_geography_test.csv,39,D,D,[]
40,data/test/high_school_geography_test.csv,40,A,A,[]
41,data/test/high_school_geography_test.csv,41,B,B,[]
42,data/test/high_school_geography_test.csv,42,B,B,[]
43,data/test/high_school_geography_test.csv,43,D,B,[]
44,data/test/high_school_geography_test.csv,44,D,D,[]
45,data/test/high_school_geography_test.csv,45,D,D,[]
46,data/test/high_school_geography_test.csv,46,C,A,[]
47,data/test/high_school_geography_test.csv,47,A,A,[]
48,data/test/high_school_geography_test.csv,48,D,D,[]
49,data/test/high_school_geography_test.csv,49,C,B,[]
50,data/test/high_school_geography_test.csv,50,A,A,[]
51,data/test/high_school_geography_test.csv,51,D,D,[]
52,data/test/high_school_geography_test.csv,52,A,B,[]
53,data/test/high_school_geography_test.csv,53,B,C,[]
54,data/test/high_school_geography_test.csv,54,D,D,[]
55,data/test/high_school_geography_test.csv,55,D,C,[]
56,data/test/high_school_geography_test.csv,56,A,A,[]
57,data/test/high_school_geography_test.csv,57,C,D,[]
58,data/test/high_school_geography_test.csv,58,D,D,[]
59,data/test/high_school_geography_test.csv,59,B,A,[]
60,data/test/high_school_geography_test.csv,60,B,D,[]
