,task,item,choice,gt,meta_tasks
0,data/test/high_school_microeconomics_test.csv,0,B,A,[]
1,data/test/high_school_microeconomics_test.csv,1,D,C,[]
2,data/test/high_school_microeconomics_test.csv,2,B,B,[]
3,data/test/high_school_microeconomics_test.csv,3,D,D,[]
4,data/test/high_school_microeconomics_test.csv,4,D,D,[]
5,data/test/high_school_microeconomics_test.csv,5,C,D,[]
6,data/test/high_school_microeconomics_test.csv,6,D,D,[]
7,data/test/high_school_microeconomics_test.csv,7,C,C,[]
8,data/test/high_school_microeconomics_test.csv,8,D,D,[]
9,data/test/high_school_microeconomics_test.csv,9,C,B,[]
10,data/test/high_school_microeconomics_test.csv,10,C,C,[]
11,data/test/high_school_microeconomics_test.csv,11,C,C,[]
12,data/test/high_school_microeconomics_test.csv,12,C,D,[]
13,data/test/high_school_microeconomics_test.csv,13,D,C,[]
14,data/test/high_school_microeconomics_test.csv,14,B,B,[]
15,data/test/high_school_microeconomics_test.csv,15,C,D,[]
16,data/test/high_school_microeconomics_test.csv,16,A,C,[]
17,data/test/high_school_microeconomics_test.csv,17,D,D,[]
18,data/test/high_school_microeconomics_test.csv,18,B,B,[]
19,data/test/high_school_microeconomics_test.csv,19,C,C,[]
20,data/test/high_school_microeconomics_test.csv,20,D,D,[]
21,data/test/high_school_microeconomics_test.csv,21,D,A,[]
22,data/test/high_school_microeconomics_test.csv,22,D,D,[]
23,data/test/high_school_microeconomics_test.csv,23,C,B,[]
24,data/test/high_school_microeconomics_test.csv,24,B,B,[]
25,data/test/high_school_microeconomics_test.csv,25,D,D,[]
26,data/test/high_school_microeconomics_test.csv,26,B,B,[]
27,data/test/high_school_microeconomics_test.csv,27,B,D,[]
28,data/test/high_school_microeconomics_test.csv,28,D,B,[]
29,data/test/high_school_microeconomics_test.csv,29,A,C,[]
30,data/test/high_school_microeconomics_test.csv,30,A,A,[]
31,data/test/high_school_microeconomics_test.csv,31,B,B,[]
32,data/test/high_school_microeconomics_test.csv,32,D,D,[]
33,data/test/high_school_microeconomics_test.csv,33,A,A,[]
34,data/test/high_school_microeconomics_test.csv,34,B,B,[]
35,data/test/high_school_microeconomics_test.csv,35,A,A,[]
36,data/test/high_school_microeconomics_test.csv,36,B,B,[]
37,data/test/high_school_microeconomics_test.csv,37,C,D,[]
38,data/test/high_school_microeconomics_test.csv,38,C,A,[]
39,data/test/high_school_microeconomics_test.csv,39,C,A,[]
40,data/test/high_school_microeconomics_test.csv,40,A,D,[]
41,data/test/high_school_microeconomics_test.csv,41,D,D,[]
42,data/test/high_school_microeconomics_test.csv,42,D,D,[]
43,data/test/high_school_microeconomics_test.csv,43,C,D,[]
44,data/test/high_school_microeconomics_test.csv,44,B,B,[]
45,data/test/high_school_microeconomics_test.csv,45,D,D,[]
46,data/test/high_school_microeconomics_test.csv,46,D,C,[]
47,data/test/high_school_microeconomics_test.csv,47,B,B,[]
48,data/test/high_school_microeconomics_test.csv,48,B,D,[]
49,data/test/high_school_microeconomics_test.csv,49,B,B,[]
50,data/test/high_school_microeconomics_test.csv,50,A,C,[]
51,data/test/high_school_microeconomics_test.csv,51,C,A,[]
52,data/test/high_school_microeconomics_test.csv,52,D,D,[]
53,data/test/high_school_microeconomics_test.csv,53,B,B,[]
54,data/test/high_school_microeconomics_test.csv,54,A,A,[]
55,data/test/high_school_microeconomics_test.csv,55,A,A,[]
56,data/test/high_school_microeconomics_test.csv,56,B,A,[]
57,data/test/high_school_microeconomics_test.csv,57,C,D,[]
58,data/test/high_school_microeconomics_test.csv,58,B,B,[]
59,data/test/high_school_microeconomics_test.csv,59,B,B,[]
60,data/test/high_school_microeconomics_test.csv,60,D,B,[]
61,data/test/high_school_microeconomics_test.csv,61,C,D,[]
62,data/test/high_school_microeconomics_test.csv,62,D,B,[]
63,data/test/high_school_microeconomics_test.csv,63,B,B,[]
64,data/test/high_school_microeconomics_test.csv,64,C,A,[]
65,data/test/high_school_microeconomics_test.csv,65,D,A,[]
66,data/test/high_school_microeconomics_test.csv,66,B,A,[]
67,data/test/high_school_microeconomics_test.csv,67,D,D,[]
68,data/test/high_school_microeconomics_test.csv,68,D,D,[]
69,data/test/high_school_microeconomics_test.csv,69,B,B,[]
70,data/test/high_school_microeconomics_test.csv,70,B,A,[]
71,data/test/high_school_microeconomics_test.csv,71,D,D,[]
72,data/test/high_school_microeconomics_test.csv,72,D,D,[]
73,data/test/high_school_microeconomics_test.csv,73,D,B,[]
74,data/test/high_school_microeconomics_test.csv,74,D,D,[]
75,data/test/high_school_microeconomics_test.csv,75,C,D,[]
76,data/test/high_school_microeconomics_test.csv,76,C,A,[]
77,data/test/high_school_microeconomics_test.csv,77,C,C,[]
78,data/test/high_school_microeconomics_test.csv,78,D,D,[]
79,data/test/high_school_microeconomics_test.csv,79,C,C,[]
80,data/test/high_school_microeconomics_test.csv,80,A,D,[]
81,data/test/high_school_microeconomics_test.csv,81,B,B,[]
82,data/test/high_school_microeconomics_test.csv,82,C,C,[]
83,data/test/high_school_microeconomics_test.csv,83,D,D,[]
84,data/test/high_school_microeconomics_test.csv,84,A,A,[]
85,data/test/high_school_microeconomics_test.csv,85,B,B,[]
86,data/test/high_school_microeconomics_test.csv,86,A,A,[]
87,data/test/high_school_microeconomics_test.csv,87,A,B,[]
88,data/test/high_school_microeconomics_test.csv,88,A,C,[]
89,data/test/high_school_microeconomics_test.csv,89,C,C,[]
90,data/test/high_school_microeconomics_test.csv,90,A,A,[]
91,data/test/high_school_microeconomics_test.csv,91,D,A,[]
92,data/test/high_school_microeconomics_test.csv,92,A,A,[]
93,data/test/high_school_microeconomics_test.csv,93,D,D,[]
94,data/test/high_school_microeconomics_test.csv,94,A,C,[]
95,data/test/high_school_microeconomics_test.csv,95,A,B,[]
96,data/test/high_school_microeconomics_test.csv,96,A,B,[]
97,data/test/high_school_microeconomics_test.csv,97,D,D,[]
98,data/test/high_school_microeconomics_test.csv,98,B,B,[]
99,data/test/high_school_microeconomics_test.csv,99,D,D,[]
100,data/test/high_school_microeconomics_test.csv,100,D,D,[]
101,data/test/high_school_microeconomics_test.csv,101,C,B,[]
102,data/test/high_school_microeconomics_test.csv,102,D,D,[]
103,data/test/high_school_microeconomics_test.csv,103,D,A,[]
104,data/test/high_school_microeconomics_test.csv,104,B,A,[]
105,data/test/high_school_microeconomics_test.csv,105,D,D,[]
106,data/test/high_school_microeconomics_test.csv,106,B,C,[]
107,data/test/high_school_microeconomics_test.csv,107,D,C,[]
108,data/test/high_school_microeconomics_test.csv,108,D,A,[]
109,data/test/high_school_microeconomics_test.csv,109,D,D,[]
110,data/test/high_school_microeconomics_test.csv,110,D,D,[]
111,data/test/high_school_microeconomics_test.csv,111,D,C,[]
112,data/test/high_school_microeconomics_test.csv,112,A,A,[]
113,data/test/high_school_microeconomics_test.csv,113,B,B,[]
114,data/test/high_school_microeconomics_test.csv,114,D,D,[]
115,data/test/high_school_microeconomics_test.csv,115,A,C,[]
116,data/test/high_school_microeconomics_test.csv,116,D,D,[]
117,data/test/high_school_microeconomics_test.csv,117,A,D,[]
118,data/test/high_school_microeconomics_test.csv,118,A,A,[]
119,data/test/high_school_microeconomics_test.csv,119,B,C,[]
120,data/test/high_school_microeconomics_test.csv,120,C,C,[]
121,data/test/high_school_microeconomics_test.csv,121,A,B,[]
122,data/test/high_school_microeconomics_test.csv,122,B,B,[]
123,data/test/high_school_microeconomics_test.csv,123,D,D,[]
