,task,item,choice,gt,meta_tasks
0,data/test/professional_accounting_test.csv,0,D,A,[]
1,data/test/professional_accounting_test.csv,1,D,B,[]
2,data/test/professional_accounting_test.csv,2,D,B,[]
3,data/test/professional_accounting_test.csv,3,D,D,[]
4,data/test/professional_accounting_test.csv,4,A,A,[]
5,data/test/professional_accounting_test.csv,5,C,C,[]
6,data/test/professional_accounting_test.csv,6,B,D,[]
7,data/test/professional_accounting_test.csv,7,B,D,[]
8,data/test/professional_accounting_test.csv,8,C,D,[]
9,data/test/professional_accounting_test.csv,9,C,C,[]
10,data/test/professional_accounting_test.csv,10,C,D,[]
11,data/test/professional_accounting_test.csv,11,D,B,[]
12,data/test/professional_accounting_test.csv,12,A,A,[]
13,data/test/professional_accounting_test.csv,13,C,B,[]
14,data/test/professional_accounting_test.csv,14,A,C,[]
15,data/test/professional_accounting_test.csv,15,C,B,[]
16,data/test/professional_accounting_test.csv,16,C,C,[]
17,data/test/professional_accounting_test.csv,17,C,C,[]
18,data/test/professional_accounting_test.csv,18,D,C,[]
19,data/test/professional_accounting_test.csv,19,C,B,[]
20,data/test/professional_accounting_test.csv,20,B,B,[]
21,data/test/professional_accounting_test.csv,21,C,D,[]
22,data/test/professional_accounting_test.csv,22,B,B,[]
23,data/test/professional_accounting_test.csv,23,C,C,[]
24,data/test/professional_accounting_test.csv,24,C,D,[]
25,data/test/professional_accounting_test.csv,25,D,B,[]
26,data/test/professional_accounting_test.csv,26,B,D,[]
27,data/test/professional_accounting_test.csv,27,D,D,[]
28,data/test/professional_accounting_test.csv,28,A,B,[]
29,data/test/professional_accounting_test.csv,29,B,C,[]
30,data/test/professional_accounting_test.csv,30,B,B,[]
31,data/test/professional_accounting_test.csv,31,A,B,[]
32,data/test/professional_accounting_test.csv,32,D,A,[]
33,data/test/professional_accounting_test.csv,33,B,A,[]
34,data/test/professional_accounting_test.csv,34,A,D,[]
35,data/test/professional_accounting_test.csv,35,B,B,[]
36,data/test/professional_accounting_test.csv,36,B,B,[]
37,data/test/professional_accounting_test.csv,37,B,C,[]
38,data/test/professional_accounting_test.csv,38,D,D,[]
39,data/test/professional_accounting_test.csv,39,D,D,[]
40,data/test/professional_accounting_test.csv,40,D,C,[]
41,data/test/professional_accounting_test.csv,41,B,D,[]
42,data/test/professional_accounting_test.csv,42,B,A,[]
43,data/test/professional_accounting_test.csv,43,D,A,[]
44,data/test/professional_accounting_test.csv,44,A,A,[]
45,data/test/professional_accounting_test.csv,45,C,A,[]
46,data/test/professional_accounting_test.csv,46,C,C,[]
47,data/test/professional_accounting_test.csv,47,C,B,[]
48,data/test/professional_accounting_test.csv,48,D,C,[]
49,data/test/professional_accounting_test.csv,49,D,C,[]
50,data/test/professional_accounting_test.csv,50,C,A,[]
51,data/test/professional_accounting_test.csv,51,B,A,[]
52,data/test/professional_accounting_test.csv,52,D,B,[]
53,data/test/professional_accounting_test.csv,53,C,D,[]
54,data/test/professional_accounting_test.csv,54,C,C,[]
55,data/test/professional_accounting_test.csv,55,D,D,[]
56,data/test/professional_accounting_test.csv,56,D,D,[]
57,data/test/professional_accounting_test.csv,57,D,D,[]
58,data/test/professional_accounting_test.csv,58,D,D,[]
59,data/test/professional_accounting_test.csv,59,D,D,[]
60,data/test/professional_accounting_test.csv,60,C,C,[]
61,data/test/professional_accounting_test.csv,61,D,A,[]
62,data/test/professional_accounting_test.csv,62,C,D,[]
63,data/test/professional_accounting_test.csv,63,B,A,[]
64,data/test/professional_accounting_test.csv,64,D,B,[]
65,data/test/professional_accounting_test.csv,65,C,C,[]
66,data/test/professional_accounting_test.csv,66,B,C,[]
67,data/test/professional_accounting_test.csv,67,B,C,[]
68,data/test/professional_accounting_test.csv,68,D,D,[]
69,data/test/professional_accounting_test.csv,69,B,C,[]
70,data/test/professional_accounting_test.csv,70,C,B,[]
71,data/test/professional_accounting_test.csv,71,B,C,[]
72,data/test/professional_accounting_test.csv,72,C,A,[]
73,data/test/professional_accounting_test.csv,73,D,D,[]
74,data/test/professional_accounting_test.csv,74,B,B,[]
75,data/test/professional_accounting_test.csv,75,D,A,[]
76,data/test/professional_accounting_test.csv,76,A,A,[]
77,data/test/professional_accounting_test.csv,77,D,B,[]
78,data/test/professional_accounting_test.csv,78,C,D,[]
79,data/test/professional_accounting_test.csv,79,C,C,[]
80,data/test/professional_accounting_test.csv,80,C,B,[]
81,data/test/professional_accounting_test.csv,81,D,B,[]
82,data/test/professional_accounting_test.csv,82,D,A,[]
83,data/test/professional_accounting_test.csv,83,C,B,[]
84,data/test/professional_accounting_test.csv,84,C,C,[]
85,data/test/professional_accounting_test.csv,85,D,D,[]
86,data/test/professional_accounting_test.csv,86,A,A,[]
87,data/test/professional_accounting_test.csv,87,D,C,[]
88,data/test/professional_accounting_test.csv,88,C,A,[]
89,data/test/professional_accounting_test.csv,89,C,B,[]
90,data/test/professional_accounting_test.csv,90,A,D,[]
91,data/test/professional_accounting_test.csv,91,B,D,[]
92,data/test/professional_accounting_test.csv,92,C,C,[]
93,data/test/professional_accounting_test.csv,93,D,A,[]
94,data/test/professional_accounting_test.csv,94,A,A,[]
95,data/test/professional_accounting_test.csv,95,A,C,[]
96,data/test/professional_accounting_test.csv,96,B,A,[]
97,data/test/professional_accounting_test.csv,97,B,B,[]
98,data/test/professional_accounting_test.csv,98,D,D,[]
99,data/test/professional_accounting_test.csv,99,C,C,[]
100,data/test/professional_accounting_test.csv,100,A,A,[]
101,data/test/professional_accounting_test.csv,101,C,C,[]
102,data/test/professional_accounting_test.csv,102,B,C,[]
103,data/test/professional_accounting_test.csv,103,B,D,[]
104,data/test/professional_accounting_test.csv,104,C,A,[]
105,data/test/professional_accounting_test.csv,105,D,C,[]
106,data/test/professional_accounting_test.csv,106,D,C,[]
107,data/test/professional_accounting_test.csv,107,D,A,[]
108,data/test/professional_accounting_test.csv,108,D,B,[]
109,data/test/professional_accounting_test.csv,109,C,A,[]
110,data/test/professional_accounting_test.csv,110,B,B,[]
111,data/test/professional_accounting_test.csv,111,D,D,[]
112,data/test/professional_accounting_test.csv,112,A,D,[]
113,data/test/professional_accounting_test.csv,113,B,B,[]
114,data/test/professional_accounting_test.csv,114,D,C,[]
115,data/test/professional_accounting_test.csv,115,D,D,[]
116,data/test/professional_accounting_test.csv,116,D,A,[]
117,data/test/professional_accounting_test.csv,117,D,B,[]
118,data/test/professional_accounting_test.csv,118,C,C,[]
119,data/test/professional_accounting_test.csv,119,B,D,[]
120,data/test/professional_accounting_test.csv,120,D,D,[]
