,task,item,choice,gt,meta_tasks
0,data/test/high_school_european_history_test.csv,0,C,C,['world religions' 'philosophy']
1,data/test/high_school_european_history_test.csv,1,C,A,['jurisprudence' 'moral scenarios']
2,data/test/high_school_european_history_test.csv,2,C,D,['moral disputes' 'high school us history']
3,data/test/high_school_european_history_test.csv,3,"
",B,['high school world history' 'high school us history']
4,data/test/high_school_european_history_test.csv,4,A,B,['philosophy' 'high school us history']
5,data/test/high_school_european_history_test.csv,5,C,C,['world religions' 'high school us history']
6,data/test/high_school_european_history_test.csv,6,C,C,['moral disputes' 'prehistory']
7,data/test/high_school_european_history_test.csv,7,C,B,['world religions' 'logical fallacies']
8,data/test/high_school_european_history_test.csv,8,C,C,['world religions' 'prehistory']
9,data/test/high_school_european_history_test.csv,9,C,C,['international law' 'formal logic']
10,data/test/high_school_european_history_test.csv,10,D,D,['high school us history' 'world religions']
11,data/test/high_school_european_history_test.csv,11,D,C,['moral scenarios' 'high school world history']
12,data/test/high_school_european_history_test.csv,12,A,C,['logical fallacies' 'high school world history']
13,data/test/high_school_european_history_test.csv,13,A,B,['prehistory' 'moral scenarios']
14,data/test/high_school_european_history_test.csv,14,C,D,['high school us history' 'prehistory']
15,data/test/high_school_european_history_test.csv,15,D,D,['high school world history' 'prehistory']
16,data/test/high_school_european_history_test.csv,16,A,A,['moral disputes' 'moral scenarios']
17,data/test/high_school_european_history_test.csv,17,C,D,['high school world history' 'moral scenarios']
18,data/test/high_school_european_history_test.csv,18,B,A,['jurisprudence' 'formal logic']
19,data/test/high_school_european_history_test.csv,19,D,D,['world religions' 'moral scenarios']
20,data/test/high_school_european_history_test.csv,20,C,C,['world religions' 'formal logic']
21,data/test/high_school_european_history_test.csv,21,D,A,['formal logic' 'high school world history']
22,data/test/high_school_european_history_test.csv,22,B,A,['philosophy' 'prehistory']
23,data/test/high_school_european_history_test.csv,23,B,B,['formal logic' 'international law']
24,data/test/high_school_european_history_test.csv,24,D,D,['world religions' 'formal logic']
25,data/test/high_school_european_history_test.csv,25,"
",B,['moral scenarios' 'high school us history']
26,data/test/high_school_european_history_test.csv,26,A,D,['moral scenarios' 'high school world history']
27,data/test/high_school_european_history_test.csv,27,A,A,['logical fallacies' 'prehistory']
28,data/test/high_school_european_history_test.csv,28,"
",B,['high school us history' 'moral scenarios']
29,data/test/high_school_european_history_test.csv,29,C,C,['moral disputes' 'logical fallacies']
30,data/test/high_school_european_history_test.csv,30,A,A,['international law' 'formal logic']
31,data/test/high_school_european_history_test.csv,31,B,D,['high school world history' 'philosophy']
32,data/test/high_school_european_history_test.csv,32,C,A,['jurisprudence' 'international law']
33,data/test/high_school_european_history_test.csv,33,B,C,['jurisprudence' 'high school us history']
34,data/test/high_school_european_history_test.csv,34,C,A,['formal logic' 'jurisprudence']
35,data/test/high_school_european_history_test.csv,35,C,C,['international law' 'formal logic']
36,data/test/high_school_european_history_test.csv,36,A,A,['world religions' 'prehistory']
37,data/test/high_school_european_history_test.csv,37,A,B,['high school us history' 'world religions']
38,data/test/high_school_european_history_test.csv,38,D,B,['jurisprudence' 'world religions']
39,data/test/high_school_european_history_test.csv,39,A,A,['philosophy' 'prehistory']
40,data/test/high_school_european_history_test.csv,40,C,A,['formal logic' 'prehistory']
41,data/test/high_school_european_history_test.csv,41,D,D,['high school us history' 'logical fallacies']
42,data/test/high_school_european_history_test.csv,42,C,C,['moral scenarios' 'prehistory']
43,data/test/high_school_european_history_test.csv,43,A,C,['high school world history' 'moral scenarios']
44,data/test/high_school_european_history_test.csv,44,A,D,['high school world history' 'formal logic']
45,data/test/high_school_european_history_test.csv,45,D,D,['formal logic' 'world religions']
46,data/test/high_school_european_history_test.csv,46,C,C,['logical fallacies' 'prehistory']
47,data/test/high_school_european_history_test.csv,47,C,C,['world religions' 'moral scenarios']
48,data/test/high_school_european_history_test.csv,48,C,C,['jurisprudence' 'prehistory']
49,data/test/high_school_european_history_test.csv,49,D,A,['moral scenarios' 'world religions']
50,data/test/high_school_european_history_test.csv,50,C,C,['jurisprudence' 'philosophy']
51,data/test/high_school_european_history_test.csv,51,D,A,['moral disputes' 'moral scenarios']
52,data/test/high_school_european_history_test.csv,52,A,A,['logical fallacies' 'formal logic']
53,data/test/high_school_european_history_test.csv,53,D,D,['moral disputes' 'high school world history']
54,data/test/high_school_european_history_test.csv,54,B,B,['jurisprudence' 'moral disputes']
55,data/test/high_school_european_history_test.csv,55,A,B,['moral scenarios' 'world religions']
56,data/test/high_school_european_history_test.csv,56,D,D,['moral scenarios' 'philosophy']
57,data/test/high_school_european_history_test.csv,57,D,A,['world religions' 'moral scenarios']
58,data/test/high_school_european_history_test.csv,58,D,D,['moral scenarios' 'international law']
59,data/test/high_school_european_history_test.csv,59,D,D,['moral disputes' 'prehistory']
60,data/test/high_school_european_history_test.csv,60,A,A,['high school world history' 'formal logic']
61,data/test/high_school_european_history_test.csv,61,B,C,['moral scenarios' 'philosophy']
62,data/test/high_school_european_history_test.csv,62,B,B,['philosophy' 'logical fallacies']
63,data/test/high_school_european_history_test.csv,63,B,C,['prehistory' 'logical fallacies']
64,data/test/high_school_european_history_test.csv,64,D,D,['moral disputes' 'high school world history']
65,data/test/high_school_european_history_test.csv,65,C,C,['moral disputes' 'jurisprudence']
66,data/test/high_school_european_history_test.csv,66,C,C,['international law' 'moral disputes']
