,task,item,choice,gt,meta_tasks
0,data/test/high_school_statistics_test.csv,0,C,B,['anatomy' 'abstract algebra']
1,data/test/high_school_statistics_test.csv,1,C,C,['high school physics' 'college biology']
2,data/test/high_school_statistics_test.csv,2,A,D,['anatomy' 'abstract algebra']
3,data/test/high_school_statistics_test.csv,3,D,D,['machine learning' 'college physics']
4,data/test/high_school_statistics_test.csv,4,D,D,['college biology' 'anatomy']
5,data/test/high_school_statistics_test.csv,5,D,D,['college physics' 'college biology']
6,data/test/high_school_statistics_test.csv,6,D,D,['college physics' 'astronomy']
7,data/test/high_school_statistics_test.csv,7,D,D,['anatomy' 'high school mathematics']
8,data/test/high_school_statistics_test.csv,8,C,C,['high school physics' 'astronomy']
9,data/test/high_school_statistics_test.csv,9,D,D,['high school mathematics' 'abstract algebra']
10,data/test/high_school_statistics_test.csv,10,B,A,['conceptual physics' 'electrical engineering']
11,data/test/high_school_statistics_test.csv,11,B,C,['college computer science' 'astronomy']
12,data/test/high_school_statistics_test.csv,12,C,D,['college computer science' 'elementary mathematics']
13,data/test/high_school_statistics_test.csv,13,B,C,['machine learning' 'abstract algebra']
14,data/test/high_school_statistics_test.csv,14,C,D,['college physics' 'high school chemistry']
15,data/test/high_school_statistics_test.csv,15,D,D,['astronomy' 'abstract algebra']
16,data/test/high_school_statistics_test.csv,16,D,B,['high school computer science' 'astronomy']
17,data/test/high_school_statistics_test.csv,17,A,D,['college biology' 'college chemistry']
18,data/test/high_school_statistics_test.csv,18,B,D,['elementary mathematics' 'college physics']
19,data/test/high_school_statistics_test.csv,19,D,D,['college mathematics' 'computer security']
20,data/test/high_school_statistics_test.csv,20,A,D,['abstract algebra' 'astronomy']
21,data/test/high_school_statistics_test.csv,21,C,D,['computer security' 'machine learning']
22,data/test/high_school_statistics_test.csv,22,A,C,['computer security' 'college computer science']
23,data/test/high_school_statistics_test.csv,23,B,B,['high school chemistry' 'high school biology']
24,data/test/high_school_statistics_test.csv,24,B,A,['electrical engineering' 'anatomy']
25,data/test/high_school_statistics_test.csv,25,C,D,['college computer science' 'college physics']
26,data/test/high_school_statistics_test.csv,26,B,A,['anatomy' 'high school computer science']
27,data/test/high_school_statistics_test.csv,27,C,A,['high school chemistry' 'elementary mathematics']
28,data/test/high_school_statistics_test.csv,28,A,D,['high school mathematics' 'abstract algebra']
29,data/test/high_school_statistics_test.csv,29,D,D,['high school chemistry' 'computer security']
30,data/test/high_school_statistics_test.csv,30,C,D,['college biology' 'college chemistry']
31,data/test/high_school_statistics_test.csv,31,B,D,['computer security' 'astronomy']
32,data/test/high_school_statistics_test.csv,32,A,D,['college mathematics' 'computer security']
33,data/test/high_school_statistics_test.csv,33,B,D,['computer security' 'astronomy']
34,data/test/high_school_statistics_test.csv,34,C,A,['electrical engineering' 'high school biology']
35,data/test/high_school_statistics_test.csv,35,D,D,['high school physics' 'electrical engineering']
36,data/test/high_school_statistics_test.csv,36,C,C,['college mathematics' 'elementary mathematics']
37,data/test/high_school_statistics_test.csv,37,C,A,['college biology' 'high school chemistry']
38,data/test/high_school_statistics_test.csv,38,B,A,['machine learning' 'high school computer science']
39,data/test/high_school_statistics_test.csv,39,B,B,['college physics' 'high school biology']
40,data/test/high_school_statistics_test.csv,40,D,D,['elementary mathematics' 'abstract algebra']
41,data/test/high_school_statistics_test.csv,41,C,D,['high school mathematics' 'college computer science']
42,data/test/high_school_statistics_test.csv,42,A,A,['high school biology' 'electrical engineering']
43,data/test/high_school_statistics_test.csv,43,B,A,['elementary mathematics' 'college physics']
44,data/test/high_school_statistics_test.csv,44,B,A,['high school biology' 'astronomy']
45,data/test/high_school_statistics_test.csv,45,B,B,['abstract algebra' 'college mathematics']
46,data/test/high_school_statistics_test.csv,46,B,B,['college physics' 'college biology']
47,data/test/high_school_statistics_test.csv,47,C,C,['abstract algebra' 'college mathematics']
48,data/test/high_school_statistics_test.csv,48,D,C,['astronomy' 'college physics']
49,data/test/high_school_statistics_test.csv,49,D,D,['electrical engineering' 'computer security']
50,data/test/high_school_statistics_test.csv,50,B,D,['astronomy' 'high school physics']
51,data/test/high_school_statistics_test.csv,51,D,D,['abstract algebra' 'anatomy']
52,data/test/high_school_statistics_test.csv,52,C,D,['abstract algebra' 'college chemistry']
53,data/test/high_school_statistics_test.csv,53,C,A,['astronomy' 'college chemistry']
54,data/test/high_school_statistics_test.csv,54,D,D,['college computer science' 'abstract algebra']
55,data/test/high_school_statistics_test.csv,55,C,D,['high school biology' 'college biology']
56,data/test/high_school_statistics_test.csv,56,B,A,['high school physics' 'elementary mathematics']
57,data/test/high_school_statistics_test.csv,57,D,D,['college mathematics' 'college physics']
58,data/test/high_school_statistics_test.csv,58,D,C,['high school mathematics' 'college mathematics']
59,data/test/high_school_statistics_test.csv,59,C,D,['anatomy' 'high school computer science']
60,data/test/high_school_statistics_test.csv,60,C,C,['high school mathematics' 'high school chemistry']
61,data/test/high_school_statistics_test.csv,61,C,D,['college physics' 'high school mathematics']
62,data/test/high_school_statistics_test.csv,62,C,D,['high school physics' 'abstract algebra']
63,data/test/high_school_statistics_test.csv,63,A,A,['college mathematics' 'abstract algebra']
64,data/test/high_school_statistics_test.csv,64,B,D,['high school computer science' 'elementary mathematics']
65,data/test/high_school_statistics_test.csv,65,D,D,['astronomy' 'machine learning']
66,data/test/high_school_statistics_test.csv,66,B,B,['machine learning' 'college computer science']
67,data/test/high_school_statistics_test.csv,67,D,B,['abstract algebra' 'anatomy']
68,data/test/high_school_statistics_test.csv,68,C,A,['conceptual physics' 'college physics']
69,data/test/high_school_statistics_test.csv,69,B,B,['machine learning' 'college physics']
70,data/test/high_school_statistics_test.csv,70,C,C,['college chemistry' 'high school computer science']
