,task,item,choice,gt,meta_tasks
0,data/test/jurisprudence_test.csv,0,A,D,['high school world history' 'prehistory']
1,data/test/jurisprudence_test.csv,1,B,A,['high school world history' 'moral disputes']
2,data/test/jurisprudence_test.csv,2,C,C,['logical fallacies' 'world religions']
3,data/test/jurisprudence_test.csv,3,C,C,['high school european history' 'moral scenarios']
4,data/test/jurisprudence_test.csv,4,C,A,['international law' 'high school world history']
5,data/test/jurisprudence_test.csv,5,A,A,['philosophy' 'formal logic']
6,data/test/jurisprudence_test.csv,6,C,D,['logical fallacies' 'philosophy']
7,data/test/jurisprudence_test.csv,7,C,C,['high school european history' 'philosophy']
8,data/test/jurisprudence_test.csv,8,B,B,['prehistory' 'logical fallacies']
9,data/test/jurisprudence_test.csv,9,A,A,['high school us history' 'world religions']
10,data/test/jurisprudence_test.csv,10,B,B,['high school european history' 'moral disputes']
11,data/test/jurisprudence_test.csv,11,D,D,['moral scenarios' 'high school european history']
12,data/test/jurisprudence_test.csv,12,D,D,['high school us history' 'prehistory']
13,data/test/jurisprudence_test.csv,13,C,C,['international law' 'logical fallacies']
14,data/test/jurisprudence_test.csv,14,C,C,['international law' 'moral disputes']
15,data/test/jurisprudence_test.csv,15,A,A,['formal logic' 'high school european history']
16,data/test/jurisprudence_test.csv,16,D,D,['world religions' 'moral disputes']
17,data/test/jurisprudence_test.csv,17,C,C,['philosophy' 'moral disputes']
18,data/test/jurisprudence_test.csv,18,C,D,['moral scenarios' 'prehistory']
19,data/test/jurisprudence_test.csv,19,C,B,['high school us history' 'high school european history']
20,data/test/jurisprudence_test.csv,20,B,B,['high school us history' 'philosophy']
21,data/test/jurisprudence_test.csv,21,D,A,['prehistory' 'logical fallacies']
22,data/test/jurisprudence_test.csv,22,B,B,['moral disputes' 'formal logic']
23,data/test/jurisprudence_test.csv,23,C,A,['high school european history' 'world religions']
24,data/test/jurisprudence_test.csv,24,B,B,['high school us history' 'formal logic']
25,data/test/jurisprudence_test.csv,25,C,C,['philosophy' 'logical fallacies']
26,data/test/jurisprudence_test.csv,26,C,C,['logical fallacies' 'world religions']
27,data/test/jurisprudence_test.csv,27,D,D,['moral scenarios' 'international law']
28,data/test/jurisprudence_test.csv,28,D,D,['formal logic' 'international law']
29,data/test/jurisprudence_test.csv,29,C,C,['prehistory' 'world religions']
30,data/test/jurisprudence_test.csv,30,D,D,['prehistory' 'moral disputes']
31,data/test/jurisprudence_test.csv,31,D,D,['philosophy' 'moral disputes']
32,data/test/jurisprudence_test.csv,32,A,A,['international law' 'formal logic']
33,data/test/jurisprudence_test.csv,33,B,B,['philosophy' 'formal logic']
34,data/test/jurisprudence_test.csv,34,C,B,['high school us history' 'philosophy']
35,data/test/jurisprudence_test.csv,35,A,B,['international law' 'high school us history']
36,data/test/jurisprudence_test.csv,36,C,A,['moral scenarios' 'philosophy']
37,data/test/jurisprudence_test.csv,37,A,A,['high school world history' 'high school us history']
38,data/test/jurisprudence_test.csv,38,B,B,['logical fallacies' 'high school us history']
39,data/test/jurisprudence_test.csv,39,D,B,['prehistory' 'moral scenarios']
40,data/test/jurisprudence_test.csv,40,A,A,['moral disputes' 'high school european history']
41,data/test/jurisprudence_test.csv,41,B,B,['international law' 'moral disputes']
42,data/test/jurisprudence_test.csv,42,B,B,['logical fallacies' 'international law']
43,data/test/jurisprudence_test.csv,43,A,A,['formal logic' 'moral scenarios']
44,data/test/jurisprudence_test.csv,44,D,C,['high school us history' 'high school european history']
45,data/test/jurisprudence_test.csv,45,C,C,['philosophy' 'high school world history']
46,data/test/jurisprudence_test.csv,46,D,D,['moral scenarios' 'high school us history']
47,data/test/jurisprudence_test.csv,47,A,A,['logical fallacies' 'philosophy']
48,data/test/jurisprudence_test.csv,48,A,C,['international law' 'high school us history']
49,data/test/jurisprudence_test.csv,49,D,D,['prehistory' 'high school world history']
50,data/test/jurisprudence_test.csv,50,A,A,['formal logic' 'moral disputes']
51,data/test/jurisprudence_test.csv,51,A,A,['international law' 'high school world history']
52,data/test/jurisprudence_test.csv,52,A,A,['philosophy' 'moral disputes']
53,data/test/jurisprudence_test.csv,53,A,A,['high school european history' 'philosophy']
54,data/test/jurisprudence_test.csv,54,C,D,['philosophy' 'world religions']
55,data/test/jurisprudence_test.csv,55,A,A,['moral scenarios' 'high school european history']
56,data/test/jurisprudence_test.csv,56,D,D,['moral disputes' 'world religions']
57,data/test/jurisprudence_test.csv,57,B,B,['moral scenarios' 'moral disputes']
58,data/test/jurisprudence_test.csv,58,A,A,['moral disputes' 'international law']
59,data/test/jurisprudence_test.csv,59,B,A,['high school world history' 'prehistory']
60,data/test/jurisprudence_test.csv,60,D,A,['high school world history' 'logical fallacies']
61,data/test/jurisprudence_test.csv,61,C,C,['philosophy' 'high school us history']
62,data/test/jurisprudence_test.csv,62,C,A,['philosophy' 'moral disputes']
63,data/test/jurisprudence_test.csv,63,C,B,['prehistory' 'high school european history']
64,data/test/jurisprudence_test.csv,64,D,D,['high school european history' 'logical fallacies']
65,data/test/jurisprudence_test.csv,65,D,D,['high school us history' 'logical fallacies']
66,data/test/jurisprudence_test.csv,66,B,B,['formal logic' 'international law']
67,data/test/jurisprudence_test.csv,67,A,B,['logical fallacies' 'high school european history']
68,data/test/jurisprudence_test.csv,68,B,B,['moral disputes' 'philosophy']
69,data/test/jurisprudence_test.csv,69,D,D,['formal logic' 'philosophy']
70,data/test/jurisprudence_test.csv,70,B,C,['international law' 'prehistory']
71,data/test/jurisprudence_test.csv,71,C,C,['philosophy' 'prehistory']
72,data/test/jurisprudence_test.csv,72,C,D,['logical fallacies' 'high school us history']
73,data/test/jurisprudence_test.csv,73,C,B,['high school us history' 'world religions']
74,data/test/jurisprudence_test.csv,74,A,A,['high school world history' 'high school european history']
75,data/test/jurisprudence_test.csv,75,C,C,['moral disputes' 'high school european history']
76,data/test/jurisprudence_test.csv,76,A,A,['prehistory' 'high school world history']
77,data/test/jurisprudence_test.csv,77,C,C,['logical fallacies' 'world religions']
78,data/test/jurisprudence_test.csv,78,A,A,['world religions' 'prehistory']
79,data/test/jurisprudence_test.csv,79,D,B,['logical fallacies' 'prehistory']
