,task,item,choice,gt,meta_tasks
0,data/test/logical_fallacies_test.csv,0,A,A,['high school european history' 'jurisprudence']
1,data/test/logical_fallacies_test.csv,1,C,C,['international law' 'prehistory']
2,data/test/logical_fallacies_test.csv,2,C,C,['formal logic' 'jurisprudence']
3,data/test/logical_fallacies_test.csv,3,D,D,['philosophy' 'prehistory']
4,data/test/logical_fallacies_test.csv,4,C,C,['high school european history' 'high school us history']
5,data/test/logical_fallacies_test.csv,5,B,D,['world religions' 'prehistory']
6,data/test/logical_fallacies_test.csv,6,C,A,['jurisprudence' 'moral disputes']
7,data/test/logical_fallacies_test.csv,7,A,A,['formal logic' 'moral scenarios']
8,data/test/logical_fallacies_test.csv,8,A,A,['moral disputes' 'high school european history']
9,data/test/logical_fallacies_test.csv,9,B,B,['moral scenarios' 'moral disputes']
10,data/test/logical_fallacies_test.csv,10,D,D,['moral scenarios' 'world religions']
11,data/test/logical_fallacies_test.csv,11,D,C,['prehistory' 'philosophy']
12,data/test/logical_fallacies_test.csv,12,D,D,['world religions' 'philosophy']
13,data/test/logical_fallacies_test.csv,13,C,C,['high school european history' 'moral scenarios']
14,data/test/logical_fallacies_test.csv,14,B,B,['jurisprudence' 'international law']
15,data/test/logical_fallacies_test.csv,15,C,C,['formal logic' 'moral disputes']
16,data/test/logical_fallacies_test.csv,16,D,D,['high school us history' 'jurisprudence']
17,data/test/logical_fallacies_test.csv,17,B,C,['high school european history' 'world religions']
18,data/test/logical_fallacies_test.csv,18,A,C,['philosophy' 'high school european history']
19,data/test/logical_fallacies_test.csv,19,D,D,['philosophy' 'moral scenarios']
20,data/test/logical_fallacies_test.csv,20,D,D,['prehistory' 'high school world history']
21,data/test/logical_fallacies_test.csv,21,C,C,['jurisprudence' 'moral scenarios']
22,data/test/logical_fallacies_test.csv,22,D,B,['world religions' 'jurisprudence']
23,data/test/logical_fallacies_test.csv,23,B,B,['jurisprudence' 'high school us history']
24,data/test/logical_fallacies_test.csv,24,D,C,['world religions' 'philosophy']
25,data/test/logical_fallacies_test.csv,25,D,D,['world religions' 'formal logic']
26,data/test/logical_fallacies_test.csv,26,C,A,['prehistory' 'high school world history']
27,data/test/logical_fallacies_test.csv,27,C,B,['high school european history' 'philosophy']
28,data/test/logical_fallacies_test.csv,28,B,B,['moral scenarios' 'high school us history']
