,task,item,choice,gt,meta_tasks
0,data/test/nutrition_test.csv,0,C,C,['global facts' 'professional medicine']
1,data/test/nutrition_test.csv,1,B,B,['human aging' 'marketing']
2,data/test/nutrition_test.csv,2,D,A,['professional accounting' 'college medicine']
3,data/test/nutrition_test.csv,3,A,A,['management' 'professional accounting']
4,data/test/nutrition_test.csv,4,C,C,['management' 'professional medicine']
5,data/test/nutrition_test.csv,5,D,D,['business ethics' 'medical genetics']
6,data/test/nutrition_test.csv,6,B,B,['management' 'medical genetics']
7,data/test/nutrition_test.csv,7,B,B,['professional medicine' 'business ethics']
8,data/test/nutrition_test.csv,8,C,C,['medical genetics' 'global facts']
9,data/test/nutrition_test.csv,9,D,B,['professional medicine' 'marketing']
10,data/test/nutrition_test.csv,10,B,B,['global facts' 'marketing']
11,data/test/nutrition_test.csv,11,D,D,['business ethics' 'clinical knowledge']
12,data/test/nutrition_test.csv,12,B,B,['marketing' 'virology']
13,data/test/nutrition_test.csv,13,C,A,['college medicine' 'marketing']
14,data/test/nutrition_test.csv,14,D,D,['business ethics' 'professional medicine']
15,data/test/nutrition_test.csv,15,B,B,['clinical knowledge' 'virology']
16,data/test/nutrition_test.csv,16,B,B,['college medicine' 'management']
17,data/test/nutrition_test.csv,17,C,A,['professional medicine' 'virology']
18,data/test/nutrition_test.csv,18,D,A,['global facts' 'marketing']
19,data/test/nutrition_test.csv,19,D,D,['human aging' 'business ethics']
20,data/test/nutrition_test.csv,20,B,B,['human aging' 'college medicine']
21,data/test/nutrition_test.csv,21,D,A,['clinical knowledge' 'marketing']
22,data/test/nutrition_test.csv,22,C,C,['college medicine' 'professional accounting']
23,data/test/nutrition_test.csv,23,D,D,['miscellaneous' 'medical genetics']
24,data/test/nutrition_test.csv,24,C,C,['global facts' 'human aging']
25,data/test/nutrition_test.csv,25,D,D,['virology' 'miscellaneous']
26,data/test/nutrition_test.csv,26,D,D,['marketing' 'professional accounting']
27,data/test/nutrition_test.csv,27,D,D,['clinical knowledge' 'business ethics']
28,data/test/nutrition_test.csv,28,B,C,['management' 'clinical knowledge']
29,data/test/nutrition_test.csv,29,D,D,['management' 'clinical knowledge']
30,data/test/nutrition_test.csv,30,D,D,['marketing' 'professional medicine']
31,data/test/nutrition_test.csv,31,C,C,['global facts' 'professional medicine']
32,data/test/nutrition_test.csv,32,C,C,['virology' 'management']
33,data/test/nutrition_test.csv,33,D,B,['medical genetics' 'marketing']
34,data/test/nutrition_test.csv,34,D,D,['virology' 'human aging']
35,data/test/nutrition_test.csv,35,B,B,['human aging' 'global facts']
36,data/test/nutrition_test.csv,36,A,D,['clinical knowledge' 'management']
37,data/test/nutrition_test.csv,37,B,B,['virology' 'management']
38,data/test/nutrition_test.csv,38,D,D,['management' 'miscellaneous']
39,data/test/nutrition_test.csv,39,C,B,['professional medicine' 'professional accounting']
40,data/test/nutrition_test.csv,40,D,D,['medical genetics' 'management']
