,task,item,choice,gt,meta_tasks
0,data/test/miscellaneous_test.csv,0,C,C,[]
1,data/test/miscellaneous_test.csv,1,C,B,[]
2,data/test/miscellaneous_test.csv,2,A,D,[]
3,data/test/miscellaneous_test.csv,3,C,C,[]
4,data/test/miscellaneous_test.csv,4,B,B,[]
5,data/test/miscellaneous_test.csv,5,C,C,[]
6,data/test/miscellaneous_test.csv,6,C,C,[]
7,data/test/miscellaneous_test.csv,7,A,A,[]
8,data/test/miscellaneous_test.csv,8,A,A,[]
9,data/test/miscellaneous_test.csv,9,B,B,[]
10,data/test/miscellaneous_test.csv,10,A,A,[]
11,data/test/miscellaneous_test.csv,11,A,B,[]
12,data/test/miscellaneous_test.csv,12,A,B,[]
13,data/test/miscellaneous_test.csv,13,D,B,[]
14,data/test/miscellaneous_test.csv,14,A,A,[]
15,data/test/miscellaneous_test.csv,15,A,B,[]
16,data/test/miscellaneous_test.csv,16,A,A,[]
17,data/test/miscellaneous_test.csv,17,A,A,[]
18,data/test/miscellaneous_test.csv,18,B,A,[]
19,data/test/miscellaneous_test.csv,19,A,A,[]
20,data/test/miscellaneous_test.csv,20,B,D,[]
21,data/test/miscellaneous_test.csv,21,A,A,[]
22,data/test/miscellaneous_test.csv,22,C,C,[]
23,data/test/miscellaneous_test.csv,23,A,B,[]
24,data/test/miscellaneous_test.csv,24,A,D,[]
25,data/test/miscellaneous_test.csv,25,A,C,[]
26,data/test/miscellaneous_test.csv,26,C,C,[]
27,data/test/miscellaneous_test.csv,27,C,C,[]
28,data/test/miscellaneous_test.csv,28,A,D,[]
29,data/test/miscellaneous_test.csv,29,A,A,[]
30,data/test/miscellaneous_test.csv,30,A,D,[]
31,data/test/miscellaneous_test.csv,31,A,C,[]
32,data/test/miscellaneous_test.csv,32,C,C,[]
33,data/test/miscellaneous_test.csv,33,A,D,[]
34,data/test/miscellaneous_test.csv,34,C,C,[]
35,data/test/miscellaneous_test.csv,35,C,C,[]
36,data/test/miscellaneous_test.csv,36,C,C,[]
37,data/test/miscellaneous_test.csv,37,D,D,[]
38,data/test/miscellaneous_test.csv,38,B,B,[]
39,data/test/miscellaneous_test.csv,39,B,B,[]
40,data/test/miscellaneous_test.csv,40,C,C,[]
41,data/test/miscellaneous_test.csv,41,A,A,[]
42,data/test/miscellaneous_test.csv,42,A,B,[]
43,data/test/miscellaneous_test.csv,43,C,C,[]
44,data/test/miscellaneous_test.csv,44,A,D,[]
45,data/test/miscellaneous_test.csv,45,B,B,[]
46,data/test/miscellaneous_test.csv,46,A,A,[]
47,data/test/miscellaneous_test.csv,47,A,A,[]
48,data/test/miscellaneous_test.csv,48,C,C,[]
49,data/test/miscellaneous_test.csv,49,C,C,[]
50,data/test/miscellaneous_test.csv,50,B,B,[]
51,data/test/miscellaneous_test.csv,51,A,A,[]
52,data/test/miscellaneous_test.csv,52,D,C,[]
53,data/test/miscellaneous_test.csv,53,C,C,[]
54,data/test/miscellaneous_test.csv,54,B,B,[]
55,data/test/miscellaneous_test.csv,55,A,A,[]
56,data/test/miscellaneous_test.csv,56,A,C,[]
57,data/test/miscellaneous_test.csv,57,D,D,[]
58,data/test/miscellaneous_test.csv,58,B,B,[]
59,data/test/miscellaneous_test.csv,59,A,B,[]
60,data/test/miscellaneous_test.csv,60,B,B,[]
61,data/test/miscellaneous_test.csv,61,A,C,[]
62,data/test/miscellaneous_test.csv,62,A,C,[]
63,data/test/miscellaneous_test.csv,63,D,D,[]
64,data/test/miscellaneous_test.csv,64,A,C,[]
65,data/test/miscellaneous_test.csv,65,A,A,[]
66,data/test/miscellaneous_test.csv,66,A,A,[]
67,data/test/miscellaneous_test.csv,67,C,B,[]
68,data/test/miscellaneous_test.csv,68,A,A,[]
69,data/test/miscellaneous_test.csv,69,B,B,[]
70,data/test/miscellaneous_test.csv,70,A,A,[]
71,data/test/miscellaneous_test.csv,71,B,C,[]
72,data/test/miscellaneous_test.csv,72,B,B,[]
73,data/test/miscellaneous_test.csv,73,B,B,[]
74,data/test/miscellaneous_test.csv,74,C,C,[]
75,data/test/miscellaneous_test.csv,75,C,C,[]
76,data/test/miscellaneous_test.csv,76,B,B,[]
77,data/test/miscellaneous_test.csv,77,C,C,[]
78,data/test/miscellaneous_test.csv,78,B,C,[]
79,data/test/miscellaneous_test.csv,79,A,B,[]
80,data/test/miscellaneous_test.csv,80,C,C,[]
81,data/test/miscellaneous_test.csv,81,A,B,[]
82,data/test/miscellaneous_test.csv,82,A,C,[]
83,data/test/miscellaneous_test.csv,83,B,D,[]
84,data/test/miscellaneous_test.csv,84,C,C,[]
85,data/test/miscellaneous_test.csv,85,B,B,[]
86,data/test/miscellaneous_test.csv,86,C,C,[]
87,data/test/miscellaneous_test.csv,87,D,D,[]
88,data/test/miscellaneous_test.csv,88,A,B,[]
89,data/test/miscellaneous_test.csv,89,A,C,[]
90,data/test/miscellaneous_test.csv,90,A,B,[]
91,data/test/miscellaneous_test.csv,91,D,D,[]
92,data/test/miscellaneous_test.csv,92,B,B,[]
93,data/test/miscellaneous_test.csv,93,C,D,[]
