,task,item,choice,gt,meta_tasks
0,data/test/public_relations_test.csv,0,B,B,[]
1,data/test/public_relations_test.csv,1,B,B,[]
2,data/test/public_relations_test.csv,2,B,B,[]
3,data/test/public_relations_test.csv,3,A,B,[]
4,data/test/public_relations_test.csv,4,D,C,[]
5,data/test/public_relations_test.csv,5,A,B,[]
6,data/test/public_relations_test.csv,6,C,A,[]
7,data/test/public_relations_test.csv,7,A,A,[]
8,data/test/public_relations_test.csv,8,B,B,[]
9,data/test/public_relations_test.csv,9,D,B,[]
10,data/test/public_relations_test.csv,10,A,C,[]
11,data/test/public_relations_test.csv,11,D,B,[]
12,data/test/public_relations_test.csv,12,A,B,[]
13,data/test/public_relations_test.csv,13,C,C,[]
14,data/test/public_relations_test.csv,14,B,C,[]
15,data/test/public_relations_test.csv,15,C,C,[]
16,data/test/public_relations_test.csv,16,A,C,[]
17,data/test/public_relations_test.csv,17,A,D,[]
18,data/test/public_relations_test.csv,18,A,D,[]
19,data/test/public_relations_test.csv,19,C,C,[]
20,data/test/public_relations_test.csv,20,C,C,[]
21,data/test/public_relations_test.csv,21,A,B,[]
22,data/test/public_relations_test.csv,22,A,B,[]
23,data/test/public_relations_test.csv,23,B,B,[]
24,data/test/public_relations_test.csv,24,C,D,[]
25,data/test/public_relations_test.csv,25,D,D,[]
26,data/test/public_relations_test.csv,26,A,D,[]
27,data/test/public_relations_test.csv,27,C,D,[]
28,data/test/public_relations_test.csv,28,B,B,[]
29,data/test/public_relations_test.csv,29,A,B,[]
30,data/test/public_relations_test.csv,30,D,D,[]
31,data/test/public_relations_test.csv,31,B,B,[]
32,data/test/public_relations_test.csv,32,C,C,[]
33,data/test/public_relations_test.csv,33,A,B,[]
34,data/test/public_relations_test.csv,34,B,B,[]
35,data/test/public_relations_test.csv,35,C,C,[]
36,data/test/public_relations_test.csv,36,C,C,[]
37,data/test/public_relations_test.csv,37,B,B,[]
38,data/test/public_relations_test.csv,38,A,A,[]
39,data/test/public_relations_test.csv,39,D,B,[]
40,data/test/public_relations_test.csv,40,D,C,[]
41,data/test/public_relations_test.csv,41,C,A,[]
42,data/test/public_relations_test.csv,42,A,B,[]
43,data/test/public_relations_test.csv,43,A,A,[]
44,data/test/public_relations_test.csv,44,C,C,[]
45,data/test/public_relations_test.csv,45,A,D,[]
46,data/test/public_relations_test.csv,46,A,A,[]
47,data/test/public_relations_test.csv,47,A,A,[]
48,data/test/public_relations_test.csv,48,B,A,[]
49,data/test/public_relations_test.csv,49,A,B,[]
50,data/test/public_relations_test.csv,50,D,D,[]
51,data/test/public_relations_test.csv,51,C,C,[]
52,data/test/public_relations_test.csv,52,B,B,[]
53,data/test/public_relations_test.csv,53,C,C,[]
54,data/test/public_relations_test.csv,54,D,D,[]
55,data/test/public_relations_test.csv,55,A,B,[]
56,data/test/public_relations_test.csv,56,A,D,[]
57,data/test/public_relations_test.csv,57,B,B,[]
58,data/test/public_relations_test.csv,58,A,A,[]
59,data/test/public_relations_test.csv,59,C,D,[]
60,data/test/public_relations_test.csv,60,B,B,[]
61,data/test/public_relations_test.csv,61,C,B,[]
62,data/test/public_relations_test.csv,62,B,B,[]
63,data/test/public_relations_test.csv,63,A,C,[]
64,data/test/public_relations_test.csv,64,A,B,[]
65,data/test/public_relations_test.csv,65,A,D,[]
66,data/test/public_relations_test.csv,66,A,A,[]
67,data/test/public_relations_test.csv,67,D,A,[]
68,data/test/public_relations_test.csv,68,A,A,[]
69,data/test/public_relations_test.csv,69,A,D,[]
70,data/test/public_relations_test.csv,70,C,B,[]
71,data/test/public_relations_test.csv,71,D,D,[]
72,data/test/public_relations_test.csv,72,B,B,[]
73,data/test/public_relations_test.csv,73,C,C,[]
74,data/test/public_relations_test.csv,74,A,D,[]
75,data/test/public_relations_test.csv,75,C,D,[]
76,data/test/public_relations_test.csv,76,A,C,[]
77,data/test/public_relations_test.csv,77,B,B,[]
78,data/test/public_relations_test.csv,78,B,C,[]
79,data/test/public_relations_test.csv,79,B,A,[]
80,data/test/public_relations_test.csv,80,A,A,[]
81,data/test/public_relations_test.csv,81,D,D,[]
82,data/test/public_relations_test.csv,82,C,C,[]
83,data/test/public_relations_test.csv,83,D,D,[]
84,data/test/public_relations_test.csv,84,A,A,[]
85,data/test/public_relations_test.csv,85,B,B,[]
86,data/test/public_relations_test.csv,86,D,A,[]
87,data/test/public_relations_test.csv,87,D,D,[]
88,data/test/public_relations_test.csv,88,A,A,[]
89,data/test/public_relations_test.csv,89,A,B,[]
90,data/test/public_relations_test.csv,90,B,B,[]
91,data/test/public_relations_test.csv,91,B,A,[]
92,data/test/public_relations_test.csv,92,A,A,[]
93,data/test/public_relations_test.csv,93,A,C,[]
94,data/test/public_relations_test.csv,94,A,A,[]
95,data/test/public_relations_test.csv,95,B,B,[]
96,data/test/public_relations_test.csv,96,A,A,[]
97,data/test/public_relations_test.csv,97,B,B,[]
98,data/test/public_relations_test.csv,98,C,C,[]
99,data/test/public_relations_test.csv,99,B,B,[]
100,data/test/public_relations_test.csv,100,A,D,[]
101,data/test/public_relations_test.csv,101,A,A,[]
102,data/test/public_relations_test.csv,102,A,C,[]
103,data/test/public_relations_test.csv,103,B,D,[]
104,data/test/public_relations_test.csv,104,A,A,[]
105,data/test/public_relations_test.csv,105,D,D,[]
106,data/test/public_relations_test.csv,106,A,D,[]
107,data/test/public_relations_test.csv,107,B,B,[]
108,data/test/public_relations_test.csv,108,A,A,[]
109,data/test/public_relations_test.csv,109,C,D,[]
