,task,item,choice,gt,meta_tasks
0,data/test/high_school_world_history_test.csv,0,A,A,['high school european history' 'international law']
1,data/test/high_school_world_history_test.csv,1,B,B,['prehistory' 'jurisprudence']
2,data/test/high_school_world_history_test.csv,2,C,D,['prehistory' 'formal logic']
3,data/test/high_school_world_history_test.csv,3,C,C,['moral scenarios' 'world religions']
4,data/test/high_school_world_history_test.csv,4,D,D,['logical fallacies' 'high school us history']
5,data/test/high_school_world_history_test.csv,5,C,C,['jurisprudence' 'high school european history']
6,data/test/high_school_world_history_test.csv,6,A,A,['moral scenarios' 'world religions']
7,data/test/high_school_world_history_test.csv,7,C,B,['moral disputes' 'jurisprudence']
8,data/test/high_school_world_history_test.csv,8,C,C,['jurisprudence' 'world religions']
9,data/test/high_school_world_history_test.csv,9,B,B,['jurisprudence' 'logical fallacies']
10,data/test/high_school_world_history_test.csv,10,A,B,['international law' 'prehistory']
11,data/test/high_school_world_history_test.csv,11,A,A,['formal logic' 'high school european history']
12,data/test/high_school_world_history_test.csv,12,A,A,['logical fallacies' 'moral scenarios']
13,data/test/high_school_world_history_test.csv,13,A,A,['prehistory' 'formal logic']
14,data/test/high_school_world_history_test.csv,14,D,D,['moral disputes' 'logical fallacies']
15,data/test/high_school_world_history_test.csv,15,D,D,['formal logic' 'high school us history']
16,data/test/high_school_world_history_test.csv,16,A,A,['international law' 'high school european history']
17,data/test/high_school_world_history_test.csv,17,A,B,['moral disputes' 'world religions']
18,data/test/high_school_world_history_test.csv,18,A,B,['formal logic' 'philosophy']
19,data/test/high_school_world_history_test.csv,19,A,A,['world religions' 'moral disputes']
20,data/test/high_school_world_history_test.csv,20,A,A,['world religions' 'formal logic']
21,data/test/high_school_world_history_test.csv,21,D,D,['moral disputes' 'jurisprudence']
22,data/test/high_school_world_history_test.csv,22,B,B,['moral disputes' 'high school us history']
23,data/test/high_school_world_history_test.csv,23,C,C,['formal logic' 'high school european history']
24,data/test/high_school_world_history_test.csv,24,C,B,['high school european history' 'moral disputes']
25,data/test/high_school_world_history_test.csv,25,B,A,['prehistory' 'high school european history']
26,data/test/high_school_world_history_test.csv,26,A,A,['jurisprudence' 'formal logic']
27,data/test/high_school_world_history_test.csv,27,C,D,['world religions' 'high school european history']
28,data/test/high_school_world_history_test.csv,28,A,A,['high school us history' 'formal logic']
29,data/test/high_school_world_history_test.csv,29,D,D,['prehistory' 'high school european history']
30,data/test/high_school_world_history_test.csv,30,C,C,['world religions' 'international law']
31,data/test/high_school_world_history_test.csv,31,C,D,['world religions' 'moral disputes']
32,data/test/high_school_world_history_test.csv,32,A,B,['jurisprudence' 'moral disputes']
33,data/test/high_school_world_history_test.csv,33,A,B,['high school us history' 'moral scenarios']
34,data/test/high_school_world_history_test.csv,34,B,B,['moral scenarios' 'high school us history']
35,data/test/high_school_world_history_test.csv,35,B,B,['philosophy' 'moral disputes']
36,data/test/high_school_world_history_test.csv,36,D,C,['moral scenarios' 'high school european history']
37,data/test/high_school_world_history_test.csv,37,B,B,['international law' 'philosophy']
38,data/test/high_school_world_history_test.csv,38,A,D,['moral disputes' 'international law']
39,data/test/high_school_world_history_test.csv,39,C,D,['prehistory' 'world religions']
40,data/test/high_school_world_history_test.csv,40,C,C,['jurisprudence' 'moral scenarios']
41,data/test/high_school_world_history_test.csv,41,B,D,['formal logic' 'international law']
42,data/test/high_school_world_history_test.csv,42,C,C,['moral disputes' 'prehistory']
43,data/test/high_school_world_history_test.csv,43,D,D,['jurisprudence' 'world religions']
44,data/test/high_school_world_history_test.csv,44,D,D,['formal logic' 'jurisprudence']
45,data/test/high_school_world_history_test.csv,45,D,D,['high school european history' 'jurisprudence']
46,data/test/high_school_world_history_test.csv,46,C,C,['moral disputes' 'high school us history']
47,data/test/high_school_world_history_test.csv,47,A,A,['high school us history' 'philosophy']
48,data/test/high_school_world_history_test.csv,48,C,C,['jurisprudence' 'high school us history']
49,data/test/high_school_world_history_test.csv,49,C,C,['high school european history' 'philosophy']
50,data/test/high_school_world_history_test.csv,50,D,A,['moral scenarios' 'high school european history']
51,data/test/high_school_world_history_test.csv,51,C,D,['prehistory' 'philosophy']
52,data/test/high_school_world_history_test.csv,52,C,D,['international law' 'high school european history']
53,data/test/high_school_world_history_test.csv,53,A,B,['jurisprudence' 'moral scenarios']
54,data/test/high_school_world_history_test.csv,54,D,D,['moral disputes' 'high school us history']
55,data/test/high_school_world_history_test.csv,55,A,B,['logical fallacies' 'world religions']
56,data/test/high_school_world_history_test.csv,56,B,B,['formal logic' 'logical fallacies']
57,data/test/high_school_world_history_test.csv,57,A,C,['high school us history' 'jurisprudence']
58,data/test/high_school_world_history_test.csv,58,A,A,['world religions' 'prehistory']
59,data/test/high_school_world_history_test.csv,59,D,D,['prehistory' 'moral scenarios']
60,data/test/high_school_world_history_test.csv,60,C,A,['philosophy' 'formal logic']
61,data/test/high_school_world_history_test.csv,61,A,A,['high school european history' 'moral scenarios']
62,data/test/high_school_world_history_test.csv,62,A,C,['philosophy' 'high school us history']
63,data/test/high_school_world_history_test.csv,63,C,C,['formal logic' 'logical fallacies']
64,data/test/high_school_world_history_test.csv,64,A,A,['jurisprudence' 'moral scenarios']
65,data/test/high_school_world_history_test.csv,65,A,B,['moral disputes' 'world religions']
66,data/test/high_school_world_history_test.csv,66,A,A,['moral disputes' 'international law']
67,data/test/high_school_world_history_test.csv,67,A,A,['international law' 'world religions']
68,data/test/high_school_world_history_test.csv,68,A,A,['international law' 'jurisprudence']
69,data/test/high_school_world_history_test.csv,69,A,A,['prehistory' 'formal logic']
70,data/test/high_school_world_history_test.csv,70,C,D,['formal logic' 'moral disputes']
71,data/test/high_school_world_history_test.csv,71,A,C,['international law' 'moral disputes']
72,data/test/high_school_world_history_test.csv,72,C,D,['jurisprudence' 'moral disputes']
73,data/test/high_school_world_history_test.csv,73,A,A,['moral disputes' 'moral scenarios']
74,data/test/high_school_world_history_test.csv,74,A,A,['prehistory' 'high school us history']
75,data/test/high_school_world_history_test.csv,75,C,C,['formal logic' 'moral disputes']
76,data/test/high_school_world_history_test.csv,76,B,B,['logical fallacies' 'high school european history']
77,data/test/high_school_world_history_test.csv,77,B,B,['prehistory' 'philosophy']
78,data/test/high_school_world_history_test.csv,78,A,A,['international law' 'formal logic']
79,data/test/high_school_world_history_test.csv,79,B,B,['jurisprudence' 'high school us history']
80,data/test/high_school_world_history_test.csv,80,A,C,['international law' 'logical fallacies']
81,data/test/high_school_world_history_test.csv,81,B,C,['world religions' 'jurisprudence']
82,data/test/high_school_world_history_test.csv,82,A,A,['international law' 'logical fallacies']
83,data/test/high_school_world_history_test.csv,83,A,D,['philosophy' 'prehistory']
84,data/test/high_school_world_history_test.csv,84,C,C,['logical fallacies' 'jurisprudence']
85,data/test/high_school_world_history_test.csv,85,A,A,['moral disputes' 'international law']
86,data/test/high_school_world_history_test.csv,86,A,A,['moral disputes' 'formal logic']
87,data/test/high_school_world_history_test.csv,87,A,A,['high school european history' 'moral scenarios']
88,data/test/high_school_world_history_test.csv,88,A,B,['logical fallacies' 'high school us history']
89,data/test/high_school_world_history_test.csv,89,B,B,['high school us history' 'logical fallacies']
90,data/test/high_school_world_history_test.csv,90,D,D,['prehistory' 'logical fallacies']
91,data/test/high_school_world_history_test.csv,91,C,C,['prehistory' 'international law']
92,data/test/high_school_world_history_test.csv,92,A,B,['philosophy' 'logical fallacies']
93,data/test/high_school_world_history_test.csv,93,A,A,['high school us history' 'logical fallacies']
94,data/test/high_school_world_history_test.csv,94,B,B,['high school european history' 'moral scenarios']
95,data/test/high_school_world_history_test.csv,95,A,A,['formal logic' 'moral scenarios']
96,data/test/high_school_world_history_test.csv,96,B,C,['prehistory' 'high school us history']
97,data/test/high_school_world_history_test.csv,97,D,D,['philosophy' 'jurisprudence']
98,data/test/high_school_world_history_test.csv,98,B,B,['formal logic' 'moral disputes']
99,data/test/high_school_world_history_test.csv,99,C,D,['international law' 'world religions']
100,data/test/high_school_world_history_test.csv,100,C,C,['jurisprudence' 'world religions']
101,data/test/high_school_world_history_test.csv,101,C,C,['high school european history' 'philosophy']
102,data/test/high_school_world_history_test.csv,102,A,A,['philosophy' 'moral scenarios']
103,data/test/high_school_world_history_test.csv,103,C,C,['moral disputes' 'world religions']
104,data/test/high_school_world_history_test.csv,104,A,C,['prehistory' 'world religions']
105,data/test/high_school_world_history_test.csv,105,B,C,['moral scenarios' 'prehistory']
106,data/test/high_school_world_history_test.csv,106,A,A,['moral disputes' 'international law']
107,data/test/high_school_world_history_test.csv,107,D,A,['logical fallacies' 'prehistory']
108,data/test/high_school_world_history_test.csv,108,B,B,['moral scenarios' 'jurisprudence']
109,data/test/high_school_world_history_test.csv,109,C,D,['moral disputes' 'formal logic']
110,data/test/high_school_world_history_test.csv,110,B,B,['jurisprudence' 'high school us history']
111,data/test/high_school_world_history_test.csv,111,D,D,['moral disputes' 'moral scenarios']
112,data/test/high_school_world_history_test.csv,112,A,A,['international law' 'moral scenarios']
113,data/test/high_school_world_history_test.csv,113,C,C,['prehistory' 'international law']
114,data/test/high_school_world_history_test.csv,114,A,A,['international law' 'philosophy']
115,data/test/high_school_world_history_test.csv,115,A,A,['world religions' 'international law']
116,data/test/high_school_world_history_test.csv,116,B,B,['high school us history' 'formal logic']
117,data/test/high_school_world_history_test.csv,117,B,B,['jurisprudence' 'prehistory']
118,data/test/high_school_world_history_test.csv,118,A,A,['moral disputes' 'formal logic']
119,data/test/high_school_world_history_test.csv,119,C,C,['prehistory' 'jurisprudence']
120,data/test/high_school_world_history_test.csv,120,C,B,['jurisprudence' 'world religions']
121,data/test/high_school_world_history_test.csv,121,D,D,['prehistory' 'high school us history']
122,data/test/high_school_world_history_test.csv,122,D,C,['international law' 'moral scenarios']
123,data/test/high_school_world_history_test.csv,123,C,C,['high school european history' 'prehistory']
124,data/test/high_school_world_history_test.csv,124,A,A,['international law' 'moral disputes']
125,data/test/high_school_world_history_test.csv,125,C,A,['moral disputes' 'high school us history']
126,data/test/high_school_world_history_test.csv,126,A,B,['international law' 'moral disputes']
127,data/test/high_school_world_history_test.csv,127,A,A,['jurisprudence' 'moral scenarios']
128,data/test/high_school_world_history_test.csv,128,A,C,['international law' 'prehistory']
129,data/test/high_school_world_history_test.csv,129,B,B,['world religions' 'prehistory']
130,data/test/high_school_world_history_test.csv,130,C,C,['philosophy' 'jurisprudence']
131,data/test/high_school_world_history_test.csv,131,A,A,['formal logic' 'prehistory']
132,data/test/high_school_world_history_test.csv,132,D,D,['prehistory' 'world religions']
133,data/test/high_school_world_history_test.csv,133,A,D,['international law' 'high school us history']
134,data/test/high_school_world_history_test.csv,134,D,D,['world religions' 'high school european history']
135,data/test/high_school_world_history_test.csv,135,A,A,['moral disputes' 'high school european history']
136,data/test/high_school_world_history_test.csv,136,A,C,['philosophy' 'moral disputes']
137,data/test/high_school_world_history_test.csv,137,C,A,['formal logic' 'world religions']
138,data/test/high_school_world_history_test.csv,138,C,C,['world religions' 'jurisprudence']
139,data/test/high_school_world_history_test.csv,139,C,D,['moral scenarios' 'philosophy']
140,data/test/high_school_world_history_test.csv,140,C,C,['philosophy' 'high school us history']
141,data/test/high_school_world_history_test.csv,141,A,B,['high school european history' 'jurisprudence']
142,data/test/high_school_world_history_test.csv,142,C,B,['logical fallacies' 'high school european history']
143,data/test/high_school_world_history_test.csv,143,C,C,['philosophy' 'formal logic']
144,data/test/high_school_world_history_test.csv,144,B,B,['high school us history' 'prehistory']
145,data/test/high_school_world_history_test.csv,145,C,C,['formal logic' 'high school european history']
146,data/test/high_school_world_history_test.csv,146,A,C,['moral scenarios' 'formal logic']
147,data/test/high_school_world_history_test.csv,147,C,C,['philosophy' 'logical fallacies']
148,data/test/high_school_world_history_test.csv,148,D,B,['logical fallacies' 'high school european history']
149,data/test/high_school_world_history_test.csv,149,A,A,['prehistory' 'high school us history']
150,data/test/high_school_world_history_test.csv,150,B,B,['moral disputes' 'high school european history']
151,data/test/high_school_world_history_test.csv,151,A,A,['philosophy' 'prehistory']
152,data/test/high_school_world_history_test.csv,152,B,C,['prehistory' 'international law']
153,data/test/high_school_world_history_test.csv,153,C,A,['jurisprudence' 'moral disputes']
154,data/test/high_school_world_history_test.csv,154,D,C,['moral scenarios' 'prehistory']
155,data/test/high_school_world_history_test.csv,155,A,B,['prehistory' 'moral scenarios']
156,data/test/high_school_world_history_test.csv,156,C,C,['jurisprudence' 'prehistory']
157,data/test/high_school_world_history_test.csv,157,A,A,['world religions' 'prehistory']
158,data/test/high_school_world_history_test.csv,158,D,C,['philosophy' 'high school european history']
159,data/test/high_school_world_history_test.csv,159,C,C,['philosophy' 'high school european history']
160,data/test/high_school_world_history_test.csv,160,A,A,['moral disputes' 'formal logic']
161,data/test/high_school_world_history_test.csv,161,A,B,['formal logic' 'jurisprudence']
162,data/test/high_school_world_history_test.csv,162,B,B,['prehistory' 'moral disputes']
163,data/test/high_school_world_history_test.csv,163,D,C,['high school european history' 'international law']
164,data/test/high_school_world_history_test.csv,164,B,A,['high school european history' 'logical fallacies']
