,task,item,choice,gt,meta_tasks
0,data/test/human_aging_test.csv,0,A,A,['medical genetics' 'nutrition']
1,data/test/human_aging_test.csv,1,B,B,['medical genetics' 'business ethics']
2,data/test/human_aging_test.csv,2,A,A,['professional medicine' 'global facts']
3,data/test/human_aging_test.csv,3,A,A,['miscellaneous' 'college medicine']
4,data/test/human_aging_test.csv,4,D,B,['global facts' 'college medicine']
5,data/test/human_aging_test.csv,5,D,D,['global facts' 'business ethics']
6,data/test/human_aging_test.csv,6,C,D,['management' 'virology']
7,data/test/human_aging_test.csv,7,B,D,['college medicine' 'global facts']
8,data/test/human_aging_test.csv,8,A,A,['marketing' 'professional medicine']
9,data/test/human_aging_test.csv,9,C,C,['nutrition' 'clinical knowledge']
10,data/test/human_aging_test.csv,10,A,A,['professional accounting' 'virology']
11,data/test/human_aging_test.csv,11,C,A,['professional accounting' 'business ethics']
12,data/test/human_aging_test.csv,12,B,B,['professional accounting' 'miscellaneous']
13,data/test/human_aging_test.csv,13,A,A,['college medicine' 'global facts']
14,data/test/human_aging_test.csv,14,B,B,['professional accounting' 'business ethics']
15,data/test/human_aging_test.csv,15,C,B,['miscellaneous' 'clinical knowledge']
16,data/test/human_aging_test.csv,16,B,C,['professional accounting' 'miscellaneous']
17,data/test/human_aging_test.csv,17,B,B,['clinical knowledge' 'business ethics']
18,data/test/human_aging_test.csv,18,A,A,['virology' 'miscellaneous']
19,data/test/human_aging_test.csv,19,A,B,['management' 'professional medicine']
20,data/test/human_aging_test.csv,20,D,C,['professional accounting' 'clinical knowledge']
21,data/test/human_aging_test.csv,21,C,D,['college medicine' 'miscellaneous']
22,data/test/human_aging_test.csv,22,A,B,['nutrition' 'professional medicine']
23,data/test/human_aging_test.csv,23,B,B,['global facts' 'clinical knowledge']
24,data/test/human_aging_test.csv,24,C,A,['miscellaneous' 'global facts']
25,data/test/human_aging_test.csv,25,C,A,['management' 'medical genetics']
26,data/test/human_aging_test.csv,26,B,A,['college medicine' 'medical genetics']
27,data/test/human_aging_test.csv,27,A,A,['global facts' 'miscellaneous']
28,data/test/human_aging_test.csv,28,B,B,['miscellaneous' 'business ethics']
29,data/test/human_aging_test.csv,29,A,D,['management' 'clinical knowledge']
30,data/test/human_aging_test.csv,30,C,C,['professional accounting' 'virology']
31,data/test/human_aging_test.csv,31,B,B,['medical genetics' 'business ethics']
32,data/test/human_aging_test.csv,32,A,A,['college medicine' 'nutrition']
33,data/test/human_aging_test.csv,33,A,A,['college medicine' 'medical genetics']
34,data/test/human_aging_test.csv,34,D,D,['business ethics' 'medical genetics']
35,data/test/human_aging_test.csv,35,B,B,['college medicine' 'clinical knowledge']
36,data/test/human_aging_test.csv,36,B,A,['virology' 'medical genetics']
37,data/test/human_aging_test.csv,37,B,B,['virology' 'medical genetics']
38,data/test/human_aging_test.csv,38,A,B,['medical genetics' 'clinical knowledge']
39,data/test/human_aging_test.csv,39,A,A,['nutrition' 'professional medicine']
40,data/test/human_aging_test.csv,40,B,B,['nutrition' 'management']
41,data/test/human_aging_test.csv,41,A,A,['miscellaneous' 'nutrition']
42,data/test/human_aging_test.csv,42,C,B,['professional medicine' 'management']
43,data/test/human_aging_test.csv,43,B,B,['college medicine' 'nutrition']
44,data/test/human_aging_test.csv,44,A,C,['professional accounting' 'global facts']
45,data/test/human_aging_test.csv,45,B,B,['nutrition' 'professional accounting']
46,data/test/human_aging_test.csv,46,A,B,['clinical knowledge' 'professional accounting']
47,data/test/human_aging_test.csv,47,A,B,['management' 'nutrition']
48,data/test/human_aging_test.csv,48,C,D,['professional accounting' 'medical genetics']
