,task,item,choice,gt,meta_tasks
0,data/test/management_test.csv,0,B,B,['professional medicine' 'nutrition']
1,data/test/management_test.csv,1,A,D,['marketing' 'global facts']
2,data/test/management_test.csv,2,C,C,['professional medicine' 'nutrition']
3,data/test/management_test.csv,3,D,D,['marketing' 'virology']
4,data/test/management_test.csv,4,A,D,['marketing' 'clinical knowledge']
5,data/test/management_test.csv,5,B,B,['human aging' 'clinical knowledge']
6,data/test/management_test.csv,6,D,D,['human aging' 'miscellaneous']
7,data/test/management_test.csv,7,A,D,['medical genetics' 'miscellaneous']
8,data/test/management_test.csv,8,B,B,['human aging' 'business ethics']
9,data/test/management_test.csv,9,B,B,['global facts' 'nutrition']
10,data/test/management_test.csv,10,C,C,['nutrition' 'clinical knowledge']
11,data/test/management_test.csv,11,A,B,['virology' 'global facts']
12,data/test/management_test.csv,12,D,A,['medical genetics' 'human aging']
13,data/test/management_test.csv,13,A,A,['business ethics' 'college medicine']
14,data/test/management_test.csv,14,A,A,['miscellaneous' 'human aging']
15,data/test/management_test.csv,15,A,C,['marketing' 'human aging']
16,data/test/management_test.csv,16,C,D,['global facts' 'college medicine']
17,data/test/management_test.csv,17,C,C,['miscellaneous' 'human aging']
18,data/test/management_test.csv,18,A,C,['college medicine' 'virology']
19,data/test/management_test.csv,19,D,D,['professional medicine' 'virology']
20,data/test/management_test.csv,20,D,D,['professional accounting' 'miscellaneous']
21,data/test/management_test.csv,21,A,A,['nutrition' 'college medicine']
22,data/test/management_test.csv,22,D,D,['clinical knowledge' 'medical genetics']
23,data/test/management_test.csv,23,A,B,['college medicine' 'global facts']
24,data/test/management_test.csv,24,D,D,['professional accounting' 'miscellaneous']
25,data/test/management_test.csv,25,D,D,['marketing' 'nutrition']
26,data/test/management_test.csv,26,A,A,['business ethics' 'human aging']
27,data/test/management_test.csv,27,A,A,['professional accounting' 'business ethics']
28,data/test/management_test.csv,28,C,B,['business ethics' 'professional medicine']
29,data/test/management_test.csv,29,D,D,['professional accounting' 'business ethics']
30,data/test/management_test.csv,30,C,A,['college medicine' 'clinical knowledge']
31,data/test/management_test.csv,31,D,D,['professional medicine' 'human aging']
32,data/test/management_test.csv,32,C,D,['nutrition' 'virology']
33,data/test/management_test.csv,33,B,B,['professional accounting' 'marketing']
34,data/test/management_test.csv,34,D,C,['professional accounting' 'human aging']
35,data/test/management_test.csv,35,B,B,['college medicine' 'medical genetics']
36,data/test/management_test.csv,36,C,A,['human aging' 'miscellaneous']
37,data/test/management_test.csv,37,D,B,['college medicine' 'miscellaneous']
38,data/test/management_test.csv,38,C,C,['virology' 'human aging']
39,data/test/management_test.csv,39,C,B,['clinical knowledge' 'human aging']
40,data/test/management_test.csv,40,B,B,['marketing' 'business ethics']
41,data/test/management_test.csv,41,A,A,['human aging' 'global facts']
42,data/test/management_test.csv,42,C,C,['miscellaneous' 'professional accounting']
43,data/test/management_test.csv,43,B,C,['medical genetics' 'human aging']
44,data/test/management_test.csv,44,A,A,['nutrition' 'human aging']
45,data/test/management_test.csv,45,C,C,['college medicine' 'business ethics']
46,data/test/management_test.csv,46,A,B,['clinical knowledge' 'global facts']
47,data/test/management_test.csv,47,A,D,['human aging' 'miscellaneous']
48,data/test/management_test.csv,48,A,D,['human aging' 'miscellaneous']
49,data/test/management_test.csv,49,D,B,['professional accounting' 'business ethics']
50,data/test/management_test.csv,50,A,B,['professional medicine' 'human aging']
51,data/test/management_test.csv,51,A,A,['human aging' 'business ethics']
52,data/test/management_test.csv,52,C,C,['professional accounting' 'college medicine']
53,data/test/management_test.csv,53,C,D,['professional medicine' 'clinical knowledge']
54,data/test/management_test.csv,54,B,D,['miscellaneous' 'professional medicine']
55,data/test/management_test.csv,55,D,A,['business ethics' 'human aging']
56,data/test/management_test.csv,56,C,D,['marketing' 'college medicine']
57,data/test/management_test.csv,57,D,D,['global facts' 'professional accounting']
58,data/test/management_test.csv,58,B,C,['human aging' 'college medicine']
59,data/test/management_test.csv,59,B,D,['miscellaneous' 'marketing']
60,data/test/management_test.csv,60,C,D,['clinical knowledge' 'professional medicine']
61,data/test/management_test.csv,61,A,A,['business ethics' 'clinical knowledge']
62,data/test/management_test.csv,62,A,D,['marketing' 'college medicine']
63,data/test/management_test.csv,63,B,B,['professional accounting' 'medical genetics']
64,data/test/management_test.csv,64,D,D,['college medicine' 'clinical knowledge']
65,data/test/management_test.csv,65,D,D,['global facts' 'medical genetics']
66,data/test/management_test.csv,66,B,B,['professional medicine' 'professional accounting']
67,data/test/management_test.csv,67,B,B,['marketing' 'nutrition']
68,data/test/management_test.csv,68,B,B,['medical genetics' 'professional accounting']
69,data/test/management_test.csv,69,D,D,['medical genetics' 'marketing']
70,data/test/management_test.csv,70,D,D,['nutrition' 'college medicine']
71,data/test/management_test.csv,71,A,C,['marketing' 'professional accounting']
72,data/test/management_test.csv,72,B,B,['miscellaneous' 'medical genetics']
73,data/test/management_test.csv,73,A,A,['nutrition' 'medical genetics']
74,data/test/management_test.csv,74,A,B,['medical genetics' 'professional accounting']
75,data/test/management_test.csv,75,C,C,['global facts' 'professional accounting']
76,data/test/management_test.csv,76,D,D,['miscellaneous' 'medical genetics']
77,data/test/management_test.csv,77,C,D,['miscellaneous' 'marketing']
78,data/test/management_test.csv,78,C,A,['virology' 'business ethics']
79,data/test/management_test.csv,79,C,C,['miscellaneous' 'human aging']
80,data/test/management_test.csv,80,C,C,['global facts' 'nutrition']
81,data/test/management_test.csv,81,D,D,['professional medicine' 'business ethics']
82,data/test/management_test.csv,82,A,A,['college medicine' 'global facts']
83,data/test/management_test.csv,83,C,B,['human aging' 'nutrition']
84,data/test/management_test.csv,84,D,D,['marketing' 'medical genetics']
85,data/test/management_test.csv,85,C,B,['miscellaneous' 'virology']
86,data/test/management_test.csv,86,C,C,['miscellaneous' 'business ethics']
87,data/test/management_test.csv,87,C,D,['human aging' 'professional medicine']
88,data/test/management_test.csv,88,C,C,['clinical knowledge' 'human aging']
89,data/test/management_test.csv,89,D,D,['marketing' 'virology']
90,data/test/management_test.csv,90,A,C,['college medicine' 'clinical knowledge']
91,data/test/management_test.csv,91,D,D,['virology' 'human aging']
92,data/test/management_test.csv,92,A,B,['professional medicine' 'global facts']
93,data/test/management_test.csv,93,C,D,['nutrition' 'medical genetics']
94,data/test/management_test.csv,94,C,C,['college medicine' 'virology']
95,data/test/management_test.csv,95,A,B,['college medicine' 'global facts']
96,data/test/management_test.csv,96,A,D,['professional accounting' 'marketing']
97,data/test/management_test.csv,97,A,A,['nutrition' 'global facts']
98,data/test/management_test.csv,98,A,A,['nutrition' 'professional medicine']
99,data/test/management_test.csv,99,B,D,['college medicine' 'business ethics']
100,data/test/management_test.csv,100,D,D,['human aging' 'business ethics']
101,data/test/management_test.csv,101,C,B,['miscellaneous' 'marketing']
