,task,item,choice,gt,meta_tasks
0,data/test/sociology_test.csv,0,D,C,['high school macroeconomics' 'high school government and politics']
1,data/test/sociology_test.csv,1,A,A,['high school psychology' 'us foreign policy']
2,data/test/sociology_test.csv,2,B,B,['professional psychology' 'public relations']
3,data/test/sociology_test.csv,3,D,D,['professional psychology' 'us foreign policy']
4,data/test/sociology_test.csv,4,D,D,['high school microeconomics' 'econometrics']
5,data/test/sociology_test.csv,5,B,B,['high school microeconomics' 'econometrics']
6,data/test/sociology_test.csv,6,C,D,['high school psychology' 'high school geography']
7,data/test/sociology_test.csv,7,A,B,['professional psychology' 'high school government and politics']
8,data/test/sociology_test.csv,8,B,A,['high school government and politics' 'public relations']
9,data/test/sociology_test.csv,9,B,C,['high school government and politics' 'high school psychology']
10,data/test/sociology_test.csv,10,D,B,['econometrics' 'security studies']
11,data/test/sociology_test.csv,11,C,D,['security studies' 'high school government and politics']
12,data/test/sociology_test.csv,12,D,A,['professional psychology' 'econometrics']
13,data/test/sociology_test.csv,13,A,A,['high school psychology' 'econometrics']
14,data/test/sociology_test.csv,14,A,A,['us foreign policy' 'professional psychology']
15,data/test/sociology_test.csv,15,A,A,['high school microeconomics' 'human sexuality']
16,data/test/sociology_test.csv,16,B,A,['high school microeconomics' 'professional psychology']
17,data/test/sociology_test.csv,17,A,A,['us foreign policy' 'public relations']
18,data/test/sociology_test.csv,18,C,A,['high school macroeconomics' 'professional psychology']
19,data/test/sociology_test.csv,19,A,A,['public relations' 'high school geography']
20,data/test/sociology_test.csv,20,D,C,['human sexuality' 'high school microeconomics']
21,data/test/sociology_test.csv,21,B,C,['high school microeconomics' 'high school government and politics']
22,data/test/sociology_test.csv,22,B,B,['high school microeconomics' 'high school government and politics']
23,data/test/sociology_test.csv,23,D,D,['high school geography' 'public relations']
24,data/test/sociology_test.csv,24,C,C,['human sexuality' 'high school macroeconomics']
25,data/test/sociology_test.csv,25,C,C,['public relations' 'high school macroeconomics']
26,data/test/sociology_test.csv,26,A,A,['high school macroeconomics' 'us foreign policy']
27,data/test/sociology_test.csv,27,C,A,['high school government and politics' 'professional psychology']
28,data/test/sociology_test.csv,28,A,A,['human sexuality' 'public relations']
29,data/test/sociology_test.csv,29,B,B,['human sexuality' 'us foreign policy']
30,data/test/sociology_test.csv,30,B,D,['public relations' 'high school macroeconomics']
31,data/test/sociology_test.csv,31,C,C,['high school government and politics' 'econometrics']
32,data/test/sociology_test.csv,32,B,B,['high school government and politics' 'high school psychology']
33,data/test/sociology_test.csv,33,A,A,['human sexuality' 'high school microeconomics']
34,data/test/sociology_test.csv,34,A,A,['public relations' 'high school macroeconomics']
35,data/test/sociology_test.csv,35,A,A,['professional psychology' 'us foreign policy']
36,data/test/sociology_test.csv,36,D,A,['high school psychology' 'human sexuality']
37,data/test/sociology_test.csv,37,B,D,['high school microeconomics' 'security studies']
38,data/test/sociology_test.csv,38,C,B,['high school microeconomics' 'high school government and politics']
39,data/test/sociology_test.csv,39,B,D,['us foreign policy' 'econometrics']
40,data/test/sociology_test.csv,40,A,A,['human sexuality' 'high school macroeconomics']
41,data/test/sociology_test.csv,41,A,B,['security studies' 'high school government and politics']
42,data/test/sociology_test.csv,42,A,C,['security studies' 'public relations']
43,data/test/sociology_test.csv,43,D,D,['high school psychology' 'human sexuality']
44,data/test/sociology_test.csv,44,A,A,['security studies' 'professional psychology']
45,data/test/sociology_test.csv,45,B,A,['security studies' 'high school psychology']
46,data/test/sociology_test.csv,46,A,B,['security studies' 'high school government and politics']
47,data/test/sociology_test.csv,47,A,B,['professional psychology' 'high school geography']
48,data/test/sociology_test.csv,48,A,D,['professional psychology' 'high school microeconomics']
49,data/test/sociology_test.csv,49,D,C,['public relations' 'high school macroeconomics']
50,data/test/sociology_test.csv,50,B,B,['professional psychology' 'high school government and politics']
51,data/test/sociology_test.csv,51,B,B,['us foreign policy' 'high school macroeconomics']
52,data/test/sociology_test.csv,52,B,B,['high school geography' 'high school microeconomics']
53,data/test/sociology_test.csv,53,C,C,['high school geography' 'high school government and politics']
54,data/test/sociology_test.csv,54,A,A,['public relations' 'high school government and politics']
55,data/test/sociology_test.csv,55,A,C,['us foreign policy' 'professional psychology']
56,data/test/sociology_test.csv,56,B,B,['public relations' 'high school geography']
57,data/test/sociology_test.csv,57,C,C,['public relations' 'high school government and politics']
58,data/test/sociology_test.csv,58,B,B,['high school microeconomics' 'high school government and politics']
59,data/test/sociology_test.csv,59,B,B,['high school microeconomics' 'high school psychology']
60,data/test/sociology_test.csv,60,C,B,['security studies' 'human sexuality']
61,data/test/sociology_test.csv,61,C,C,['high school geography' 'econometrics']
62,data/test/sociology_test.csv,62,D,D,['high school government and politics' 'high school psychology']
63,data/test/sociology_test.csv,63,A,C,['high school psychology' 'human sexuality']
64,data/test/sociology_test.csv,64,D,D,['us foreign policy' 'human sexuality']
65,data/test/sociology_test.csv,65,A,A,['high school geography' 'econometrics']
66,data/test/sociology_test.csv,66,C,D,['high school macroeconomics' 'human sexuality']
67,data/test/sociology_test.csv,67,A,D,['public relations' 'human sexuality']
68,data/test/sociology_test.csv,68,A,A,['us foreign policy' 'security studies']
69,data/test/sociology_test.csv,69,B,A,['human sexuality' 'high school geography']
70,data/test/sociology_test.csv,70,D,A,['professional psychology' 'us foreign policy']
71,data/test/sociology_test.csv,71,A,A,['econometrics' 'high school geography']
72,data/test/sociology_test.csv,72,D,D,['high school geography' 'public relations']
73,data/test/sociology_test.csv,73,D,D,['professional psychology' 'us foreign policy']
74,data/test/sociology_test.csv,74,C,C,['human sexuality' 'high school macroeconomics']
75,data/test/sociology_test.csv,75,A,A,['human sexuality' 'high school macroeconomics']
76,data/test/sociology_test.csv,76,D,C,['high school microeconomics' 'professional psychology']
77,data/test/sociology_test.csv,77,A,D,['professional psychology' 'high school government and politics']
78,data/test/sociology_test.csv,78,C,C,['high school government and politics' 'high school macroeconomics']
79,data/test/sociology_test.csv,79,D,D,['professional psychology' 'security studies']
80,data/test/sociology_test.csv,80,C,D,['high school government and politics' 'human sexuality']
81,data/test/sociology_test.csv,81,C,D,['professional psychology' 'high school geography']
82,data/test/sociology_test.csv,82,D,D,['professional psychology' 'high school microeconomics']
83,data/test/sociology_test.csv,83,C,C,['high school psychology' 'high school geography']
84,data/test/sociology_test.csv,84,A,C,['econometrics' 'us foreign policy']
85,data/test/sociology_test.csv,85,A,D,['high school psychology' 'public relations']
86,data/test/sociology_test.csv,86,D,D,['high school psychology' 'security studies']
87,data/test/sociology_test.csv,87,B,D,['human sexuality' 'high school psychology']
88,data/test/sociology_test.csv,88,D,D,['high school government and politics' 'professional psychology']
89,data/test/sociology_test.csv,89,A,A,['professional psychology' 'high school government and politics']
90,data/test/sociology_test.csv,90,C,C,['high school psychology' 'high school macroeconomics']
91,data/test/sociology_test.csv,91,A,C,['high school macroeconomics' 'high school microeconomics']
92,data/test/sociology_test.csv,92,C,C,['high school government and politics' 'high school microeconomics']
93,data/test/sociology_test.csv,93,B,D,['human sexuality' 'security studies']
94,data/test/sociology_test.csv,94,A,A,['professional psychology' 'high school microeconomics']
95,data/test/sociology_test.csv,95,B,A,['professional psychology' 'public relations']
96,data/test/sociology_test.csv,96,D,D,['high school microeconomics' 'high school government and politics']
97,data/test/sociology_test.csv,97,B,A,['econometrics' 'us foreign policy']
98,data/test/sociology_test.csv,98,B,B,['security studies' 'public relations']
99,data/test/sociology_test.csv,99,B,C,['high school macroeconomics' 'public relations']
100,data/test/sociology_test.csv,100,D,D,['us foreign policy' 'high school psychology']
101,data/test/sociology_test.csv,101,A,D,['high school government and politics' 'high school macroeconomics']
102,data/test/sociology_test.csv,102,C,C,['us foreign policy' 'security studies']
103,data/test/sociology_test.csv,103,D,D,['security studies' 'high school geography']
104,data/test/sociology_test.csv,104,C,C,['high school psychology' 'security studies']
105,data/test/sociology_test.csv,105,C,D,['security studies' 'professional psychology']
106,data/test/sociology_test.csv,106,D,D,['human sexuality' 'security studies']
107,data/test/sociology_test.csv,107,D,D,['high school macroeconomics' 'us foreign policy']
108,data/test/sociology_test.csv,108,A,A,['high school government and politics' 'security studies']
109,data/test/sociology_test.csv,109,C,C,['high school macroeconomics' 'security studies']
110,data/test/sociology_test.csv,110,C,D,['high school psychology' 'public relations']
111,data/test/sociology_test.csv,111,B,B,['professional psychology' 'high school government and politics']
112,data/test/sociology_test.csv,112,C,C,['security studies' 'high school psychology']
113,data/test/sociology_test.csv,113,A,A,['us foreign policy' 'public relations']
114,data/test/sociology_test.csv,114,A,A,['high school psychology' 'public relations']
115,data/test/sociology_test.csv,115,B,B,['high school microeconomics' 'high school geography']
116,data/test/sociology_test.csv,116,D,C,['high school government and politics' 'econometrics']
117,data/test/sociology_test.csv,117,B,B,['high school psychology' 'security studies']
118,data/test/sociology_test.csv,118,D,B,['high school psychology' 'professional psychology']
119,data/test/sociology_test.csv,119,C,C,['us foreign policy' 'public relations']
120,data/test/sociology_test.csv,120,C,C,['security studies' 'high school microeconomics']
121,data/test/sociology_test.csv,121,B,B,['security studies' 'professional psychology']
122,data/test/sociology_test.csv,122,B,D,['public relations' 'professional psychology']
123,data/test/sociology_test.csv,123,D,C,['high school macroeconomics' 'high school psychology']
124,data/test/sociology_test.csv,124,A,A,['high school macroeconomics' 'security studies']
125,data/test/sociology_test.csv,125,B,B,['professional psychology' 'public relations']
126,data/test/sociology_test.csv,126,B,C,['high school geography' 'econometrics']
127,data/test/sociology_test.csv,127,B,D,['human sexuality' 'professional psychology']
128,data/test/sociology_test.csv,128,A,C,['econometrics' 'high school geography']
129,data/test/sociology_test.csv,129,D,C,['high school microeconomics' 'public relations']
130,data/test/sociology_test.csv,130,C,D,['professional psychology' 'high school macroeconomics']
131,data/test/sociology_test.csv,131,D,D,['us foreign policy' 'econometrics']
132,data/test/sociology_test.csv,132,A,A,['security studies' 'econometrics']
133,data/test/sociology_test.csv,133,D,D,['high school psychology' 'human sexuality']
134,data/test/sociology_test.csv,134,B,B,['high school geography' 'human sexuality']
135,data/test/sociology_test.csv,135,B,B,['human sexuality' 'public relations']
136,data/test/sociology_test.csv,136,D,D,['econometrics' 'us foreign policy']
137,data/test/sociology_test.csv,137,A,A,['high school geography' 'professional psychology']
138,data/test/sociology_test.csv,138,D,D,['public relations' 'human sexuality']
139,data/test/sociology_test.csv,139,D,D,['econometrics' 'high school geography']
140,data/test/sociology_test.csv,140,C,B,['public relations' 'high school macroeconomics']
141,data/test/sociology_test.csv,141,D,B,['human sexuality' 'public relations']
142,data/test/sociology_test.csv,142,D,B,['high school geography' 'security studies']
143,data/test/sociology_test.csv,143,C,A,['professional psychology' 'high school government and politics']
144,data/test/sociology_test.csv,144,B,B,['high school government and politics' 'human sexuality']
145,data/test/sociology_test.csv,145,D,C,['high school government and politics' 'econometrics']
146,data/test/sociology_test.csv,146,A,A,['professional psychology' 'high school geography']
147,data/test/sociology_test.csv,147,D,D,['us foreign policy' 'high school microeconomics']
148,data/test/sociology_test.csv,148,B,B,['public relations' 'human sexuality']
149,data/test/sociology_test.csv,149,D,D,['high school psychology' 'high school microeconomics']
150,data/test/sociology_test.csv,150,C,A,['professional psychology' 'human sexuality']
151,data/test/sociology_test.csv,151,C,C,['human sexuality' 'security studies']
152,data/test/sociology_test.csv,152,C,C,['security studies' 'high school psychology']
153,data/test/sociology_test.csv,153,A,C,['public relations' 'high school psychology']
154,data/test/sociology_test.csv,154,D,D,['us foreign policy' 'high school geography']
155,data/test/sociology_test.csv,155,C,C,['econometrics' 'high school macroeconomics']
156,data/test/sociology_test.csv,156,B,D,['professional psychology' 'high school psychology']
157,data/test/sociology_test.csv,157,C,B,['high school macroeconomics' 'high school government and politics']
158,data/test/sociology_test.csv,158,B,B,['high school microeconomics' 'us foreign policy']
159,data/test/sociology_test.csv,159,B,B,['high school geography' 'security studies']
160,data/test/sociology_test.csv,160,C,C,['public relations' 'human sexuality']
161,data/test/sociology_test.csv,161,C,D,['econometrics' 'high school macroeconomics']
162,data/test/sociology_test.csv,162,B,B,['us foreign policy' 'high school microeconomics']
163,data/test/sociology_test.csv,163,A,A,['econometrics' 'high school government and politics']
164,data/test/sociology_test.csv,164,B,B,['public relations' 'high school government and politics']
165,data/test/sociology_test.csv,165,A,A,['professional psychology' 'high school geography']
166,data/test/sociology_test.csv,166,B,B,['security studies' 'high school microeconomics']
167,data/test/sociology_test.csv,167,D,C,['us foreign policy' 'high school macroeconomics']
168,data/test/sociology_test.csv,168,A,A,['human sexuality' 'high school government and politics']
169,data/test/sociology_test.csv,169,D,C,['professional psychology' 'security studies']
170,data/test/sociology_test.csv,170,A,B,['security studies' 'high school geography']
171,data/test/sociology_test.csv,171,A,A,['high school psychology' 'high school geography']
172,data/test/sociology_test.csv,172,A,A,['us foreign policy' 'high school government and politics']
173,data/test/sociology_test.csv,173,B,B,['public relations' 'high school geography']
174,data/test/sociology_test.csv,174,C,A,['high school government and politics' 'high school psychology']
175,data/test/sociology_test.csv,175,D,D,['high school psychology' 'high school geography']
176,data/test/sociology_test.csv,176,A,D,['public relations' 'high school geography']
177,data/test/sociology_test.csv,177,B,B,['econometrics' 'public relations']
178,data/test/sociology_test.csv,178,B,B,['us foreign policy' 'security studies']
179,data/test/sociology_test.csv,179,C,C,['high school macroeconomics' 'us foreign policy']
180,data/test/sociology_test.csv,180,B,B,['security studies' 'high school geography']
181,data/test/sociology_test.csv,181,C,C,['professional psychology' 'econometrics']
182,data/test/sociology_test.csv,182,A,A,['econometrics' 'public relations']
183,data/test/sociology_test.csv,183,B,C,['public relations' 'high school microeconomics']
184,data/test/sociology_test.csv,184,C,C,['high school government and politics' 'high school psychology']
185,data/test/sociology_test.csv,185,A,A,['econometrics' 'professional psychology']
186,data/test/sociology_test.csv,186,C,D,['professional psychology' 'human sexuality']
187,data/test/sociology_test.csv,187,A,B,['public relations' 'security studies']
188,data/test/sociology_test.csv,188,D,D,['high school government and politics' 'high school microeconomics']
189,data/test/sociology_test.csv,189,C,C,['high school microeconomics' 'high school geography']
190,data/test/sociology_test.csv,190,C,C,['high school government and politics' 'high school macroeconomics']
191,data/test/sociology_test.csv,191,C,D,['high school psychology' 'public relations']
192,data/test/sociology_test.csv,192,D,A,['econometrics' 'high school psychology']
193,data/test/sociology_test.csv,193,D,C,['professional psychology' 'security studies']
194,data/test/sociology_test.csv,194,A,B,['public relations' 'high school macroeconomics']
195,data/test/sociology_test.csv,195,D,B,['high school psychology' 'high school government and politics']
196,data/test/sociology_test.csv,196,D,D,['high school government and politics' 'professional psychology']
197,data/test/sociology_test.csv,197,C,C,['high school geography' 'human sexuality']
198,data/test/sociology_test.csv,198,B,D,['high school macroeconomics' 'public relations']
199,data/test/sociology_test.csv,199,B,B,['high school microeconomics' 'econometrics']
200,data/test/sociology_test.csv,200,A,B,['high school macroeconomics' 'security studies']
