,task,item,choice,gt,meta_tasks
0,data/test/high_school_macroeconomics_test.csv,0,B,B,[]
1,data/test/high_school_macroeconomics_test.csv,1,A,D,[]
2,data/test/high_school_macroeconomics_test.csv,2,B,D,[]
3,data/test/high_school_macroeconomics_test.csv,3,C,C,[]
4,data/test/high_school_macroeconomics_test.csv,4,B,B,[]
5,data/test/high_school_macroeconomics_test.csv,5,A,B,[]
6,data/test/high_school_macroeconomics_test.csv,6,D,D,[]
7,data/test/high_school_macroeconomics_test.csv,7,D,D,[]
8,data/test/high_school_macroeconomics_test.csv,8,B,D,[]
9,data/test/high_school_macroeconomics_test.csv,9,A,A,[]
10,data/test/high_school_macroeconomics_test.csv,10,A,B,[]
11,data/test/high_school_macroeconomics_test.csv,11,B,D,[]
12,data/test/high_school_macroeconomics_test.csv,12,A,D,[]
13,data/test/high_school_macroeconomics_test.csv,13,B,D,[]
14,data/test/high_school_macroeconomics_test.csv,14,A,A,[]
15,data/test/high_school_macroeconomics_test.csv,15,A,B,[]
16,data/test/high_school_macroeconomics_test.csv,16,D,D,[]
17,data/test/high_school_macroeconomics_test.csv,17,B,B,[]
18,data/test/high_school_macroeconomics_test.csv,18,A,B,[]
19,data/test/high_school_macroeconomics_test.csv,19,B,B,[]
20,data/test/high_school_macroeconomics_test.csv,20,D,D,[]
21,data/test/high_school_macroeconomics_test.csv,21,B,A,[]
22,data/test/high_school_macroeconomics_test.csv,22,A,B,[]
23,data/test/high_school_macroeconomics_test.csv,23,B,D,[]
24,data/test/high_school_macroeconomics_test.csv,24,B,B,[]
25,data/test/high_school_macroeconomics_test.csv,25,A,D,[]
26,data/test/high_school_macroeconomics_test.csv,26,D,D,[]
27,data/test/high_school_macroeconomics_test.csv,27,A,B,[]
28,data/test/high_school_macroeconomics_test.csv,28,A,B,[]
29,data/test/high_school_macroeconomics_test.csv,29,A,B,[]
30,data/test/high_school_macroeconomics_test.csv,30,A,A,[]
31,data/test/high_school_macroeconomics_test.csv,31,B,D,[]
32,data/test/high_school_macroeconomics_test.csv,32,A,D,[]
33,data/test/high_school_macroeconomics_test.csv,33,C,D,[]
34,data/test/high_school_macroeconomics_test.csv,34,A,A,[]
35,data/test/high_school_macroeconomics_test.csv,35,B,B,[]
36,data/test/high_school_macroeconomics_test.csv,36,A,D,[]
37,data/test/high_school_macroeconomics_test.csv,37,C,C,[]
38,data/test/high_school_macroeconomics_test.csv,38,D,D,[]
39,data/test/high_school_macroeconomics_test.csv,39,C,C,[]
40,data/test/high_school_macroeconomics_test.csv,40,D,D,[]
41,data/test/high_school_macroeconomics_test.csv,41,D,D,[]
42,data/test/high_school_macroeconomics_test.csv,42,D,D,[]
43,data/test/high_school_macroeconomics_test.csv,43,A,D,[]
44,data/test/high_school_macroeconomics_test.csv,44,A,C,[]
45,data/test/high_school_macroeconomics_test.csv,45,A,C,[]
46,data/test/high_school_macroeconomics_test.csv,46,B,B,[]
47,data/test/high_school_macroeconomics_test.csv,47,C,B,[]
48,data/test/high_school_macroeconomics_test.csv,48,D,C,[]
49,data/test/high_school_macroeconomics_test.csv,49,A,D,[]
50,data/test/high_school_macroeconomics_test.csv,50,A,D,[]
51,data/test/high_school_macroeconomics_test.csv,51,A,A,[]
52,data/test/high_school_macroeconomics_test.csv,52,B,A,[]
