,task,item,choice,gt,meta_tasks
0,data/test/high_school_us_history_test.csv,0,D,D,[]
1,data/test/high_school_us_history_test.csv,1,A,A,[]
2,data/test/high_school_us_history_test.csv,2,A,D,[]
3,data/test/high_school_us_history_test.csv,3,B,B,[]
4,data/test/high_school_us_history_test.csv,4,B,B,[]
5,data/test/high_school_us_history_test.csv,5,A,A,[]
6,data/test/high_school_us_history_test.csv,6,A,B,[]
7,data/test/high_school_us_history_test.csv,7,A,A,[]
8,data/test/high_school_us_history_test.csv,8,C,D,[]
9,data/test/high_school_us_history_test.csv,9,A,B,[]
10,data/test/high_school_us_history_test.csv,10,B,B,[]
11,data/test/high_school_us_history_test.csv,11,C,C,[]
12,data/test/high_school_us_history_test.csv,12,A,A,[]
13,data/test/high_school_us_history_test.csv,13,A,A,[]
14,data/test/high_school_us_history_test.csv,14,A,B,[]
15,data/test/high_school_us_history_test.csv,15,C,C,[]
16,data/test/high_school_us_history_test.csv,16,A,B,[]
17,data/test/high_school_us_history_test.csv,17,C,B,[]
18,data/test/high_school_us_history_test.csv,18,C,C,[]
19,data/test/high_school_us_history_test.csv,19,A,D,[]
20,data/test/high_school_us_history_test.csv,20,C,D,[]
21,data/test/high_school_us_history_test.csv,21,C,C,[]
22,data/test/high_school_us_history_test.csv,22,B,B,[]
23,data/test/high_school_us_history_test.csv,23,B,B,[]
24,data/test/high_school_us_history_test.csv,24,A,D,[]
25,data/test/high_school_us_history_test.csv,25,A,C,[]
26,data/test/high_school_us_history_test.csv,26,D,D,[]
27,data/test/high_school_us_history_test.csv,27,C,A,[]
28,data/test/high_school_us_history_test.csv,28,D,D,[]
29,data/test/high_school_us_history_test.csv,29,A,A,[]
30,data/test/high_school_us_history_test.csv,30,C,C,[]
31,data/test/high_school_us_history_test.csv,31,A,C,[]
32,data/test/high_school_us_history_test.csv,32,A,A,[]
33,data/test/high_school_us_history_test.csv,33,A,A,[]
34,data/test/high_school_us_history_test.csv,34,C,C,[]
35,data/test/high_school_us_history_test.csv,35,C,C,[]
36,data/test/high_school_us_history_test.csv,36,A,A,[]
37,data/test/high_school_us_history_test.csv,37,A,A,[]
38,data/test/high_school_us_history_test.csv,38,A,A,[]
39,data/test/high_school_us_history_test.csv,39,B,B,[]
40,data/test/high_school_us_history_test.csv,40,A,A,[]
41,data/test/high_school_us_history_test.csv,41,C,D,[]
42,data/test/high_school_us_history_test.csv,42,C,D,[]
43,data/test/high_school_us_history_test.csv,43,A,B,[]
44,data/test/high_school_us_history_test.csv,44,C,C,[]
45,data/test/high_school_us_history_test.csv,45,A,D,[]
46,data/test/high_school_us_history_test.csv,46,D,A,[]
47,data/test/high_school_us_history_test.csv,47,A,C,[]
48,data/test/high_school_us_history_test.csv,48,A,D,[]
49,data/test/high_school_us_history_test.csv,49,A,A,[]
50,data/test/high_school_us_history_test.csv,50,C,C,[]
51,data/test/high_school_us_history_test.csv,51,D,D,[]
52,data/test/high_school_us_history_test.csv,52,A,A,[]
53,data/test/high_school_us_history_test.csv,53,A,D,[]
54,data/test/high_school_us_history_test.csv,54,B,D,[]
55,data/test/high_school_us_history_test.csv,55,C,C,[]
56,data/test/high_school_us_history_test.csv,56,A,A,[]
57,data/test/high_school_us_history_test.csv,57,D,A,[]
58,data/test/high_school_us_history_test.csv,58,C,C,[]
59,data/test/high_school_us_history_test.csv,59,A,C,[]
60,data/test/high_school_us_history_test.csv,60,C,A,[]
61,data/test/high_school_us_history_test.csv,61,C,C,[]
62,data/test/high_school_us_history_test.csv,62,B,B,[]
63,data/test/high_school_us_history_test.csv,63,A,A,[]
64,data/test/high_school_us_history_test.csv,64,C,B,[]
65,data/test/high_school_us_history_test.csv,65,A,B,[]
66,data/test/high_school_us_history_test.csv,66,C,C,[]
67,data/test/high_school_us_history_test.csv,67,A,C,[]
68,data/test/high_school_us_history_test.csv,68,D,D,[]
69,data/test/high_school_us_history_test.csv,69,C,C,[]
70,data/test/high_school_us_history_test.csv,70,C,C,[]
71,data/test/high_school_us_history_test.csv,71,A,A,[]
72,data/test/high_school_us_history_test.csv,72,C,C,[]
73,data/test/high_school_us_history_test.csv,73,A,A,[]
74,data/test/high_school_us_history_test.csv,74,C,C,[]
75,data/test/high_school_us_history_test.csv,75,A,A,[]
76,data/test/high_school_us_history_test.csv,76,A,B,[]
77,data/test/high_school_us_history_test.csv,77,A,D,[]
78,data/test/high_school_us_history_test.csv,78,B,D,[]
79,data/test/high_school_us_history_test.csv,79,B,B,[]
80,data/test/high_school_us_history_test.csv,80,C,C,[]
81,data/test/high_school_us_history_test.csv,81,B,B,[]
82,data/test/high_school_us_history_test.csv,82,A,D,[]
83,data/test/high_school_us_history_test.csv,83,A,D,[]
84,data/test/high_school_us_history_test.csv,84,A,C,[]
