,task,item,choice,gt,meta_tasks
0,data/test/business_ethics_test.csv,0,C,C,['miscellaneous' 'medical genetics']
1,data/test/business_ethics_test.csv,1,A,B,['professional accounting' 'miscellaneous']
2,data/test/business_ethics_test.csv,2,A,D,['professional medicine' 'management']
3,data/test/business_ethics_test.csv,3,D,D,['medical genetics' 'virology']
4,data/test/business_ethics_test.csv,4,B,B,['virology' 'medical genetics']
5,data/test/business_ethics_test.csv,5,A,B,['management' 'global facts']
6,data/test/business_ethics_test.csv,6,A,B,['nutrition' 'marketing']
7,data/test/business_ethics_test.csv,7,A,A,['college medicine' 'clinical knowledge']
8,data/test/business_ethics_test.csv,8,C,B,['nutrition' 'college medicine']
9,data/test/business_ethics_test.csv,9,B,C,['human aging' 'college medicine']
10,data/test/business_ethics_test.csv,10,A,C,['professional medicine' 'clinical knowledge']
11,data/test/business_ethics_test.csv,11,B,C,['global facts' 'professional medicine']
12,data/test/business_ethics_test.csv,12,B,D,['medical genetics' 'college medicine']
13,data/test/business_ethics_test.csv,13,B,B,['virology' 'global facts']
14,data/test/business_ethics_test.csv,14,A,D,['clinical knowledge' 'miscellaneous']
15,data/test/business_ethics_test.csv,15,B,B,['miscellaneous' 'human aging']
16,data/test/business_ethics_test.csv,16,A,A,['management' 'medical genetics']
17,data/test/business_ethics_test.csv,17,C,C,['management' 'professional accounting']
18,data/test/business_ethics_test.csv,18,C,C,['marketing' 'medical genetics']
19,data/test/business_ethics_test.csv,19,D,A,['marketing' 'professional accounting']
20,data/test/business_ethics_test.csv,20,C,A,['human aging' 'college medicine']
21,data/test/business_ethics_test.csv,21,B,B,['management' 'miscellaneous']
22,data/test/business_ethics_test.csv,22,A,C,['marketing' 'college medicine']
23,data/test/business_ethics_test.csv,23,A,A,['miscellaneous' 'medical genetics']
24,data/test/business_ethics_test.csv,24,A,A,['marketing' 'global facts']
25,data/test/business_ethics_test.csv,25,B,B,['nutrition' 'professional medicine']
26,data/test/business_ethics_test.csv,26,B,B,['college medicine' 'marketing']
27,data/test/business_ethics_test.csv,27,A,C,['human aging' 'professional medicine']
28,data/test/business_ethics_test.csv,28,A,D,['nutrition' 'virology']
29,data/test/business_ethics_test.csv,29,D,D,['college medicine' 'professional medicine']
30,data/test/business_ethics_test.csv,30,A,A,['virology' 'management']
31,data/test/business_ethics_test.csv,31,A,A,['nutrition' 'miscellaneous']
32,data/test/business_ethics_test.csv,32,B,D,['clinical knowledge' 'marketing']
33,data/test/business_ethics_test.csv,33,A,A,['medical genetics' 'professional medicine']
34,data/test/business_ethics_test.csv,34,A,D,['miscellaneous' 'virology']
35,data/test/business_ethics_test.csv,35,B,C,['marketing' 'global facts']
36,data/test/business_ethics_test.csv,36,B,B,['marketing' 'virology']
