,task,item,choice,gt,meta_tasks
0,data/test/college_medicine_test.csv,0,C,B,['miscellaneous' 'human aging']
1,data/test/college_medicine_test.csv,1,A,D,['professional accounting' 'miscellaneous']
2,data/test/college_medicine_test.csv,2,A,D,['marketing' 'global facts']
3,data/test/college_medicine_test.csv,3,B,D,['human aging' 'global facts']
4,data/test/college_medicine_test.csv,4,A,A,['marketing' 'human aging']
5,data/test/college_medicine_test.csv,5,B,D,['clinical knowledge' 'management']
6,data/test/college_medicine_test.csv,6,A,A,['virology' 'miscellaneous']
7,data/test/college_medicine_test.csv,7,C,C,['professional medicine' 'virology']
8,data/test/college_medicine_test.csv,8,A,A,['professional medicine' 'clinical knowledge']
9,data/test/college_medicine_test.csv,9,A,A,['global facts' 'nutrition']
10,data/test/college_medicine_test.csv,10,A,C,['miscellaneous' 'virology']
11,data/test/college_medicine_test.csv,11,B,A,['clinical knowledge' 'professional accounting']
12,data/test/college_medicine_test.csv,12,A,D,['professional accounting' 'marketing']
13,data/test/college_medicine_test.csv,13,D,B,['business ethics' 'medical genetics']
14,data/test/college_medicine_test.csv,14,D,B,['marketing' 'professional accounting']
15,data/test/college_medicine_test.csv,15,C,B,['global facts' 'medical genetics']
16,data/test/college_medicine_test.csv,16,C,C,['nutrition' 'business ethics']
17,data/test/college_medicine_test.csv,17,B,B,['professional accounting' 'global facts']
18,data/test/college_medicine_test.csv,18,C,B,['professional accounting' 'clinical knowledge']
19,data/test/college_medicine_test.csv,19,B,B,['marketing' 'human aging']
20,data/test/college_medicine_test.csv,20,B,C,['marketing' 'human aging']
21,data/test/college_medicine_test.csv,21,B,D,['miscellaneous' 'clinical knowledge']
22,data/test/college_medicine_test.csv,22,D,D,['virology' 'management']
23,data/test/college_medicine_test.csv,23,A,A,['management' 'global facts']
24,data/test/college_medicine_test.csv,24,B,B,['clinical knowledge' 'professional medicine']
25,data/test/college_medicine_test.csv,25,C,C,['miscellaneous' 'marketing']
26,data/test/college_medicine_test.csv,26,A,C,['human aging' 'clinical knowledge']
27,data/test/college_medicine_test.csv,27,C,D,['marketing' 'human aging']
28,data/test/college_medicine_test.csv,28,C,A,['miscellaneous' 'professional accounting']
29,data/test/college_medicine_test.csv,29,A,D,['business ethics' 'clinical knowledge']
30,data/test/college_medicine_test.csv,30,B,D,['clinical knowledge' 'professional medicine']
31,data/test/college_medicine_test.csv,31,C,B,['miscellaneous' 'medical genetics']
32,data/test/college_medicine_test.csv,32,B,C,['professional medicine' 'management']
33,data/test/college_medicine_test.csv,33,C,D,['virology' 'miscellaneous']
34,data/test/college_medicine_test.csv,34,B,D,['management' 'nutrition']
35,data/test/college_medicine_test.csv,35,B,B,['marketing' 'professional accounting']
36,data/test/college_medicine_test.csv,36,D,D,['virology' 'nutrition']
37,data/test/college_medicine_test.csv,37,D,D,['nutrition' 'business ethics']
38,data/test/college_medicine_test.csv,38,B,D,['medical genetics' 'professional medicine']
39,data/test/college_medicine_test.csv,39,D,A,['miscellaneous' 'professional accounting']
40,data/test/college_medicine_test.csv,40,C,C,['virology' 'nutrition']
