,task,item,choice,gt,meta_tasks
0,data/test/medical_genetics_test.csv,0,D,B,['clinical knowledge' 'management']
1,data/test/medical_genetics_test.csv,1,A,A,['management' 'virology']
2,data/test/medical_genetics_test.csv,2,B,A,['business ethics' 'college medicine']
3,data/test/medical_genetics_test.csv,3,A,C,['business ethics' 'human aging']
4,data/test/medical_genetics_test.csv,4,A,A,['professional accounting' 'virology']
5,data/test/medical_genetics_test.csv,5,C,B,['miscellaneous' 'human aging']
6,data/test/medical_genetics_test.csv,6,D,D,['professional accounting' 'miscellaneous']
7,data/test/medical_genetics_test.csv,7,C,C,['management' 'clinical knowledge']
8,data/test/medical_genetics_test.csv,8,D,D,['business ethics' 'professional accounting']
9,data/test/medical_genetics_test.csv,9,C,C,['business ethics' 'professional medicine']
10,data/test/medical_genetics_test.csv,10,A,A,['nutrition' 'virology']
11,data/test/medical_genetics_test.csv,11,A,A,['management' 'college medicine']
12,data/test/medical_genetics_test.csv,12,B,A,['nutrition' 'human aging']
13,data/test/medical_genetics_test.csv,13,D,D,['business ethics' 'management']
14,data/test/medical_genetics_test.csv,14,B,D,['human aging' 'business ethics']
15,data/test/medical_genetics_test.csv,15,A,A,['virology' 'marketing']
16,data/test/medical_genetics_test.csv,16,B,A,['management' 'professional medicine']
17,data/test/medical_genetics_test.csv,17,C,B,['marketing' 'clinical knowledge']
18,data/test/medical_genetics_test.csv,18,B,C,['professional accounting' 'management']
19,data/test/medical_genetics_test.csv,19,D,D,['marketing' 'college medicine']
20,data/test/medical_genetics_test.csv,20,B,D,['management' 'virology']
21,data/test/medical_genetics_test.csv,21,A,A,['college medicine' 'nutrition']
22,data/test/medical_genetics_test.csv,22,B,D,['global facts' 'college medicine']
23,data/test/medical_genetics_test.csv,23,A,A,['global facts' 'business ethics']
24,data/test/medical_genetics_test.csv,24,A,A,['business ethics' 'clinical knowledge']
25,data/test/medical_genetics_test.csv,25,A,A,['miscellaneous' 'management']
26,data/test/medical_genetics_test.csv,26,A,B,['professional medicine' 'virology']
27,data/test/medical_genetics_test.csv,27,A,C,['human aging' 'miscellaneous']
28,data/test/medical_genetics_test.csv,28,A,B,['human aging' 'business ethics']
29,data/test/medical_genetics_test.csv,29,B,D,['virology' 'professional accounting']
30,data/test/medical_genetics_test.csv,30,B,A,['marketing' 'professional accounting']
31,data/test/medical_genetics_test.csv,31,C,C,['management' 'professional accounting']
32,data/test/medical_genetics_test.csv,32,B,D,['professional medicine' 'global facts']
33,data/test/medical_genetics_test.csv,33,A,B,['professional medicine' 'virology']
34,data/test/medical_genetics_test.csv,34,C,B,['human aging' 'virology']
35,data/test/medical_genetics_test.csv,35,A,A,['global facts' 'nutrition']
36,data/test/medical_genetics_test.csv,36,A,A,['global facts' 'marketing']
37,data/test/medical_genetics_test.csv,37,B,B,['professional accounting' 'global facts']
38,data/test/medical_genetics_test.csv,38,B,D,['professional accounting' 'nutrition']
39,data/test/medical_genetics_test.csv,39,B,B,['college medicine' 'nutrition']
40,data/test/medical_genetics_test.csv,40,A,A,['professional medicine' 'clinical knowledge']
41,data/test/medical_genetics_test.csv,41,C,C,['business ethics' 'global facts']
42,data/test/medical_genetics_test.csv,42,A,C,['virology' 'college medicine']
43,data/test/medical_genetics_test.csv,43,D,D,['global facts' 'nutrition']
44,data/test/medical_genetics_test.csv,44,C,C,['professional medicine' 'professional accounting']
45,data/test/medical_genetics_test.csv,45,A,A,['business ethics' 'miscellaneous']
46,data/test/medical_genetics_test.csv,46,C,C,['human aging' 'miscellaneous']
47,data/test/medical_genetics_test.csv,47,D,D,['miscellaneous' 'business ethics']
48,data/test/medical_genetics_test.csv,48,B,C,['professional medicine' 'management']
49,data/test/medical_genetics_test.csv,49,A,D,['clinical knowledge' 'business ethics']
50,data/test/medical_genetics_test.csv,50,B,D,['clinical knowledge' 'professional medicine']
51,data/test/medical_genetics_test.csv,51,C,C,['college medicine' 'virology']
52,data/test/medical_genetics_test.csv,52,A,D,['professional accounting' 'virology']
53,data/test/medical_genetics_test.csv,53,A,B,['professional medicine' 'college medicine']
54,data/test/medical_genetics_test.csv,54,A,A,['college medicine' 'clinical knowledge']
55,data/test/medical_genetics_test.csv,55,C,B,['business ethics' 'global facts']
56,data/test/medical_genetics_test.csv,56,B,B,['clinical knowledge' 'professional medicine']
57,data/test/medical_genetics_test.csv,57,C,D,['management' 'global facts']
58,data/test/medical_genetics_test.csv,58,A,A,['management' 'nutrition']
59,data/test/medical_genetics_test.csv,59,C,B,['clinical knowledge' 'global facts']
60,data/test/medical_genetics_test.csv,60,A,A,['professional accounting' 'human aging']
61,data/test/medical_genetics_test.csv,61,A,D,['miscellaneous' 'professional medicine']
62,data/test/medical_genetics_test.csv,62,B,C,['clinical knowledge' 'nutrition']
63,data/test/medical_genetics_test.csv,63,A,C,['management' 'global facts']
64,data/test/medical_genetics_test.csv,64,B,A,['business ethics' 'college medicine']
65,data/test/medical_genetics_test.csv,65,D,A,['marketing' 'clinical knowledge']
66,data/test/medical_genetics_test.csv,66,D,B,['business ethics' 'clinical knowledge']
67,data/test/medical_genetics_test.csv,67,A,B,['human aging' 'college medicine']
68,data/test/medical_genetics_test.csv,68,A,A,['business ethics' 'clinical knowledge']
69,data/test/medical_genetics_test.csv,69,C,D,['miscellaneous' 'clinical knowledge']
70,data/test/medical_genetics_test.csv,70,B,B,['marketing' 'college medicine']
71,data/test/medical_genetics_test.csv,71,B,D,['marketing' 'management']
72,data/test/medical_genetics_test.csv,72,B,A,['professional medicine' 'business ethics']
73,data/test/medical_genetics_test.csv,73,A,C,['virology' 'business ethics']
74,data/test/medical_genetics_test.csv,74,A,B,['marketing' 'virology']
75,data/test/medical_genetics_test.csv,75,A,B,['management' 'professional accounting']
76,data/test/medical_genetics_test.csv,76,C,C,['business ethics' 'miscellaneous']
77,data/test/medical_genetics_test.csv,77,A,C,['college medicine' 'management']
78,data/test/medical_genetics_test.csv,78,A,A,['management' 'clinical knowledge']
79,data/test/medical_genetics_test.csv,79,A,A,['human aging' 'marketing']
80,data/test/medical_genetics_test.csv,80,A,B,['professional medicine' 'clinical knowledge']
81,data/test/medical_genetics_test.csv,81,C,D,['global facts' 'professional medicine']
82,data/test/medical_genetics_test.csv,82,B,B,['business ethics' 'college medicine']
83,data/test/medical_genetics_test.csv,83,B,A,['business ethics' 'management']
84,data/test/medical_genetics_test.csv,84,D,C,['virology' 'business ethics']
85,data/test/medical_genetics_test.csv,85,B,B,['college medicine' 'professional accounting']
86,data/test/medical_genetics_test.csv,86,B,A,['nutrition' 'miscellaneous']
87,data/test/medical_genetics_test.csv,87,C,B,['virology' 'college medicine']
88,data/test/medical_genetics_test.csv,88,A,D,['college medicine' 'management']
89,data/test/medical_genetics_test.csv,89,C,C,['global facts' 'professional accounting']
90,data/test/medical_genetics_test.csv,90,B,B,['virology' 'human aging']
91,data/test/medical_genetics_test.csv,91,B,B,['professional medicine' 'miscellaneous']
92,data/test/medical_genetics_test.csv,92,B,B,['marketing' 'miscellaneous']
93,data/test/medical_genetics_test.csv,93,A,A,['management' 'college medicine']
94,data/test/medical_genetics_test.csv,94,B,B,['professional medicine' 'global facts']
95,data/test/medical_genetics_test.csv,95,B,D,['human aging' 'nutrition']
96,data/test/medical_genetics_test.csv,96,C,C,['college medicine' 'management']
97,data/test/medical_genetics_test.csv,97,A,D,['management' 'human aging']
98,data/test/medical_genetics_test.csv,98,A,A,['global facts' 'miscellaneous']
99,data/test/medical_genetics_test.csv,99,C,D,['nutrition' 'miscellaneous']
