,task,item,choice,gt,meta_tasks
0,data/test/philosophy_test.csv,0,C,C,['moral disputes' 'world religions']
1,data/test/philosophy_test.csv,1,D,D,['high school world history' 'high school us history']
2,data/test/philosophy_test.csv,2,A,D,['formal logic' 'high school world history']
3,data/test/philosophy_test.csv,3,C,D,['high school european history' 'international law']
4,data/test/philosophy_test.csv,4,B,B,['jurisprudence' 'international law']
5,data/test/philosophy_test.csv,5,C,D,['jurisprudence' 'formal logic']
6,data/test/philosophy_test.csv,6,C,C,['logical fallacies' 'moral disputes']
7,data/test/philosophy_test.csv,7,B,D,['international law' 'jurisprudence']
8,data/test/philosophy_test.csv,8,A,A,['jurisprudence' 'international law']
9,data/test/philosophy_test.csv,9,D,B,['jurisprudence' 'high school world history']
10,data/test/philosophy_test.csv,10,C,C,['logical fallacies' 'moral disputes']
11,data/test/philosophy_test.csv,11,C,C,['high school us history' 'logical fallacies']
12,data/test/philosophy_test.csv,12,A,B,['logical fallacies' 'high school world history']
13,data/test/philosophy_test.csv,13,A,A,['moral scenarios' 'logical fallacies']
14,data/test/philosophy_test.csv,14,C,D,['world religions' 'jurisprudence']
15,data/test/philosophy_test.csv,15,A,A,['high school us history' 'formal logic']
16,data/test/philosophy_test.csv,16,B,A,['logical fallacies' 'world religions']
17,data/test/philosophy_test.csv,17,D,D,['world religions' 'high school us history']
18,data/test/philosophy_test.csv,18,C,A,['logical fallacies' 'moral disputes']
19,data/test/philosophy_test.csv,19,A,D,['moral scenarios' 'high school european history']
20,data/test/philosophy_test.csv,20,C,C,['high school us history' 'formal logic']
21,data/test/philosophy_test.csv,21,B,A,['high school european history' 'high school us history']
22,data/test/philosophy_test.csv,22,C,C,['moral scenarios' 'high school european history']
23,data/test/philosophy_test.csv,23,A,B,['prehistory' 'world religions']
24,data/test/philosophy_test.csv,24,B,B,['prehistory' 'high school world history']
25,data/test/philosophy_test.csv,25,B,B,['world religions' 'moral disputes']
26,data/test/philosophy_test.csv,26,A,A,['high school european history' 'logical fallacies']
27,data/test/philosophy_test.csv,27,C,C,['moral scenarios' 'moral disputes']
28,data/test/philosophy_test.csv,28,B,B,['jurisprudence' 'high school world history']
29,data/test/philosophy_test.csv,29,D,D,['high school world history' 'prehistory']
30,data/test/philosophy_test.csv,30,C,A,['prehistory' 'moral disputes']
31,data/test/philosophy_test.csv,31,B,B,['prehistory' 'moral scenarios']
32,data/test/philosophy_test.csv,32,C,C,['international law' 'high school us history']
33,data/test/philosophy_test.csv,33,A,A,['high school european history' 'moral disputes']
34,data/test/philosophy_test.csv,34,B,D,['world religions' 'high school world history']
35,data/test/philosophy_test.csv,35,B,B,['moral scenarios' 'high school world history']
36,data/test/philosophy_test.csv,36,B,B,['jurisprudence' 'moral disputes']
37,data/test/philosophy_test.csv,37,A,C,['high school european history' 'moral disputes']
38,data/test/philosophy_test.csv,38,D,D,['international law' 'high school european history']
39,data/test/philosophy_test.csv,39,B,B,['moral disputes' 'formal logic']
40,data/test/philosophy_test.csv,40,B,C,['high school us history' 'moral disputes']
41,data/test/philosophy_test.csv,41,C,C,['moral scenarios' 'moral disputes']
42,data/test/philosophy_test.csv,42,A,C,['world religions' 'high school world history']
43,data/test/philosophy_test.csv,43,C,B,['moral disputes' 'high school world history']
44,data/test/philosophy_test.csv,44,C,C,['high school european history' 'formal logic']
45,data/test/philosophy_test.csv,45,B,D,['moral scenarios' 'international law']
46,data/test/philosophy_test.csv,46,C,A,['international law' 'prehistory']
47,data/test/philosophy_test.csv,47,C,C,['world religions' 'moral scenarios']
48,data/test/philosophy_test.csv,48,A,B,['world religions' 'international law']
49,data/test/philosophy_test.csv,49,D,D,['formal logic' 'logical fallacies']
50,data/test/philosophy_test.csv,50,C,D,['moral disputes' 'formal logic']
51,data/test/philosophy_test.csv,51,C,D,['formal logic' 'moral disputes']
52,data/test/philosophy_test.csv,52,C,D,['high school european history' 'logical fallacies']
53,data/test/philosophy_test.csv,53,A,C,['high school us history' 'world religions']
54,data/test/philosophy_test.csv,54,A,B,['high school world history' 'jurisprudence']
55,data/test/philosophy_test.csv,55,C,C,['international law' 'high school world history']
56,data/test/philosophy_test.csv,56,B,B,['high school us history' 'high school european history']
57,data/test/philosophy_test.csv,57,C,C,['high school european history' 'international law']
58,data/test/philosophy_test.csv,58,C,C,['world religions' 'moral scenarios']
59,data/test/philosophy_test.csv,59,C,C,['jurisprudence' 'international law']
60,data/test/philosophy_test.csv,60,B,B,['logical fallacies' 'high school us history']
61,data/test/philosophy_test.csv,61,C,D,['moral disputes' 'moral scenarios']
62,data/test/philosophy_test.csv,62,A,A,['jurisprudence' 'international law']
63,data/test/philosophy_test.csv,63,A,D,['moral scenarios' 'moral disputes']
64,data/test/philosophy_test.csv,64,D,D,['logical fallacies' 'high school european history']
65,data/test/philosophy_test.csv,65,A,A,['moral disputes' 'logical fallacies']
66,data/test/philosophy_test.csv,66,B,C,['high school european history' 'international law']
67,data/test/philosophy_test.csv,67,C,C,['moral disputes' 'world religions']
68,data/test/philosophy_test.csv,68,C,D,['prehistory' 'formal logic']
69,data/test/philosophy_test.csv,69,A,C,['international law' 'high school us history']
70,data/test/philosophy_test.csv,70,C,D,['high school us history' 'logical fallacies']
71,data/test/philosophy_test.csv,71,C,C,['moral disputes' 'international law']
72,data/test/philosophy_test.csv,72,C,D,['high school us history' 'world religions']
73,data/test/philosophy_test.csv,73,B,B,['moral disputes' 'formal logic']
74,data/test/philosophy_test.csv,74,A,B,['prehistory' 'high school us history']
75,data/test/philosophy_test.csv,75,B,D,['jurisprudence' 'international law']
76,data/test/philosophy_test.csv,76,D,D,['prehistory' 'moral scenarios']
77,data/test/philosophy_test.csv,77,C,B,['moral disputes' 'formal logic']
78,data/test/philosophy_test.csv,78,B,C,['high school us history' 'moral scenarios']
79,data/test/philosophy_test.csv,79,B,B,['jurisprudence' 'moral scenarios']
80,data/test/philosophy_test.csv,80,C,D,['jurisprudence' 'logical fallacies']
81,data/test/philosophy_test.csv,81,D,C,['jurisprudence' 'world religions']
82,data/test/philosophy_test.csv,82,B,B,['high school us history' 'logical fallacies']
83,data/test/philosophy_test.csv,83,D,C,['formal logic' 'high school european history']
84,data/test/philosophy_test.csv,84,A,D,['logical fallacies' 'moral scenarios']
85,data/test/philosophy_test.csv,85,B,C,['high school world history' 'logical fallacies']
86,data/test/philosophy_test.csv,86,A,D,['high school us history' 'world religions']
87,data/test/philosophy_test.csv,87,A,D,['high school world history' 'moral disputes']
88,data/test/philosophy_test.csv,88,A,A,['high school us history' 'jurisprudence']
89,data/test/philosophy_test.csv,89,C,C,['prehistory' 'world religions']
90,data/test/philosophy_test.csv,90,C,B,['jurisprudence' 'moral scenarios']
91,data/test/philosophy_test.csv,91,B,B,['high school world history' 'jurisprudence']
92,data/test/philosophy_test.csv,92,A,B,['prehistory' 'high school us history']
93,data/test/philosophy_test.csv,93,A,C,['high school european history' 'high school us history']
94,data/test/philosophy_test.csv,94,C,A,['formal logic' 'high school us history']
95,data/test/philosophy_test.csv,95,B,B,['high school world history' 'high school us history']
96,data/test/philosophy_test.csv,96,A,C,['jurisprudence' 'logical fallacies']
97,data/test/philosophy_test.csv,97,A,A,['jurisprudence' 'high school european history']
98,data/test/philosophy_test.csv,98,C,B,['high school us history' 'logical fallacies']
99,data/test/philosophy_test.csv,99,A,D,['international law' 'moral disputes']
100,data/test/philosophy_test.csv,100,C,B,['logical fallacies' 'high school european history']
101,data/test/philosophy_test.csv,101,C,C,['moral disputes' 'formal logic']
102,data/test/philosophy_test.csv,102,D,C,['jurisprudence' 'formal logic']
103,data/test/philosophy_test.csv,103,A,A,['formal logic' 'moral scenarios']
104,data/test/philosophy_test.csv,104,B,B,['logical fallacies' 'prehistory']
105,data/test/philosophy_test.csv,105,A,C,['high school european history' 'formal logic']
106,data/test/philosophy_test.csv,106,A,A,['moral scenarios' 'world religions']
107,data/test/philosophy_test.csv,107,A,B,['high school european history' 'moral scenarios']
108,data/test/philosophy_test.csv,108,C,C,['international law' 'formal logic']
109,data/test/philosophy_test.csv,109,C,C,['high school us history' 'world religions']
110,data/test/philosophy_test.csv,110,A,B,['moral scenarios' 'prehistory']
111,data/test/philosophy_test.csv,111,C,D,['moral disputes' 'jurisprudence']
112,data/test/philosophy_test.csv,112,A,A,['high school european history' 'moral scenarios']
113,data/test/philosophy_test.csv,113,C,B,['high school us history' 'international law']
114,data/test/philosophy_test.csv,114,A,A,['moral scenarios' 'international law']
115,data/test/philosophy_test.csv,115,B,A,['high school world history' 'world religions']
116,data/test/philosophy_test.csv,116,C,D,['high school world history' 'international law']
117,data/test/philosophy_test.csv,117,D,D,['world religions' 'international law']
118,data/test/philosophy_test.csv,118,C,C,['international law' 'logical fallacies']
119,data/test/philosophy_test.csv,119,B,B,['high school us history' 'formal logic']
120,data/test/philosophy_test.csv,120,A,D,['moral disputes' 'high school us history']
121,data/test/philosophy_test.csv,121,D,C,['jurisprudence' 'logical fallacies']
122,data/test/philosophy_test.csv,122,C,C,['world religions' 'prehistory']
123,data/test/philosophy_test.csv,123,A,D,['moral scenarios' 'high school us history']
124,data/test/philosophy_test.csv,124,A,B,['moral disputes' 'world religions']
125,data/test/philosophy_test.csv,125,C,C,['moral scenarios' 'jurisprudence']
126,data/test/philosophy_test.csv,126,B,B,['high school european history' 'jurisprudence']
127,data/test/philosophy_test.csv,127,C,C,['moral disputes' 'world religions']
128,data/test/philosophy_test.csv,128,B,B,['logical fallacies' 'moral disputes']
