,task,item,choice,gt,meta_tasks
0,data/test/professional_accounting_test.csv,0,A,A,['clinical knowledge' 'business ethics']
1,data/test/professional_accounting_test.csv,1,C,B,['clinical knowledge' 'virology']
2,data/test/professional_accounting_test.csv,2,A,B,['human aging' 'global facts']
3,data/test/professional_accounting_test.csv,3,C,D,['nutrition' 'marketing']
4,data/test/professional_accounting_test.csv,4,A,A,['clinical knowledge' 'medical genetics']
5,data/test/professional_accounting_test.csv,5,B,C,['professional medicine' 'college medicine']
6,data/test/professional_accounting_test.csv,6,B,D,['medical genetics' 'marketing']
7,data/test/professional_accounting_test.csv,7,B,D,['global facts' 'medical genetics']
8,data/test/professional_accounting_test.csv,8,A,D,['miscellaneous' 'marketing']
9,data/test/professional_accounting_test.csv,9,B,C,['management' 'medical genetics']
10,data/test/professional_accounting_test.csv,10,C,D,['marketing' 'management']
11,data/test/professional_accounting_test.csv,11,D,B,['miscellaneous' 'human aging']
12,data/test/professional_accounting_test.csv,12,A,A,['medical genetics' 'management']
13,data/test/professional_accounting_test.csv,13,C,B,['management' 'global facts']
14,data/test/professional_accounting_test.csv,14,A,C,['miscellaneous' 'human aging']
15,data/test/professional_accounting_test.csv,15,A,B,['nutrition' 'business ethics']
16,data/test/professional_accounting_test.csv,16,C,C,['marketing' 'miscellaneous']
17,data/test/professional_accounting_test.csv,17,C,C,['college medicine' 'miscellaneous']
18,data/test/professional_accounting_test.csv,18,C,C,['virology' 'management']
19,data/test/professional_accounting_test.csv,19,C,B,['clinical knowledge' 'marketing']
20,data/test/professional_accounting_test.csv,20,B,B,['medical genetics' 'human aging']
21,data/test/professional_accounting_test.csv,21,A,D,['management' 'college medicine']
22,data/test/professional_accounting_test.csv,22,A,B,['virology' 'nutrition']
23,data/test/professional_accounting_test.csv,23,C,C,['professional medicine' 'medical genetics']
24,data/test/professional_accounting_test.csv,24,D,D,['human aging' 'college medicine']
25,data/test/professional_accounting_test.csv,25,B,B,['miscellaneous' 'college medicine']
26,data/test/professional_accounting_test.csv,26,B,D,['management' 'business ethics']
27,data/test/professional_accounting_test.csv,27,A,D,['miscellaneous' 'college medicine']
28,data/test/professional_accounting_test.csv,28,D,B,['medical genetics' 'global facts']
29,data/test/professional_accounting_test.csv,29,B,C,['human aging' 'medical genetics']
30,data/test/professional_accounting_test.csv,30,B,B,['nutrition' 'marketing']
31,data/test/professional_accounting_test.csv,31,A,B,['business ethics' 'clinical knowledge']
32,data/test/professional_accounting_test.csv,32,D,A,['professional medicine' 'marketing']
33,data/test/professional_accounting_test.csv,33,B,A,['management' 'miscellaneous']
34,data/test/professional_accounting_test.csv,34,A,D,['virology' 'marketing']
35,data/test/professional_accounting_test.csv,35,A,B,['college medicine' 'global facts']
36,data/test/professional_accounting_test.csv,36,B,B,['business ethics' 'management']
37,data/test/professional_accounting_test.csv,37,A,C,['medical genetics' 'business ethics']
38,data/test/professional_accounting_test.csv,38,C,D,['professional medicine' 'marketing']
39,data/test/professional_accounting_test.csv,39,B,D,['medical genetics' 'professional medicine']
40,data/test/professional_accounting_test.csv,40,B,C,['medical genetics' 'college medicine']
41,data/test/professional_accounting_test.csv,41,C,D,['virology' 'nutrition']
42,data/test/professional_accounting_test.csv,42,A,A,['miscellaneous' 'management']
43,data/test/professional_accounting_test.csv,43,C,A,['global facts' 'medical genetics']
44,data/test/professional_accounting_test.csv,44,A,A,['marketing' 'nutrition']
45,data/test/professional_accounting_test.csv,45,B,A,['global facts' 'miscellaneous']
46,data/test/professional_accounting_test.csv,46,A,C,['human aging' 'nutrition']
47,data/test/professional_accounting_test.csv,47,C,B,['medical genetics' 'business ethics']
48,data/test/professional_accounting_test.csv,48,D,C,['medical genetics' 'professional medicine']
49,data/test/professional_accounting_test.csv,49,D,C,['virology' 'college medicine']
50,data/test/professional_accounting_test.csv,50,B,A,['professional medicine' 'virology']
51,data/test/professional_accounting_test.csv,51,C,A,['professional medicine' 'management']
52,data/test/professional_accounting_test.csv,52,A,B,['business ethics' 'virology']
53,data/test/professional_accounting_test.csv,53,C,D,['marketing' 'business ethics']
54,data/test/professional_accounting_test.csv,54,D,C,['management' 'medical genetics']
55,data/test/professional_accounting_test.csv,55,D,D,['clinical knowledge' 'professional medicine']
56,data/test/professional_accounting_test.csv,56,A,D,['marketing' 'miscellaneous']
57,data/test/professional_accounting_test.csv,57,C,D,['professional medicine' 'human aging']
