,task,item,choice,gt,meta_tasks
0,data/test/security_studies_test.csv,0,C,C,['econometrics' 'human sexuality']
1,data/test/security_studies_test.csv,1,D,B,['high school geography' 'sociology']
2,data/test/security_studies_test.csv,2,C,A,['professional psychology' 'high school government and politics']
3,data/test/security_studies_test.csv,3,D,D,['econometrics' 'high school government and politics']
4,data/test/security_studies_test.csv,4,A,B,['high school government and politics' 'public relations']
5,data/test/security_studies_test.csv,5,D,C,['high school psychology' 'sociology']
6,data/test/security_studies_test.csv,6,D,D,['sociology' 'professional psychology']
7,data/test/security_studies_test.csv,7,A,A,['high school geography' 'high school microeconomics']
8,data/test/security_studies_test.csv,8,D,B,['high school microeconomics' 'public relations']
9,data/test/security_studies_test.csv,9,C,A,['us foreign policy' 'high school psychology']
10,data/test/security_studies_test.csv,10,D,D,['econometrics' 'public relations']
11,data/test/security_studies_test.csv,11,A,A,['high school microeconomics' 'sociology']
12,data/test/security_studies_test.csv,12,C,C,['professional psychology' 'high school government and politics']
13,data/test/security_studies_test.csv,13,D,B,['public relations' 'high school microeconomics']
14,data/test/security_studies_test.csv,14,D,C,['us foreign policy' 'human sexuality']
15,data/test/security_studies_test.csv,15,D,C,['econometrics' 'high school geography']
16,data/test/security_studies_test.csv,16,A,A,['human sexuality' 'high school microeconomics']
17,data/test/security_studies_test.csv,17,D,C,['high school geography' 'sociology']
18,data/test/security_studies_test.csv,18,C,C,['high school macroeconomics' 'high school microeconomics']
19,data/test/security_studies_test.csv,19,D,D,['high school geography' 'public relations']
20,data/test/security_studies_test.csv,20,C,B,['econometrics' 'professional psychology']
21,data/test/security_studies_test.csv,21,B,C,['us foreign policy' 'professional psychology']
22,data/test/security_studies_test.csv,22,D,D,['high school macroeconomics' 'human sexuality']
23,data/test/security_studies_test.csv,23,D,D,['sociology' 'us foreign policy']
24,data/test/security_studies_test.csv,24,D,C,['sociology' 'public relations']
25,data/test/security_studies_test.csv,25,D,B,['public relations' 'high school geography']
26,data/test/security_studies_test.csv,26,C,B,['high school macroeconomics' 'professional psychology']
27,data/test/security_studies_test.csv,27,D,D,['high school government and politics' 'professional psychology']
28,data/test/security_studies_test.csv,28,C,A,['human sexuality' 'high school government and politics']
29,data/test/security_studies_test.csv,29,A,A,['econometrics' 'high school macroeconomics']
30,data/test/security_studies_test.csv,30,A,D,['econometrics' 'high school microeconomics']
31,data/test/security_studies_test.csv,31,A,C,['econometrics' 'us foreign policy']
32,data/test/security_studies_test.csv,32,D,A,['human sexuality' 'high school microeconomics']
33,data/test/security_studies_test.csv,33,A,C,['us foreign policy' 'high school psychology']
34,data/test/security_studies_test.csv,34,C,A,['high school psychology' 'us foreign policy']
35,data/test/security_studies_test.csv,35,D,D,['high school government and politics' 'high school macroeconomics']
36,data/test/security_studies_test.csv,36,C,A,['high school government and politics' 'sociology']
37,data/test/security_studies_test.csv,37,A,A,['high school microeconomics' 'professional psychology']
38,data/test/security_studies_test.csv,38,D,D,['high school government and politics' 'high school geography']
39,data/test/security_studies_test.csv,39,D,A,['high school geography' 'high school macroeconomics']
40,data/test/security_studies_test.csv,40,D,C,['high school psychology' 'sociology']
41,data/test/security_studies_test.csv,41,C,D,['high school macroeconomics' 'professional psychology']
42,data/test/security_studies_test.csv,42,C,B,['us foreign policy' 'econometrics']
43,data/test/security_studies_test.csv,43,A,B,['econometrics' 'human sexuality']
44,data/test/security_studies_test.csv,44,A,A,['public relations' 'high school microeconomics']
45,data/test/security_studies_test.csv,45,D,C,['high school geography' 'us foreign policy']
46,data/test/security_studies_test.csv,46,C,C,['high school geography' 'high school psychology']
47,data/test/security_studies_test.csv,47,C,D,['sociology' 'public relations']
48,data/test/security_studies_test.csv,48,D,D,['high school geography' 'sociology']
49,data/test/security_studies_test.csv,49,C,B,['high school government and politics' 'us foreign policy']
50,data/test/security_studies_test.csv,50,C,A,['high school microeconomics' 'professional psychology']
51,data/test/security_studies_test.csv,51,C,B,['high school psychology' 'high school macroeconomics']
52,data/test/security_studies_test.csv,52,C,D,['public relations' 'high school geography']
53,data/test/security_studies_test.csv,53,D,C,['sociology' 'econometrics']
54,data/test/security_studies_test.csv,54,D,D,['human sexuality' 'high school government and politics']
55,data/test/security_studies_test.csv,55,C,C,['us foreign policy' 'human sexuality']
56,data/test/security_studies_test.csv,56,D,D,['high school macroeconomics' 'econometrics']
57,data/test/security_studies_test.csv,57,C,A,['human sexuality' 'econometrics']
58,data/test/security_studies_test.csv,58,A,D,['human sexuality' 'high school macroeconomics']
59,data/test/security_studies_test.csv,59,D,C,['public relations' 'high school geography']
60,data/test/security_studies_test.csv,60,D,D,['sociology' 'high school psychology']
61,data/test/security_studies_test.csv,61,A,A,['sociology' 'high school geography']
62,data/test/security_studies_test.csv,62,D,D,['high school government and politics' 'high school microeconomics']
63,data/test/security_studies_test.csv,63,C,C,['us foreign policy' 'high school microeconomics']
64,data/test/security_studies_test.csv,64,D,D,['high school macroeconomics' 'high school geography']
65,data/test/security_studies_test.csv,65,A,A,['public relations' 'human sexuality']
66,data/test/security_studies_test.csv,66,A,C,['sociology' 'high school government and politics']
67,data/test/security_studies_test.csv,67,C,D,['human sexuality' 'sociology']
68,data/test/security_studies_test.csv,68,C,C,['high school microeconomics' 'sociology']
69,data/test/security_studies_test.csv,69,A,A,['human sexuality' 'sociology']
70,data/test/security_studies_test.csv,70,B,D,['sociology' 'high school macroeconomics']
71,data/test/security_studies_test.csv,71,D,D,['high school microeconomics' 'high school government and politics']
72,data/test/security_studies_test.csv,72,C,D,['high school microeconomics' 'high school government and politics']
73,data/test/security_studies_test.csv,73,D,D,['sociology' 'econometrics']
74,data/test/security_studies_test.csv,74,C,C,['us foreign policy' 'high school geography']
75,data/test/security_studies_test.csv,75,A,C,['high school psychology' 'econometrics']
76,data/test/security_studies_test.csv,76,C,B,['human sexuality' 'high school government and politics']
77,data/test/security_studies_test.csv,77,D,C,['human sexuality' 'professional psychology']
78,data/test/security_studies_test.csv,78,A,B,['high school microeconomics' 'high school government and politics']
79,data/test/security_studies_test.csv,79,D,D,['econometrics' 'public relations']
80,data/test/security_studies_test.csv,80,D,A,['sociology' 'high school psychology']
81,data/test/security_studies_test.csv,81,C,B,['high school geography' 'us foreign policy']
82,data/test/security_studies_test.csv,82,D,D,['us foreign policy' 'high school microeconomics']
83,data/test/security_studies_test.csv,83,D,A,['high school macroeconomics' 'sociology']
84,data/test/security_studies_test.csv,84,C,D,['high school psychology' 'us foreign policy']
85,data/test/security_studies_test.csv,85,D,A,['high school psychology' 'high school geography']
86,data/test/security_studies_test.csv,86,D,C,['high school geography' 'econometrics']
87,data/test/security_studies_test.csv,87,D,D,['public relations' 'us foreign policy']
88,data/test/security_studies_test.csv,88,D,C,['econometrics' 'professional psychology']
89,data/test/security_studies_test.csv,89,D,D,['high school microeconomics' 'high school psychology']
90,data/test/security_studies_test.csv,90,D,D,['econometrics' 'professional psychology']
91,data/test/security_studies_test.csv,91,D,D,['high school microeconomics' 'high school macroeconomics']
92,data/test/security_studies_test.csv,92,A,A,['public relations' 'econometrics']
93,data/test/security_studies_test.csv,93,D,D,['sociology' 'human sexuality']
94,data/test/security_studies_test.csv,94,D,C,['high school macroeconomics' 'public relations']
95,data/test/security_studies_test.csv,95,D,D,['human sexuality' 'econometrics']
96,data/test/security_studies_test.csv,96,D,D,['high school microeconomics' 'high school government and politics']
97,data/test/security_studies_test.csv,97,D,D,['econometrics' 'high school macroeconomics']
98,data/test/security_studies_test.csv,98,A,A,['econometrics' 'high school government and politics']
99,data/test/security_studies_test.csv,99,D,A,['high school microeconomics' 'professional psychology']
100,data/test/security_studies_test.csv,100,D,D,['high school microeconomics' 'high school macroeconomics']
101,data/test/security_studies_test.csv,101,D,B,['high school macroeconomics' 'public relations']
102,data/test/security_studies_test.csv,102,D,C,['high school psychology' 'human sexuality']
103,data/test/security_studies_test.csv,103,C,B,['us foreign policy' 'human sexuality']
104,data/test/security_studies_test.csv,104,D,D,['public relations' 'high school government and politics']
105,data/test/security_studies_test.csv,105,D,B,['human sexuality' 'us foreign policy']
106,data/test/security_studies_test.csv,106,D,D,['public relations' 'high school macroeconomics']
107,data/test/security_studies_test.csv,107,D,D,['human sexuality' 'econometrics']
108,data/test/security_studies_test.csv,108,C,B,['sociology' 'high school psychology']
109,data/test/security_studies_test.csv,109,C,D,['high school psychology' 'high school government and politics']
110,data/test/security_studies_test.csv,110,D,D,['high school macroeconomics' 'econometrics']
111,data/test/security_studies_test.csv,111,C,C,['high school geography' 'econometrics']
112,data/test/security_studies_test.csv,112,D,C,['high school macroeconomics' 'sociology']
