,task,item,choice,gt,meta_tasks
0,data/test/us_foreign_policy_test.csv,0,A,A,['econometrics' 'human sexuality']
1,data/test/us_foreign_policy_test.csv,1,A,A,['econometrics' 'professional psychology']
2,data/test/us_foreign_policy_test.csv,2,D,D,['professional psychology' 'high school macroeconomics']
3,data/test/us_foreign_policy_test.csv,3,A,A,['sociology' 'high school geography']
4,data/test/us_foreign_policy_test.csv,4,D,D,['high school psychology' 'human sexuality']
5,data/test/us_foreign_policy_test.csv,5,D,D,['high school microeconomics' 'high school geography']
6,data/test/us_foreign_policy_test.csv,6,D,A,['public relations' 'high school government and politics']
7,data/test/us_foreign_policy_test.csv,7,A,A,['public relations' 'high school psychology']
8,data/test/us_foreign_policy_test.csv,8,D,D,['econometrics' 'high school psychology']
9,data/test/us_foreign_policy_test.csv,9,D,D,['human sexuality' 'public relations']
10,data/test/us_foreign_policy_test.csv,10,B,B,['high school government and politics' 'security studies']
11,data/test/us_foreign_policy_test.csv,11,B,C,['high school government and politics' 'high school psychology']
12,data/test/us_foreign_policy_test.csv,12,B,B,['high school macroeconomics' 'econometrics']
13,data/test/us_foreign_policy_test.csv,13,D,D,['professional psychology' 'high school microeconomics']
14,data/test/us_foreign_policy_test.csv,14,B,B,['public relations' 'high school government and politics']
15,data/test/us_foreign_policy_test.csv,15,B,B,['high school government and politics' 'high school psychology']
16,data/test/us_foreign_policy_test.csv,16,C,C,['high school geography' 'public relations']
17,data/test/us_foreign_policy_test.csv,17,B,B,['security studies' 'professional psychology']
18,data/test/us_foreign_policy_test.csv,18,C,C,['high school geography' 'sociology']
19,data/test/us_foreign_policy_test.csv,19,C,B,['human sexuality' 'professional psychology']
20,data/test/us_foreign_policy_test.csv,20,A,D,['high school microeconomics' 'professional psychology']
21,data/test/us_foreign_policy_test.csv,21,C,C,['econometrics' 'high school macroeconomics']
22,data/test/us_foreign_policy_test.csv,22,A,C,['high school microeconomics' 'human sexuality']
23,data/test/us_foreign_policy_test.csv,23,C,B,['professional psychology' 'high school macroeconomics']
24,data/test/us_foreign_policy_test.csv,24,B,C,['high school geography' 'security studies']
25,data/test/us_foreign_policy_test.csv,25,C,C,['sociology' 'high school geography']
26,data/test/us_foreign_policy_test.csv,26,A,A,['high school microeconomics' 'human sexuality']
27,data/test/us_foreign_policy_test.csv,27,D,B,['sociology' 'high school government and politics']
28,data/test/us_foreign_policy_test.csv,28,C,C,['high school macroeconomics' 'security studies']
29,data/test/us_foreign_policy_test.csv,29,A,A,['econometrics' 'high school government and politics']
30,data/test/us_foreign_policy_test.csv,30,C,C,['high school geography' 'public relations']
31,data/test/us_foreign_policy_test.csv,31,D,A,['high school government and politics' 'security studies']
32,data/test/us_foreign_policy_test.csv,32,D,D,['high school psychology' 'econometrics']
33,data/test/us_foreign_policy_test.csv,33,B,A,['high school microeconomics' 'high school macroeconomics']
34,data/test/us_foreign_policy_test.csv,34,B,B,['high school microeconomics' 'sociology']
35,data/test/us_foreign_policy_test.csv,35,D,D,['high school psychology' 'public relations']
36,data/test/us_foreign_policy_test.csv,36,A,A,['human sexuality' 'high school microeconomics']
37,data/test/us_foreign_policy_test.csv,37,C,C,['sociology' 'high school psychology']
38,data/test/us_foreign_policy_test.csv,38,B,B,['public relations' 'security studies']
39,data/test/us_foreign_policy_test.csv,39,A,A,['security studies' 'sociology']
40,data/test/us_foreign_policy_test.csv,40,B,B,['sociology' 'human sexuality']
41,data/test/us_foreign_policy_test.csv,41,C,B,['high school macroeconomics' 'security studies']
42,data/test/us_foreign_policy_test.csv,42,B,B,['high school psychology' 'high school geography']
43,data/test/us_foreign_policy_test.csv,43,D,D,['high school macroeconomics' 'public relations']
44,data/test/us_foreign_policy_test.csv,44,A,A,['high school geography' 'human sexuality']
