,task,item,choice,gt,meta_tasks
0,data/test/marketing_test.csv,0,B,B,[]
1,data/test/marketing_test.csv,1,A,A,[]
2,data/test/marketing_test.csv,2,B,C,[]
3,data/test/marketing_test.csv,3,A,B,[]
4,data/test/marketing_test.csv,4,A,A,[]
5,data/test/marketing_test.csv,5,B,D,[]
6,data/test/marketing_test.csv,6,A,A,[]
7,data/test/marketing_test.csv,7,A,A,[]
8,data/test/marketing_test.csv,8,A,C,[]
9,data/test/marketing_test.csv,9,B,A,[]
10,data/test/marketing_test.csv,10,C,C,[]
11,data/test/marketing_test.csv,11,B,C,[]
12,data/test/marketing_test.csv,12,A,A,[]
13,data/test/marketing_test.csv,13,B,B,[]
14,data/test/marketing_test.csv,14,A,C,[]
15,data/test/marketing_test.csv,15,C,C,[]
16,data/test/marketing_test.csv,16,D,D,[]
17,data/test/marketing_test.csv,17,C,C,[]
18,data/test/marketing_test.csv,18,C,C,[]
19,data/test/marketing_test.csv,19,A,B,[]
20,data/test/marketing_test.csv,20,C,C,[]
21,data/test/marketing_test.csv,21,A,A,[]
22,data/test/marketing_test.csv,22,A,D,[]
23,data/test/marketing_test.csv,23,B,B,[]
24,data/test/marketing_test.csv,24,B,B,[]
25,data/test/marketing_test.csv,25,B,B,[]
26,data/test/marketing_test.csv,26,C,A,[]
27,data/test/marketing_test.csv,27,C,C,[]
28,data/test/marketing_test.csv,28,B,B,[]
29,data/test/marketing_test.csv,29,A,A,[]
30,data/test/marketing_test.csv,30,B,B,[]
31,data/test/marketing_test.csv,31,A,A,[]
32,data/test/marketing_test.csv,32,A,A,[]
33,data/test/marketing_test.csv,33,C,D,[]
34,data/test/marketing_test.csv,34,C,A,[]
35,data/test/marketing_test.csv,35,A,A,[]
36,data/test/marketing_test.csv,36,B,B,[]
37,data/test/marketing_test.csv,37,B,B,[]
38,data/test/marketing_test.csv,38,A,B,[]
39,data/test/marketing_test.csv,39,B,B,[]
40,data/test/marketing_test.csv,40,B,B,[]
41,data/test/marketing_test.csv,41,C,C,[]
42,data/test/marketing_test.csv,42,B,B,[]
43,data/test/marketing_test.csv,43,A,A,[]
44,data/test/marketing_test.csv,44,B,A,[]
45,data/test/marketing_test.csv,45,B,B,[]
46,data/test/marketing_test.csv,46,C,C,[]
47,data/test/marketing_test.csv,47,C,C,[]
48,data/test/marketing_test.csv,48,A,A,[]
49,data/test/marketing_test.csv,49,B,B,[]
50,data/test/marketing_test.csv,50,D,A,[]
51,data/test/marketing_test.csv,51,B,B,[]
52,data/test/marketing_test.csv,52,B,B,[]
53,data/test/marketing_test.csv,53,D,D,[]
54,data/test/marketing_test.csv,54,A,A,[]
55,data/test/marketing_test.csv,55,A,B,[]
56,data/test/marketing_test.csv,56,B,B,[]
57,data/test/marketing_test.csv,57,C,C,[]
58,data/test/marketing_test.csv,58,A,A,[]
59,data/test/marketing_test.csv,59,A,A,[]
60,data/test/marketing_test.csv,60,C,C,[]
61,data/test/marketing_test.csv,61,A,A,[]
62,data/test/marketing_test.csv,62,C,A,[]
63,data/test/marketing_test.csv,63,A,D,[]
64,data/test/marketing_test.csv,64,A,A,[]
65,data/test/marketing_test.csv,65,C,C,[]
66,data/test/marketing_test.csv,66,A,A,[]
67,data/test/marketing_test.csv,67,A,A,[]
68,data/test/marketing_test.csv,68,D,D,[]
69,data/test/marketing_test.csv,69,D,D,[]
70,data/test/marketing_test.csv,70,A,A,[]
71,data/test/marketing_test.csv,71,C,C,[]
72,data/test/marketing_test.csv,72,A,A,[]
73,data/test/marketing_test.csv,73,A,B,[]
74,data/test/marketing_test.csv,74,C,C,[]
75,data/test/marketing_test.csv,75,D,D,[]
76,data/test/marketing_test.csv,76,C,C,[]
77,data/test/marketing_test.csv,77,C,C,[]
78,data/test/marketing_test.csv,78,D,D,[]
79,data/test/marketing_test.csv,79,B,D,[]
80,data/test/marketing_test.csv,80,C,D,[]
81,data/test/marketing_test.csv,81,D,D,[]
82,data/test/marketing_test.csv,82,C,C,[]
83,data/test/marketing_test.csv,83,A,A,[]
84,data/test/marketing_test.csv,84,D,D,[]
85,data/test/marketing_test.csv,85,B,B,[]
86,data/test/marketing_test.csv,86,C,C,[]
87,data/test/marketing_test.csv,87,A,B,[]
88,data/test/marketing_test.csv,88,D,D,[]
89,data/test/marketing_test.csv,89,A,A,[]
90,data/test/marketing_test.csv,90,A,A,[]
91,data/test/marketing_test.csv,91,C,C,[]
92,data/test/marketing_test.csv,92,A,A,[]
93,data/test/marketing_test.csv,93,A,A,[]
94,data/test/marketing_test.csv,94,D,D,[]
95,data/test/marketing_test.csv,95,C,C,[]
96,data/test/marketing_test.csv,96,A,B,[]
97,data/test/marketing_test.csv,97,A,A,[]
98,data/test/marketing_test.csv,98,B,B,[]
99,data/test/marketing_test.csv,99,A,A,[]
100,data/test/marketing_test.csv,100,D,D,[]
101,data/test/marketing_test.csv,101,A,A,[]
102,data/test/marketing_test.csv,102,C,C,[]
103,data/test/marketing_test.csv,103,C,C,[]
104,data/test/marketing_test.csv,104,D,D,[]
105,data/test/marketing_test.csv,105,A,B,[]
106,data/test/marketing_test.csv,106,B,B,[]
107,data/test/marketing_test.csv,107,D,D,[]
108,data/test/marketing_test.csv,108,D,D,[]
109,data/test/marketing_test.csv,109,A,B,[]
110,data/test/marketing_test.csv,110,A,A,[]
111,data/test/marketing_test.csv,111,B,B,[]
112,data/test/marketing_test.csv,112,A,C,[]
113,data/test/marketing_test.csv,113,B,A,[]
114,data/test/marketing_test.csv,114,A,C,[]
115,data/test/marketing_test.csv,115,A,B,[]
116,data/test/marketing_test.csv,116,B,B,[]
117,data/test/marketing_test.csv,117,B,A,[]
118,data/test/marketing_test.csv,118,C,D,[]
119,data/test/marketing_test.csv,119,C,C,[]
120,data/test/marketing_test.csv,120,D,D,[]
121,data/test/marketing_test.csv,121,C,C,[]
122,data/test/marketing_test.csv,122,D,D,[]
123,data/test/marketing_test.csv,123,A,A,[]
124,data/test/marketing_test.csv,124,B,B,[]
125,data/test/marketing_test.csv,125,A,D,[]
126,data/test/marketing_test.csv,126,C,C,[]
127,data/test/marketing_test.csv,127,C,C,[]
128,data/test/marketing_test.csv,128,C,A,[]
129,data/test/marketing_test.csv,129,C,A,[]
130,data/test/marketing_test.csv,130,A,B,[]
131,data/test/marketing_test.csv,131,D,B,[]
132,data/test/marketing_test.csv,132,D,D,[]
133,data/test/marketing_test.csv,133,A,D,[]
134,data/test/marketing_test.csv,134,A,D,[]
135,data/test/marketing_test.csv,135,D,D,[]
136,data/test/marketing_test.csv,136,A,A,[]
137,data/test/marketing_test.csv,137,A,A,[]
138,data/test/marketing_test.csv,138,A,C,[]
139,data/test/marketing_test.csv,139,A,A,[]
140,data/test/marketing_test.csv,140,A,A,[]
141,data/test/marketing_test.csv,141,B,B,[]
142,data/test/marketing_test.csv,142,B,A,[]
143,data/test/marketing_test.csv,143,B,B,[]
144,data/test/marketing_test.csv,144,B,D,[]
145,data/test/marketing_test.csv,145,C,C,[]
146,data/test/marketing_test.csv,146,D,D,[]
147,data/test/marketing_test.csv,147,B,B,[]
148,data/test/marketing_test.csv,148,C,C,[]
149,data/test/marketing_test.csv,149,B,B,[]
150,data/test/marketing_test.csv,150,C,C,[]
151,data/test/marketing_test.csv,151,C,A,[]
152,data/test/marketing_test.csv,152,A,A,[]
153,data/test/marketing_test.csv,153,A,D,[]
154,data/test/marketing_test.csv,154,D,D,[]
155,data/test/marketing_test.csv,155,D,D,[]
156,data/test/marketing_test.csv,156,B,B,[]
157,data/test/marketing_test.csv,157,A,C,[]
158,data/test/marketing_test.csv,158,B,B,[]
159,data/test/marketing_test.csv,159,C,C,[]
160,data/test/marketing_test.csv,160,C,C,[]
161,data/test/marketing_test.csv,161,A,C,[]
162,data/test/marketing_test.csv,162,B,B,[]
163,data/test/marketing_test.csv,163,A,A,[]
164,data/test/marketing_test.csv,164,C,C,[]
165,data/test/marketing_test.csv,165,C,D,[]
166,data/test/marketing_test.csv,166,C,C,[]
167,data/test/marketing_test.csv,167,A,A,[]
168,data/test/marketing_test.csv,168,C,C,[]
169,data/test/marketing_test.csv,169,C,C,[]
170,data/test/marketing_test.csv,170,C,C,[]
171,data/test/marketing_test.csv,171,C,C,[]
172,data/test/marketing_test.csv,172,A,A,[]
173,data/test/marketing_test.csv,173,B,A,[]
174,data/test/marketing_test.csv,174,A,A,[]
175,data/test/marketing_test.csv,175,A,D,[]
176,data/test/marketing_test.csv,176,D,D,[]
177,data/test/marketing_test.csv,177,A,A,[]
178,data/test/marketing_test.csv,178,C,C,[]
179,data/test/marketing_test.csv,179,B,B,[]
180,data/test/marketing_test.csv,180,C,C,[]
181,data/test/marketing_test.csv,181,C,B,[]
182,data/test/marketing_test.csv,182,D,D,[]
183,data/test/marketing_test.csv,183,A,A,[]
184,data/test/marketing_test.csv,184,A,B,[]
185,data/test/marketing_test.csv,185,B,A,[]
186,data/test/marketing_test.csv,186,A,A,[]
187,data/test/marketing_test.csv,187,A,A,[]
188,data/test/marketing_test.csv,188,A,B,[]
189,data/test/marketing_test.csv,189,B,B,[]
190,data/test/marketing_test.csv,190,C,C,[]
191,data/test/marketing_test.csv,191,A,A,[]
192,data/test/marketing_test.csv,192,A,C,[]
193,data/test/marketing_test.csv,193,B,D,[]
194,data/test/marketing_test.csv,194,B,D,[]
195,data/test/marketing_test.csv,195,A,C,[]
196,data/test/marketing_test.csv,196,C,C,[]
197,data/test/marketing_test.csv,197,B,B,[]
198,data/test/marketing_test.csv,198,C,D,[]
199,data/test/marketing_test.csv,199,A,A,[]
200,data/test/marketing_test.csv,200,B,B,[]
201,data/test/marketing_test.csv,201,C,C,[]
202,data/test/marketing_test.csv,202,C,C,[]
203,data/test/marketing_test.csv,203,C,D,[]
204,data/test/marketing_test.csv,204,B,B,[]
205,data/test/marketing_test.csv,205,C,C,[]
206,data/test/marketing_test.csv,206,D,A,[]
207,data/test/marketing_test.csv,207,C,C,[]
208,data/test/marketing_test.csv,208,B,B,[]
209,data/test/marketing_test.csv,209,C,C,[]
210,data/test/marketing_test.csv,210,B,B,[]
211,data/test/marketing_test.csv,211,B,B,[]
212,data/test/marketing_test.csv,212,B,B,[]
213,data/test/marketing_test.csv,213,D,D,[]
214,data/test/marketing_test.csv,214,C,A,[]
215,data/test/marketing_test.csv,215,B,D,[]
216,data/test/marketing_test.csv,216,A,B,[]
217,data/test/marketing_test.csv,217,C,B,[]
218,data/test/marketing_test.csv,218,A,A,[]
219,data/test/marketing_test.csv,219,A,A,[]
220,data/test/marketing_test.csv,220,B,B,[]
221,data/test/marketing_test.csv,221,C,C,[]
222,data/test/marketing_test.csv,222,D,D,[]
223,data/test/marketing_test.csv,223,C,A,[]
224,data/test/marketing_test.csv,224,A,A,[]
225,data/test/marketing_test.csv,225,B,B,[]
226,data/test/marketing_test.csv,226,A,A,[]
227,data/test/marketing_test.csv,227,A,C,[]
228,data/test/marketing_test.csv,228,D,D,[]
229,data/test/marketing_test.csv,229,C,C,[]
230,data/test/marketing_test.csv,230,D,D,[]
231,data/test/marketing_test.csv,231,A,A,[]
232,data/test/marketing_test.csv,232,A,B,[]
233,data/test/marketing_test.csv,233,A,B,[]
