,task,item,choice,gt,meta_tasks
0,data/test/prehistory_test.csv,0,B,D,[]
1,data/test/prehistory_test.csv,1,D,A,[]
2,data/test/prehistory_test.csv,2,D,A,[]
3,data/test/prehistory_test.csv,3,C,A,[]
4,data/test/prehistory_test.csv,4,C,C,[]
5,data/test/prehistory_test.csv,5,B,B,[]
6,data/test/prehistory_test.csv,6,C,C,[]
7,data/test/prehistory_test.csv,7,C,C,[]
8,data/test/prehistory_test.csv,8,B,C,[]
9,data/test/prehistory_test.csv,9,A,D,[]
10,data/test/prehistory_test.csv,10,C,C,[]
11,data/test/prehistory_test.csv,11,B,B,[]
12,data/test/prehistory_test.csv,12,C,C,[]
13,data/test/prehistory_test.csv,13,C,C,[]
14,data/test/prehistory_test.csv,14,C,C,[]
15,data/test/prehistory_test.csv,15,B,D,[]
16,data/test/prehistory_test.csv,16,C,A,[]
17,data/test/prehistory_test.csv,17,A,A,[]
18,data/test/prehistory_test.csv,18,C,C,[]
19,data/test/prehistory_test.csv,19,B,B,[]
20,data/test/prehistory_test.csv,20,C,A,[]
21,data/test/prehistory_test.csv,21,C,B,[]
22,data/test/prehistory_test.csv,22,D,D,[]
23,data/test/prehistory_test.csv,23,B,B,[]
24,data/test/prehistory_test.csv,24,B,A,[]
25,data/test/prehistory_test.csv,25,B,B,[]
26,data/test/prehistory_test.csv,26,D,D,[]
27,data/test/prehistory_test.csv,27,B,A,[]
28,data/test/prehistory_test.csv,28,D,D,[]
29,data/test/prehistory_test.csv,29,B,C,[]
30,data/test/prehistory_test.csv,30,B,A,[]
31,data/test/prehistory_test.csv,31,D,D,[]
32,data/test/prehistory_test.csv,32,C,C,[]
33,data/test/prehistory_test.csv,33,C,C,[]
34,data/test/prehistory_test.csv,34,D,A,[]
35,data/test/prehistory_test.csv,35,B,D,[]
36,data/test/prehistory_test.csv,36,B,B,[]
37,data/test/prehistory_test.csv,37,C,C,[]
38,data/test/prehistory_test.csv,38,B,D,[]
39,data/test/prehistory_test.csv,39,D,D,[]
40,data/test/prehistory_test.csv,40,B,B,[]
41,data/test/prehistory_test.csv,41,B,B,[]
42,data/test/prehistory_test.csv,42,C,B,[]
43,data/test/prehistory_test.csv,43,C,C,[]
44,data/test/prehistory_test.csv,44,D,A,[]
45,data/test/prehistory_test.csv,45,A,A,[]
46,data/test/prehistory_test.csv,46,D,B,[]
47,data/test/prehistory_test.csv,47,B,B,[]
48,data/test/prehistory_test.csv,48,C,A,[]
49,data/test/prehistory_test.csv,49,B,B,[]
50,data/test/prehistory_test.csv,50,C,A,[]
51,data/test/prehistory_test.csv,51,B,B,[]
52,data/test/prehistory_test.csv,52,C,C,[]
