,task,item,choice,gt,meta_tasks
0,data/test/college_physics_test.csv,0,C,B,['college computer science' 'college chemistry']
1,data/test/college_physics_test.csv,1,C,C,['electrical engineering' 'college mathematics']
2,data/test/college_physics_test.csv,2,C,C,['college mathematics' 'high school statistics']
3,data/test/college_physics_test.csv,3,C,A,['high school mathematics' 'machine learning']
4,data/test/college_physics_test.csv,4,B,B,['computer security' 'high school mathematics']
5,data/test/college_physics_test.csv,5,C,C,['high school computer science' 'college mathematics']
6,data/test/college_physics_test.csv,6,C,D,['computer security' 'college chemistry']
7,data/test/college_physics_test.csv,7,B,A,['college biology' 'elementary mathematics']
8,data/test/college_physics_test.csv,8,A,A,['college biology' 'high school biology']
9,data/test/college_physics_test.csv,9,C,D,['electrical engineering' 'high school biology']
10,data/test/college_physics_test.csv,10,B,D,['high school mathematics' 'college computer science']
11,data/test/college_physics_test.csv,11,B,D,['machine learning' 'college biology']
12,data/test/college_physics_test.csv,12,C,D,['anatomy' 'high school physics']
13,data/test/college_physics_test.csv,13,A,B,['college mathematics' 'college chemistry']
14,data/test/college_physics_test.csv,14,C,A,['astronomy' 'college chemistry']
15,data/test/college_physics_test.csv,15,A,D,['high school biology' 'college computer science']
16,data/test/college_physics_test.csv,16,B,B,['college computer science' 'conceptual physics']
17,data/test/college_physics_test.csv,17,C,A,['electrical engineering' 'high school biology']
18,data/test/college_physics_test.csv,18,B,B,['anatomy' 'college computer science']
19,data/test/college_physics_test.csv,19,B,A,['high school biology' 'high school statistics']
20,data/test/college_physics_test.csv,20,C,C,['electrical engineering' 'computer security']
21,data/test/college_physics_test.csv,21,B,D,['astronomy' 'computer security']
22,data/test/college_physics_test.csv,22,C,B,['astronomy' 'high school mathematics']
23,data/test/college_physics_test.csv,23,C,C,['high school computer science' 'astronomy']
24,data/test/college_physics_test.csv,24,B,B,['college computer science' 'high school physics']
25,data/test/college_physics_test.csv,25,A,D,['college biology' 'high school physics']
26,data/test/college_physics_test.csv,26,A,A,['college biology' 'electrical engineering']
27,data/test/college_physics_test.csv,27,C,B,['college biology' 'college mathematics']
28,data/test/college_physics_test.csv,28,A,B,['high school statistics' 'machine learning']
29,data/test/college_physics_test.csv,29,C,D,['high school physics' 'college mathematics']
30,data/test/college_physics_test.csv,30,B,D,['conceptual physics' 'high school chemistry']
31,data/test/college_physics_test.csv,31,D,D,['high school statistics' 'college mathematics']
32,data/test/college_physics_test.csv,32,C,B,['abstract algebra' 'machine learning']
33,data/test/college_physics_test.csv,33,B,D,['high school physics' 'anatomy']
34,data/test/college_physics_test.csv,34,B,D,['high school physics' 'elementary mathematics']
35,data/test/college_physics_test.csv,35,C,D,['college biology' 'college mathematics']
36,data/test/college_physics_test.csv,36,B,D,['conceptual physics' 'college chemistry']
37,data/test/college_physics_test.csv,37,B,A,['college chemistry' 'conceptual physics']
38,data/test/college_physics_test.csv,38,C,C,['abstract algebra' 'conceptual physics']
39,data/test/college_physics_test.csv,39,B,D,['college chemistry' 'high school statistics']
40,data/test/college_physics_test.csv,40,C,D,['high school physics' 'abstract algebra']
41,data/test/college_physics_test.csv,41,C,B,['computer security' 'high school mathematics']
42,data/test/college_physics_test.csv,42,C,C,['high school biology' 'electrical engineering']
43,data/test/college_physics_test.csv,43,C,B,['abstract algebra' 'computer security']
44,data/test/college_physics_test.csv,44,B,B,['abstract algebra' 'high school mathematics']
45,data/test/college_physics_test.csv,45,C,B,['college mathematics' 'elementary mathematics']
46,data/test/college_physics_test.csv,46,B,C,['high school computer science' 'high school chemistry']
47,data/test/college_physics_test.csv,47,B,D,['high school biology' 'computer security']
48,data/test/college_physics_test.csv,48,B,D,['high school physics' 'high school statistics']
49,data/test/college_physics_test.csv,49,C,D,['astronomy' 'high school biology']
50,data/test/college_physics_test.csv,50,C,B,['abstract algebra' 'astronomy']
51,data/test/college_physics_test.csv,51,C,A,['high school biology' 'college biology']
52,data/test/college_physics_test.csv,52,A,A,['college mathematics' 'high school statistics']
53,data/test/college_physics_test.csv,53,C,D,['high school computer science' 'college mathematics']
54,data/test/college_physics_test.csv,54,B,C,['conceptual physics' 'computer security']
55,data/test/college_physics_test.csv,55,B,D,['college mathematics' 'anatomy']
56,data/test/college_physics_test.csv,56,C,C,['college mathematics' 'conceptual physics']
57,data/test/college_physics_test.csv,57,C,D,['conceptual physics' 'astronomy']
58,data/test/college_physics_test.csv,58,C,D,['college computer science' 'high school mathematics']
59,data/test/college_physics_test.csv,59,C,C,['college mathematics' 'high school computer science']
60,data/test/college_physics_test.csv,60,A,D,['college computer science' 'college chemistry']
61,data/test/college_physics_test.csv,61,A,A,['high school statistics' 'high school chemistry']
62,data/test/college_physics_test.csv,62,C,D,['high school chemistry' 'college computer science']
63,data/test/college_physics_test.csv,63,B,D,['high school computer science' 'electrical engineering']
64,data/test/college_physics_test.csv,64,B,A,['high school mathematics' 'high school biology']
65,data/test/college_physics_test.csv,65,D,D,['conceptual physics' 'college mathematics']
66,data/test/college_physics_test.csv,66,B,B,['high school chemistry' 'college chemistry']
67,data/test/college_physics_test.csv,67,C,A,['college mathematics' 'anatomy']
68,data/test/college_physics_test.csv,68,C,A,['conceptual physics' 'high school biology']
69,data/test/college_physics_test.csv,69,A,A,['high school statistics' 'college mathematics']
