,task,item,choice,gt,meta_tasks
0,data/test/global_facts_test.csv,0,C,C,['professional accounting' 'nutrition']
1,data/test/global_facts_test.csv,1,C,B,['miscellaneous' 'management']
2,data/test/global_facts_test.csv,2,C,C,['human aging' 'clinical knowledge']
3,data/test/global_facts_test.csv,3,A,A,['professional medicine' 'college medicine']
4,data/test/global_facts_test.csv,4,B,C,['business ethics' 'virology']
5,data/test/global_facts_test.csv,5,A,A,['business ethics' 'college medicine']
6,data/test/global_facts_test.csv,6,C,C,['virology' 'miscellaneous']
7,data/test/global_facts_test.csv,7,C,C,['virology' 'business ethics']
8,data/test/global_facts_test.csv,8,C,C,['nutrition' 'management']
9,data/test/global_facts_test.csv,9,C,B,['management' 'professional accounting']
10,data/test/global_facts_test.csv,10,C,D,['management' 'virology']
11,data/test/global_facts_test.csv,11,A,B,['college medicine' 'miscellaneous']
12,data/test/global_facts_test.csv,12,C,C,['nutrition' 'professional medicine']
13,data/test/global_facts_test.csv,13,A,A,['college medicine' 'business ethics']
14,data/test/global_facts_test.csv,14,A,B,['marketing' 'business ethics']
15,data/test/global_facts_test.csv,15,C,B,['human aging' 'clinical knowledge']
16,data/test/global_facts_test.csv,16,C,A,['business ethics' 'human aging']
17,data/test/global_facts_test.csv,17,A,C,['professional medicine' 'marketing']
18,data/test/global_facts_test.csv,18,C,C,['professional accounting' 'college medicine']
19,data/test/global_facts_test.csv,19,A,B,['virology' 'management']
20,data/test/global_facts_test.csv,20,C,A,['miscellaneous' 'professional medicine']
21,data/test/global_facts_test.csv,21,C,A,['college medicine' 'clinical knowledge']
22,data/test/global_facts_test.csv,22,C,D,['human aging' 'management']
23,data/test/global_facts_test.csv,23,A,B,['nutrition' 'professional accounting']
24,data/test/global_facts_test.csv,24,A,D,['human aging' 'management']
25,data/test/global_facts_test.csv,25,C,D,['management' 'marketing']
26,data/test/global_facts_test.csv,26,A,D,['clinical knowledge' 'virology']
27,data/test/global_facts_test.csv,27,A,C,['clinical knowledge' 'virology']
28,data/test/global_facts_test.csv,28,C,D,['professional accounting' 'marketing']
29,data/test/global_facts_test.csv,29,C,C,['clinical knowledge' 'medical genetics']
30,data/test/global_facts_test.csv,30,A,C,['human aging' 'marketing']
31,data/test/global_facts_test.csv,31,A,A,['clinical knowledge' 'college medicine']
32,data/test/global_facts_test.csv,32,C,B,['business ethics' 'college medicine']
33,data/test/global_facts_test.csv,33,C,C,['human aging' 'miscellaneous']
34,data/test/global_facts_test.csv,34,C,D,['clinical knowledge' 'professional medicine']
35,data/test/global_facts_test.csv,35,C,D,['college medicine' 'management']
36,data/test/global_facts_test.csv,36,D,D,['college medicine' 'miscellaneous']
37,data/test/global_facts_test.csv,37,A,B,['business ethics' 'virology']
38,data/test/global_facts_test.csv,38,B,D,['clinical knowledge' 'business ethics']
39,data/test/global_facts_test.csv,39,C,C,['college medicine' 'professional accounting']
40,data/test/global_facts_test.csv,40,C,B,['human aging' 'medical genetics']
41,data/test/global_facts_test.csv,41,C,A,['marketing' 'professional medicine']
42,data/test/global_facts_test.csv,42,A,C,['management' 'professional medicine']
43,data/test/global_facts_test.csv,43,A,A,['business ethics' 'marketing']
44,data/test/global_facts_test.csv,44,A,C,['professional medicine' 'human aging']
45,data/test/global_facts_test.csv,45,C,C,['business ethics' 'virology']
46,data/test/global_facts_test.csv,46,C,A,['management' 'nutrition']
47,data/test/global_facts_test.csv,47,C,B,['human aging' 'college medicine']
48,data/test/global_facts_test.csv,48,C,C,['management' 'business ethics']
49,data/test/global_facts_test.csv,49,C,B,['professional accounting' 'professional medicine']
50,data/test/global_facts_test.csv,50,C,B,['human aging' 'business ethics']
51,data/test/global_facts_test.csv,51,A,B,['college medicine' 'virology']
52,data/test/global_facts_test.csv,52,A,B,['professional accounting' 'medical genetics']
53,data/test/global_facts_test.csv,53,C,D,['clinical knowledge' 'business ethics']
54,data/test/global_facts_test.csv,54,A,A,['medical genetics' 'nutrition']
55,data/test/global_facts_test.csv,55,A,B,['marketing' 'nutrition']
56,data/test/global_facts_test.csv,56,C,D,['human aging' 'clinical knowledge']
57,data/test/global_facts_test.csv,57,C,D,['professional accounting' 'management']
58,data/test/global_facts_test.csv,58,C,C,['human aging' 'professional medicine']
59,data/test/global_facts_test.csv,59,A,B,['professional accounting' 'marketing']
60,data/test/global_facts_test.csv,60,A,C,['professional accounting' 'marketing']
61,data/test/global_facts_test.csv,61,A,A,['clinical knowledge' 'management']
62,data/test/global_facts_test.csv,62,C,B,['management' 'college medicine']
63,data/test/global_facts_test.csv,63,C,C,['human aging' 'college medicine']
64,data/test/global_facts_test.csv,64,A,B,['college medicine' 'professional accounting']
65,data/test/global_facts_test.csv,65,A,C,['miscellaneous' 'medical genetics']
66,data/test/global_facts_test.csv,66,A,A,['college medicine' 'business ethics']
67,data/test/global_facts_test.csv,67,C,B,['human aging' 'college medicine']
68,data/test/global_facts_test.csv,68,A,C,['professional accounting' 'medical genetics']
69,data/test/global_facts_test.csv,69,C,B,['medical genetics' 'management']
70,data/test/global_facts_test.csv,70,C,B,['management' 'nutrition']
71,data/test/global_facts_test.csv,71,C,A,['management' 'professional medicine']
72,data/test/global_facts_test.csv,72,A,B,['human aging' 'miscellaneous']
73,data/test/global_facts_test.csv,73,C,C,['miscellaneous' 'marketing']
74,data/test/global_facts_test.csv,74,A,C,['college medicine' 'professional accounting']
75,data/test/global_facts_test.csv,75,C,B,['virology' 'marketing']
76,data/test/global_facts_test.csv,76,C,C,['human aging' 'clinical knowledge']
77,data/test/global_facts_test.csv,77,A,A,['professional medicine' 'marketing']
78,data/test/global_facts_test.csv,78,A,C,['business ethics' 'professional accounting']
79,data/test/global_facts_test.csv,79,A,B,['human aging' 'college medicine']
80,data/test/global_facts_test.csv,80,A,C,['business ethics' 'clinical knowledge']
81,data/test/global_facts_test.csv,81,C,C,['college medicine' 'human aging']
82,data/test/global_facts_test.csv,82,A,A,['marketing' 'virology']
83,data/test/global_facts_test.csv,83,C,B,['nutrition' 'management']
84,data/test/global_facts_test.csv,84,A,A,['virology' 'human aging']
85,data/test/global_facts_test.csv,85,A,B,['medical genetics' 'clinical knowledge']
86,data/test/global_facts_test.csv,86,A,C,['virology' 'business ethics']
87,data/test/global_facts_test.csv,87,A,C,['college medicine' 'miscellaneous']
88,data/test/global_facts_test.csv,88,A,C,['medical genetics' 'professional medicine']
89,data/test/global_facts_test.csv,89,A,B,['medical genetics' 'clinical knowledge']
90,data/test/global_facts_test.csv,90,A,D,['college medicine' 'miscellaneous']
91,data/test/global_facts_test.csv,91,A,A,['clinical knowledge' 'management']
92,data/test/global_facts_test.csv,92,C,D,['virology' 'clinical knowledge']
93,data/test/global_facts_test.csv,93,C,B,['business ethics' 'medical genetics']
94,data/test/global_facts_test.csv,94,A,B,['college medicine' 'professional accounting']
95,data/test/global_facts_test.csv,95,C,B,['professional medicine' 'miscellaneous']
96,data/test/global_facts_test.csv,96,A,D,['human aging' 'professional accounting']
97,data/test/global_facts_test.csv,97,C,D,['business ethics' 'miscellaneous']
98,data/test/global_facts_test.csv,98,C,C,['miscellaneous' 'professional accounting']
99,data/test/global_facts_test.csv,99,A,D,['professional medicine' 'nutrition']
