,task,item,choice,gt,meta_tasks
0,data/test/high_school_geography_test.csv,0,A,B,['high school macroeconomics' 'public relations']
1,data/test/high_school_geography_test.csv,1,A,D,['human sexuality' 'econometrics']
2,data/test/high_school_geography_test.csv,2,C,C,['high school macroeconomics' 'sociology']
3,data/test/high_school_geography_test.csv,3,A,A,['sociology' 'high school psychology']
4,data/test/high_school_geography_test.csv,4,B,D,['sociology' 'professional psychology']
5,data/test/high_school_geography_test.csv,5,D,D,['human sexuality' 'public relations']
6,data/test/high_school_geography_test.csv,6,A,D,['professional psychology' 'public relations']
7,data/test/high_school_geography_test.csv,7,C,C,['high school macroeconomics' 'security studies']
8,data/test/high_school_geography_test.csv,8,A,A,['high school psychology' 'high school microeconomics']
9,data/test/high_school_geography_test.csv,9,A,D,['sociology' 'econometrics']
10,data/test/high_school_geography_test.csv,10,A,A,['professional psychology' 'human sexuality']
11,data/test/high_school_geography_test.csv,11,B,B,['high school macroeconomics' 'security studies']
12,data/test/high_school_geography_test.csv,12,B,A,['security studies' 'econometrics']
13,data/test/high_school_geography_test.csv,13,D,D,['high school microeconomics' 'public relations']
14,data/test/high_school_geography_test.csv,14,B,B,['high school psychology' 'public relations']
15,data/test/high_school_geography_test.csv,15,C,D,['security studies' 'us foreign policy']
16,data/test/high_school_geography_test.csv,16,D,D,['high school government and politics' 'sociology']
17,data/test/high_school_geography_test.csv,17,C,D,['public relations' 'econometrics']
18,data/test/high_school_geography_test.csv,18,B,B,['human sexuality' 'public relations']
19,data/test/high_school_geography_test.csv,19,C,C,['professional psychology' 'sociology']
20,data/test/high_school_geography_test.csv,20,C,C,['high school microeconomics' 'high school macroeconomics']
21,data/test/high_school_geography_test.csv,21,B,D,['high school microeconomics' 'professional psychology']
22,data/test/high_school_geography_test.csv,22,A,D,['public relations' 'high school macroeconomics']
23,data/test/high_school_geography_test.csv,23,A,D,['human sexuality' 'high school microeconomics']
24,data/test/high_school_geography_test.csv,24,B,B,['high school government and politics' 'security studies']
25,data/test/high_school_geography_test.csv,25,A,A,['econometrics' 'high school macroeconomics']
26,data/test/high_school_geography_test.csv,26,B,B,['security studies' 'high school psychology']
27,data/test/high_school_geography_test.csv,27,C,B,['professional psychology' 'human sexuality']
28,data/test/high_school_geography_test.csv,28,C,C,['high school government and politics' 'human sexuality']
29,data/test/high_school_geography_test.csv,29,A,A,['sociology' 'high school macroeconomics']
30,data/test/high_school_geography_test.csv,30,B,A,['high school microeconomics' 'high school psychology']
31,data/test/high_school_geography_test.csv,31,D,D,['security studies' 'sociology']
32,data/test/high_school_geography_test.csv,32,C,C,['security studies' 'human sexuality']
33,data/test/high_school_geography_test.csv,33,A,D,['high school microeconomics' 'human sexuality']
34,data/test/high_school_geography_test.csv,34,A,B,['human sexuality' 'us foreign policy']
35,data/test/high_school_geography_test.csv,35,B,C,['sociology' 'high school macroeconomics']
36,data/test/high_school_geography_test.csv,36,C,C,['econometrics' 'high school government and politics']
37,data/test/high_school_geography_test.csv,37,C,C,['professional psychology' 'econometrics']
38,data/test/high_school_geography_test.csv,38,B,D,['professional psychology' 'sociology']
39,data/test/high_school_geography_test.csv,39,A,D,['high school microeconomics' 'security studies']
40,data/test/high_school_geography_test.csv,40,A,A,['us foreign policy' 'security studies']
41,data/test/high_school_geography_test.csv,41,B,B,['public relations' 'security studies']
42,data/test/high_school_geography_test.csv,42,A,B,['human sexuality' 'professional psychology']
43,data/test/high_school_geography_test.csv,43,A,B,['security studies' 'public relations']
44,data/test/high_school_geography_test.csv,44,C,D,['us foreign policy' 'professional psychology']
45,data/test/high_school_geography_test.csv,45,D,D,['high school microeconomics' 'security studies']
46,data/test/high_school_geography_test.csv,46,C,A,['high school psychology' 'professional psychology']
47,data/test/high_school_geography_test.csv,47,C,A,['us foreign policy' 'security studies']
48,data/test/high_school_geography_test.csv,48,A,D,['sociology' 'high school government and politics']
49,data/test/high_school_geography_test.csv,49,B,B,['high school government and politics' 'us foreign policy']
50,data/test/high_school_geography_test.csv,50,A,A,['public relations' 'high school government and politics']
51,data/test/high_school_geography_test.csv,51,D,D,['human sexuality' 'security studies']
52,data/test/high_school_geography_test.csv,52,A,B,['public relations' 'high school psychology']
53,data/test/high_school_geography_test.csv,53,A,C,['high school government and politics' 'public relations']
54,data/test/high_school_geography_test.csv,54,A,D,['high school macroeconomics' 'us foreign policy']
55,data/test/high_school_geography_test.csv,55,C,C,['high school psychology' 'professional psychology']
56,data/test/high_school_geography_test.csv,56,A,A,['high school government and politics' 'us foreign policy']
57,data/test/high_school_geography_test.csv,57,C,D,['high school psychology' 'high school macroeconomics']
58,data/test/high_school_geography_test.csv,58,D,D,['human sexuality' 'professional psychology']
59,data/test/high_school_geography_test.csv,59,B,A,['us foreign policy' 'high school psychology']
60,data/test/high_school_geography_test.csv,60,B,D,['sociology' 'security studies']
61,data/test/high_school_geography_test.csv,61,A,B,['us foreign policy' 'econometrics']
62,data/test/high_school_geography_test.csv,62,C,C,['sociology' 'us foreign policy']
63,data/test/high_school_geography_test.csv,63,D,D,['high school government and politics' 'human sexuality']
64,data/test/high_school_geography_test.csv,64,D,B,['us foreign policy' 'public relations']
65,data/test/high_school_geography_test.csv,65,C,C,['professional psychology' 'us foreign policy']
66,data/test/high_school_geography_test.csv,66,D,D,['high school government and politics' 'human sexuality']
67,data/test/high_school_geography_test.csv,67,D,B,['high school macroeconomics' 'sociology']
