,task,item,choice,gt,meta_tasks
0,data/test/nutrition_test.csv,0,C,C,['clinical knowledge' 'professional medicine']
1,data/test/nutrition_test.csv,1,A,B,['virology' 'medical genetics']
2,data/test/nutrition_test.csv,2,D,A,['business ethics' 'clinical knowledge']
3,data/test/nutrition_test.csv,3,A,A,['management' 'business ethics']
4,data/test/nutrition_test.csv,4,C,C,['management' 'global facts']
5,data/test/nutrition_test.csv,5,B,D,['business ethics' 'professional medicine']
6,data/test/nutrition_test.csv,6,B,B,['professional medicine' 'virology']
7,data/test/nutrition_test.csv,7,B,B,['professional medicine' 'virology']
8,data/test/nutrition_test.csv,8,C,C,['virology' 'management']
9,data/test/nutrition_test.csv,9,A,B,['global facts' 'virology']
10,data/test/nutrition_test.csv,10,A,B,['miscellaneous' 'college medicine']
11,data/test/nutrition_test.csv,11,D,D,['miscellaneous' 'professional accounting']
12,data/test/nutrition_test.csv,12,B,B,['professional accounting' 'miscellaneous']
13,data/test/nutrition_test.csv,13,C,A,['medical genetics' 'clinical knowledge']
14,data/test/nutrition_test.csv,14,A,D,['professional accounting' 'medical genetics']
15,data/test/nutrition_test.csv,15,C,B,['business ethics' 'clinical knowledge']
16,data/test/nutrition_test.csv,16,B,B,['human aging' 'college medicine']
17,data/test/nutrition_test.csv,17,B,A,['management' 'professional accounting']
18,data/test/nutrition_test.csv,18,A,A,['professional accounting' 'clinical knowledge']
19,data/test/nutrition_test.csv,19,D,D,['medical genetics' 'clinical knowledge']
20,data/test/nutrition_test.csv,20,B,B,['college medicine' 'clinical knowledge']
21,data/test/nutrition_test.csv,21,B,A,['business ethics' 'marketing']
22,data/test/nutrition_test.csv,22,B,C,['miscellaneous' 'professional medicine']
23,data/test/nutrition_test.csv,23,D,D,['management' 'business ethics']
24,data/test/nutrition_test.csv,24,A,C,['clinical knowledge' 'marketing']
25,data/test/nutrition_test.csv,25,D,D,['professional medicine' 'virology']
26,data/test/nutrition_test.csv,26,D,D,['clinical knowledge' 'medical genetics']
27,data/test/nutrition_test.csv,27,D,D,['global facts' 'miscellaneous']
28,data/test/nutrition_test.csv,28,B,C,['business ethics' 'miscellaneous']
29,data/test/nutrition_test.csv,29,D,D,['professional accounting' 'medical genetics']
30,data/test/nutrition_test.csv,30,D,D,['college medicine' 'management']
