,task,item,choice,gt,meta_tasks
0,data/test/professional_medicine_test.csv,0,C,C,['miscellaneous' 'nutrition']
1,data/test/professional_medicine_test.csv,1,C,C,['clinical knowledge' 'nutrition']
2,data/test/professional_medicine_test.csv,2,C,B,['global facts' 'marketing']
3,data/test/professional_medicine_test.csv,3,C,C,['professional accounting' 'human aging']
4,data/test/professional_medicine_test.csv,4,A,D,['medical genetics' 'virology']
5,data/test/professional_medicine_test.csv,5,B,A,['professional accounting' 'management']
6,data/test/professional_medicine_test.csv,6,A,B,['miscellaneous' 'marketing']
7,data/test/professional_medicine_test.csv,7,B,C,['college medicine' 'business ethics']
8,data/test/professional_medicine_test.csv,8,A,D,['college medicine' 'business ethics']
9,data/test/professional_medicine_test.csv,9,C,B,['human aging' 'clinical knowledge']
10,data/test/professional_medicine_test.csv,10,C,D,['business ethics' 'virology']
11,data/test/professional_medicine_test.csv,11,C,D,['medical genetics' 'miscellaneous']
12,data/test/professional_medicine_test.csv,12,C,D,['virology' 'clinical knowledge']
13,data/test/professional_medicine_test.csv,13,C,D,['virology' 'college medicine']
14,data/test/professional_medicine_test.csv,14,C,C,['professional accounting' 'virology']
15,data/test/professional_medicine_test.csv,15,B,B,['miscellaneous' 'professional accounting']
16,data/test/professional_medicine_test.csv,16,C,D,['clinical knowledge' 'human aging']
17,data/test/professional_medicine_test.csv,17,B,B,['human aging' 'global facts']
18,data/test/professional_medicine_test.csv,18,C,D,['marketing' 'nutrition']
19,data/test/professional_medicine_test.csv,19,C,C,['nutrition' 'clinical knowledge']
20,data/test/professional_medicine_test.csv,20,C,D,['medical genetics' 'virology']
21,data/test/professional_medicine_test.csv,21,B,D,['miscellaneous' 'medical genetics']
22,data/test/professional_medicine_test.csv,22,C,A,['nutrition' 'management']
23,data/test/professional_medicine_test.csv,23,C,B,['miscellaneous' 'medical genetics']
24,data/test/professional_medicine_test.csv,24,D,D,['college medicine' 'business ethics']
25,data/test/professional_medicine_test.csv,25,A,A,['clinical knowledge' 'human aging']
26,data/test/professional_medicine_test.csv,26,C,D,['global facts' 'nutrition']
27,data/test/professional_medicine_test.csv,27,B,D,['miscellaneous' 'marketing']
28,data/test/professional_medicine_test.csv,28,C,B,['professional accounting' 'management']
29,data/test/professional_medicine_test.csv,29,A,D,['marketing' 'college medicine']
30,data/test/professional_medicine_test.csv,30,B,B,['virology' 'human aging']
31,data/test/professional_medicine_test.csv,31,A,B,['clinical knowledge' 'professional accounting']
32,data/test/professional_medicine_test.csv,32,C,C,['miscellaneous' 'medical genetics']
33,data/test/professional_medicine_test.csv,33,A,A,['business ethics' 'college medicine']
34,data/test/professional_medicine_test.csv,34,C,B,['marketing' 'clinical knowledge']
35,data/test/professional_medicine_test.csv,35,A,D,['human aging' 'business ethics']
36,data/test/professional_medicine_test.csv,36,C,A,['management' 'nutrition']
37,data/test/professional_medicine_test.csv,37,A,A,['business ethics' 'virology']
38,data/test/professional_medicine_test.csv,38,C,C,['business ethics' 'medical genetics']
39,data/test/professional_medicine_test.csv,39,A,C,['clinical knowledge' 'human aging']
40,data/test/professional_medicine_test.csv,40,A,C,['business ethics' 'marketing']
41,data/test/professional_medicine_test.csv,41,B,B,['marketing' 'human aging']
42,data/test/professional_medicine_test.csv,42,C,A,['medical genetics' 'clinical knowledge']
43,data/test/professional_medicine_test.csv,43,A,A,['college medicine' 'marketing']
44,data/test/professional_medicine_test.csv,44,A,D,['college medicine' 'miscellaneous']
45,data/test/professional_medicine_test.csv,45,C,D,['professional accounting' 'clinical knowledge']
46,data/test/professional_medicine_test.csv,46,A,B,['clinical knowledge' 'marketing']
47,data/test/professional_medicine_test.csv,47,A,D,['management' 'college medicine']
48,data/test/professional_medicine_test.csv,48,D,C,['nutrition' 'management']
49,data/test/professional_medicine_test.csv,49,B,C,['college medicine' 'medical genetics']
50,data/test/professional_medicine_test.csv,50,A,D,['marketing' 'medical genetics']
51,data/test/professional_medicine_test.csv,51,C,D,['virology' 'marketing']
52,data/test/professional_medicine_test.csv,52,D,C,['management' 'medical genetics']
53,data/test/professional_medicine_test.csv,53,C,D,['marketing' 'medical genetics']
54,data/test/professional_medicine_test.csv,54,C,D,['miscellaneous' 'professional accounting']
55,data/test/professional_medicine_test.csv,55,C,C,['medical genetics' 'professional accounting']
56,data/test/professional_medicine_test.csv,56,B,D,['global facts' 'college medicine']
57,data/test/professional_medicine_test.csv,57,C,D,['business ethics' 'miscellaneous']
58,data/test/professional_medicine_test.csv,58,A,D,['global facts' 'business ethics']
59,data/test/professional_medicine_test.csv,59,C,C,['nutrition' 'professional accounting']
60,data/test/professional_medicine_test.csv,60,B,B,['clinical knowledge' 'marketing']
61,data/test/professional_medicine_test.csv,61,C,B,['human aging' 'global facts']
62,data/test/professional_medicine_test.csv,62,C,D,['professional accounting' 'business ethics']
63,data/test/professional_medicine_test.csv,63,B,C,['college medicine' 'human aging']
64,data/test/professional_medicine_test.csv,64,A,B,['marketing' 'professional accounting']
65,data/test/professional_medicine_test.csv,65,A,A,['clinical knowledge' 'professional accounting']
66,data/test/professional_medicine_test.csv,66,C,C,['management' 'medical genetics']
67,data/test/professional_medicine_test.csv,67,A,D,['human aging' 'virology']
68,data/test/professional_medicine_test.csv,68,C,D,['clinical knowledge' 'professional accounting']
69,data/test/professional_medicine_test.csv,69,B,B,['clinical knowledge' 'miscellaneous']
70,data/test/professional_medicine_test.csv,70,A,D,['marketing' 'clinical knowledge']
71,data/test/professional_medicine_test.csv,71,A,B,['medical genetics' 'global facts']
72,data/test/professional_medicine_test.csv,72,B,D,['professional accounting' 'nutrition']
73,data/test/professional_medicine_test.csv,73,C,C,['marketing' 'professional accounting']
74,data/test/professional_medicine_test.csv,74,A,D,['medical genetics' 'business ethics']
75,data/test/professional_medicine_test.csv,75,A,A,['business ethics' 'college medicine']
76,data/test/professional_medicine_test.csv,76,B,B,['business ethics' 'management']
77,data/test/professional_medicine_test.csv,77,B,A,['miscellaneous' 'virology']
