,task,item,choice,gt,num_previous_points
0,data/test/college_biology_test.csv,0,B,C,6
1,data/test/college_biology_test.csv,0,D,C,7
2,data/test/college_biology_test.csv,0,D,C,8
3,data/test/college_biology_test.csv,1,D,C,6
4,data/test/college_biology_test.csv,1,D,C,7
5,data/test/college_biology_test.csv,1,B,C,8
6,data/test/college_biology_test.csv,2,B,A,6
7,data/test/college_biology_test.csv,2,C,A,7
8,data/test/college_biology_test.csv,2,B,A,8
9,data/test/college_biology_test.csv,3,B,B,6
10,data/test/college_biology_test.csv,3,D,B,7
11,data/test/college_biology_test.csv,3,B,B,8
12,data/test/college_biology_test.csv,4,D,A,6
13,data/test/college_biology_test.csv,4,C,A,7
14,data/test/college_biology_test.csv,4,D,A,8
15,data/test/college_biology_test.csv,5,D,A,6
16,data/test/college_biology_test.csv,5,B,A,7
17,data/test/college_biology_test.csv,5,D,A,8
18,data/test/college_biology_test.csv,6,C,B,6
19,data/test/college_biology_test.csv,6,B,B,7
20,data/test/college_biology_test.csv,6,B,B,8
21,data/test/college_biology_test.csv,7,B,B,6
22,data/test/college_biology_test.csv,7,D,B,7
23,data/test/college_biology_test.csv,7,C,B,8
24,data/test/college_biology_test.csv,8,B,D,6
25,data/test/college_biology_test.csv,8,A,D,7
26,data/test/college_biology_test.csv,8,B,D,8
27,data/test/college_biology_test.csv,9,C,C,6
28,data/test/college_biology_test.csv,9,D,C,7
29,data/test/college_biology_test.csv,9,B,C,8
30,data/test/college_biology_test.csv,10,C,C,6
31,data/test/college_biology_test.csv,10,B,C,7
32,data/test/college_biology_test.csv,10,C,C,8
33,data/test/college_biology_test.csv,11,A,D,6
34,data/test/college_biology_test.csv,11,C,D,7
35,data/test/college_biology_test.csv,11,A,D,8
36,data/test/college_biology_test.csv,12,C,C,6
37,data/test/college_biology_test.csv,12,B,C,7
38,data/test/college_biology_test.csv,12,B,C,8
39,data/test/college_biology_test.csv,13,A,D,6
40,data/test/college_biology_test.csv,13,C,D,7
41,data/test/college_biology_test.csv,13,C,D,8
42,data/test/college_biology_test.csv,14,C,A,6
43,data/test/college_biology_test.csv,14,B,A,7
44,data/test/college_biology_test.csv,14,D,A,8
45,data/test/college_biology_test.csv,15,D,C,6
46,data/test/college_biology_test.csv,15,A,C,7
47,data/test/college_biology_test.csv,15,D,C,8
48,data/test/college_biology_test.csv,16,B,C,6
49,data/test/college_biology_test.csv,16,C,C,7
50,data/test/college_biology_test.csv,16,B,C,8
51,data/test/college_biology_test.csv,17,B,C,6
52,data/test/college_biology_test.csv,17,A,C,7
53,data/test/college_biology_test.csv,17,D,C,8
54,data/test/college_biology_test.csv,18,A,C,6
55,data/test/college_biology_test.csv,18,D,C,7
56,data/test/college_biology_test.csv,18,C,C,8
57,data/test/college_biology_test.csv,19,B,A,6
58,data/test/college_biology_test.csv,19,A,A,7
59,data/test/college_biology_test.csv,19,C,A,8
60,data/test/college_biology_test.csv,20,A,D,6
61,data/test/college_biology_test.csv,20,D,D,7
62,data/test/college_biology_test.csv,20,B,D,8
63,data/test/college_biology_test.csv,21,A,C,6
64,data/test/college_biology_test.csv,21,C,C,7
65,data/test/college_biology_test.csv,21,B,C,8
66,data/test/college_biology_test.csv,22,B,B,6
67,data/test/college_biology_test.csv,22,C,B,7
68,data/test/college_biology_test.csv,22,A,B,8
69,data/test/college_biology_test.csv,23,A,A,6
70,data/test/college_biology_test.csv,23,B,A,7
71,data/test/college_biology_test.csv,23,D,A,8
72,data/test/college_biology_test.csv,24,B,D,6
73,data/test/college_biology_test.csv,24,A,D,7
74,data/test/college_biology_test.csv,24,B,D,8
75,data/test/college_biology_test.csv,25,B,D,6
76,data/test/college_biology_test.csv,25,B,D,7
77,data/test/college_biology_test.csv,25,B,D,8
78,data/test/college_biology_test.csv,26,C,A,6
79,data/test/college_biology_test.csv,26,B,A,7
80,data/test/college_biology_test.csv,26,C,A,8
81,data/test/college_biology_test.csv,27,A,C,6
82,data/test/college_biology_test.csv,27,A,C,7
83,data/test/college_biology_test.csv,27,C,C,8
84,data/test/college_biology_test.csv,28,D,A,6
85,data/test/college_biology_test.csv,28,B,A,7
86,data/test/college_biology_test.csv,28,A,A,8
87,data/test/college_biology_test.csv,29,B,C,6
88,data/test/college_biology_test.csv,29,B,C,7
89,data/test/college_biology_test.csv,29,C,C,8
90,data/test/college_biology_test.csv,30,B,A,6
91,data/test/college_biology_test.csv,30,D,A,7
92,data/test/college_biology_test.csv,30,D,A,8
93,data/test/college_biology_test.csv,31,D,B,6
94,data/test/college_biology_test.csv,31,B,B,7
95,data/test/college_biology_test.csv,31,D,B,8
96,data/test/college_biology_test.csv,32,D,B,6
97,data/test/college_biology_test.csv,32,D,B,7
98,data/test/college_biology_test.csv,32,A,B,8
99,data/test/college_biology_test.csv,33,D,D,6
100,data/test/college_biology_test.csv,33,B,D,7
101,data/test/college_biology_test.csv,33,D,D,8
102,data/test/college_biology_test.csv,34,C,D,6
103,data/test/college_biology_test.csv,34,D,D,7
104,data/test/college_biology_test.csv,34,D,D,8
105,data/test/college_biology_test.csv,35,C,A,6
106,data/test/college_biology_test.csv,35,B,A,7
107,data/test/college_biology_test.csv,35,A,A,8
108,data/test/college_biology_test.csv,36,A,B,6
109,data/test/college_biology_test.csv,36,D,B,7
110,data/test/college_biology_test.csv,36,B,B,8
111,data/test/college_biology_test.csv,37,A,A,6
112,data/test/college_biology_test.csv,37,A,A,7
113,data/test/college_biology_test.csv,37,D,A,8
114,data/test/college_biology_test.csv,38,A,C,6
115,data/test/college_biology_test.csv,38,C,C,7
116,data/test/college_biology_test.csv,38,D,C,8
117,data/test/college_biology_test.csv,39,C,A,6
118,data/test/college_biology_test.csv,39,C,A,7
119,data/test/college_biology_test.csv,39,C,A,8
120,data/test/college_biology_test.csv,40,D,D,6
121,data/test/college_biology_test.csv,40,B,D,7
122,data/test/college_biology_test.csv,40,B,D,8
123,data/test/college_biology_test.csv,41,A,B,6
124,data/test/college_biology_test.csv,41,C,B,7
125,data/test/college_biology_test.csv,41,C,B,8
126,data/test/college_biology_test.csv,42,D,C,6
127,data/test/college_biology_test.csv,42,A,C,7
