,task,item,choice,gt,meta_tasks
0,data/test/college_biology_test.csv,0,C,C,['college physics' 'high school mathematics']
1,data/test/college_biology_test.csv,1,D,C,['high school chemistry' 'high school physics']
2,data/test/college_biology_test.csv,2,A,A,['college physics' 'electrical engineering']
3,data/test/college_biology_test.csv,3,C,B,['high school chemistry' 'high school mathematics']
4,data/test/college_biology_test.csv,4,B,A,['college mathematics' 'computer security']
5,data/test/college_biology_test.csv,5,C,A,['high school physics' 'conceptual physics']
6,data/test/college_biology_test.csv,6,B,B,['high school mathematics' 'conceptual physics']
7,data/test/college_biology_test.csv,7,C,B,['college chemistry' 'college mathematics']
8,data/test/college_biology_test.csv,8,D,D,['high school chemistry' 'college physics']
9,data/test/college_biology_test.csv,9,D,C,['high school mathematics' 'conceptual physics']
10,data/test/college_biology_test.csv,10,A,C,['high school statistics' 'abstract algebra']
11,data/test/college_biology_test.csv,11,A,D,['elementary mathematics' 'astronomy']
12,data/test/college_biology_test.csv,12,B,C,['abstract algebra' 'college mathematics']
13,data/test/college_biology_test.csv,13,A,D,['high school chemistry' 'high school physics']
14,data/test/college_biology_test.csv,14,D,A,['elementary mathematics' 'high school chemistry']
15,data/test/college_biology_test.csv,15,C,C,['high school mathematics' 'college mathematics']
16,data/test/college_biology_test.csv,16,D,C,['college chemistry' 'college computer science']
17,data/test/college_biology_test.csv,17,D,C,['high school chemistry' 'high school statistics']
18,data/test/college_biology_test.csv,18,C,C,['high school computer science' 'high school mathematics']
19,data/test/college_biology_test.csv,19,C,A,['anatomy' 'high school statistics']
20,data/test/college_biology_test.csv,20,C,D,['high school chemistry' 'high school biology']
21,data/test/college_biology_test.csv,21,B,C,['abstract algebra' 'high school statistics']
22,data/test/college_biology_test.csv,22,D,B,['high school mathematics' 'high school computer science']
23,data/test/college_biology_test.csv,23,D,A,['high school statistics' 'machine learning']
24,data/test/college_biology_test.csv,24,B,D,['high school statistics' 'abstract algebra']
25,data/test/college_biology_test.csv,25,B,D,['high school biology' 'college mathematics']
26,data/test/college_biology_test.csv,26,A,A,['conceptual physics' 'high school physics']
27,data/test/college_biology_test.csv,27,C,C,['high school chemistry' 'high school physics']
28,data/test/college_biology_test.csv,28,C,A,['college chemistry' 'astronomy']
29,data/test/college_biology_test.csv,29,C,C,['high school chemistry' 'astronomy']
30,data/test/college_biology_test.csv,30,B,A,['astronomy' 'abstract algebra']
31,data/test/college_biology_test.csv,31,B,B,['high school computer science' 'college computer science']
32,data/test/college_biology_test.csv,32,A,B,['elementary mathematics' 'high school physics']
33,data/test/college_biology_test.csv,33,A,D,['machine learning' 'elementary mathematics']
34,data/test/college_biology_test.csv,34,C,D,['astronomy' 'college chemistry']
35,data/test/college_biology_test.csv,35,A,A,['anatomy' 'astronomy']
36,data/test/college_biology_test.csv,36,C,B,['electrical engineering' 'conceptual physics']
37,data/test/college_biology_test.csv,37,A,A,['college physics' 'college chemistry']
38,data/test/college_biology_test.csv,38,D,C,['anatomy' 'machine learning']
39,data/test/college_biology_test.csv,39,A,A,['high school biology' 'high school statistics']
