,task,item,choice,gt,meta_tasks
0,data/test/college_mathematics_test.csv,0,C,B,['elementary mathematics' 'high school mathematics']
1,data/test/college_mathematics_test.csv,1,B,D,['college computer science' 'college physics']
2,data/test/college_mathematics_test.csv,2,B,D,['conceptual physics' 'machine learning']
3,data/test/college_mathematics_test.csv,3,C,A,['college chemistry' 'astronomy']
4,data/test/college_mathematics_test.csv,4,B,C,['high school computer science' 'college biology']
5,data/test/college_mathematics_test.csv,5,C,D,['anatomy' 'high school computer science']
6,data/test/college_mathematics_test.csv,6,D,C,['high school physics' 'anatomy']
7,data/test/college_mathematics_test.csv,7,B,C,['high school chemistry' 'high school physics']
8,data/test/college_mathematics_test.csv,8,C,C,['high school mathematics' 'college computer science']
9,data/test/college_mathematics_test.csv,9,A,A,['college computer science' 'high school physics']
10,data/test/college_mathematics_test.csv,10,C,D,['college chemistry' 'machine learning']
11,data/test/college_mathematics_test.csv,11,B,B,['astronomy' 'conceptual physics']
12,data/test/college_mathematics_test.csv,12,A,A,['college computer science' 'elementary mathematics']
13,data/test/college_mathematics_test.csv,13,A,B,['abstract algebra' 'high school statistics']
14,data/test/college_mathematics_test.csv,14,A,D,['electrical engineering' 'high school biology']
15,data/test/college_mathematics_test.csv,15,B,D,['conceptual physics' 'computer security']
16,data/test/college_mathematics_test.csv,16,A,B,['high school physics' 'anatomy']
17,data/test/college_mathematics_test.csv,17,D,C,['high school physics' 'high school mathematics']
18,data/test/college_mathematics_test.csv,18,D,D,['conceptual physics' 'college physics']
19,data/test/college_mathematics_test.csv,19,C,A,['astronomy' 'elementary mathematics']
20,data/test/college_mathematics_test.csv,20,D,D,['college physics' 'abstract algebra']
21,data/test/college_mathematics_test.csv,21,A,D,['conceptual physics' 'astronomy']
22,data/test/college_mathematics_test.csv,22,A,B,['high school mathematics' 'high school biology']
23,data/test/college_mathematics_test.csv,23,D,A,['conceptual physics' 'high school computer science']
24,data/test/college_mathematics_test.csv,24,D,B,['abstract algebra' 'elementary mathematics']
25,data/test/college_mathematics_test.csv,25,D,D,['astronomy' 'high school mathematics']
26,data/test/college_mathematics_test.csv,26,B,D,['college biology' 'electrical engineering']
27,data/test/college_mathematics_test.csv,27,D,A,['elementary mathematics' 'astronomy']
28,data/test/college_mathematics_test.csv,28,C,A,['abstract algebra' 'high school mathematics']
29,data/test/college_mathematics_test.csv,29,B,B,['abstract algebra' 'college computer science']
30,data/test/college_mathematics_test.csv,30,A,C,['high school mathematics' 'high school physics']
31,data/test/college_mathematics_test.csv,31,B,B,['high school statistics' 'college computer science']
32,data/test/college_mathematics_test.csv,32,C,B,['college physics' 'high school chemistry']
33,data/test/college_mathematics_test.csv,33,C,C,['college biology' 'high school statistics']
34,data/test/college_mathematics_test.csv,34,C,D,['high school chemistry' 'high school biology']
35,data/test/college_mathematics_test.csv,35,D,D,['college chemistry' 'high school mathematics']
36,data/test/college_mathematics_test.csv,36,A,A,['high school mathematics' 'computer security']
37,data/test/college_mathematics_test.csv,37,C,A,['college physics' 'high school computer science']
38,data/test/college_mathematics_test.csv,38,D,A,['high school biology' 'college computer science']
39,data/test/college_mathematics_test.csv,39,D,C,['electrical engineering' 'high school mathematics']
40,data/test/college_mathematics_test.csv,40,A,B,['conceptual physics' 'high school mathematics']
41,data/test/college_mathematics_test.csv,41,D,D,['computer security' 'machine learning']
42,data/test/college_mathematics_test.csv,42,D,D,['conceptual physics' 'high school chemistry']
43,data/test/college_mathematics_test.csv,43,A,A,['high school chemistry' 'electrical engineering']
44,data/test/college_mathematics_test.csv,44,A,D,['college biology' 'anatomy']
45,data/test/college_mathematics_test.csv,45,B,A,['high school physics' 'astronomy']
46,data/test/college_mathematics_test.csv,46,A,B,['high school biology' 'anatomy']
47,data/test/college_mathematics_test.csv,47,B,B,['abstract algebra' 'high school physics']
48,data/test/college_mathematics_test.csv,48,B,C,['conceptual physics' 'elementary mathematics']
49,data/test/college_mathematics_test.csv,49,B,D,['high school physics' 'electrical engineering']
50,data/test/college_mathematics_test.csv,50,A,A,['college computer science' 'high school biology']
51,data/test/college_mathematics_test.csv,51,B,B,['abstract algebra' 'college physics']
52,data/test/college_mathematics_test.csv,52,A,C,['college computer science' 'college physics']
53,data/test/college_mathematics_test.csv,53,C,C,['high school physics' 'college biology']
54,data/test/college_mathematics_test.csv,54,A,A,['abstract algebra' 'anatomy']
55,data/test/college_mathematics_test.csv,55,D,D,['high school biology' 'abstract algebra']
56,data/test/college_mathematics_test.csv,56,B,B,['high school physics' 'electrical engineering']
57,data/test/college_mathematics_test.csv,57,B,D,['conceptual physics' 'college chemistry']
58,data/test/college_mathematics_test.csv,58,A,C,['college chemistry' 'high school mathematics']
59,data/test/college_mathematics_test.csv,59,A,A,['electrical engineering' 'abstract algebra']
60,data/test/college_mathematics_test.csv,60,C,B,['high school biology' 'conceptual physics']
61,data/test/college_mathematics_test.csv,61,A,A,['college physics' 'high school computer science']
62,data/test/college_mathematics_test.csv,62,D,A,['conceptual physics' 'high school statistics']
63,data/test/college_mathematics_test.csv,63,A,D,['college computer science' 'high school mathematics']
64,data/test/college_mathematics_test.csv,64,A,B,['computer security' 'college computer science']
65,data/test/college_mathematics_test.csv,65,A,D,['astronomy' 'high school physics']
66,data/test/college_mathematics_test.csv,66,C,C,['anatomy' 'college chemistry']
67,data/test/college_mathematics_test.csv,67,D,D,['elementary mathematics' 'high school chemistry']
68,data/test/college_mathematics_test.csv,68,A,A,['high school biology' 'high school mathematics']
69,data/test/college_mathematics_test.csv,69,D,A,['college chemistry' 'anatomy']
70,data/test/college_mathematics_test.csv,70,C,D,['abstract algebra' 'high school chemistry']
71,data/test/college_mathematics_test.csv,71,C,D,['machine learning' 'college chemistry']
72,data/test/college_mathematics_test.csv,72,B,D,['college biology' 'high school computer science']
73,data/test/college_mathematics_test.csv,73,A,D,['high school physics' 'conceptual physics']
74,data/test/college_mathematics_test.csv,74,A,C,['college computer science' 'college chemistry']
75,data/test/college_mathematics_test.csv,75,D,D,['college computer science' 'machine learning']
76,data/test/college_mathematics_test.csv,76,A,D,['electrical engineering' 'astronomy']
77,data/test/college_mathematics_test.csv,77,B,C,['high school physics' 'college chemistry']
78,data/test/college_mathematics_test.csv,78,C,B,['college biology' 'high school biology']
79,data/test/college_mathematics_test.csv,79,D,B,['high school computer science' 'high school mathematics']
80,data/test/college_mathematics_test.csv,80,D,C,['conceptual physics' 'computer security']
81,data/test/college_mathematics_test.csv,81,D,B,['high school physics' 'college physics']
82,data/test/college_mathematics_test.csv,82,B,B,['college computer science' 'astronomy']
83,data/test/college_mathematics_test.csv,83,C,C,['high school computer science' 'college biology']
84,data/test/college_mathematics_test.csv,84,C,C,['astronomy' 'high school statistics']
85,data/test/college_mathematics_test.csv,85,C,B,['college computer science' 'computer security']
86,data/test/college_mathematics_test.csv,86,D,A,['high school biology' 'high school chemistry']
87,data/test/college_mathematics_test.csv,87,C,C,['high school statistics' 'college physics']
