,task,item,choice,gt,meta_tasks
0,data/test/conceptual_physics_test.csv,0,C,A,['elementary mathematics' 'machine learning']
1,data/test/conceptual_physics_test.csv,1,C,B,['astronomy' 'high school chemistry']
2,data/test/conceptual_physics_test.csv,2,A,B,['high school mathematics' 'high school biology']
3,data/test/conceptual_physics_test.csv,3,B,B,['high school computer science' 'abstract algebra']
4,data/test/conceptual_physics_test.csv,4,B,A,['high school mathematics' 'high school biology']
5,data/test/conceptual_physics_test.csv,5,A,D,['college mathematics' 'machine learning']
6,data/test/conceptual_physics_test.csv,6,A,D,['high school chemistry' 'abstract algebra']
7,data/test/conceptual_physics_test.csv,7,B,A,['astronomy' 'anatomy']
8,data/test/conceptual_physics_test.csv,8,A,B,['abstract algebra' 'high school computer science']
9,data/test/conceptual_physics_test.csv,9,C,D,['high school mathematics' 'high school physics']
10,data/test/conceptual_physics_test.csv,10,C,B,['elementary mathematics' 'high school physics']
11,data/test/conceptual_physics_test.csv,11,B,C,['anatomy' 'college chemistry']
12,data/test/conceptual_physics_test.csv,12,C,B,['college mathematics' 'high school physics']
13,data/test/conceptual_physics_test.csv,13,B,A,['high school mathematics' 'college chemistry']
14,data/test/conceptual_physics_test.csv,14,A,B,['high school statistics' 'astronomy']
15,data/test/conceptual_physics_test.csv,15,A,A,['elementary mathematics' 'machine learning']
16,data/test/conceptual_physics_test.csv,16,C,A,['computer security' 'high school physics']
17,data/test/conceptual_physics_test.csv,17,C,B,['high school chemistry' 'computer security']
18,data/test/conceptual_physics_test.csv,18,C,D,['anatomy' 'high school biology']
19,data/test/conceptual_physics_test.csv,19,D,A,['elementary mathematics' 'high school mathematics']
20,data/test/conceptual_physics_test.csv,20,C,A,['computer security' 'high school chemistry']
21,data/test/conceptual_physics_test.csv,21,C,C,['high school mathematics' 'college physics']
22,data/test/conceptual_physics_test.csv,22,B,D,['machine learning' 'elementary mathematics']
23,data/test/conceptual_physics_test.csv,23,B,C,['elementary mathematics' 'high school physics']
24,data/test/conceptual_physics_test.csv,24,C,C,['abstract algebra' 'college physics']
25,data/test/conceptual_physics_test.csv,25,B,A,['high school chemistry' 'computer security']
26,data/test/conceptual_physics_test.csv,26,C,D,['high school mathematics' 'high school chemistry']
27,data/test/conceptual_physics_test.csv,27,B,A,['machine learning' 'college mathematics']
28,data/test/conceptual_physics_test.csv,28,D,C,['college chemistry' 'computer security']
29,data/test/conceptual_physics_test.csv,29,C,C,['high school statistics' 'high school mathematics']
30,data/test/conceptual_physics_test.csv,30,A,B,['college physics' 'high school computer science']
31,data/test/conceptual_physics_test.csv,31,A,D,['high school biology' 'high school chemistry']
32,data/test/conceptual_physics_test.csv,32,C,C,['high school biology' 'high school physics']
33,data/test/conceptual_physics_test.csv,33,A,D,['high school biology' 'college chemistry']
34,data/test/conceptual_physics_test.csv,34,C,D,['abstract algebra' 'anatomy']
35,data/test/conceptual_physics_test.csv,35,D,A,['college chemistry' 'college computer science']
36,data/test/conceptual_physics_test.csv,36,D,A,['computer security' 'anatomy']
37,data/test/conceptual_physics_test.csv,37,A,C,['elementary mathematics' 'college chemistry']
38,data/test/conceptual_physics_test.csv,38,D,D,['high school chemistry' 'college computer science']
39,data/test/conceptual_physics_test.csv,39,D,A,['college computer science' 'college chemistry']
40,data/test/conceptual_physics_test.csv,40,B,C,['high school chemistry' 'high school physics']
41,data/test/conceptual_physics_test.csv,41,B,D,['high school statistics' 'college physics']
42,data/test/conceptual_physics_test.csv,42,D,B,['electrical engineering' 'high school computer science']
43,data/test/conceptual_physics_test.csv,43,B,C,['college physics' 'high school statistics']
44,data/test/conceptual_physics_test.csv,44,A,D,['elementary mathematics' 'college chemistry']
45,data/test/conceptual_physics_test.csv,45,C,A,['college physics' 'machine learning']
46,data/test/conceptual_physics_test.csv,46,C,C,['machine learning' 'college physics']
47,data/test/conceptual_physics_test.csv,47,A,B,['machine learning' 'high school computer science']
48,data/test/conceptual_physics_test.csv,48,D,A,['high school biology' 'electrical engineering']
49,data/test/conceptual_physics_test.csv,49,D,A,['college chemistry' 'elementary mathematics']
50,data/test/conceptual_physics_test.csv,50,D,A,['college biology' 'high school computer science']
51,data/test/conceptual_physics_test.csv,51,A,A,['college mathematics' 'computer security']
52,data/test/conceptual_physics_test.csv,52,B,A,['astronomy' 'high school chemistry']
53,data/test/conceptual_physics_test.csv,53,A,B,['high school mathematics' 'anatomy']
54,data/test/conceptual_physics_test.csv,54,D,D,['elementary mathematics' 'high school physics']
55,data/test/conceptual_physics_test.csv,55,A,D,['college mathematics' 'high school biology']
56,data/test/conceptual_physics_test.csv,56,B,C,['electrical engineering' 'college mathematics']
57,data/test/conceptual_physics_test.csv,57,B,B,['college chemistry' 'high school statistics']
58,data/test/conceptual_physics_test.csv,58,D,D,['college mathematics' 'high school computer science']
59,data/test/conceptual_physics_test.csv,59,C,C,['abstract algebra' 'high school computer science']
60,data/test/conceptual_physics_test.csv,60,B,C,['anatomy' 'college chemistry']
61,data/test/conceptual_physics_test.csv,61,A,C,['high school chemistry' 'high school statistics']
62,data/test/conceptual_physics_test.csv,62,B,C,['electrical engineering' 'college chemistry']
63,data/test/conceptual_physics_test.csv,63,C,D,['college mathematics' 'high school computer science']
64,data/test/conceptual_physics_test.csv,64,C,B,['abstract algebra' 'machine learning']
65,data/test/conceptual_physics_test.csv,65,C,C,['college computer science' 'college physics']
66,data/test/conceptual_physics_test.csv,66,D,B,['electrical engineering' 'high school statistics']
67,data/test/conceptual_physics_test.csv,67,A,D,['high school mathematics' 'high school biology']
68,data/test/conceptual_physics_test.csv,68,B,A,['abstract algebra' 'college mathematics']
69,data/test/conceptual_physics_test.csv,69,B,C,['college computer science' 'elementary mathematics']
70,data/test/conceptual_physics_test.csv,70,C,A,['high school mathematics' 'high school physics']
71,data/test/conceptual_physics_test.csv,71,D,A,['computer security' 'machine learning']
72,data/test/conceptual_physics_test.csv,72,B,C,['college computer science' 'high school statistics']
73,data/test/conceptual_physics_test.csv,73,B,C,['college chemistry' 'machine learning']
74,data/test/conceptual_physics_test.csv,74,D,B,['astronomy' 'elementary mathematics']
75,data/test/conceptual_physics_test.csv,75,D,D,['high school statistics' 'computer security']
76,data/test/conceptual_physics_test.csv,76,B,B,['college biology' 'abstract algebra']
77,data/test/conceptual_physics_test.csv,77,C,A,['high school physics' 'high school biology']
78,data/test/conceptual_physics_test.csv,78,C,B,['high school biology' 'astronomy']
79,data/test/conceptual_physics_test.csv,79,A,A,['high school physics' 'high school mathematics']
80,data/test/conceptual_physics_test.csv,80,A,C,['college mathematics' 'college biology']
81,data/test/conceptual_physics_test.csv,81,B,B,['college biology' 'college physics']
82,data/test/conceptual_physics_test.csv,82,A,A,['astronomy' 'computer security']
83,data/test/conceptual_physics_test.csv,83,A,A,['college biology' 'college computer science']
84,data/test/conceptual_physics_test.csv,84,D,D,['astronomy' 'elementary mathematics']
