,task,item,choice,gt,meta_tasks
0,data/test/high_school_geography_test.csv,0,D,B,['public relations' 'econometrics']
1,data/test/high_school_geography_test.csv,1,D,D,['human sexuality' 'public relations']
2,data/test/high_school_geography_test.csv,2,D,C,['security studies' 'sociology']
3,data/test/high_school_geography_test.csv,3,D,A,['sociology' 'high school microeconomics']
4,data/test/high_school_geography_test.csv,4,A,D,['security studies' 'sociology']
5,data/test/high_school_geography_test.csv,5,D,D,['sociology' 'high school government and politics']
6,data/test/high_school_geography_test.csv,6,B,D,['human sexuality' 'public relations']
7,data/test/high_school_geography_test.csv,7,B,C,['sociology' 'security studies']
8,data/test/high_school_geography_test.csv,8,D,A,['us foreign policy' 'high school microeconomics']
9,data/test/high_school_geography_test.csv,9,A,D,['sociology' 'high school psychology']
10,data/test/high_school_geography_test.csv,10,C,A,['public relations' 'high school government and politics']
11,data/test/high_school_geography_test.csv,11,A,B,['high school psychology' 'professional psychology']
12,data/test/high_school_geography_test.csv,12,A,A,['high school microeconomics' 'sociology']
13,data/test/high_school_geography_test.csv,13,D,D,['high school psychology' 'econometrics']
14,data/test/high_school_geography_test.csv,14,B,B,['high school government and politics' 'high school macroeconomics']
15,data/test/high_school_geography_test.csv,15,B,D,['sociology' 'high school government and politics']
16,data/test/high_school_geography_test.csv,16,A,D,['human sexuality' 'high school microeconomics']
17,data/test/high_school_geography_test.csv,17,B,D,['high school psychology' 'sociology']
18,data/test/high_school_geography_test.csv,18,C,B,['high school psychology' 'sociology']
19,data/test/high_school_geography_test.csv,19,A,C,['high school macroeconomics' 'sociology']
20,data/test/high_school_geography_test.csv,20,D,C,['human sexuality' 'security studies']
21,data/test/high_school_geography_test.csv,21,C,D,['high school macroeconomics' 'econometrics']
22,data/test/high_school_geography_test.csv,22,B,D,['econometrics' 'high school psychology']
23,data/test/high_school_geography_test.csv,23,B,D,['high school macroeconomics' 'high school microeconomics']
24,data/test/high_school_geography_test.csv,24,C,B,['human sexuality' 'public relations']
25,data/test/high_school_geography_test.csv,25,B,A,['sociology' 'professional psychology']
26,data/test/high_school_geography_test.csv,26,B,B,['professional psychology' 'human sexuality']
27,data/test/high_school_geography_test.csv,27,D,B,['public relations' 'high school macroeconomics']
28,data/test/high_school_geography_test.csv,28,D,C,['high school psychology' 'human sexuality']
29,data/test/high_school_geography_test.csv,29,D,A,['public relations' 'sociology']
30,data/test/high_school_geography_test.csv,30,D,A,['human sexuality' 'us foreign policy']
31,data/test/high_school_geography_test.csv,31,A,D,['econometrics' 'human sexuality']
32,data/test/high_school_geography_test.csv,32,A,C,['high school psychology' 'us foreign policy']
33,data/test/high_school_geography_test.csv,33,B,D,['human sexuality' 'high school government and politics']
34,data/test/high_school_geography_test.csv,34,C,B,['high school macroeconomics' 'us foreign policy']
35,data/test/high_school_geography_test.csv,35,D,C,['econometrics' 'sociology']
36,data/test/high_school_geography_test.csv,36,D,C,['high school psychology' 'human sexuality']
37,data/test/high_school_geography_test.csv,37,D,C,['human sexuality' 'professional psychology']
38,data/test/high_school_geography_test.csv,38,C,D,['high school psychology' 'human sexuality']
39,data/test/high_school_geography_test.csv,39,D,D,['us foreign policy' 'public relations']
40,data/test/high_school_geography_test.csv,40,D,A,['high school macroeconomics' 'us foreign policy']
41,data/test/high_school_geography_test.csv,41,D,B,['us foreign policy' 'high school macroeconomics']
42,data/test/high_school_geography_test.csv,42,C,B,['high school psychology' 'public relations']
43,data/test/high_school_geography_test.csv,43,D,B,['high school microeconomics' 'security studies']
44,data/test/high_school_geography_test.csv,44,D,D,['high school microeconomics' 'high school government and politics']
45,data/test/high_school_geography_test.csv,45,D,D,['us foreign policy' 'high school government and politics']
46,data/test/high_school_geography_test.csv,46,C,A,['econometrics' 'high school microeconomics']
47,data/test/high_school_geography_test.csv,47,B,A,['security studies' 'high school psychology']
48,data/test/high_school_geography_test.csv,48,A,D,['econometrics' 'high school macroeconomics']
49,data/test/high_school_geography_test.csv,49,A,B,['high school microeconomics' 'human sexuality']
50,data/test/high_school_geography_test.csv,50,A,A,['public relations' 'econometrics']
51,data/test/high_school_geography_test.csv,51,D,D,['high school microeconomics' 'professional psychology']
52,data/test/high_school_geography_test.csv,52,B,B,['high school macroeconomics' 'high school government and politics']
53,data/test/high_school_geography_test.csv,53,B,C,['human sexuality' 'high school psychology']
54,data/test/high_school_geography_test.csv,54,B,D,['security studies' 'professional psychology']
55,data/test/high_school_geography_test.csv,55,D,C,['us foreign policy' 'public relations']
56,data/test/high_school_geography_test.csv,56,C,A,['econometrics' 'public relations']
57,data/test/high_school_geography_test.csv,57,C,D,['human sexuality' 'econometrics']
58,data/test/high_school_geography_test.csv,58,C,D,['human sexuality' 'professional psychology']
59,data/test/high_school_geography_test.csv,59,C,A,['high school microeconomics' 'human sexuality']
60,data/test/high_school_geography_test.csv,60,B,D,['security studies' 'us foreign policy']
61,data/test/high_school_geography_test.csv,61,B,B,['high school government and politics' 'high school psychology']
62,data/test/high_school_geography_test.csv,62,B,C,['human sexuality' 'sociology']
63,data/test/high_school_geography_test.csv,63,A,D,['us foreign policy' 'sociology']
64,data/test/high_school_geography_test.csv,64,C,B,['human sexuality' 'high school psychology']
65,data/test/high_school_geography_test.csv,65,C,C,['econometrics' 'high school macroeconomics']
66,data/test/high_school_geography_test.csv,66,A,D,['econometrics' 'professional psychology']
67,data/test/high_school_geography_test.csv,67,A,B,['econometrics' 'security studies']
68,data/test/high_school_geography_test.csv,68,D,C,['public relations' 'professional psychology']
69,data/test/high_school_geography_test.csv,69,B,C,['security studies' 'public relations']
70,data/test/high_school_geography_test.csv,70,B,B,['high school government and politics' 'human sexuality']
71,data/test/high_school_geography_test.csv,71,C,A,['public relations' 'econometrics']
72,data/test/high_school_geography_test.csv,72,C,D,['sociology' 'public relations']
73,data/test/high_school_geography_test.csv,73,B,C,['professional psychology' 'high school macroeconomics']
74,data/test/high_school_geography_test.csv,74,C,C,['professional psychology' 'high school microeconomics']
75,data/test/high_school_geography_test.csv,75,A,B,['public relations' 'security studies']
76,data/test/high_school_geography_test.csv,76,A,D,['econometrics' 'security studies']
77,data/test/high_school_geography_test.csv,77,C,D,['public relations' 'econometrics']
78,data/test/high_school_geography_test.csv,78,D,A,['security studies' 'professional psychology']
79,data/test/high_school_geography_test.csv,79,A,D,['public relations' 'high school macroeconomics']
80,data/test/high_school_geography_test.csv,80,B,A,['high school macroeconomics' 'public relations']
81,data/test/high_school_geography_test.csv,81,D,B,['us foreign policy' 'high school macroeconomics']
