,task,item,choice,gt,meta_tasks
0,data/test/high_school_microeconomics_test.csv,0,A,A,['us foreign policy' 'sociology']
1,data/test/high_school_microeconomics_test.csv,1,A,C,['high school geography' 'professional psychology']
2,data/test/high_school_microeconomics_test.csv,2,B,B,['high school macroeconomics' 'econometrics']
3,data/test/high_school_microeconomics_test.csv,3,C,D,['econometrics' 'high school geography']
4,data/test/high_school_microeconomics_test.csv,4,A,D,['high school geography' 'sociology']
5,data/test/high_school_microeconomics_test.csv,5,C,D,['security studies' 'high school macroeconomics']
6,data/test/high_school_microeconomics_test.csv,6,D,D,['sociology' 'public relations']
7,data/test/high_school_microeconomics_test.csv,7,A,C,['high school government and politics' 'high school psychology']
8,data/test/high_school_microeconomics_test.csv,8,B,D,['high school psychology' 'high school government and politics']
9,data/test/high_school_microeconomics_test.csv,9,B,B,['high school psychology' 'high school geography']
10,data/test/high_school_microeconomics_test.csv,10,A,C,['human sexuality' 'us foreign policy']
11,data/test/high_school_microeconomics_test.csv,11,C,C,['sociology' 'high school psychology']
12,data/test/high_school_microeconomics_test.csv,12,D,D,['public relations' 'high school government and politics']
13,data/test/high_school_microeconomics_test.csv,13,B,C,['econometrics' 'security studies']
14,data/test/high_school_microeconomics_test.csv,14,C,B,['econometrics' 'us foreign policy']
15,data/test/high_school_microeconomics_test.csv,15,A,D,['high school psychology' 'high school government and politics']
16,data/test/high_school_microeconomics_test.csv,16,A,C,['econometrics' 'high school government and politics']
17,data/test/high_school_microeconomics_test.csv,17,D,D,['security studies' 'us foreign policy']
18,data/test/high_school_microeconomics_test.csv,18,C,B,['sociology' 'high school geography']
19,data/test/high_school_microeconomics_test.csv,19,B,C,['human sexuality' 'us foreign policy']
20,data/test/high_school_microeconomics_test.csv,20,C,D,['us foreign policy' 'high school psychology']
21,data/test/high_school_microeconomics_test.csv,21,A,A,['public relations' 'high school government and politics']
22,data/test/high_school_microeconomics_test.csv,22,B,D,['sociology' 'security studies']
23,data/test/high_school_microeconomics_test.csv,23,D,B,['sociology' 'public relations']
24,data/test/high_school_microeconomics_test.csv,24,C,B,['high school psychology' 'sociology']
25,data/test/high_school_microeconomics_test.csv,25,B,D,['us foreign policy' 'high school government and politics']
26,data/test/high_school_microeconomics_test.csv,26,B,B,['sociology' 'us foreign policy']
27,data/test/high_school_microeconomics_test.csv,27,C,D,['sociology' 'us foreign policy']
28,data/test/high_school_microeconomics_test.csv,28,D,B,['us foreign policy' 'high school psychology']
29,data/test/high_school_microeconomics_test.csv,29,D,C,['human sexuality' 'high school macroeconomics']
30,data/test/high_school_microeconomics_test.csv,30,D,A,['high school psychology' 'high school macroeconomics']
31,data/test/high_school_microeconomics_test.csv,31,B,B,['us foreign policy' 'professional psychology']
32,data/test/high_school_microeconomics_test.csv,32,C,D,['high school government and politics' 'high school psychology']
33,data/test/high_school_microeconomics_test.csv,33,C,A,['econometrics' 'high school geography']
34,data/test/high_school_microeconomics_test.csv,34,B,B,['security studies' 'high school government and politics']
35,data/test/high_school_microeconomics_test.csv,35,C,A,['high school psychology' 'professional psychology']
36,data/test/high_school_microeconomics_test.csv,36,B,B,['high school psychology' 'high school macroeconomics']
37,data/test/high_school_microeconomics_test.csv,37,D,D,['high school psychology' 'high school macroeconomics']
38,data/test/high_school_microeconomics_test.csv,38,A,A,['us foreign policy' 'high school psychology']
39,data/test/high_school_microeconomics_test.csv,39,B,A,['us foreign policy' 'public relations']
40,data/test/high_school_microeconomics_test.csv,40,C,D,['high school government and politics' 'sociology']
41,data/test/high_school_microeconomics_test.csv,41,A,D,['us foreign policy' 'sociology']
42,data/test/high_school_microeconomics_test.csv,42,D,D,['security studies' 'high school psychology']
43,data/test/high_school_microeconomics_test.csv,43,A,D,['high school geography' 'security studies']
44,data/test/high_school_microeconomics_test.csv,44,D,B,['high school government and politics' 'us foreign policy']
45,data/test/high_school_microeconomics_test.csv,45,B,D,['professional psychology' 'high school geography']
46,data/test/high_school_microeconomics_test.csv,46,B,C,['econometrics' 'security studies']
47,data/test/high_school_microeconomics_test.csv,47,D,B,['us foreign policy' 'high school macroeconomics']
48,data/test/high_school_microeconomics_test.csv,48,D,D,['human sexuality' 'high school psychology']
49,data/test/high_school_microeconomics_test.csv,49,C,B,['high school geography' 'security studies']
50,data/test/high_school_microeconomics_test.csv,50,D,C,['high school geography' 'security studies']
51,data/test/high_school_microeconomics_test.csv,51,A,A,['high school psychology' 'security studies']
52,data/test/high_school_microeconomics_test.csv,52,C,D,['security studies' 'professional psychology']
53,data/test/high_school_microeconomics_test.csv,53,C,B,['security studies' 'professional psychology']
54,data/test/high_school_microeconomics_test.csv,54,D,A,['us foreign policy' 'high school macroeconomics']
55,data/test/high_school_microeconomics_test.csv,55,C,A,['security studies' 'high school geography']
56,data/test/high_school_microeconomics_test.csv,56,D,A,['professional psychology' 'sociology']
57,data/test/high_school_microeconomics_test.csv,57,C,D,['sociology' 'professional psychology']
