,task,item,choice,gt,meta_tasks
0,data/test/high_school_world_history_test.csv,0,A,A,['prehistory' 'world religions']
1,data/test/high_school_world_history_test.csv,1,C,B,['world religions' 'high school us history']
2,data/test/high_school_world_history_test.csv,2,D,D,['high school us history' 'moral scenarios']
3,data/test/high_school_world_history_test.csv,3,C,C,['international law' 'prehistory']
4,data/test/high_school_world_history_test.csv,4,B,D,['moral disputes' 'logical fallacies']
5,data/test/high_school_world_history_test.csv,5,A,C,['prehistory' 'moral scenarios']
6,data/test/high_school_world_history_test.csv,6,A,A,['prehistory' 'moral disputes']
7,data/test/high_school_world_history_test.csv,7,A,B,['logical fallacies' 'international law']
8,data/test/high_school_world_history_test.csv,8,C,C,['prehistory' 'jurisprudence']
9,data/test/high_school_world_history_test.csv,9,A,B,['philosophy' 'international law']
10,data/test/high_school_world_history_test.csv,10,D,B,['moral disputes' 'moral scenarios']
11,data/test/high_school_world_history_test.csv,11,D,A,['moral disputes' 'jurisprudence']
12,data/test/high_school_world_history_test.csv,12,D,A,['philosophy' 'logical fallacies']
13,data/test/high_school_world_history_test.csv,13,B,A,['jurisprudence' 'high school us history']
14,data/test/high_school_world_history_test.csv,14,C,D,['high school us history' 'moral disputes']
15,data/test/high_school_world_history_test.csv,15,B,D,['philosophy' 'formal logic']
16,data/test/high_school_world_history_test.csv,16,C,A,['prehistory' 'logical fallacies']
17,data/test/high_school_world_history_test.csv,17,C,B,['philosophy' 'logical fallacies']
18,data/test/high_school_world_history_test.csv,18,C,B,['philosophy' 'high school us history']
19,data/test/high_school_world_history_test.csv,19,B,A,['moral scenarios' 'philosophy']
20,data/test/high_school_world_history_test.csv,20,B,A,['high school us history' 'world religions']
21,data/test/high_school_world_history_test.csv,21,C,D,['moral scenarios' 'formal logic']
22,data/test/high_school_world_history_test.csv,22,D,B,['world religions' 'high school european history']
23,data/test/high_school_world_history_test.csv,23,A,C,['world religions' 'prehistory']
24,data/test/high_school_world_history_test.csv,24,C,B,['philosophy' 'high school us history']
25,data/test/high_school_world_history_test.csv,25,B,A,['world religions' 'philosophy']
26,data/test/high_school_world_history_test.csv,26,A,A,['logical fallacies' 'international law']
27,data/test/high_school_world_history_test.csv,27,D,D,['formal logic' 'logical fallacies']
28,data/test/high_school_world_history_test.csv,28,C,A,['formal logic' 'high school us history']
29,data/test/high_school_world_history_test.csv,29,D,D,['logical fallacies' 'moral scenarios']
30,data/test/high_school_world_history_test.csv,30,C,C,['international law' 'moral disputes']
31,data/test/high_school_world_history_test.csv,31,B,D,['high school us history' 'international law']
32,data/test/high_school_world_history_test.csv,32,B,B,['international law' 'moral disputes']
33,data/test/high_school_world_history_test.csv,33,B,B,['world religions' 'high school us history']
34,data/test/high_school_world_history_test.csv,34,D,B,['prehistory' 'high school us history']
35,data/test/high_school_world_history_test.csv,35,A,B,['moral scenarios' 'high school us history']
36,data/test/high_school_world_history_test.csv,36,C,C,['jurisprudence' 'moral disputes']
37,data/test/high_school_world_history_test.csv,37,B,B,['high school european history' 'prehistory']
38,data/test/high_school_world_history_test.csv,38,D,D,['moral disputes' 'world religions']
39,data/test/high_school_world_history_test.csv,39,C,D,['jurisprudence' 'moral scenarios']
40,data/test/high_school_world_history_test.csv,40,C,C,['moral disputes' 'formal logic']
41,data/test/high_school_world_history_test.csv,41,B,D,['jurisprudence' 'high school us history']
42,data/test/high_school_world_history_test.csv,42,C,C,['high school european history' 'high school us history']
43,data/test/high_school_world_history_test.csv,43,C,D,['high school european history' 'international law']
44,data/test/high_school_world_history_test.csv,44,D,D,['world religions' 'high school us history']
45,data/test/high_school_world_history_test.csv,45,D,D,['world religions' 'formal logic']
46,data/test/high_school_world_history_test.csv,46,C,C,['philosophy' 'prehistory']
47,data/test/high_school_world_history_test.csv,47,C,A,['international law' 'moral scenarios']
48,data/test/high_school_world_history_test.csv,48,D,C,['formal logic' 'high school us history']
49,data/test/high_school_world_history_test.csv,49,B,C,['international law' 'philosophy']
50,data/test/high_school_world_history_test.csv,50,D,A,['logical fallacies' 'world religions']
51,data/test/high_school_world_history_test.csv,51,B,D,['world religions' 'philosophy']
52,data/test/high_school_world_history_test.csv,52,C,D,['moral scenarios' 'international law']
53,data/test/high_school_world_history_test.csv,53,C,B,['international law' 'formal logic']
54,data/test/high_school_world_history_test.csv,54,C,D,['philosophy' 'moral disputes']
55,data/test/high_school_world_history_test.csv,55,D,B,['jurisprudence' 'philosophy']
56,data/test/high_school_world_history_test.csv,56,D,B,['moral scenarios' 'jurisprudence']
57,data/test/high_school_world_history_test.csv,57,A,C,['international law' 'prehistory']
58,data/test/high_school_world_history_test.csv,58,A,A,['philosophy' 'international law']
59,data/test/high_school_world_history_test.csv,59,D,D,['high school european history' 'formal logic']
60,data/test/high_school_world_history_test.csv,60,A,A,['jurisprudence' 'high school us history']
61,data/test/high_school_world_history_test.csv,61,C,A,['moral scenarios' 'high school european history']
62,data/test/high_school_world_history_test.csv,62,B,C,['moral scenarios' 'philosophy']
63,data/test/high_school_world_history_test.csv,63,A,C,['international law' 'world religions']
64,data/test/high_school_world_history_test.csv,64,A,A,['international law' 'jurisprudence']
65,data/test/high_school_world_history_test.csv,65,C,B,['philosophy' 'high school european history']
66,data/test/high_school_world_history_test.csv,66,C,A,['world religions' 'moral scenarios']
67,data/test/high_school_world_history_test.csv,67,A,A,['international law' 'jurisprudence']
68,data/test/high_school_world_history_test.csv,68,A,A,['moral scenarios' 'high school us history']
69,data/test/high_school_world_history_test.csv,69,B,A,['high school european history' 'moral scenarios']
70,data/test/high_school_world_history_test.csv,70,C,D,['moral scenarios' 'high school european history']
71,data/test/high_school_world_history_test.csv,71,C,C,['formal logic' 'philosophy']
72,data/test/high_school_world_history_test.csv,72,B,D,['world religions' 'logical fallacies']
73,data/test/high_school_world_history_test.csv,73,D,A,['formal logic' 'world religions']
74,data/test/high_school_world_history_test.csv,74,B,A,['logical fallacies' 'prehistory']
75,data/test/high_school_world_history_test.csv,75,B,C,['high school european history' 'prehistory']
76,data/test/high_school_world_history_test.csv,76,B,B,['world religions' 'formal logic']
77,data/test/high_school_world_history_test.csv,77,C,B,['high school us history' 'world religions']
78,data/test/high_school_world_history_test.csv,78,A,A,['logical fallacies' 'high school us history']
79,data/test/high_school_world_history_test.csv,79,C,B,['high school us history' 'jurisprudence']
80,data/test/high_school_world_history_test.csv,80,D,C,['international law' 'high school us history']
81,data/test/high_school_world_history_test.csv,81,B,C,['jurisprudence' 'high school us history']
82,data/test/high_school_world_history_test.csv,82,C,A,['philosophy' 'world religions']
83,data/test/high_school_world_history_test.csv,83,B,D,['international law' 'philosophy']
84,data/test/high_school_world_history_test.csv,84,B,C,['formal logic' 'moral scenarios']
85,data/test/high_school_world_history_test.csv,85,C,A,['high school us history' 'world religions']
86,data/test/high_school_world_history_test.csv,86,C,A,['jurisprudence' 'prehistory']
87,data/test/high_school_world_history_test.csv,87,C,A,['logical fallacies' 'moral scenarios']
88,data/test/high_school_world_history_test.csv,88,A,B,['logical fallacies' 'international law']
89,data/test/high_school_world_history_test.csv,89,A,B,['logical fallacies' 'moral disputes']
90,data/test/high_school_world_history_test.csv,90,A,D,['jurisprudence' 'logical fallacies']
91,data/test/high_school_world_history_test.csv,91,C,C,['jurisprudence' 'prehistory']
92,data/test/high_school_world_history_test.csv,92,B,B,['formal logic' 'high school us history']
93,data/test/high_school_world_history_test.csv,93,C,A,['logical fallacies' 'philosophy']
94,data/test/high_school_world_history_test.csv,94,D,B,['moral scenarios' 'international law']
95,data/test/high_school_world_history_test.csv,95,B,A,['high school us history' 'philosophy']
96,data/test/high_school_world_history_test.csv,96,C,C,['high school us history' 'high school european history']
97,data/test/high_school_world_history_test.csv,97,A,D,['high school us history' 'high school european history']
