,task,item,choice,gt,meta_tasks
0,data/test/philosophy_test.csv,0,D,C,['jurisprudence' 'prehistory']
1,data/test/philosophy_test.csv,1,D,D,['international law' 'high school world history']
2,data/test/philosophy_test.csv,2,B,D,['moral disputes' 'world religions']
3,data/test/philosophy_test.csv,3,B,D,['moral scenarios' 'international law']
4,data/test/philosophy_test.csv,4,C,B,['international law' 'logical fallacies']
5,data/test/philosophy_test.csv,5,D,D,['jurisprudence' 'prehistory']
6,data/test/philosophy_test.csv,6,D,C,['world religions' 'prehistory']
7,data/test/philosophy_test.csv,7,B,D,['moral scenarios' 'world religions']
8,data/test/philosophy_test.csv,8,D,A,['formal logic' 'moral disputes']
9,data/test/philosophy_test.csv,9,B,B,['formal logic' 'high school european history']
10,data/test/philosophy_test.csv,10,D,C,['moral scenarios' 'logical fallacies']
11,data/test/philosophy_test.csv,11,A,C,['moral disputes' 'prehistory']
12,data/test/philosophy_test.csv,12,D,B,['logical fallacies' 'high school us history']
13,data/test/philosophy_test.csv,13,C,A,['world religions' 'prehistory']
14,data/test/philosophy_test.csv,14,C,D,['world religions' 'prehistory']
15,data/test/philosophy_test.csv,15,C,A,['logical fallacies' 'prehistory']
16,data/test/philosophy_test.csv,16,C,A,['moral disputes' 'high school us history']
17,data/test/philosophy_test.csv,17,C,D,['high school european history' 'moral disputes']
18,data/test/philosophy_test.csv,18,B,A,['high school world history' 'logical fallacies']
19,data/test/philosophy_test.csv,19,A,D,['moral disputes' 'high school world history']
20,data/test/philosophy_test.csv,20,A,C,['high school world history' 'moral scenarios']
21,data/test/philosophy_test.csv,21,D,A,['logical fallacies' 'prehistory']
22,data/test/philosophy_test.csv,22,B,C,['prehistory' 'moral disputes']
23,data/test/philosophy_test.csv,23,D,B,['moral scenarios' 'high school european history']
24,data/test/philosophy_test.csv,24,C,B,['high school world history' 'high school us history']
25,data/test/philosophy_test.csv,25,D,B,['high school world history' 'high school european history']
26,data/test/philosophy_test.csv,26,C,A,['logical fallacies' 'moral disputes']
27,data/test/philosophy_test.csv,27,A,C,['international law' 'high school world history']
28,data/test/philosophy_test.csv,28,B,B,['logical fallacies' 'high school us history']
29,data/test/philosophy_test.csv,29,D,D,['high school world history' 'high school us history']
30,data/test/philosophy_test.csv,30,B,A,['moral scenarios' 'high school us history']
31,data/test/philosophy_test.csv,31,A,B,['prehistory' 'formal logic']
32,data/test/philosophy_test.csv,32,D,C,['high school world history' 'international law']
33,data/test/philosophy_test.csv,33,A,A,['international law' 'world religions']
34,data/test/philosophy_test.csv,34,B,D,['logical fallacies' 'moral disputes']
35,data/test/philosophy_test.csv,35,D,B,['high school world history' 'logical fallacies']
36,data/test/philosophy_test.csv,36,A,B,['logical fallacies' 'moral scenarios']
37,data/test/philosophy_test.csv,37,D,C,['formal logic' 'jurisprudence']
38,data/test/philosophy_test.csv,38,D,D,['prehistory' 'high school us history']
39,data/test/philosophy_test.csv,39,C,B,['moral scenarios' 'moral disputes']
40,data/test/philosophy_test.csv,40,D,C,['prehistory' 'high school world history']
41,data/test/philosophy_test.csv,41,B,C,['high school us history' 'world religions']
42,data/test/philosophy_test.csv,42,C,C,['high school us history' 'jurisprudence']
43,data/test/philosophy_test.csv,43,A,B,['jurisprudence' 'high school european history']
44,data/test/philosophy_test.csv,44,C,C,['world religions' 'high school us history']
45,data/test/philosophy_test.csv,45,A,D,['prehistory' 'world religions']
46,data/test/philosophy_test.csv,46,B,A,['jurisprudence' 'moral scenarios']
47,data/test/philosophy_test.csv,47,C,C,['moral disputes' 'international law']
48,data/test/philosophy_test.csv,48,B,B,['formal logic' 'high school us history']
49,data/test/philosophy_test.csv,49,A,D,['prehistory' 'moral disputes']
50,data/test/philosophy_test.csv,50,A,D,['prehistory' 'moral scenarios']
51,data/test/philosophy_test.csv,51,B,D,['moral scenarios' 'high school european history']
52,data/test/philosophy_test.csv,52,B,D,['prehistory' 'high school european history']
53,data/test/philosophy_test.csv,53,A,C,['international law' 'high school european history']
54,data/test/philosophy_test.csv,54,B,B,['high school european history' 'high school world history']
55,data/test/philosophy_test.csv,55,C,C,['high school world history' 'international law']
56,data/test/philosophy_test.csv,56,D,B,['formal logic' 'logical fallacies']
57,data/test/philosophy_test.csv,57,B,C,['prehistory' 'high school world history']
58,data/test/philosophy_test.csv,58,B,C,['logical fallacies' 'prehistory']
59,data/test/philosophy_test.csv,59,B,C,['international law' 'high school european history']
60,data/test/philosophy_test.csv,60,D,B,['moral disputes' 'jurisprudence']
61,data/test/philosophy_test.csv,61,A,D,['logical fallacies' 'formal logic']
62,data/test/philosophy_test.csv,62,A,A,['high school european history' 'world religions']
63,data/test/philosophy_test.csv,63,B,D,['moral scenarios' 'prehistory']
