,task,item,choice,gt,meta_tasks
0,data/test/sociology_test.csv,0,C,C,['high school psychology' 'econometrics']
1,data/test/sociology_test.csv,1,D,A,['high school macroeconomics' 'public relations']
2,data/test/sociology_test.csv,2,A,B,['us foreign policy' 'high school government and politics']
3,data/test/sociology_test.csv,3,A,D,['professional psychology' 'security studies']
4,data/test/sociology_test.csv,4,D,D,['us foreign policy' 'econometrics']
5,data/test/sociology_test.csv,5,C,B,['high school macroeconomics' 'high school microeconomics']
6,data/test/sociology_test.csv,6,D,D,['high school government and politics' 'professional psychology']
7,data/test/sociology_test.csv,7,B,B,['high school geography' 'security studies']
8,data/test/sociology_test.csv,8,A,A,['security studies' 'human sexuality']
9,data/test/sociology_test.csv,9,D,C,['public relations' 'high school psychology']
10,data/test/sociology_test.csv,10,D,B,['high school psychology' 'high school government and politics']
11,data/test/sociology_test.csv,11,D,D,['human sexuality' 'high school government and politics']
12,data/test/sociology_test.csv,12,A,A,['high school microeconomics' 'econometrics']
13,data/test/sociology_test.csv,13,A,A,['high school microeconomics' 'high school macroeconomics']
14,data/test/sociology_test.csv,14,A,A,['econometrics' 'professional psychology']
15,data/test/sociology_test.csv,15,C,A,['high school psychology' 'high school microeconomics']
16,data/test/sociology_test.csv,16,C,A,['human sexuality' 'us foreign policy']
17,data/test/sociology_test.csv,17,D,A,['econometrics' 'professional psychology']
18,data/test/sociology_test.csv,18,C,A,['human sexuality' 'us foreign policy']
19,data/test/sociology_test.csv,19,C,A,['high school psychology' 'professional psychology']
20,data/test/sociology_test.csv,20,C,C,['high school government and politics' 'high school psychology']
21,data/test/sociology_test.csv,21,D,C,['high school microeconomics' 'professional psychology']
22,data/test/sociology_test.csv,22,A,B,['us foreign policy' 'public relations']
23,data/test/sociology_test.csv,23,B,D,['human sexuality' 'econometrics']
24,data/test/sociology_test.csv,24,C,C,['high school microeconomics' 'high school psychology']
25,data/test/sociology_test.csv,25,B,C,['human sexuality' 'high school macroeconomics']
26,data/test/sociology_test.csv,26,C,A,['econometrics' 'human sexuality']
27,data/test/sociology_test.csv,27,C,A,['high school macroeconomics' 'us foreign policy']
28,data/test/sociology_test.csv,28,C,A,['human sexuality' 'public relations']
29,data/test/sociology_test.csv,29,C,B,['security studies' 'high school psychology']
30,data/test/sociology_test.csv,30,B,D,['public relations' 'us foreign policy']
31,data/test/sociology_test.csv,31,D,C,['high school psychology' 'high school government and politics']
32,data/test/sociology_test.csv,32,B,B,['high school government and politics' 'high school macroeconomics']
33,data/test/sociology_test.csv,33,D,A,['high school microeconomics' 'high school psychology']
34,data/test/sociology_test.csv,34,B,A,['human sexuality' 'public relations']
35,data/test/sociology_test.csv,35,A,A,['high school geography' 'security studies']
36,data/test/sociology_test.csv,36,A,A,['high school geography' 'security studies']
37,data/test/sociology_test.csv,37,B,D,['security studies' 'professional psychology']
38,data/test/sociology_test.csv,38,D,B,['high school geography' 'high school government and politics']
39,data/test/sociology_test.csv,39,C,D,['high school geography' 'professional psychology']
40,data/test/sociology_test.csv,40,A,A,['security studies' 'high school government and politics']
41,data/test/sociology_test.csv,41,D,B,['high school government and politics' 'human sexuality']
42,data/test/sociology_test.csv,42,A,C,['high school macroeconomics' 'high school geography']
43,data/test/sociology_test.csv,43,C,D,['high school macroeconomics' 'human sexuality']
44,data/test/sociology_test.csv,44,B,A,['high school psychology' 'public relations']
45,data/test/sociology_test.csv,45,B,A,['high school microeconomics' 'high school psychology']
46,data/test/sociology_test.csv,46,B,B,['high school microeconomics' 'security studies']
47,data/test/sociology_test.csv,47,B,B,['human sexuality' 'high school psychology']
48,data/test/sociology_test.csv,48,D,D,['econometrics' 'high school geography']
49,data/test/sociology_test.csv,49,A,C,['econometrics' 'high school microeconomics']
50,data/test/sociology_test.csv,50,B,B,['human sexuality' 'us foreign policy']
51,data/test/sociology_test.csv,51,B,B,['us foreign policy' 'econometrics']
52,data/test/sociology_test.csv,52,D,B,['security studies' 'econometrics']
53,data/test/sociology_test.csv,53,D,C,['professional psychology' 'high school psychology']
54,data/test/sociology_test.csv,54,A,A,['high school psychology' 'high school government and politics']
55,data/test/sociology_test.csv,55,B,C,['high school psychology' 'security studies']
56,data/test/sociology_test.csv,56,A,B,['professional psychology' 'high school geography']
57,data/test/sociology_test.csv,57,C,C,['public relations' 'professional psychology']
58,data/test/sociology_test.csv,58,D,B,['high school geography' 'high school macroeconomics']
59,data/test/sociology_test.csv,59,D,B,['high school macroeconomics' 'high school geography']
60,data/test/sociology_test.csv,60,B,B,['high school government and politics' 'high school microeconomics']
61,data/test/sociology_test.csv,61,C,C,['professional psychology' 'high school psychology']
62,data/test/sociology_test.csv,62,C,D,['us foreign policy' 'econometrics']
63,data/test/sociology_test.csv,63,A,C,['us foreign policy' 'security studies']
64,data/test/sociology_test.csv,64,A,D,['human sexuality' 'public relations']
65,data/test/sociology_test.csv,65,A,A,['human sexuality' 'high school psychology']
66,data/test/sociology_test.csv,66,B,D,['public relations' 'professional psychology']
67,data/test/sociology_test.csv,67,D,D,['high school macroeconomics' 'human sexuality']
68,data/test/sociology_test.csv,68,A,A,['econometrics' 'high school government and politics']
69,data/test/sociology_test.csv,69,A,A,['high school macroeconomics' 'human sexuality']
70,data/test/sociology_test.csv,70,B,A,['econometrics' 'high school psychology']
71,data/test/sociology_test.csv,71,A,A,['high school macroeconomics' 'public relations']
72,data/test/sociology_test.csv,72,A,D,['public relations' 'high school government and politics']
