,task,item,choice,gt,num_previous_points
0,data/test/college_computer_science_test.csv,0,D,A,6
1,data/test/college_computer_science_test.csv,0,C,A,7
2,data/test/college_computer_science_test.csv,0,C,A,8
3,data/test/college_computer_science_test.csv,1,D,C,6
4,data/test/college_computer_science_test.csv,1,D,C,7
5,data/test/college_computer_science_test.csv,1,D,C,8
6,data/test/college_computer_science_test.csv,2,B,B,6
7,data/test/college_computer_science_test.csv,2,B,B,7
8,data/test/college_computer_science_test.csv,2,B,B,8
9,data/test/college_computer_science_test.csv,3,A,A,6
10,data/test/college_computer_science_test.csv,3,A,A,7
11,data/test/college_computer_science_test.csv,3,A,A,8
12,data/test/college_computer_science_test.csv,4,D,C,6
13,data/test/college_computer_science_test.csv,4,D,C,7
14,data/test/college_computer_science_test.csv,4,D,C,8
15,data/test/college_computer_science_test.csv,5,D,C,6
16,data/test/college_computer_science_test.csv,5,D,C,7
17,data/test/college_computer_science_test.csv,5,D,C,8
18,data/test/college_computer_science_test.csv,6,D,C,6
19,data/test/college_computer_science_test.csv,6,D,C,7
20,data/test/college_computer_science_test.csv,6,D,C,8
21,data/test/college_computer_science_test.csv,7,D,B,6
22,data/test/college_computer_science_test.csv,7,D,B,7
23,data/test/college_computer_science_test.csv,7,D,B,8
24,data/test/college_computer_science_test.csv,8,B,C,6
25,data/test/college_computer_science_test.csv,8,B,C,7
26,data/test/college_computer_science_test.csv,8,B,C,8
27,data/test/college_computer_science_test.csv,9,C,C,6
28,data/test/college_computer_science_test.csv,9,C,C,7
29,data/test/college_computer_science_test.csv,9,C,C,8
30,data/test/college_computer_science_test.csv,10,D,D,6
31,data/test/college_computer_science_test.csv,10,D,D,7
32,data/test/college_computer_science_test.csv,10,D,D,8
33,data/test/college_computer_science_test.csv,11,B,A,6
34,data/test/college_computer_science_test.csv,11,B,A,7
35,data/test/college_computer_science_test.csv,11,B,A,8
36,data/test/college_computer_science_test.csv,12,C,A,6
37,data/test/college_computer_science_test.csv,12,D,A,7
38,data/test/college_computer_science_test.csv,12,D,A,8
39,data/test/college_computer_science_test.csv,13,C,C,6
40,data/test/college_computer_science_test.csv,13,C,C,7
41,data/test/college_computer_science_test.csv,13,C,C,8
42,data/test/college_computer_science_test.csv,14,D,A,6
43,data/test/college_computer_science_test.csv,14,D,A,7
44,data/test/college_computer_science_test.csv,14,D,A,8
45,data/test/college_computer_science_test.csv,15,C,D,6
46,data/test/college_computer_science_test.csv,15,C,D,7
47,data/test/college_computer_science_test.csv,15,D,D,8
48,data/test/college_computer_science_test.csv,16,D,D,6
49,data/test/college_computer_science_test.csv,16,D,D,7
50,data/test/college_computer_science_test.csv,16,B,D,8
51,data/test/college_computer_science_test.csv,17,D,B,6
52,data/test/college_computer_science_test.csv,17,D,B,7
53,data/test/college_computer_science_test.csv,17,D,B,8
54,data/test/college_computer_science_test.csv,18,A,A,6
55,data/test/college_computer_science_test.csv,18,A,A,7
56,data/test/college_computer_science_test.csv,18,A,A,8
57,data/test/college_computer_science_test.csv,19,D,D,6
58,data/test/college_computer_science_test.csv,19,D,D,7
59,data/test/college_computer_science_test.csv,19,D,D,8
60,data/test/college_computer_science_test.csv,20,D,D,6
61,data/test/college_computer_science_test.csv,20,D,D,7
62,data/test/college_computer_science_test.csv,20,D,D,8
63,data/test/college_computer_science_test.csv,21,C,B,6
64,data/test/college_computer_science_test.csv,21,C,B,7
65,data/test/college_computer_science_test.csv,21,C,B,8
66,data/test/college_computer_science_test.csv,22,A,A,6
67,data/test/college_computer_science_test.csv,22,A,A,7
68,data/test/college_computer_science_test.csv,22,A,A,8
69,data/test/college_computer_science_test.csv,23,B,A,6
70,data/test/college_computer_science_test.csv,23,B,A,7
71,data/test/college_computer_science_test.csv,23,B,A,8
72,data/test/college_computer_science_test.csv,24,D,A,6
73,data/test/college_computer_science_test.csv,24,D,A,7
74,data/test/college_computer_science_test.csv,24,D,A,8
75,data/test/college_computer_science_test.csv,25,D,D,6
76,data/test/college_computer_science_test.csv,25,D,D,7
77,data/test/college_computer_science_test.csv,25,D,D,8
78,data/test/college_computer_science_test.csv,26,C,C,6
79,data/test/college_computer_science_test.csv,26,C,C,7
80,data/test/college_computer_science_test.csv,26,C,C,8
81,data/test/college_computer_science_test.csv,27,D,D,6
82,data/test/college_computer_science_test.csv,27,D,D,7
83,data/test/college_computer_science_test.csv,27,D,D,8
84,data/test/college_computer_science_test.csv,28,D,D,6
85,data/test/college_computer_science_test.csv,28,D,D,7
86,data/test/college_computer_science_test.csv,28,B,D,8
87,data/test/college_computer_science_test.csv,29,C,C,6
88,data/test/college_computer_science_test.csv,29,C,C,7
89,data/test/college_computer_science_test.csv,29,C,C,8
90,data/test/college_computer_science_test.csv,30,C,C,6
91,data/test/college_computer_science_test.csv,30,C,C,7
92,data/test/college_computer_science_test.csv,30,C,C,8
93,data/test/college_computer_science_test.csv,31,C,D,6
94,data/test/college_computer_science_test.csv,31,C,D,7
95,data/test/college_computer_science_test.csv,31,C,D,8
96,data/test/college_computer_science_test.csv,32,D,D,6
97,data/test/college_computer_science_test.csv,32,D,D,7
98,data/test/college_computer_science_test.csv,32,D,D,8
99,data/test/college_computer_science_test.csv,33,D,A,6
100,data/test/college_computer_science_test.csv,33,D,A,7
101,data/test/college_computer_science_test.csv,33,D,A,8
102,data/test/college_computer_science_test.csv,34,B,B,6
103,data/test/college_computer_science_test.csv,34,B,B,7
104,data/test/college_computer_science_test.csv,34,B,B,8
105,data/test/college_computer_science_test.csv,35,C,C,6
106,data/test/college_computer_science_test.csv,35,C,C,7
107,data/test/college_computer_science_test.csv,35,B,C,8
108,data/test/college_computer_science_test.csv,36,A,C,6
109,data/test/college_computer_science_test.csv,36,D,C,7
110,data/test/college_computer_science_test.csv,36,D,C,8
111,data/test/college_computer_science_test.csv,37,B,D,6
112,data/test/college_computer_science_test.csv,37,B,D,7
113,data/test/college_computer_science_test.csv,37,B,D,8
114,data/test/college_computer_science_test.csv,38,D,D,6
115,data/test/college_computer_science_test.csv,38,D,D,7
