,task,item,choice,gt,num_previous_points
0,data/test/conceptual_physics_test.csv,0,A,A,6
1,data/test/conceptual_physics_test.csv,0,A,A,7
2,data/test/conceptual_physics_test.csv,0,A,A,8
3,data/test/conceptual_physics_test.csv,1,D,B,6
4,data/test/conceptual_physics_test.csv,1,D,B,7
5,data/test/conceptual_physics_test.csv,1,B,B,8
6,data/test/conceptual_physics_test.csv,2,B,B,6
7,data/test/conceptual_physics_test.csv,2,B,B,7
8,data/test/conceptual_physics_test.csv,2,B,B,8
9,data/test/conceptual_physics_test.csv,3,C,B,6
10,data/test/conceptual_physics_test.csv,3,C,B,7
11,data/test/conceptual_physics_test.csv,3,A,B,8
12,data/test/conceptual_physics_test.csv,4,A,A,6
13,data/test/conceptual_physics_test.csv,4,A,A,7
14,data/test/conceptual_physics_test.csv,4,A,A,8
15,data/test/conceptual_physics_test.csv,5,D,D,6
16,data/test/conceptual_physics_test.csv,5,D,D,7
17,data/test/conceptual_physics_test.csv,5,D,D,8
18,data/test/conceptual_physics_test.csv,6,D,D,6
19,data/test/conceptual_physics_test.csv,6,D,D,7
20,data/test/conceptual_physics_test.csv,6,D,D,8
21,data/test/conceptual_physics_test.csv,7,A,A,6
22,data/test/conceptual_physics_test.csv,7,A,A,7
23,data/test/conceptual_physics_test.csv,7,A,A,8
24,data/test/conceptual_physics_test.csv,8,B,B,6
25,data/test/conceptual_physics_test.csv,8,B,B,7
26,data/test/conceptual_physics_test.csv,8,B,B,8
27,data/test/conceptual_physics_test.csv,9,D,D,6
28,data/test/conceptual_physics_test.csv,9,D,D,7
29,data/test/conceptual_physics_test.csv,9,D,D,8
30,data/test/conceptual_physics_test.csv,10,B,B,6
31,data/test/conceptual_physics_test.csv,10,B,B,7
32,data/test/conceptual_physics_test.csv,10,D,B,8
33,data/test/conceptual_physics_test.csv,11,C,C,6
34,data/test/conceptual_physics_test.csv,11,C,C,7
35,data/test/conceptual_physics_test.csv,11,C,C,8
36,data/test/conceptual_physics_test.csv,12,B,B,6
37,data/test/conceptual_physics_test.csv,12,B,B,7
38,data/test/conceptual_physics_test.csv,12,D,B,8
39,data/test/conceptual_physics_test.csv,13,A,A,6
40,data/test/conceptual_physics_test.csv,13,A,A,7
41,data/test/conceptual_physics_test.csv,13,A,A,8
42,data/test/conceptual_physics_test.csv,14,C,B,6
43,data/test/conceptual_physics_test.csv,14,D,B,7
44,data/test/conceptual_physics_test.csv,14,C,B,8
45,data/test/conceptual_physics_test.csv,15,A,A,6
46,data/test/conceptual_physics_test.csv,15,A,A,7
47,data/test/conceptual_physics_test.csv,15,A,A,8
48,data/test/conceptual_physics_test.csv,16,C,A,6
49,data/test/conceptual_physics_test.csv,16,C,A,7
50,data/test/conceptual_physics_test.csv,16,A,A,8
51,data/test/conceptual_physics_test.csv,17,B,B,6
52,data/test/conceptual_physics_test.csv,17,D,B,7
53,data/test/conceptual_physics_test.csv,17,D,B,8
54,data/test/conceptual_physics_test.csv,18,D,D,6
55,data/test/conceptual_physics_test.csv,18,A,D,7
56,data/test/conceptual_physics_test.csv,18,A,D,8
57,data/test/conceptual_physics_test.csv,19,A,A,6
58,data/test/conceptual_physics_test.csv,19,A,A,7
59,data/test/conceptual_physics_test.csv,19,A,A,8
60,data/test/conceptual_physics_test.csv,20,D,A,6
61,data/test/conceptual_physics_test.csv,20,D,A,7
62,data/test/conceptual_physics_test.csv,20,D,A,8
63,data/test/conceptual_physics_test.csv,21,C,C,6
64,data/test/conceptual_physics_test.csv,21,C,C,7
65,data/test/conceptual_physics_test.csv,21,C,C,8
66,data/test/conceptual_physics_test.csv,22,A,D,6
67,data/test/conceptual_physics_test.csv,22,A,D,7
68,data/test/conceptual_physics_test.csv,22,A,D,8
69,data/test/conceptual_physics_test.csv,23,A,C,6
70,data/test/conceptual_physics_test.csv,23,A,C,7
71,data/test/conceptual_physics_test.csv,23,A,C,8
72,data/test/conceptual_physics_test.csv,24,C,C,6
73,data/test/conceptual_physics_test.csv,24,C,C,7
74,data/test/conceptual_physics_test.csv,24,C,C,8
75,data/test/conceptual_physics_test.csv,25,B,A,6
76,data/test/conceptual_physics_test.csv,25,B,A,7
77,data/test/conceptual_physics_test.csv,25,B,A,8
78,data/test/conceptual_physics_test.csv,26,D,D,6
79,data/test/conceptual_physics_test.csv,26,D,D,7
80,data/test/conceptual_physics_test.csv,26,D,D,8
81,data/test/conceptual_physics_test.csv,27,A,A,6
82,data/test/conceptual_physics_test.csv,27,A,A,7
83,data/test/conceptual_physics_test.csv,27,A,A,8
84,data/test/conceptual_physics_test.csv,28,B,C,6
85,data/test/conceptual_physics_test.csv,28,B,C,7
86,data/test/conceptual_physics_test.csv,28,B,C,8
87,data/test/conceptual_physics_test.csv,29,B,C,6
88,data/test/conceptual_physics_test.csv,29,B,C,7
89,data/test/conceptual_physics_test.csv,29,B,C,8
90,data/test/conceptual_physics_test.csv,30,A,B,6
91,data/test/conceptual_physics_test.csv,30,A,B,7
92,data/test/conceptual_physics_test.csv,30,A,B,8
93,data/test/conceptual_physics_test.csv,31,A,D,6
94,data/test/conceptual_physics_test.csv,31,A,D,7
95,data/test/conceptual_physics_test.csv,31,A,D,8
96,data/test/conceptual_physics_test.csv,32,C,C,6
97,data/test/conceptual_physics_test.csv,32,B,C,7
98,data/test/conceptual_physics_test.csv,32,C,C,8
99,data/test/conceptual_physics_test.csv,33,D,D,6
100,data/test/conceptual_physics_test.csv,33,D,D,7
101,data/test/conceptual_physics_test.csv,33,D,D,8
102,data/test/conceptual_physics_test.csv,34,D,D,6
103,data/test/conceptual_physics_test.csv,34,D,D,7
104,data/test/conceptual_physics_test.csv,34,D,D,8
105,data/test/conceptual_physics_test.csv,35,C,A,6
106,data/test/conceptual_physics_test.csv,35,C,A,7
107,data/test/conceptual_physics_test.csv,35,C,A,8
108,data/test/conceptual_physics_test.csv,36,C,A,6
109,data/test/conceptual_physics_test.csv,36,C,A,7
110,data/test/conceptual_physics_test.csv,36,C,A,8
111,data/test/conceptual_physics_test.csv,37,D,C,6
112,data/test/conceptual_physics_test.csv,37,D,C,7
113,data/test/conceptual_physics_test.csv,37,C,C,8
114,data/test/conceptual_physics_test.csv,38,D,D,6
115,data/test/conceptual_physics_test.csv,38,D,D,7
116,data/test/conceptual_physics_test.csv,38,D,D,8
117,data/test/conceptual_physics_test.csv,39,A,A,6
118,data/test/conceptual_physics_test.csv,39,A,A,7
119,data/test/conceptual_physics_test.csv,39,A,A,8
120,data/test/conceptual_physics_test.csv,40,A,C,6
121,data/test/conceptual_physics_test.csv,40,A,C,7
122,data/test/conceptual_physics_test.csv,40,A,C,8
123,data/test/conceptual_physics_test.csv,41,D,D,6
124,data/test/conceptual_physics_test.csv,41,D,D,7
125,data/test/conceptual_physics_test.csv,41,D,D,8
126,data/test/conceptual_physics_test.csv,42,A,B,6
127,data/test/conceptual_physics_test.csv,42,B,B,7
128,data/test/conceptual_physics_test.csv,42,B,B,8
129,data/test/conceptual_physics_test.csv,43,A,C,6
130,data/test/conceptual_physics_test.csv,43,A,C,7
131,data/test/conceptual_physics_test.csv,43,B,C,8
132,data/test/conceptual_physics_test.csv,44,D,D,6
133,data/test/conceptual_physics_test.csv,44,D,D,7
134,data/test/conceptual_physics_test.csv,44,D,D,8
135,data/test/conceptual_physics_test.csv,45,A,A,6
136,data/test/conceptual_physics_test.csv,45,A,A,7
137,data/test/conceptual_physics_test.csv,45,A,A,8
138,data/test/conceptual_physics_test.csv,46,C,C,6
139,data/test/conceptual_physics_test.csv,46,C,C,7
140,data/test/conceptual_physics_test.csv,46,C,C,8
141,data/test/conceptual_physics_test.csv,47,B,B,6
142,data/test/conceptual_physics_test.csv,47,A,B,7
143,data/test/conceptual_physics_test.csv,47,A,B,8
144,data/test/conceptual_physics_test.csv,48,A,A,6
145,data/test/conceptual_physics_test.csv,48,A,A,7
146,data/test/conceptual_physics_test.csv,48,A,A,8
147,data/test/conceptual_physics_test.csv,49,A,A,6
148,data/test/conceptual_physics_test.csv,49,A,A,7
149,data/test/conceptual_physics_test.csv,49,A,A,8
150,data/test/conceptual_physics_test.csv,50,A,A,6
151,data/test/conceptual_physics_test.csv,50,A,A,7
152,data/test/conceptual_physics_test.csv,50,A,A,8
153,data/test/conceptual_physics_test.csv,51,A,A,6
