,task,item,choice,gt,num_previous_points
0,data/test/electrical_engineering_test.csv,0,D,D,6
1,data/test/electrical_engineering_test.csv,0,D,D,7
2,data/test/electrical_engineering_test.csv,0,D,D,8
3,data/test/electrical_engineering_test.csv,1,A,D,6
4,data/test/electrical_engineering_test.csv,1,A,D,7
5,data/test/electrical_engineering_test.csv,1,A,D,8
6,data/test/electrical_engineering_test.csv,2,D,A,6
7,data/test/electrical_engineering_test.csv,2,D,A,7
8,data/test/electrical_engineering_test.csv,2,D,A,8
9,data/test/electrical_engineering_test.csv,3,D,A,6
10,data/test/electrical_engineering_test.csv,3,D,A,7
11,data/test/electrical_engineering_test.csv,3,B,A,8
12,data/test/electrical_engineering_test.csv,4,B,C,6
13,data/test/electrical_engineering_test.csv,4,B,C,7
14,data/test/electrical_engineering_test.csv,4,B,C,8
15,data/test/electrical_engineering_test.csv,5,D,D,6
16,data/test/electrical_engineering_test.csv,5,D,D,7
17,data/test/electrical_engineering_test.csv,5,D,D,8
18,data/test/electrical_engineering_test.csv,6,B,C,6
19,data/test/electrical_engineering_test.csv,6,B,C,7
20,data/test/electrical_engineering_test.csv,6,B,C,8
21,data/test/electrical_engineering_test.csv,7,D,D,6
22,data/test/electrical_engineering_test.csv,7,D,D,7
23,data/test/electrical_engineering_test.csv,7,D,D,8
24,data/test/electrical_engineering_test.csv,8,D,A,6
25,data/test/electrical_engineering_test.csv,8,D,A,7
26,data/test/electrical_engineering_test.csv,8,D,A,8
27,data/test/electrical_engineering_test.csv,9,A,A,6
28,data/test/electrical_engineering_test.csv,9,A,A,7
29,data/test/electrical_engineering_test.csv,9,A,A,8
30,data/test/electrical_engineering_test.csv,10,D,B,6
31,data/test/electrical_engineering_test.csv,10,C,B,7
32,data/test/electrical_engineering_test.csv,10,C,B,8
33,data/test/electrical_engineering_test.csv,11,C,D,6
34,data/test/electrical_engineering_test.csv,11,C,D,7
35,data/test/electrical_engineering_test.csv,11,C,D,8
36,data/test/electrical_engineering_test.csv,12,B,D,6
37,data/test/electrical_engineering_test.csv,12,B,D,7
38,data/test/electrical_engineering_test.csv,12,D,D,8
39,data/test/electrical_engineering_test.csv,13,A,D,6
40,data/test/electrical_engineering_test.csv,13,A,D,7
41,data/test/electrical_engineering_test.csv,13,D,D,8
42,data/test/electrical_engineering_test.csv,14,C,C,6
43,data/test/electrical_engineering_test.csv,14,B,C,7
44,data/test/electrical_engineering_test.csv,14,B,C,8
45,data/test/electrical_engineering_test.csv,15,D,C,6
46,data/test/electrical_engineering_test.csv,15,C,C,7
47,data/test/electrical_engineering_test.csv,15,C,C,8
48,data/test/electrical_engineering_test.csv,16,B,A,6
49,data/test/electrical_engineering_test.csv,16,B,A,7
50,data/test/electrical_engineering_test.csv,16,B,A,8
51,data/test/electrical_engineering_test.csv,17,B,D,6
52,data/test/electrical_engineering_test.csv,17,B,D,7
53,data/test/electrical_engineering_test.csv,17,B,D,8
54,data/test/electrical_engineering_test.csv,18,D,A,6
55,data/test/electrical_engineering_test.csv,18,D,A,7
56,data/test/electrical_engineering_test.csv,18,D,A,8
57,data/test/electrical_engineering_test.csv,19,B,A,6
58,data/test/electrical_engineering_test.csv,19,B,A,7
59,data/test/electrical_engineering_test.csv,19,B,A,8
