,task,item,choice,gt,meta_tasks
0,data/test/elementary_mathematics_test.csv,0,B,C,[]
1,data/test/elementary_mathematics_test.csv,1,C,C,[]
2,data/test/elementary_mathematics_test.csv,2,C,D,[]
3,data/test/elementary_mathematics_test.csv,3,C,B,[]
4,data/test/elementary_mathematics_test.csv,4,,B,[]
5,data/test/elementary_mathematics_test.csv,5,,C,[]
6,data/test/elementary_mathematics_test.csv,6,A,C,[]
7,data/test/elementary_mathematics_test.csv,7,,B,[]
8,data/test/elementary_mathematics_test.csv,8,D,D,[]
9,data/test/elementary_mathematics_test.csv,9,,D,[]
10,data/test/elementary_mathematics_test.csv,10,C,C,[]
11,data/test/elementary_mathematics_test.csv,11,,D,[]
12,data/test/elementary_mathematics_test.csv,12,,A,[]
13,data/test/elementary_mathematics_test.csv,13,,A,[]
14,data/test/elementary_mathematics_test.csv,14,B,C,[]
15,data/test/elementary_mathematics_test.csv,15,B,B,[]
16,data/test/elementary_mathematics_test.csv,16,C,B,[]
17,data/test/elementary_mathematics_test.csv,17,B,B,[]
18,data/test/elementary_mathematics_test.csv,18,C,D,[]
19,data/test/elementary_mathematics_test.csv,19,,A,[]
20,data/test/elementary_mathematics_test.csv,20,,C,[]
21,data/test/elementary_mathematics_test.csv,21,B,B,[]
22,data/test/elementary_mathematics_test.csv,22,B,A,[]
23,data/test/elementary_mathematics_test.csv,23,C,C,[]
24,data/test/elementary_mathematics_test.csv,24,B,B,[]
25,data/test/elementary_mathematics_test.csv,25,B,A,[]
26,data/test/elementary_mathematics_test.csv,26,,D,[]
27,data/test/elementary_mathematics_test.csv,27,D,D,[]
28,data/test/elementary_mathematics_test.csv,28,A,A,[]
29,data/test/elementary_mathematics_test.csv,29,A,A,[]
30,data/test/elementary_mathematics_test.csv,30,B,B,[]
31,data/test/elementary_mathematics_test.csv,31,D,B,[]
32,data/test/elementary_mathematics_test.csv,32,,A,[]
33,data/test/elementary_mathematics_test.csv,33,,C,[]
34,data/test/elementary_mathematics_test.csv,34,D,D,[]
35,data/test/elementary_mathematics_test.csv,35,,A,[]
36,data/test/elementary_mathematics_test.csv,36,B,A,[]
37,data/test/elementary_mathematics_test.csv,37,D,D,[]
38,data/test/elementary_mathematics_test.csv,38,,C,[]
39,data/test/elementary_mathematics_test.csv,39,B,C,[]
40,data/test/elementary_mathematics_test.csv,40,,B,[]
41,data/test/elementary_mathematics_test.csv,41,B,D,[]
42,data/test/elementary_mathematics_test.csv,42,,A,[]
43,data/test/elementary_mathematics_test.csv,43,C,C,[]
44,data/test/elementary_mathematics_test.csv,44,D,D,[]
45,data/test/elementary_mathematics_test.csv,45,B,B,[]
46,data/test/elementary_mathematics_test.csv,46,D,D,[]
47,data/test/elementary_mathematics_test.csv,47,,C,[]
48,data/test/elementary_mathematics_test.csv,48,B,D,[]
49,data/test/elementary_mathematics_test.csv,49,D,D,[]
50,data/test/elementary_mathematics_test.csv,50,C,A,[]
51,data/test/elementary_mathematics_test.csv,51,C,B,[]
52,data/test/elementary_mathematics_test.csv,52,,B,[]
53,data/test/elementary_mathematics_test.csv,53,A,A,[]
54,data/test/elementary_mathematics_test.csv,54,B,B,[]
55,data/test/elementary_mathematics_test.csv,55,B,A,[]
56,data/test/elementary_mathematics_test.csv,56,C,D,[]
57,data/test/elementary_mathematics_test.csv,57,A,A,[]
58,data/test/elementary_mathematics_test.csv,58,B,D,[]
59,data/test/elementary_mathematics_test.csv,59,,B,[]
60,data/test/elementary_mathematics_test.csv,60,D,D,[]
61,data/test/elementary_mathematics_test.csv,61,B,B,[]
62,data/test/elementary_mathematics_test.csv,62,C,C,[]
63,data/test/elementary_mathematics_test.csv,63,,C,[]
64,data/test/elementary_mathematics_test.csv,64,B,D,[]
65,data/test/elementary_mathematics_test.csv,65,D,C,[]
66,data/test/elementary_mathematics_test.csv,66,,D,[]
67,data/test/elementary_mathematics_test.csv,67,D,A,[]
68,data/test/elementary_mathematics_test.csv,68,,C,[]
69,data/test/elementary_mathematics_test.csv,69,,D,[]
70,data/test/elementary_mathematics_test.csv,70,B,C,[]
71,data/test/elementary_mathematics_test.csv,71,C,A,[]
72,data/test/elementary_mathematics_test.csv,72,B,B,[]
73,data/test/elementary_mathematics_test.csv,73,,C,[]
74,data/test/elementary_mathematics_test.csv,74,,B,[]
75,data/test/elementary_mathematics_test.csv,75,,D,[]
76,data/test/elementary_mathematics_test.csv,76,B,A,[]
77,data/test/elementary_mathematics_test.csv,77,D,D,[]
78,data/test/elementary_mathematics_test.csv,78,B,D,[]
79,data/test/elementary_mathematics_test.csv,79,,A,[]
80,data/test/elementary_mathematics_test.csv,80,C,B,[]
81,data/test/elementary_mathematics_test.csv,81,,A,[]
82,data/test/elementary_mathematics_test.csv,82,C,D,[]
83,data/test/elementary_mathematics_test.csv,83,,C,[]
84,data/test/elementary_mathematics_test.csv,84,B,B,[]
85,data/test/elementary_mathematics_test.csv,85,C,D,[]
86,data/test/elementary_mathematics_test.csv,86,B,A,[]
87,data/test/elementary_mathematics_test.csv,87,B,C,[]
88,data/test/elementary_mathematics_test.csv,88,B,B,[]
89,data/test/elementary_mathematics_test.csv,89,B,B,[]
90,data/test/elementary_mathematics_test.csv,90,C,C,[]
91,data/test/elementary_mathematics_test.csv,91,D,A,[]
92,data/test/elementary_mathematics_test.csv,92,B,B,[]
93,data/test/elementary_mathematics_test.csv,93,,A,[]
94,data/test/elementary_mathematics_test.csv,94,B,C,[]
95,data/test/elementary_mathematics_test.csv,95,,D,[]
96,data/test/elementary_mathematics_test.csv,96,D,C,[]
97,data/test/elementary_mathematics_test.csv,97,A,A,[]
98,data/test/elementary_mathematics_test.csv,98,,A,[]
99,data/test/elementary_mathematics_test.csv,99,B,C,[]
100,data/test/elementary_mathematics_test.csv,100,B,A,[]
101,data/test/elementary_mathematics_test.csv,101,,A,[]
102,data/test/elementary_mathematics_test.csv,102,B,B,[]
103,data/test/elementary_mathematics_test.csv,103,D,C,[]
104,data/test/elementary_mathematics_test.csv,104,C,A,[]
105,data/test/elementary_mathematics_test.csv,105,,D,[]
106,data/test/elementary_mathematics_test.csv,106,C,C,[]
107,data/test/elementary_mathematics_test.csv,107,C,C,[]
108,data/test/elementary_mathematics_test.csv,108,D,A,[]
109,data/test/elementary_mathematics_test.csv,109,B,B,[]
110,data/test/elementary_mathematics_test.csv,110,C,C,[]
111,data/test/elementary_mathematics_test.csv,111,D,B,[]
112,data/test/elementary_mathematics_test.csv,112,B,B,[]
113,data/test/elementary_mathematics_test.csv,113,C,A,[]
114,data/test/elementary_mathematics_test.csv,114,,A,[]
115,data/test/elementary_mathematics_test.csv,115,C,D,[]
116,data/test/elementary_mathematics_test.csv,116,,A,[]
117,data/test/elementary_mathematics_test.csv,117,C,B,[]
118,data/test/elementary_mathematics_test.csv,118,,B,[]
119,data/test/elementary_mathematics_test.csv,119,B,B,[]
120,data/test/elementary_mathematics_test.csv,120,B,B,[]
121,data/test/elementary_mathematics_test.csv,121,C,A,[]
122,data/test/elementary_mathematics_test.csv,122,A,A,[]
123,data/test/elementary_mathematics_test.csv,123,,B,[]
124,data/test/elementary_mathematics_test.csv,124,,B,[]
125,data/test/elementary_mathematics_test.csv,125,,C,[]
126,data/test/elementary_mathematics_test.csv,126,A,D,[]
127,data/test/elementary_mathematics_test.csv,127,D,C,[]
128,data/test/elementary_mathematics_test.csv,128,B,C,[]
129,data/test/elementary_mathematics_test.csv,129,,D,[]
130,data/test/elementary_mathematics_test.csv,130,B,D,[]
131,data/test/elementary_mathematics_test.csv,131,C,D,[]
132,data/test/elementary_mathematics_test.csv,132,B,B,[]
133,data/test/elementary_mathematics_test.csv,133,,C,[]
134,data/test/elementary_mathematics_test.csv,134,,C,[]
135,data/test/elementary_mathematics_test.csv,135,,C,[]
136,data/test/elementary_mathematics_test.csv,136,C,C,[]
137,data/test/elementary_mathematics_test.csv,137,C,D,[]
138,data/test/elementary_mathematics_test.csv,138,D,B,[]
139,data/test/elementary_mathematics_test.csv,139,B,C,[]
140,data/test/elementary_mathematics_test.csv,140,D,D,[]
141,data/test/elementary_mathematics_test.csv,141,D,C,[]
142,data/test/elementary_mathematics_test.csv,142,D,D,[]
143,data/test/elementary_mathematics_test.csv,143,A,A,[]
144,data/test/elementary_mathematics_test.csv,144,,B,[]
145,data/test/elementary_mathematics_test.csv,145,D,C,[]
146,data/test/elementary_mathematics_test.csv,146,D,D,[]
147,data/test/elementary_mathematics_test.csv,147,C,C,[]
148,data/test/elementary_mathematics_test.csv,148,B,C,[]
149,data/test/elementary_mathematics_test.csv,149,,B,[]
150,data/test/elementary_mathematics_test.csv,150,C,C,[]
151,data/test/elementary_mathematics_test.csv,151,B,B,[]
152,data/test/elementary_mathematics_test.csv,152,D,A,[]
153,data/test/elementary_mathematics_test.csv,153,C,C,[]
154,data/test/elementary_mathematics_test.csv,154,,D,[]
155,data/test/elementary_mathematics_test.csv,155,B,D,[]
156,data/test/elementary_mathematics_test.csv,156,,C,[]
157,data/test/elementary_mathematics_test.csv,157,B,A,[]
158,data/test/elementary_mathematics_test.csv,158,B,A,[]
159,data/test/elementary_mathematics_test.csv,159,B,B,[]
160,data/test/elementary_mathematics_test.csv,160,,A,[]
161,data/test/elementary_mathematics_test.csv,161,D,D,[]
162,data/test/elementary_mathematics_test.csv,162,,D,[]
163,data/test/elementary_mathematics_test.csv,163,D,D,[]
164,data/test/elementary_mathematics_test.csv,164,,B,[]
165,data/test/elementary_mathematics_test.csv,165,B,B,[]
166,data/test/elementary_mathematics_test.csv,166,,A,[]
167,data/test/elementary_mathematics_test.csv,167,,D,[]
168,data/test/elementary_mathematics_test.csv,168,D,C,[]
169,data/test/elementary_mathematics_test.csv,169,,C,[]
170,data/test/elementary_mathematics_test.csv,170,B,C,[]
171,data/test/elementary_mathematics_test.csv,171,,A,[]
172,data/test/elementary_mathematics_test.csv,172,,C,[]
173,data/test/elementary_mathematics_test.csv,173,C,C,[]
174,data/test/elementary_mathematics_test.csv,174,,A,[]
175,data/test/elementary_mathematics_test.csv,175,C,C,[]
176,data/test/elementary_mathematics_test.csv,176,B,C,[]
177,data/test/elementary_mathematics_test.csv,177,A,C,[]
178,data/test/elementary_mathematics_test.csv,178,,B,[]
179,data/test/elementary_mathematics_test.csv,179,,A,[]
180,data/test/elementary_mathematics_test.csv,180,,A,[]
181,data/test/elementary_mathematics_test.csv,181,C,C,[]
182,data/test/elementary_mathematics_test.csv,182,,B,[]
183,data/test/elementary_mathematics_test.csv,183,,B,[]
184,data/test/elementary_mathematics_test.csv,184,A,D,[]
185,data/test/elementary_mathematics_test.csv,185,D,D,[]
186,data/test/elementary_mathematics_test.csv,186,B,D,[]
187,data/test/elementary_mathematics_test.csv,187,C,B,[]
188,data/test/elementary_mathematics_test.csv,188,B,B,[]
189,data/test/elementary_mathematics_test.csv,189,D,B,[]
