,task,item,choice,gt,meta_tasks
0,data/test/astronomy_test.csv,0,A,A,['college physics' 'college biology']
1,data/test/astronomy_test.csv,1,D,D,['electrical engineering' 'high school mathematics']
2,data/test/astronomy_test.csv,2,C,C,['machine learning' 'college biology']
3,data/test/astronomy_test.csv,3,C,C,['anatomy' 'high school chemistry']
4,data/test/astronomy_test.csv,4,D,D,['abstract algebra' 'high school chemistry']
5,data/test/astronomy_test.csv,5,C,C,['electrical engineering' 'high school chemistry']
6,data/test/astronomy_test.csv,6,B,B,['abstract algebra' 'high school computer science']
7,data/test/astronomy_test.csv,7,B,B,['high school statistics' 'high school biology']
8,data/test/astronomy_test.csv,8,D,D,['abstract algebra' 'college physics']
9,data/test/astronomy_test.csv,9,D,D,['machine learning' 'conceptual physics']
10,data/test/astronomy_test.csv,10,D,D,['college chemistry' 'high school statistics']
11,data/test/astronomy_test.csv,11,C,C,['college computer science' 'computer security']
12,data/test/astronomy_test.csv,12,A,A,['machine learning' 'college chemistry']
13,data/test/astronomy_test.csv,13,D,D,['college physics' 'high school statistics']
14,data/test/astronomy_test.csv,14,B,B,['machine learning' 'computer security']
15,data/test/astronomy_test.csv,15,C,C,['high school chemistry' 'college chemistry']
16,data/test/astronomy_test.csv,16,C,C,['college computer science' 'machine learning']
17,data/test/astronomy_test.csv,17,D,A,['college mathematics' 'high school biology']
18,data/test/astronomy_test.csv,18,D,D,['college biology' 'machine learning']
19,data/test/astronomy_test.csv,19,D,C,['computer security' 'college mathematics']
20,data/test/astronomy_test.csv,20,D,D,['high school mathematics' 'high school statistics']
21,data/test/astronomy_test.csv,21,D,D,['college chemistry' 'computer security']
22,data/test/astronomy_test.csv,22,D,D,['conceptual physics' 'elementary mathematics']
23,data/test/astronomy_test.csv,23,B,B,['abstract algebra' 'college biology']
24,data/test/astronomy_test.csv,24,C,C,['abstract algebra' 'electrical engineering']
25,data/test/astronomy_test.csv,25,D,D,['anatomy' 'abstract algebra']
26,data/test/astronomy_test.csv,26,D,C,['conceptual physics' 'high school mathematics']
27,data/test/astronomy_test.csv,27,D,D,['anatomy' 'high school statistics']
28,data/test/astronomy_test.csv,28,A,B,['computer security' 'abstract algebra']
29,data/test/astronomy_test.csv,29,B,C,['high school mathematics' 'electrical engineering']
30,data/test/astronomy_test.csv,30,B,B,['high school biology' 'college biology']
