,task,item,choice,gt,meta_tasks
0,data/test/college_computer_science_test.csv,0,C,A,[]
1,data/test/college_computer_science_test.csv,1,D,C,[]
2,data/test/college_computer_science_test.csv,2,B,B,[]
3,data/test/college_computer_science_test.csv,3,A,A,[]
4,data/test/college_computer_science_test.csv,4,D,C,[]
5,data/test/college_computer_science_test.csv,5,D,C,[]
6,data/test/college_computer_science_test.csv,6,D,C,[]
7,data/test/college_computer_science_test.csv,7,D,B,[]
8,data/test/college_computer_science_test.csv,8,B,C,[]
9,data/test/college_computer_science_test.csv,9,C,C,[]
10,data/test/college_computer_science_test.csv,10,D,D,[]
11,data/test/college_computer_science_test.csv,11,B,A,[]
12,data/test/college_computer_science_test.csv,12,D,A,[]
13,data/test/college_computer_science_test.csv,13,B,C,[]
14,data/test/college_computer_science_test.csv,14,D,A,[]
15,data/test/college_computer_science_test.csv,15,B,D,[]
16,data/test/college_computer_science_test.csv,16,B,D,[]
17,data/test/college_computer_science_test.csv,17,D,B,[]
18,data/test/college_computer_science_test.csv,18,A,A,[]
19,data/test/college_computer_science_test.csv,19,D,D,[]
20,data/test/college_computer_science_test.csv,20,D,D,[]
21,data/test/college_computer_science_test.csv,21,C,B,[]
22,data/test/college_computer_science_test.csv,22,B,A,[]
23,data/test/college_computer_science_test.csv,23,B,A,[]
24,data/test/college_computer_science_test.csv,24,D,A,[]
25,data/test/college_computer_science_test.csv,25,D,D,[]
26,data/test/college_computer_science_test.csv,26,C,C,[]
27,data/test/college_computer_science_test.csv,27,D,D,[]
28,data/test/college_computer_science_test.csv,28,D,D,[]
29,data/test/college_computer_science_test.csv,29,C,C,[]
30,data/test/college_computer_science_test.csv,30,C,C,[]
31,data/test/college_computer_science_test.csv,31,C,D,[]
32,data/test/college_computer_science_test.csv,32,D,D,[]
33,data/test/college_computer_science_test.csv,33,D,A,[]
34,data/test/college_computer_science_test.csv,34,B,B,[]
35,data/test/college_computer_science_test.csv,35,B,C,[]
36,data/test/college_computer_science_test.csv,36,A,C,[]
37,data/test/college_computer_science_test.csv,37,B,D,[]
38,data/test/college_computer_science_test.csv,38,D,D,[]
39,data/test/college_computer_science_test.csv,39,B,B,[]
40,data/test/college_computer_science_test.csv,40,A,A,[]
41,data/test/college_computer_science_test.csv,41,A,D,[]
42,data/test/college_computer_science_test.csv,42,D,A,[]
43,data/test/college_computer_science_test.csv,43,C,D,[]
44,data/test/college_computer_science_test.csv,44,D,D,[]
45,data/test/college_computer_science_test.csv,45,C,C,[]
46,data/test/college_computer_science_test.csv,46,D,D,[]
47,data/test/college_computer_science_test.csv,47,A,A,[]
48,data/test/college_computer_science_test.csv,48,D,A,[]
49,data/test/college_computer_science_test.csv,49,C,D,[]
50,data/test/college_computer_science_test.csv,50,D,D,[]
51,data/test/college_computer_science_test.csv,51,C,B,[]
52,data/test/college_computer_science_test.csv,52,A,C,[]
53,data/test/college_computer_science_test.csv,53,C,C,[]
54,data/test/college_computer_science_test.csv,54,A,A,[]
55,data/test/college_computer_science_test.csv,55,A,C,[]
56,data/test/college_computer_science_test.csv,56,D,D,[]
57,data/test/college_computer_science_test.csv,57,D,D,[]
58,data/test/college_computer_science_test.csv,58,A,B,[]
59,data/test/college_computer_science_test.csv,59,D,D,[]
60,data/test/college_computer_science_test.csv,60,D,D,[]
61,data/test/college_computer_science_test.csv,61,B,B,[]
62,data/test/college_computer_science_test.csv,62,D,D,[]
63,data/test/college_computer_science_test.csv,63,A,A,[]
64,data/test/college_computer_science_test.csv,64,C,A,[]
65,data/test/college_computer_science_test.csv,65,A,C,[]
66,data/test/college_computer_science_test.csv,66,D,A,[]
67,data/test/college_computer_science_test.csv,67,C,B,[]
68,data/test/college_computer_science_test.csv,68,C,B,[]
69,data/test/college_computer_science_test.csv,69,A,A,[]
70,data/test/college_computer_science_test.csv,70,D,D,[]
71,data/test/college_computer_science_test.csv,71,B,A,[]
72,data/test/college_computer_science_test.csv,72,C,D,[]
73,data/test/college_computer_science_test.csv,73,C,C,[]
74,data/test/college_computer_science_test.csv,74,D,D,[]
75,data/test/college_computer_science_test.csv,75,C,C,[]
76,data/test/college_computer_science_test.csv,76,A,A,[]
77,data/test/college_computer_science_test.csv,77,D,B,[]
78,data/test/college_computer_science_test.csv,78,D,C,[]
79,data/test/college_computer_science_test.csv,79,C,D,[]
80,data/test/college_computer_science_test.csv,80,D,B,[]
81,data/test/college_computer_science_test.csv,81,B,C,[]
82,data/test/college_computer_science_test.csv,82,D,D,[]
83,data/test/college_computer_science_test.csv,83,A,A,[]
84,data/test/college_computer_science_test.csv,84,B,D,[]
85,data/test/college_computer_science_test.csv,85,A,D,[]
86,data/test/college_computer_science_test.csv,86,D,A,[]
87,data/test/college_computer_science_test.csv,87,C,B,[]
88,data/test/college_computer_science_test.csv,88,C,C,[]
89,data/test/college_computer_science_test.csv,89,A,A,[]
90,data/test/college_computer_science_test.csv,90,C,C,[]
91,data/test/college_computer_science_test.csv,91,D,C,[]
92,data/test/college_computer_science_test.csv,92,B,B,[]
93,data/test/college_computer_science_test.csv,93,C,C,[]
94,data/test/college_computer_science_test.csv,94,D,D,[]
95,data/test/college_computer_science_test.csv,95,A,A,[]
96,data/test/college_computer_science_test.csv,96,B,A,[]
97,data/test/college_computer_science_test.csv,97,D,D,[]
98,data/test/college_computer_science_test.csv,98,B,C,[]
99,data/test/college_computer_science_test.csv,99,D,D,[]
