,task,item,choice,gt,meta_tasks
0,data/test/college_biology_test.csv,0,D,C,['abstract algebra' 'college computer science']
1,data/test/college_biology_test.csv,1,C,C,['machine learning' 'conceptual physics']
2,data/test/college_biology_test.csv,2,A,A,['conceptual physics' 'college physics']
3,data/test/college_biology_test.csv,3,B,B,['high school mathematics' 'high school biology']
4,data/test/college_biology_test.csv,4,A,A,['college mathematics' 'high school physics']
5,data/test/college_biology_test.csv,5,A,A,['college mathematics' 'machine learning']
6,data/test/college_biology_test.csv,6,B,B,['elementary mathematics' 'high school physics']
7,data/test/college_biology_test.csv,7,B,B,['college chemistry' 'college physics']
8,data/test/college_biology_test.csv,8,D,D,['astronomy' 'college computer science']
9,data/test/college_biology_test.csv,9,C,C,['high school biology' 'abstract algebra']
10,data/test/college_biology_test.csv,10,C,C,['machine learning' 'high school chemistry']
11,data/test/college_biology_test.csv,11,D,D,['astronomy' 'electrical engineering']
12,data/test/college_biology_test.csv,12,D,C,['elementary mathematics' 'conceptual physics']
13,data/test/college_biology_test.csv,13,D,D,['high school physics' 'high school computer science']
14,data/test/college_biology_test.csv,14,A,A,['college computer science' 'astronomy']
15,data/test/college_biology_test.csv,15,C,C,['abstract algebra' 'computer security']
16,data/test/college_biology_test.csv,16,C,C,['high school chemistry' 'abstract algebra']
17,data/test/college_biology_test.csv,17,A,C,['high school physics' 'astronomy']
18,data/test/college_biology_test.csv,18,C,C,['abstract algebra' 'college physics']
19,data/test/college_biology_test.csv,19,A,A,['high school statistics' 'high school computer science']
20,data/test/college_biology_test.csv,20,D,D,['anatomy' 'high school statistics']
21,data/test/college_biology_test.csv,21,C,C,['high school chemistry' 'college physics']
22,data/test/college_biology_test.csv,22,B,B,['elementary mathematics' 'conceptual physics']
23,data/test/college_biology_test.csv,23,A,A,['electrical engineering' 'anatomy']
24,data/test/college_biology_test.csv,24,D,D,['college physics' 'anatomy']
25,data/test/college_biology_test.csv,25,D,D,['computer security' 'high school computer science']
26,data/test/college_biology_test.csv,26,B,A,['high school biology' 'computer security']
27,data/test/college_biology_test.csv,27,C,C,['high school biology' 'computer security']
28,data/test/college_biology_test.csv,28,A,A,['college chemistry' 'college computer science']
29,data/test/college_biology_test.csv,29,D,C,['college chemistry' 'electrical engineering']
30,data/test/college_biology_test.csv,30,A,A,['high school physics' 'elementary mathematics']
31,data/test/college_biology_test.csv,31,A,B,['high school chemistry' 'high school biology']
32,data/test/college_biology_test.csv,32,D,B,['machine learning' 'conceptual physics']
33,data/test/college_biology_test.csv,33,D,D,['high school physics' 'elementary mathematics']
