,task,item,choice,gt,meta_tasks
0,data/test/college_mathematics_test.csv,0,B,B,['college computer science' 'machine learning']
1,data/test/college_mathematics_test.csv,1,C,D,['college chemistry' 'college computer science']
2,data/test/college_mathematics_test.csv,2,C,D,['college computer science' 'college biology']
3,data/test/college_mathematics_test.csv,3,D,A,['high school statistics' 'astronomy']
4,data/test/college_mathematics_test.csv,4,C,C,['astronomy' 'machine learning']
5,data/test/college_mathematics_test.csv,5,D,D,['college computer science' 'high school computer science']
6,data/test/college_mathematics_test.csv,6,B,C,['high school statistics' 'high school computer science']
7,data/test/college_mathematics_test.csv,7,C,C,['college chemistry' 'computer security']
8,data/test/college_mathematics_test.csv,8,D,C,['anatomy' 'college computer science']
9,data/test/college_mathematics_test.csv,9,D,A,['anatomy' 'astronomy']
10,data/test/college_mathematics_test.csv,10,D,D,['high school statistics' 'conceptual physics']
11,data/test/college_mathematics_test.csv,11,D,B,['astronomy' 'college biology']
12,data/test/college_mathematics_test.csv,12,A,A,['high school chemistry' 'high school physics']
13,data/test/college_mathematics_test.csv,13,D,B,['conceptual physics' 'high school biology']
14,data/test/college_mathematics_test.csv,14,C,D,['elementary mathematics' 'college chemistry']
15,data/test/college_mathematics_test.csv,15,D,D,['high school physics' 'elementary mathematics']
16,data/test/college_mathematics_test.csv,16,D,B,['high school chemistry' 'high school computer science']
17,data/test/college_mathematics_test.csv,17,C,C,['high school physics' 'high school biology']
18,data/test/college_mathematics_test.csv,18,D,D,['high school biology' 'conceptual physics']
19,data/test/college_mathematics_test.csv,19,C,A,['elementary mathematics' 'college chemistry']
20,data/test/college_mathematics_test.csv,20,D,D,['high school statistics' 'high school biology']
21,data/test/college_mathematics_test.csv,21,C,D,['conceptual physics' 'high school chemistry']
22,data/test/college_mathematics_test.csv,22,D,B,['conceptual physics' 'high school mathematics']
23,data/test/college_mathematics_test.csv,23,B,A,['college chemistry' 'high school biology']
24,data/test/college_mathematics_test.csv,24,B,B,['college computer science' 'conceptual physics']
25,data/test/college_mathematics_test.csv,25,D,D,['college chemistry' 'elementary mathematics']
26,data/test/college_mathematics_test.csv,26,C,D,['college biology' 'abstract algebra']
27,data/test/college_mathematics_test.csv,27,C,A,['high school mathematics' 'college physics']
28,data/test/college_mathematics_test.csv,28,C,A,['college chemistry' 'high school chemistry']
29,data/test/college_mathematics_test.csv,29,C,B,['anatomy' 'elementary mathematics']
30,data/test/college_mathematics_test.csv,30,D,C,['college biology' 'college physics']
