x,y,y_pred,machine,trial,subject
1,-6.546428843911994,3.0,1,1,1
5,12.238715384731753,6.0,1,2,1
10,35.72014567053644,9.0,1,3,1
15,59.20157595634113,9.5,1,4,1
20,82.68300624214581,8.5,1,5,1
25,106.1644365279505,7.5,1,6,1
30,129.64586681375516,4.0,1,7,1
35,153.12729709955983,1.0,1,8,1
40,176.60872738536455,4.5,1,9,1
45,200.0901576711692,4.0,1,10,1
50,223.57158795697393,2.0,1,11,1
55,247.0530182427786,7.0,1,12,1
60,270.5344485285833,6.5,1,13,1
65,294.015878814388,5.0,1,14,1
70,317.49730910019264,3.0,1,15,1
75,340.97873938599736,3.0,1,16,1
80,364.460169671802,2.0,1,17,1
85,387.94159995760674,1.0,1,18,1
90,411.4230302434114,2.0,1,19,1
95,434.90446052921607,1.0,1,20,1
100,458.3858908150208,5.5,1,21,1
1,-30.194307782963243,2.2,2,1,1
5,-9.94949402323338,13.7,2,2,1
10,15.356523176428952,29.9,2,3,1
15,40.66254037609128,48.7,2,4,1
20,65.96855757575362,69.6,2,5,1
25,91.27457477541596,91.9,2,6,1
30,116.58059197507826,114.9,2,7,1
35,141.8866091747406,136.9,2,8,1
40,167.19262637440295,160.4,2,9,1
45,192.49864357406528,186.7,2,10,1
50,217.80466077372762,213.6,2,11,1
55,243.11067797338993,240.5,2,12,1
60,268.41669517305223,265.7,2,13,1
65,293.72271237271457,290.5,2,14,1
70,319.0287295723769,315.3,2,15,1
75,344.33474677203924,340.3,2,16,1
80,369.6407639717016,364.6,2,17,1
85,394.9467811713639,388.9,2,18,1
90,420.25279837102624,413.2,2,19,1
95,445.5588155706886,436.9,2,20,1
100,470.8648327703509,461.3,2,21,1
1,-35.690361923452436,11.1,3,1,1
5,-16.247681677366188,60.7,3,2,1
10,8.055668630241616,136.3,3,3,1
15,32.35901893784942,175.7,3,4,1
20,56.66236924545722,206.1,3,5,1
25,80.96571955306504,253.4,3,6,1
30,105.26906986067283,281.9,3,7,1
35,129.57242016828064,332.6,3,8,1
40,153.87577047588843,372.2,3,9,1
45,178.17912078349624,426.0,3,10,1
50,202.48247109110406,494.6,3,11,1
55,226.78582139871187,581.7,3,12,1
60,251.08917170631966,687.4,3,13,1
65,275.3925220139275,747.4,3,14,1
70,299.6958723215353,814.5,3,15,1
75,323.9992226291431,875.5,3,16,1
80,348.3025729367509,970.3,3,17,1
85,372.60592324435873,1026.3,3,18,1
90,396.9092735519665,1063.7,3,19,1
95,421.2126238595743,1129.2,3,20,1
100,445.51597416718215,1190.2,3,21,1
1,-12.738992639481772,800.0,4,1,1
5,9.285499548782091,350.0,4,2,1
10,36.816114784111925,200.0,4,3,1
15,64.34673001944175,100.0,4,4,1
20,91.87734525477158,0.0,4,5,1
25,119.4079604901014,0.0,4,6,1
30,146.93857572543124,0.0,4,7,1
35,174.46919096076107,0.0,4,8,1
40,201.9998061960909,0.0,4,9,1
45,229.53042143142073,0.0,4,10,1
50,257.0610366667505,0.0,4,11,1
55,284.59165190208034,0.0,4,12,1
60,312.1222671374102,0.0,4,13,1
65,339.65288237274,0.0,4,14,1
70,367.18349760806984,0.0,4,15,1
75,394.7141128433997,0.0,4,16,1
80,422.2447280787295,0.0,4,17,1
85,449.77534331405934,0.0,4,18,1
90,477.3059585493892,0.0,4,19,1
95,504.836573784719,0.0,4,20,1
100,532.3671890200488,0.0,4,21,1
1,-67.75860068630426,76.3,5,1,1
5,-44.88706767883582,220.5,5,2,1
10,-16.29765141950026,334.8,5,3,1
15,12.291764839835297,429.0,5,4,1
20,40.881181099170846,506.2,5,5,1
25,69.4705973585064,564.1,5,6,1
30,98.06001361784196,615.8,5,7,1
35,126.6494298771775,657.7,5,8,1
40,155.23884613651308,694.9,5,9,1
45,183.8282623958486,729.9,5,10,1
50,212.41767865518418,765.0,5,11,1
55,241.00709491451974,799.0,5,12,1
60,269.5965111738553,832.1,5,13,1
65,298.18592743319084,863.5,5,14,1
70,326.77534369252635,892.9,5,15,1
75,355.3647599518619,922.0,5,16,1
80,383.9541762111975,951.8,5,17,1
85,412.54359247053304,983.3,5,18,1
90,441.13300872986855,1014.0,5,19,1
95,469.72242498920417,1048.6,5,20,1
100,498.3118412485397,1087.7,5,21,1
1,1.5468199968479874,1.0,1,1,2
5,23.824790994742102,5.0,1,2,2
10,51.67225474210975,10.0,1,3,2
15,79.5197184894774,15.0,1,4,2
20,107.36718223684504,20.0,1,5,2
25,135.2146459842127,25.0,1,6,2
30,163.0621097315803,30.0,1,7,2
35,190.90957347894798,35.0,1,8,2
40,218.7570372263156,40.0,1,9,2
45,246.60450097368326,45.0,1,10,2
50,274.45196472105096,50.0,1,11,2
55,302.29942846841857,55.0,1,12,2
60,330.14689221578624,60.0,1,13,2
65,357.99435596315385,65.0,1,14,2
70,385.8418197105215,70.0,1,15,2
75,413.68928345788913,75.0,1,16,2
80,441.5367472052568,80.0,1,17,2
85,469.38421095262447,85.0,1,18,2
90,497.2316746999921,90.0,1,19,2
95,525.0791384473597,95.0,1,20,2
100,552.9266021947274,100.0,1,21,2
1,-78.18625285909901,1.0,2,1,2
5,-56.49422607804644,5.0,2,2,2
10,-29.37919260173072,10.0,2,3,2
15,-2.264159125415002,15.0,2,4,2
20,24.850874350900714,20.0,2,5,2
25,51.96590782721643,25.0,2,6,2
30,79.08094130353214,30.0,2,7,2
35,106.19597477984786,35.0,2,8,2
40,133.31100825616357,40.0,2,9,2
45,160.4260417324793,45.0,2,10,2
50,187.541075208795,50.0,2,11,2
55,214.65610868511072,55.0,2,12,2
60,241.77114216142644,60.0,2,13,2
65,268.88617563774216,65.0,2,14,2
70,296.0012091140579,70.0,2,15,2
75,323.1162425903736,75.0,2,16,2
80,350.2312760666893,80.0,2,17,2
85,377.346309543005,85.0,2,18,2
90,404.46134301932074,90.0,2,19,2
95,431.57637649563645,95.0,2,20,2
100,458.69140997195217,100.0,2,21,2
1,-18.249530286322933,6.8,3,1,2
5,3.9216827655853974,15.7,3,2,2
10,31.63569908047081,24.6,3,3,2
15,59.34971539535622,33.4,3,4,2
20,87.06373171024164,42.2,3,5,2
25,114.77774802512705,51.1,3,6,2
30,142.49176434001245,59.9,3,7,2
35,170.20578065489786,68.7,3,8,2
40,197.91979696978328,77.5,3,9,2
45,225.63381328466872,86.3,3,10,2
50,253.3478295995541,95.1,3,11,2
55,281.0618459144395,103.9,3,12,2
60,308.7758622293249,112.7,3,13,2
65,336.4898785442104,121.5,3,14,2
70,364.2038948590958,130.2,3,15,2
75,391.91791117398117,139.0,3,16,2
80,419.63192748886655,147.8,3,17,2
85,447.34594380375205,156.6,3,18,2
90,475.05996011863743,165.3,3,19,2
95,502.7739764335228,174.1,3,20,2
100,530.4879927484083,182.9,3,21,2
1,-33.91988048648347,0.7,4,1,2
